Stock Quotes for AAP,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2001-11-29,13.386666,14.466666,13.36,13.88,13.238583,371100
2001-11-30,13.88,14.266666,13.88,14.266666,13.607385,165300
2001-12-03,14.233334,14.233334,13.783334,13.783334,13.146388,127500
2001-12-04,13.783334,13.783334,13.233334,13.233334,12.6218,95400
2001-12-05,13.433333,14.783334,13.433333,14.666667,13.988898,598200
2001-12-06,14.733334,14.733334,14.57,14.573334,13.89988,157200
2001-12-07,14.583333,14.666667,14.466666,14.666667,13.988898,215100
2001-12-10,14.633333,14.64,14.586667,14.616667,13.94121,119100
2001-12-11,14.6,14.71,14.586667,14.586667,13.912596,378600
2001-12-12,14.583333,14.583333,14.036667,14.1,13.448421,114600
2001-12-13,14.083333,14.266666,13.966666,13.966666,13.321246,113700
2001-12-14,13.95,13.95,13.516666,13.63,13.000138,233400
2001-12-17,13.663333,14,13.663333,13.666667,13.035112,106200
2001-12-18,13.683333,13.866667,13.666667,13.666667,13.035112,101400
2001-12-19,13.666667,13.683333,13.58,13.683333,13.051004,157800
2001-12-20,13.733334,14.23,13.733334,14.1,13.448421,97200
2001-12-21,14.183333,15.3,14.166667,15.113334,14.414927,659400
2001-12-24,15.1,15.35,15.066667,15.266666,14.561173,50700
2001-12-26,15.3,15.653334,15.266666,15.333333,14.624759,378000
2001-12-27,15.75,15.883333,15.4,15.65,14.926793,349200
2001-12-28,15.733334,15.733334,15.633333,15.683333,14.958582,295500
2001-12-31,15.7,16.583334,15.566667,16.583334,15.816989,255900
2002-01-02,16.166666,16.166666,15.883333,15.926666,15.190673,132300
2002-01-03,15.9,15.903334,15.1,15.1,14.402205,89700
2002-01-04,15.1,15.2,13.666667,14.166667,13.512007,346500
2002-01-07,14.166667,14.366667,13.283334,13.933333,13.289454,601500
2002-01-08,13.85,13.933333,13.5,13.7,13.066904,442200
2002-01-09,13.716666,13.866667,13.7,13.733334,13.098695,60000
2002-01-10,13.733334,14.133333,13.733334,14.033334,13.384836,216300
2002-01-11,14.333333,14.75,14.316667,14.5,13.829937,340800
2002-01-14,14.5,14.566667,14.3,14.3,13.639179,230700
2002-01-15,14.75,15.45,14.75,15.336667,14.627935,1030200
2002-01-16,15.31,15.783334,15.166667,15.633333,14.910892,526200
2002-01-17,15.666667,15.933333,15.666667,15.733334,15.006271,42900
2002-01-18,15.7,16,15.566667,15.766666,15.038068,70500
2002-01-22,15.77,15.77,15.233334,15.566667,14.847312,130800
2002-01-23,15.6,15.716666,15.566667,15.633333,14.910892,38700
2002-01-24,15.666667,15.733334,15.333333,15.416667,14.704241,125100
2002-01-25,15.466666,15.766666,15.316667,15.633333,14.910892,88800
2002-01-28,15.683333,15.9,15.26,15.433333,14.720136,75300
2002-01-29,15.45,15.533334,15.433333,15.453333,14.739211,27300
2002-01-30,15.466666,15.566667,15.366667,15.55,14.831415,67800
2002-01-31,15.583333,15.7,15.483334,15.616667,14.894997,36600
2002-02-01,15.65,15.733334,15.65,15.7,14.97448,9000
2002-02-04,15.666667,15.666667,15.433333,15.443334,14.729672,13200
2002-02-05,15.366667,15.383333,15.283334,15.296667,14.589788,39300
2002-02-06,15.263333,15.266666,15.166667,15.233334,14.529381,54300
2002-02-07,14.833333,14.95,14.6,14.9,14.211449,216000
2002-02-08,14.883333,14.95,14.833333,14.933333,14.243245,71100
2002-02-11,14.9,15.166667,14.866667,15.133333,14.433999,21600
2002-02-12,15.166667,15.4,15.166667,15.4,14.688344,14100
2002-02-13,15.333333,15.366667,14.966666,15,14.306826,74100
2002-02-14,15.033334,15.033334,14.8,14.883333,14.195552,58500
2002-02-15,14.85,14.866667,14.833333,14.866667,14.179656,17100
2002-02-19,14.9,14.93,14.816667,14.833333,14.147861,9900
2002-02-20,14.8,15.25,14.633333,14.733334,14.052487,88500
2002-02-21,14.666667,14.793333,14.6,14.793333,14.109711,132300
2002-02-22,14.793333,14.983334,14.793333,14.966666,14.275034,45600
2002-02-25,14.933333,15.1,14.933333,15,14.306826,25800
2002-02-26,15.033334,15.1,15,15.033334,14.338621,88800
2002-02-27,15.05,15.2,14.983334,15.033334,14.338621,127200
2002-02-28,15.066667,15.066667,14.833333,14.933333,14.243245,22500
2002-03-01,14.933333,14.933333,14.516666,14.633333,13.957106,219000
2002-03-04,14.6,14.733334,14.516666,14.633333,13.957106,129300
2002-03-05,14.633333,14.633333,14.4,14.566667,13.893521,269100
2002-03-06,14.533334,14.663333,14.45,14.533334,13.861726,501000
2002-03-07,14.066667,14.066667,13.6,13.633333,13.003315,13530300
2002-03-08,13.67,13.863334,13.506667,13.833333,13.194073,3135000
2002-03-11,13.833333,14.066667,13.666667,13.996667,13.349857,3147600
2002-03-12,13.833333,13.983334,13.8,13.933333,13.289454,1657800
2002-03-13,13.833333,13.95,13.833333,13.9,13.257659,777900
2002-03-14,14,14.4,13.966666,14.366667,13.702759,2705400
2002-03-15,14.366667,14.816667,14.283334,14.783334,14.100175,1723200
2002-03-18,14.666667,14.77,14.583333,14.75,14.068379,1295700
2002-03-19,14.716666,15.033334,14.666667,15,14.306826,929400
2002-03-20,15,15,14.826667,14.853333,14.166939,565200
2002-03-21,14.816667,14.866667,14.6,14.833333,14.147861,522600
2002-03-22,14.783334,14.843333,14.716666,14.75,14.068379,916500
2002-03-25,14.666667,14.8,14.583333,14.683333,14.004798,437400
2002-03-26,14.666667,15,14.666667,15,14.306826,936900
2002-03-27,15,15.033334,14.983334,15.016666,14.322727,357600
2002-03-28,15.033334,15.35,15.033334,15.333333,14.624759,1013100
2002-04-01,15.333333,15.36,15.206667,15.336667,14.627935,524700
2002-04-02,15.333333,15.333333,14.953333,15,14.306826,2018400
