Stock Quotes for BA,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,41.4375,41.6875,39.8125,40.1875,27.086096,2638200
2000-01-04,40.1875,41.125,39.75,40.125,27.043972,3592100
2000-01-05,41.375,43.3125,41.375,42.625,28.728975,7631700
2000-01-06,42.625,43.4375,41.125,43.0625,29.023825,4922200
2000-01-07,43.6875,44.875,43.6875,44.3125,29.866339,6008300
2000-01-10,44.3125,44.5,43.5,43.6875,29.445066,2403500
2000-01-11,43.6875,43.9375,42.75,42.875,28.897457,2450000
2000-01-12,42.875,44.1875,42.5,43.0625,29.023825,2327800
2000-01-13,43.0625,43.375,42,42.375,28.560461,3035100
2000-01-14,42.9375,44.25,42.9375,44,29.655706,3834900
2000-01-18,44,45,43.125,45,30.329699,5859800
2000-01-19,45.25,48.125,45.25,47.625,32.09893,11463600
2000-01-20,47.625,47.875,45.75,46.5,31.340673,8941100
2000-01-21,46.5,46.9375,45,45.6875,30.793055,4392500
2000-01-24,45.6875,46.1875,43.625,44.3125,29.866339,3306200
2000-01-25,44.75,46,44.75,45.6875,30.793055,5057200
2000-01-26,45.6875,46.5,45,46.1875,31.130075,3090100
2000-01-27,46.1875,46.875,44.875,45.0625,30.371817,3339100
2000-01-28,45.0625,45.625,44.5,44.625,30.07695,2288100
2000-01-31,44.5625,44.5625,43.9375,44.5,29.992693,2411800
2000-02-01,44.1875,44.1875,43.3125,43.75,29.487202,2675800
2000-02-02,43.75,45.1875,43.375,44.625,30.07695,3295500
2000-02-03,44.625,45.0625,43.125,43.4375,29.276564,2889100
2000-02-04,43.4375,44.1875,42.5625,44,29.655706,2927200
2000-02-07,43.875,43.875,41.6875,41.8125,28.181349,3029400
2000-02-08,41.8125,42.0625,40,41,27.633732,5102700
2000-02-09,40.25,40.25,38.375,39,26.375792,5525000
2000-02-10,39,40.1875,38.75,39.75,26.883022,4060600
2000-02-11,39.75,40.375,39.125,39.875,26.967573,3132800
2000-02-14,39.6875,39.6875,38.0625,38.25,25.868557,2606300
2000-02-15,38.25,38.6875,37.375,38.5,26.037649,3961300
2000-02-16,37.9375,37.9375,36.875,37.25,25.192272,3423000
2000-02-17,37.25,37.875,36.5625,37.5,25.361345,3400500
2000-02-18,37.5,37.5,35.875,36,24.346886,5559500
2000-02-22,36,39.9375,35.875,38.875,26.29126,4771400
2000-02-23,38.6875,38.6875,37.0625,37.125,25.107744,3880800
2000-02-24,37,37,35.875,36.5625,24.727308,4210800
2000-02-25,36.8125,38,36.8125,37.8125,25.572697,3170600
2000-02-28,37.625,37.625,36.5625,37,25.023195,3573300
2000-02-29,37,37.625,36.125,36.9375,24.980936,3513100
2000-03-01,36.625,36.625,35.9375,36.3125,24.558228,2838000
2000-03-02,36.3125,37.1875,35.375,35.9375,24.304613,4058200
2000-03-03,35.9375,36.5,35.6875,35.9375,24.304613,3884100
2000-03-06,35.9375,36.1875,35,35.125,23.755131,2882000
2000-03-07,35.125,35.125,34.125,34.75,23.501511,3565000
2000-03-08,34.1875,34.1875,33.375,33.375,22.571602,4134600
2000-03-09,33.375,34.5,33.25,33.75,22.825211,3236800
2000-03-10,33.75,33.9375,32.3125,32.375,21.895296,5114300
2000-03-13,32.375,33.125,32,32.625,22.064371,3422700
2000-03-14,32.625,33.8125,32.4375,33.0625,22.360256,3727900
2000-03-15,33.0625,35.5,32.875,34.875,23.586052,4859300
2000-03-16,34.875,35.9375,34.6875,35.625,24.093277,4725200
2000-03-17,35.625,38.9375,35.375,38,25.699499,15304900
2000-03-20,37.6875,37.6875,36.375,37,25.023195,5786400
2000-03-21,37,37.4375,36.1875,36.5625,24.727308,4165400
2000-03-22,36.5625,37.1875,35.75,36.25,24.515968,3359600
2000-03-23,35.9375,35.9375,34.8125,35.125,23.755131,4080400
2000-03-24,35.5,36.4375,35.5,36,24.346886,5797500
2000-03-27,36.125,37.3125,36.125,37.125,25.107744,2534000
2000-03-28,37.125,38.1875,36.875,38,25.699499,5056400
2000-03-29,38,38.1875,37.3125,37.875,25.614962,2731000
2000-03-30,37.875,38.9375,37.625,38.625,26.122181,3311100
2000-03-31,38.625,38.8125,37.8125,37.8125,25.572697,4640100
2000-04-03,37.75,37.75,37.0625,37.1875,25.150009,3234700
2000-04-04,37.1875,38.25,36.5625,37.3125,25.234537,4004200
2000-04-05,37.25,37.25,36,36.0625,24.389168,2919900
2000-04-06,36.0625,36.4375,35.625,36.125,24.431423,2970400
2000-04-07,36.125,36.3125,35.375,35.6875,24.13554,2381600
2000-04-10,35.625,35.625,35,35.0625,23.712852,2452600
2000-04-11,35.0625,36.375,35,35.6875,24.13554,2251100
2000-04-12,35.875,38.375,35.875,37.625,25.445883,4620200
2000-04-13,37.625,37.625,36.5,37,25.023195,2916700
2000-04-14,36.75,36.75,34.75,35.375,23.924198,3744900
2000-04-17,35.375,35.375,34.0625,35.3125,23.881935,3761600
2000-04-18,35.0625,35.0625,34.3125,34.75,23.501511,3379100
2000-04-19,35.5625,37.75,35.5625,37.25,25.192272,5749000
2000-04-20,37.5,40.25,37.5,40.0625,27.094358,8110700
2000-04-24,40.0625,41.25,37.5,37.875,25.614962,10279700
2000-04-25,38.25,39.5625,38.25,39,26.375792,5399600
2000-04-26,39,40.5625,39,39.9375,27.009836,5338300
2000-04-27,39.9375,40.25,38.9375,39.8125,26.925289,3176700
2000-04-28,39.8125,40.0625,38.9375,39.6875,26.840761,1853600
2000-05-01,39.6875,40.1875,39,39.0625,26.418079,2886100
2000-05-02,39.0625,39.0625,37.8125,37.9375,25.657225,2552200
2000-05-03,37.9375,38.1875,36.8125,37.3125,25.234537,3311300
2000-05-04,37.8125,39.3125,37.8125,38.1875,25.826309,2981100
2000-05-05,38.1875,39.875,37.9375,39.5,26.713953,2794900
2000-05-08,39.5,39.5,38.1875,38.25,25.868557,3146400
2000-05-09,38.25,39.1875,38.125,38.3125,25.910833,2567300
2000-05-10,37.9375,37.9375,36.5625,36.875,25.030134,4880400
2000-05-11,37.0625,38.1875,37.0625,37.3125,25.327087,2947200
2000-05-12,37.3125,37.625,37.0625,37.1875,25.242249,2455200
2000-05-15,37.1875,37.5,36.4375,37.1875,25.242249,2913500
2000-05-16,37.1875,37.875,36.75,37.375,25.369511,3815700
2000-05-17,37.375,37.5,36.5625,37.375,25.369511,2739800
2000-05-18,37.375,37.75,37.125,37.625,25.539211,2050100
2000-05-19,37.375,37.375,36.25,36.9375,25.07255,2193900
2000-05-22,36.9375,37.6875,36.25,36.5625,24.818003,2984100
2000-05-23,36.625,37.9375,36.625,37.125,25.199829,2851600
2000-05-24,37.1875,39,37.1875,38.875,26.387684,4642600
