Stock Quotes for BLK,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,17.4375,17.5,16.625,16.625,12.089055,64600
2000-01-04,16.625,16.625,15.625,15.875,11.543683,81900
2000-01-05,15.75,15.75,15,15.75,11.452786,38100
2000-01-06,15.75,16.25,15.75,16,11.634578,41200
2000-01-07,15.875,16.25,15.75,15.875,11.543683,34700
2000-01-10,16.5,16.5,16,16,11.634578,94200
2000-01-11,16.125,16.875,16,16.4375,11.952716,39700
2000-01-12,16.5,17.125,16.5,17.125,12.452631,25100
2000-01-13,17.25,17.5,16.875,16.9375,12.316294,62000
2000-01-14,17,17.75,16.875,17.5,12.725315,183100
2000-01-18,17.75,18.25,17.75,18,13.088898,77300
2000-01-19,18,18.375,17.9375,18.25,13.270688,34500
2000-01-20,18.25,18.25,17.375,17.5,12.725315,42200
2000-01-21,17.4375,17.5,17.25,17.375,12.634423,16000
2000-01-24,17.5,17.5,17,17.125,12.452631,10700
2000-01-25,17.125,17.5,17.0625,17.25,12.543531,19200
2000-01-26,17.25,17.5,17.25,17.4375,12.679867,16600
2000-01-27,17.4375,18,17.4375,17.5,12.725315,33600
2000-01-28,17.625,17.625,17.3125,17.375,12.634423,3900
2000-01-31,17.125,17.5,17.125,17.5,12.725315,53900
2000-02-01,17.375,17.75,17.375,17.75,12.907109,15400
2000-02-02,18,18.125,17.875,17.9375,13.043455,92700
2000-02-03,18.0625,18.125,17.9375,18,13.088898,35200
2000-02-04,18.125,18.5625,18.125,18.4375,13.407032,51500
2000-02-07,18.4375,18.5625,18.375,18.5,13.452486,25200
2000-02-08,18.5,18.875,18.5,18.5625,13.497929,45300
2000-02-09,18.75,18.75,18.375,18.375,13.36158,9100
2000-02-10,18.5,18.5,17.875,17.875,12.997999,9700
2000-02-11,17.875,18,17.875,17.9375,13.043455,24700
2000-02-14,18.0625,18.0625,17.875,18,13.088898,7100
2000-02-15,17.875,18,17.875,17.875,12.997999,4900
2000-02-16,17.875,18.5,17.875,18.5,13.452486,69000
2000-02-17,18.5,18.6875,18.3125,18.375,13.36158,28100
2000-02-18,18.375,18.5625,18.375,18.5,13.452486,5000
2000-02-22,18.625,18.8125,18.5625,18.5625,13.497929,10700
2000-02-23,18.5625,18.9375,18.5625,18.8125,13.679718,5700
2000-02-24,18.875,19.125,18.875,19,13.816061,61800
