Stock Quotes for CCL,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,46,47.125,45.25,46.875,30.745625,1532600
2000-01-04,47.5,47.5625,46.1875,46.3125,30.376678,1061600
2000-01-05,46.3125,48.5625,46.3125,47.875,31.401537,1674400
2000-01-06,47.8125,49.3125,47.125,48.5625,31.852455,1437300
2000-01-07,47,48.5625,47,48,31.483524,1813900
2000-01-10,48.5,50.8125,48.4375,50.125,32.877312,1888900
2000-01-11,50.0625,50.5625,49.5625,50.5,33.12328,1161700
2000-01-12,50.375,50.4375,48.0625,48.1875,31.606508,1642100
2000-01-13,48.1875,50.4375,48,50,32.795315,1667000
2000-01-14,49.75,51.25,49.5,50.5625,33.164284,1841200
2000-01-18,49.5,50.25,49.375,50,32.795315,1199900
2000-01-19,50,51.125,49.875,50.25,32.959297,1419200
2000-01-20,50.5625,50.875,49.1875,49.1875,32.262413,628600
2000-01-21,50.625,50.625,46,46.625,30.58164,1776500
2000-01-24,46,46,42.75,43.125,28.28599,4527700
2000-01-25,43.25,44.0625,41.875,42.25,27.712053,3590500
2000-01-26,42.375,45.25,41.875,43.9375,28.818892,3154800
2000-01-27,42.5,43.75,42.3125,42.75,28.04001,2367700
2000-01-28,42.5,44.5,42,44.5,29.187845,3433600
2000-01-31,44.5,45.5,43.75,45.0625,29.556791,2468500
2000-02-01,45.0625,45.4375,44.25,45.0625,29.556791,1648400
2000-02-02,46,46,44.75,45,29.515787,1648300
2000-02-03,44.875,47.625,44.625,47.25,30.99159,1303700
2000-02-04,48.25,48.3125,46.125,46.625,30.58164,1572600
2000-02-07,46.625,46.6875,42.75,43.0625,28.244974,1274900
2000-02-08,44.25,44.25,40.5,42.75,28.04001,3870000
2000-02-09,42.5625,43.3125,42.375,42.9375,28.162983,1551500
2000-02-10,42.875,42.875,41.75,42.0625,27.589077,900700
2000-02-11,43,43,39.625,40.375,26.482231,1116800
2000-02-14,40.5,40.625,34.375,35.5,23.284683,5839900
2000-02-15,35.5,36,33.9375,34,22.300833,6539600
