Stock Quotes for CHD,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,4.510417,4.53125,4.208333,4.333333,2.097085,719200
2000-01-04,4.333333,4.364583,4.197917,4.229167,2.046673,816400
2000-01-05,4.25,4.291667,4.197917,4.229167,2.046673,766800
2000-01-06,4.229167,4.395833,4.208333,4.375,2.117248,970000
2000-01-07,4.375,4.541667,4.375,4.541667,2.197905,470400
2000-01-10,4.5625,4.572917,4.427083,4.479167,2.167659,306400
2000-01-11,4.5,4.53125,4.40625,4.4375,2.147495,599200
2000-01-12,4.447917,4.479167,4.322917,4.354167,2.107166,415200
2000-01-13,4.4375,4.5625,4.354167,4.552083,2.202946,534400
2000-01-14,4.541667,4.625,4.5,4.510417,2.182782,562000
2000-01-18,4.489583,4.489583,4.208333,4.364583,2.112207,524800
2000-01-19,4.34375,4.354167,4.25,4.3125,2.087001,286800
2000-01-20,4.333333,4.354167,4.239583,4.291667,2.07692,280000
2000-01-21,4.302083,4.302083,4.125,4.135417,2.001303,543600
2000-01-24,4.135417,4.177083,3.989583,4.052083,1.960975,635200
2000-01-25,4.041667,4.083333,3.625,3.8125,1.845031,1395600
2000-01-26,3.854167,3.895833,3.833333,3.885417,1.880318,417600
2000-01-27,3.958333,3.989583,3.8125,3.822917,1.850072,584800
2000-01-28,3.854167,3.895833,3.6875,3.697917,1.789579,596400
2000-01-31,3.708333,3.770833,3.614583,3.677083,1.779497,627600
2000-02-01,3.697917,3.697917,3.427083,3.427083,1.658511,1187200
2000-02-02,3.458333,3.635417,3.458333,3.541667,1.713963,752800
2000-02-03,3.583333,3.635417,3.40625,3.447917,1.668593,730000
2000-02-04,3.46875,3.479167,3.302083,3.375,1.633306,650400
2000-02-07,3.333333,3.354167,3.229167,3.229167,1.562731,1246000
2000-02-08,3.166667,3.28125,2.833333,3.041667,1.504631,2329600
2000-02-09,3,3,2.541667,2.739583,1.355199,5316000
2000-02-10,2.75,2.875,2.625,2.729167,1.350047,3192400
2000-02-11,2.729167,2.791667,2.604167,2.65625,1.313976,1444000
2000-02-14,2.71875,2.802083,2.697917,2.802083,1.386116,1560000
2000-02-15,2.84375,3.083333,2.84375,3.083333,1.525243,1463200
2000-02-16,3.0625,3.28125,2.895833,3.03125,1.499479,1447200
2000-02-17,3.03125,3.052083,2.916667,3.010417,1.489173,604800
2000-02-18,2.979167,3.052083,2.833333,2.84375,1.406727,848800
2000-02-22,2.822917,2.927083,2.78125,2.864583,1.417033,640800
2000-02-23,2.9375,2.9375,2.875,2.885417,1.427339,835600
2000-02-24,2.875,2.916667,2.802083,2.8125,1.391269,739200
2000-02-25,2.802083,2.833333,2.760417,2.770833,1.370658,520000
2000-02-28,2.791667,2.895833,2.71875,2.864583,1.417033,1020400
2000-02-29,2.854167,2.9375,2.84375,2.84375,1.406727,1450000
2000-03-01,2.84375,2.916667,2.8125,2.84375,1.406727,676800
2000-03-02,2.84375,2.885417,2.802083,2.822917,1.396421,626800
2000-03-03,2.8125,2.9375,2.8125,2.9375,1.453104,1965600
2000-03-06,2.979167,3.020833,2.927083,2.979167,1.473715,1045200
2000-03-07,2.958333,2.96875,2.833333,2.854167,1.41188,1048000
2000-03-08,2.854167,2.9375,2.802083,2.802083,1.386116,1009600
2000-03-09,2.822917,2.90625,2.8125,2.822917,1.396421,849600
2000-03-10,2.739583,2.770833,2.489583,2.489583,1.231531,1910400
2000-03-13,2.5,2.583333,2.447917,2.5,1.236684,1639200
2000-03-14,2.5,2.5625,2.458333,2.46875,1.221225,1620400
2000-03-15,2.489583,2.572917,2.447917,2.53125,1.252142,1756800
2000-03-16,2.552083,2.75,2.541667,2.625,1.298517,2422000
2000-03-17,2.5625,2.6875,2.541667,2.552083,1.262448,1550800
2000-03-20,2.541667,2.677083,2.458333,2.666667,1.319129,2748000
2000-03-21,2.645833,2.65625,2.5625,2.65625,1.313976,847200
2000-03-22,2.645833,2.666667,2.604167,2.635417,1.303671,385600
2000-03-23,2.625,2.770833,2.614583,2.6875,1.329435,746400
2000-03-24,2.697917,2.71875,2.552083,2.5625,1.267601,950800
2000-03-27,2.583333,2.604167,2.541667,2.541667,1.257295,505200
2000-03-28,2.5625,2.5625,2.5,2.5,1.236684,1497600
2000-03-29,2.520833,2.5625,2.5,2.510417,1.241836,610800
2000-03-30,2.53125,2.8125,2.53125,2.739583,1.355199,1255200
2000-03-31,2.75,2.916667,2.71875,2.864583,1.417033,1840800
2000-04-03,2.864583,2.979167,2.760417,2.979167,1.473715,737200
2000-04-04,2.979167,2.989583,2.739583,2.84375,1.406727,656400
2000-04-05,2.8125,2.895833,2.78125,2.84375,1.406727,464400
2000-04-06,2.833333,2.864583,2.770833,2.78125,1.37581,328800
2000-04-07,2.770833,2.78125,2.729167,2.75,1.360351,596800
2000-04-10,2.770833,2.875,2.770833,2.833333,1.401575,512800
2000-04-11,2.875,2.875,2.78125,2.802083,1.386116,349200
2000-04-12,2.822917,2.895833,2.75,2.770833,1.370658,1314400
2000-04-13,2.791667,2.875,2.770833,2.854167,1.41188,646800
2000-04-14,2.84375,2.84375,2.677083,2.729167,1.350047,1209600
2000-04-17,2.760417,2.854167,2.729167,2.791667,1.380963,1284000
2000-04-18,2.78125,2.78125,2.708333,2.770833,1.370658,506800
2000-04-19,2.760417,2.760417,2.666667,2.729167,1.350047,764800
2000-04-20,2.729167,2.833333,2.708333,2.791667,1.380963,456000
2000-04-24,2.770833,2.84375,2.75,2.8125,1.391269,514000
2000-04-25,2.802083,2.802083,2.6875,2.6875,1.329435,691600
2000-04-26,2.6875,2.791667,2.666667,2.78125,1.37581,476800
2000-04-27,2.71875,2.802083,2.677083,2.802083,1.386116,439600
2000-04-28,2.84375,3.0625,2.84375,2.979167,1.473715,1341600
2000-05-01,2.989583,3.177083,2.979167,3.145833,1.556159,1021200
2000-05-02,3.104167,3.177083,3.0625,3.166667,1.566465,473200
2000-05-03,3.166667,3.166667,3.09375,3.135417,1.551007,283600
2000-05-04,3.145833,3.25,3.145833,3.197917,1.581924,522000
2000-05-05,3.1875,3.28125,3.177083,3.270833,1.617994,424800
2000-05-08,3.270833,3.270833,3.15625,3.197917,1.581924,514800
2000-05-09,3.229167,3.229167,3.104167,3.177083,1.571618,744400
2000-05-10,3.166667,3.166667,3.0625,3.15625,1.596514,485200
2000-05-11,3.177083,3.197917,3.135417,3.197917,1.61759,437200
2000-05-12,3.208333,3.208333,3.020833,3.03125,1.533286,556000
2000-05-15,3.03125,3.09375,2.96875,3.09375,1.564899,672400
2000-05-16,3.125,3.145833,3.010417,3.072917,1.554361,451200
2000-05-17,3.072917,3.083333,3.020833,3.041667,1.538554,214800
2000-05-18,3.03125,3.0625,3.010417,3.041667,1.538554,247200
2000-05-19,3.020833,3.03125,2.927083,2.979167,1.50694,337200
2000-05-22,2.958333,2.989583,2.916667,2.96875,1.501671,264000
2000-05-23,2.96875,3,2.927083,2.9375,1.485864,226000
2000-05-24,2.947917,3.072917,2.9375,3.03125,1.533286,318000
2000-05-25,3.03125,3.09375,2.916667,2.916667,1.475326,454000
2000-05-26,2.927083,2.979167,2.90625,2.947917,1.491133,186000
2000-05-30,2.927083,3.020833,2.927083,2.989583,1.512208,202800
2000-05-31,2.989583,3.03125,2.9375,3.03125,1.533286,482400
2000-06-01,3.020833,3.25,3.020833,3.166667,1.601783,676000
2000-06-02,3.1875,3.25,3.125,3.15625,1.596514,287200
2000-06-05,3.083333,3.125,3.052083,3.083333,1.55963,236800
2000-06-06,3.0625,3.166667,3.0625,3.072917,1.554361,260400
2000-06-07,3.09375,3.15625,3.041667,3.0625,1.549092,265200
2000-06-08,3.072917,3.104167,3.010417,3.072917,1.554361,402400
2000-06-09,3.072917,3.104167,3.052083,3.09375,1.564899,444400
2000-06-12,3.114583,3.166667,3.0625,3.166667,1.601783,436800
2000-06-13,3.166667,3.239583,3.125,3.239583,1.638665,476800
2000-06-14,3.239583,3.239583,3.166667,3.197917,1.61759,222000
2000-06-15,3.208333,3.416667,3.1875,3.395833,1.717701,854400
2000-06-16,3.416667,3.479167,3.239583,3.239583,1.638665,1225200
2000-06-19,3.197917,3.260417,3.166667,3.260417,1.649204,324400
2000-06-20,3.302083,3.302083,3.229167,3.28125,1.659741,468400
2000-06-21,3.291667,3.3125,3.260417,3.270833,1.654472,276400
2000-06-22,3.270833,3.270833,3.135417,3.145833,1.591244,512800
2000-06-23,3.114583,3.15625,3.041667,3.09375,1.564899,820000
2000-06-26,3.09375,3.229167,3.072917,3.229167,1.633397,340800
2000-06-27,3.229167,3.270833,3.135417,3.166667,1.601783,454000
2000-06-28,3.166667,3.25,3.052083,3.239583,1.638665,1072000
2000-06-29,3.21875,3.21875,3.166667,3.177083,1.607051,305200
2000-06-30,3.1875,3.1875,3,3,1.517478,866800
2000-07-03,2.958333,3.166667,2.958333,3.145833,1.591244,739600
2000-07-05,3.145833,3.15625,3.072917,3.072917,1.554361,467200
2000-07-06,3.083333,3.104167,3.052083,3.052083,1.543823,694000
2000-07-07,3.052083,3.135417,3.041667,3.072917,1.554361,1292400
2000-07-10,3.083333,3.197917,3.083333,3.166667,1.601783,394000
2000-07-11,3.166667,3.270833,3.125,3.145833,1.591244,504000
2000-07-12,3.145833,3.229167,3.145833,3.145833,1.591244,242800
2000-07-13,3.125,3.135417,3,3.010417,1.522747,360400
2000-07-14,3.020833,3.135417,3.020833,3.041667,1.538554,384400
2000-07-17,3.052083,3.072917,3.020833,3.052083,1.543823,200400
2000-07-18,3.020833,3.145833,3.020833,3.052083,1.543823,468400
2000-07-19,3.041667,3.15625,3.041667,3.083333,1.55963,438400
2000-07-20,3.125,3.125,3.041667,3.072917,1.554361,198000
2000-07-21,3.0625,3.104167,2.989583,3.010417,1.522747,475600
2000-07-24,3.010417,3.020833,2.947917,2.947917,1.491133,296800
2000-07-25,2.96875,3.145833,2.947917,3.104167,1.570169,412000
2000-07-26,3.09375,3.15625,3.041667,3.15625,1.596514,326800
2000-07-27,3.125,3.135417,3.03125,3.03125,1.533286,238000
2000-07-28,3.041667,3.083333,3.010417,3.03125,1.533286,162400
2000-07-31,3.03125,3.072917,2.9375,2.958333,1.496402,358000
2000-08-01,2.947917,3.020833,2.927083,3.010417,1.522747,159600
2000-08-02,3,3,2.927083,2.9375,1.485864,389200
2000-08-03,2.9375,3.25,2.9375,3.135417,1.585976,952800
2000-08-04,3.145833,3.21875,3.145833,3.1875,1.612321,679600
2000-08-07,3.208333,3.229167,2.96875,2.979167,1.50694,1000800
2000-08-08,2.979167,3,2.927083,2.927083,1.480595,274000
2000-08-09,2.916667,2.947917,2.885417,2.927083,1.516896,577200
2000-08-10,3,3.104167,3,3.052083,1.581675,626400
2000-08-11,3.052083,3.15625,3.052083,3.135417,1.624861,418000
2000-08-14,3.135417,3.197917,3.135417,3.145833,1.630259,230400
2000-08-15,3.145833,3.166667,3.104167,3.104167,1.608667,328000
2000-08-16,3.125,3.125,3,3.010417,1.560083,230800
2000-08-17,3.020833,3.020833,3,3.010417,1.560083,137200
2000-08-18,3.010417,3.020833,2.979167,2.989583,1.549286,360400
2000-08-21,2.989583,3.020833,2.96875,2.989583,1.549286,140800
2000-08-22,3,3.03125,2.96875,2.979167,1.543889,312400
2000-08-23,2.989583,3,2.989583,2.989583,1.549286,167200
2000-08-24,2.96875,3,2.96875,3,1.554684,236400
2000-08-25,3,3,2.96875,2.989583,1.549286,188800
2000-08-28,2.989583,3.020833,2.958333,2.958333,1.533092,681600
2000-08-29,2.9375,2.989583,2.9375,2.989583,1.549286,235200
2000-08-30,2.958333,3.010417,2.958333,3,1.554684,447600
2000-08-31,2.979167,3.010417,2.979167,2.989583,1.549286,116800
2000-09-01,3,3.03125,2.958333,3.03125,1.57088,314400
2000-09-05,3.052083,3.052083,2.96875,2.989583,1.549286,290400
2000-09-06,3,3.114583,2.989583,3.09375,1.603268,251200
2000-09-07,3.104167,3.1302,3.041667,3.072917,1.592471,362400
2000-09-08,3.0625,3.083333,2.979167,3.010417,1.560083,266800
2000-09-11,3.010417,3.020833,2.989583,2.989583,1.549286,243600
2000-09-12,2.96875,2.97395,2.90625,2.90625,1.5061,554400
2000-09-13,2.9375,2.958333,2.854167,2.864583,1.484508,533200
2000-09-14,2.864583,2.927083,2.625,2.677083,1.38734,1223200
2000-09-15,2.614583,2.697917,2.614583,2.635417,1.365747,955600
2000-09-18,2.65625,2.677083,2.604167,2.666667,1.381942,776400
2000-09-19,2.677083,2.739583,2.666667,2.739583,1.419729,484000
2000-09-20,2.75,2.791667,2.71875,2.78125,1.441322,478800
2000-09-21,2.760417,2.875,2.760417,2.84375,1.473711,384000
2000-09-22,2.833333,2.895833,2.822917,2.885417,1.495304,402000
2000-09-25,2.895833,2.895833,2.791667,2.8125,1.457516,382800
2000-09-26,2.8125,2.854167,2.802083,2.854167,1.479109,813600
2000-09-27,2.84375,2.927083,2.84375,2.927083,1.516896,282400
2000-09-28,2.927083,3,2.927083,2.947917,1.527694,920800
2000-09-29,2.927083,3.072917,2.916667,3.0625,1.587073,1108800
2000-10-02,3.052083,3.0625,2.854167,2.875,1.489907,907200
2000-10-03,2.854167,2.947917,2.854167,2.875,1.489907,459600
2000-10-04,2.90625,2.927083,2.833333,2.854167,1.479109,324000
2000-10-05,2.885417,3,2.875,2.979167,1.543889,724800
2000-10-06,2.979167,3.0625,2.979167,3.010417,1.560083,355200
2000-10-09,3.03125,3.03125,2.916667,2.927083,1.516896,298000
2000-10-10,2.927083,2.927083,2.885417,2.90625,1.5061,86400
2000-10-11,2.864583,3.083333,2.864583,3.041667,1.576277,628000
2000-10-12,3.03125,3.041667,2.947917,3,1.554684,456400
2000-10-13,2.979167,3.072917,2.979167,3.072917,1.592471,350400
2000-10-16,3.0625,3.104167,3.03125,3.104167,1.608667,283200
2000-10-17,3.083333,3.125,3.052083,3.083333,1.59787,658000
2000-10-18,3.052083,3.072917,3.010417,3.03125,1.57088,299200
2000-10-19,3.041667,3.083333,2.989583,3.083333,1.59787,284400
2000-10-20,3.052083,3.052083,2.989583,3,1.554684,312400
2000-10-23,3,3,2.96875,2.989583,1.549286,193600
2000-10-24,2.979167,3.057283,2.958333,3.041667,1.576277,637600
2000-10-25,3.03125,3.041667,2.989583,3.010417,1.560083,367600
2000-10-26,3,3.041667,2.989583,3.041667,1.576277,230400
2000-10-27,3.020833,3.229167,3.010417,3.21875,1.668047,750400
2000-10-30,3.1875,3.322917,3.1875,3.3125,1.716631,850800
2000-10-31,3.3125,3.322917,3.21875,3.291667,1.705835,818400
2000-11-01,3.291667,3.385417,3.291667,3.3125,1.716631,712000
2000-11-02,3.3125,3.375,3.270833,3.333333,1.727427,734800
2000-11-03,3.364583,3.395833,3.3125,3.354167,1.738224,492000
2000-11-06,3.375,3.385417,3.34375,3.354167,1.738224,139600
2000-11-07,3.322917,3.385417,3.322917,3.375,1.74902,349600
2000-11-08,3.364583,3.427083,3.364583,3.385417,1.791604,290800
2000-11-09,3.395833,3.427083,3.333333,3.427083,1.813655,692400
2000-11-10,3.427083,3.541667,3.427083,3.541667,1.874293,574800
2000-11-13,3.5,3.5,3.416667,3.489583,1.84673,388800
2000-11-14,3.489583,3.625,3.489583,3.552083,1.879806,802800
2000-11-15,3.572917,3.739583,3.552083,3.666667,1.940445,626400
2000-11-16,3.666667,3.666667,3.53125,3.604167,1.907369,338800
2000-11-17,3.645833,3.697917,3.59375,3.645833,1.92942,202800
2000-11-20,3.666667,3.666667,3.59375,3.614583,1.912882,117600
2000-11-21,3.645833,3.65625,3.583333,3.65625,1.934932,207600
2000-11-22,3.65625,3.65625,3.541667,3.604167,1.907369,250800
2000-11-24,3.604167,3.604167,3.5625,3.5625,1.885319,64000
2000-11-27,3.53125,3.65625,3.53125,3.552083,1.879806,263200
2000-11-28,3.53125,3.604167,3.4375,3.46875,1.835705,379600
2000-11-29,3.489583,3.520833,3.458333,3.510417,1.857756,530400
2000-11-30,3.479167,3.572917,3.479167,3.53125,1.86878,287200
2000-12-01,3.510417,3.645833,3.510417,3.614583,1.912882,432400
2000-12-04,3.614583,3.625,3.552083,3.614583,1.912882,309600
2000-12-05,3.614583,3.625,3.5,3.552083,1.879806,408400
2000-12-06,3.552083,3.625,3.541667,3.583333,1.896343,830800
2000-12-07,3.583333,3.666667,3.583333,3.65625,1.934932,237600
2000-12-08,3.666667,3.927083,3.666667,3.895833,2.061722,1012000
2000-12-11,3.895833,3.90625,3.864583,3.885417,2.05621,888400
2000-12-12,3.84375,3.895833,3.78125,3.78125,2.001084,422400
2000-12-13,3.760417,3.833333,3.666667,3.697917,1.956983,722400
2000-12-14,3.697917,3.791667,3.65625,3.65625,1.934932,330000
2000-12-15,3.59375,3.635417,3.416667,3.520833,1.863267,850800
2000-12-18,3.5625,3.5625,3.458333,3.552083,1.879806,487200
2000-12-19,3.552083,3.645833,3.552083,3.5625,1.885319,338800
2000-12-20,3.53125,3.65625,3.510417,3.59375,1.901856,370800
2000-12-21,3.572917,3.729167,3.572917,3.625,1.918394,427600
2000-12-22,3.625,3.729167,3.604167,3.729167,1.97352,297600
2000-12-26,3.708333,3.739583,3.604167,3.6875,1.95147,338400
2000-12-27,3.708333,3.927083,3.708333,3.895833,2.061722,1032400
2000-12-28,3.895833,3.90625,3.802083,3.864583,2.045184,637200
2000-12-29,3.885417,3.90625,3.708333,3.708333,1.962495,534400
2001-01-02,3.708333,3.71875,3.583333,3.604167,1.907369,805600
2001-01-03,3.645833,3.645833,3.458333,3.489583,1.84673,1028800
