Stock Quotes for CHK,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.187796,2.246925,2.128666,2.128666,1.800079,390700
2000-01-04,2.069536,2.128666,1.951277,1.951277,1.650074,760400
2000-01-05,2.010407,2.069536,1.833018,1.951277,1.650074,853100
2000-01-06,1.833018,2.010407,1.833018,2.010407,1.700076,470200
2000-01-07,1.951277,2.010407,1.951277,1.951277,1.650074,219200
2000-01-10,1.951277,2.010407,1.951277,2.010407,1.700076,176200
2000-01-11,2.010407,2.010407,1.892148,1.951277,1.650074,202700
2000-01-12,1.951277,2.010407,1.892148,1.951277,1.650074,155600
2000-01-13,1.951277,2.010407,1.892148,2.010407,1.700076,216800
2000-01-14,2.069536,2.128666,2.010407,2.069536,1.750078,166900
2000-01-18,2.069536,2.365185,2.069536,2.306055,1.950087,417700
2000-01-19,2.306055,2.483444,2.306055,2.483444,2.100094,500400
2000-01-20,2.483444,2.542573,2.424314,2.483444,2.100094,542500
2000-01-21,2.483444,2.483444,2.365185,2.483444,2.100094,529000
2000-01-24,2.483444,2.483444,2.306055,2.365185,2.000089,359600
2000-01-25,2.365185,2.483444,2.365185,2.365185,2.000089,278600
2000-01-26,2.424314,2.424314,2.306055,2.365185,2.000089,217700
2000-01-27,2.306055,2.424314,2.306055,2.365185,2.000089,312500
2000-01-28,2.365185,2.365185,2.246925,2.306055,1.950087,101300
2000-01-31,2.246925,2.365185,2.246925,2.365185,2.000089,385100
2000-02-01,2.306055,2.483444,2.306055,2.483444,2.100094,396600
2000-02-02,2.483444,2.542573,2.424314,2.542573,2.150096,310500
2000-02-03,2.601703,2.719962,2.542573,2.719962,2.300102,444300
2000-02-04,2.719962,2.719962,2.483444,2.542573,2.150096,658500
2000-02-07,2.542573,2.601703,2.424314,2.483444,2.100094,358000
2000-02-08,2.542573,2.660833,2.424314,2.601703,2.200098,431600
2000-02-09,2.601703,2.719962,2.542573,2.660833,2.2501,276700
2000-02-10,2.719962,2.719962,2.601703,2.601703,2.200098,171000
2000-02-11,2.601703,2.660833,2.542573,2.601703,2.200098,134400
2000-02-14,2.601703,2.601703,2.483444,2.483444,2.100094,85000
2000-02-15,2.542573,2.601703,2.542573,2.601703,2.200098,124400
2000-02-16,2.601703,2.660833,2.483444,2.601703,2.200098,314500
2000-02-17,2.601703,2.838221,2.601703,2.779092,2.350105,864500
2000-02-18,2.719962,2.779092,2.660833,2.719962,2.300102,154900
2000-02-22,2.779092,2.779092,2.542573,2.601703,2.200098,462300
2000-02-23,2.601703,2.660833,2.542573,2.542573,2.150096,229800
2000-02-24,2.660833,3.01561,2.601703,2.956481,2.500112,1528400
2000-02-25,3.01561,3.133869,2.897351,2.897351,2.450109,922300
2000-02-28,2.897351,2.897351,2.719962,2.719962,2.300102,363000
2000-02-29,2.719962,2.779092,2.601703,2.779092,2.350105,495700
2000-03-01,2.660833,2.779092,2.660833,2.719962,2.300102,451800
2000-03-02,2.719962,2.838221,2.719962,2.779092,2.350105,452900
2000-03-03,2.779092,2.779092,2.601703,2.660833,2.2501,339200
2000-03-06,2.660833,2.719962,2.601703,2.660833,2.2501,375300
2000-03-07,2.660833,2.838221,2.660833,2.779092,2.350105,1156200
2000-03-08,2.838221,2.897351,2.719962,2.779092,2.350105,666100
2000-03-09,2.719962,2.719962,2.601703,2.601703,2.200098,252900
2000-03-10,2.601703,2.719962,2.601703,2.660833,2.2501,429400
2000-03-13,2.601703,2.779092,2.601703,2.719962,2.300102,415700
2000-03-14,2.719962,2.838221,2.542573,2.601703,2.200098,435900
2000-03-15,2.601703,2.660833,2.365185,2.601703,2.200098,399500
2000-03-16,2.601703,2.660833,2.483444,2.660833,2.2501,343300
2000-03-17,2.601703,2.660833,2.483444,2.542573,2.150096,173000
2000-03-20,2.542573,2.601703,2.483444,2.483444,2.100094,220400
2000-03-21,2.365185,2.483444,2.365185,2.424314,2.050091,344300
2000-03-22,2.424314,2.601703,2.424314,2.601703,2.200098,454000
2000-03-23,2.601703,2.601703,2.483444,2.542573,2.150096,365900
2000-03-24,2.542573,2.542573,2.424314,2.483444,2.100094,284800
2000-03-27,2.483444,2.601703,2.483444,2.542573,2.150096,197500
2000-03-28,2.601703,2.660833,2.542573,2.601703,2.200098,844700
2000-03-29,2.601703,2.660833,2.542573,2.601703,2.200098,651100
2000-03-30,2.601703,2.838221,2.601703,2.719962,2.300102,613900
2000-03-31,2.719962,3.07474,2.719962,3.07474,2.600116,1912400
2000-04-03,3.07474,3.311258,3.07474,3.07474,2.600116,1079000
2000-04-04,3.133869,3.133869,2.601703,2.779092,2.350105,954500
2000-04-05,2.779092,2.956481,2.719962,2.956481,2.500112,338800
2000-04-06,3.01561,3.07474,2.719962,2.838221,2.400106,317900
2000-04-07,2.838221,2.956481,2.838221,2.897351,2.450109,397600
2000-04-10,2.897351,2.897351,2.779092,2.779092,2.350105,204700
2000-04-11,2.779092,2.838221,2.719962,2.838221,2.400106,418100
2000-04-12,2.838221,2.897351,2.779092,2.897351,2.450109,497700
2000-04-13,2.897351,3.07474,2.779092,3.01561,2.550112,1017000
2000-04-14,2.956481,3.01561,2.719962,2.719962,2.300102,775800
2000-04-17,2.601703,2.956481,2.601703,2.956481,2.500112,868800
2000-04-18,2.956481,3.01561,2.897351,3.01561,2.550112,327500
2000-04-19,2.956481,3.252129,2.956481,3.252129,2.750122,853600
2000-04-20,3.252129,3.252129,3.07474,3.192999,2.70012,398300
2000-04-24,3.133869,3.311258,3.07474,3.252129,2.750122,560300
2000-04-25,3.252129,3.370388,3.192999,3.311258,2.800124,1960100
2000-04-26,3.311258,3.429518,3.252129,3.370388,2.850127,496200
2000-04-27,3.311258,3.784295,3.252129,3.784295,3.200142,1514100
2000-04-28,3.784295,3.784295,3.488647,3.547777,3.000133,1121800
2000-05-01,3.606906,3.843425,3.606906,3.666036,3.100138,2199000
2000-05-02,3.666036,3.784295,3.606906,3.666036,3.100138,1053000
2000-05-03,3.725166,4.079943,3.725166,3.902555,3.300147,3227500
2000-05-04,3.961684,4.020813,3.725166,3.784295,3.200142,2502500
2000-05-05,3.784295,3.784295,3.666036,3.725166,3.15014,805300
2000-05-08,3.784295,4.079943,3.784295,4.020813,3.400152,1357000
2000-05-09,4.079943,4.198203,3.902555,4.079943,3.450153,1301400
2000-05-10,4.139073,4.139073,3.784295,3.961684,3.350149,2391300
2000-05-11,3.961684,4.020813,3.902555,4.020813,3.400152,1080600
2000-05-12,4.020813,4.020813,3.902555,4.020813,3.400152,806700
2000-05-15,4.020813,4.139073,3.961684,4.020813,3.400152,1543300
2000-05-16,4.020813,4.020813,3.843425,4.020813,3.400152,1517000
2000-05-17,3.961684,4.848628,3.961684,4.848628,4.100182,6232000
2000-05-18,4.789499,5.085146,4.671239,4.848628,4.100182,3144200
2000-05-19,4.789499,4.966887,4.61211,4.907758,4.150183,1258000
2000-05-22,4.907758,5.085146,4.789499,4.848628,4.100182,1296700
2000-05-23,4.848628,4.966887,4.730369,4.789499,4.05018,1185600
2000-05-24,4.789499,4.907758,4.55298,4.848628,4.100182,1576600
2000-05-25,4.848628,5.262536,4.848628,5.203406,4.400197,2344500
2000-05-26,5.203406,5.380795,5.144276,5.203406,4.400197,1305100
2000-05-30,5.203406,5.262536,5.026017,5.203406,4.400197,1780900
2000-05-31,5.262536,5.617313,5.262536,5.439924,4.600204,4448800
2000-06-01,5.499054,5.558184,5.262536,5.439924,4.600204,1907800
2000-06-02,5.380795,5.380795,5.085146,5.262536,4.450199,1728300
2000-06-05,5.144276,5.380795,5.085146,5.321665,4.5002,1213900
2000-06-06,5.262536,5.380795,5.203406,5.203406,4.400197,708700
2000-06-07,5.262536,5.262536,5.144276,5.203406,4.400197,735200
2000-06-08,5.203406,5.203406,4.907758,5.026017,4.25019,1098800
2000-06-09,4.966887,5.144276,4.966887,5.026017,4.25019,866000
2000-06-12,5.026017,5.203406,5.026017,5.203406,4.400197,1785900
2000-06-13,5.203406,5.380795,5.203406,5.380795,4.550202,1433100
2000-06-14,5.380795,5.794702,5.321665,5.735572,4.850214,2450900
2000-06-15,5.676443,5.735572,5.439924,5.558184,4.700211,973200
2000-06-16,5.617313,5.794702,5.558184,5.735572,4.850214,1205500
2000-06-19,5.853832,5.853832,5.617313,5.735572,4.850214,1887200
2000-06-20,5.676443,5.676443,5.439924,5.558184,4.700211,962300
2000-06-21,5.499054,5.794702,5.380795,5.735572,4.850214,1236100
2000-06-22,5.794702,6.14948,5.676443,6.14948,5.200233,1667300
2000-06-23,6.208609,6.445127,6.14948,6.326869,5.350238,2565100
2000-06-26,6.326869,6.563387,5.558184,5.558184,4.700211,1410200
2000-06-27,6.14948,6.326869,6.14948,6.326869,5.350238,1139200
2000-06-28,6.267739,6.385998,6.208609,6.385998,5.40024,995700
2000-06-29,6.385998,6.622517,6.326869,6.622517,5.600248,847900
2000-06-30,6.622517,7.56859,6.563387,7.346831,6.212757,3581800
2000-07-03,7.450331,7.805109,7.213813,7.68685,6.500289,1999200
2000-07-05,7.68685,7.745979,6.799905,6.977294,5.900262,2656800
2000-07-06,6.918165,7.095553,6.385998,6.859035,5.800257,2306600
2000-07-07,6.918165,7.095553,6.681646,6.799905,5.750254,1348500
2000-07-10,6.740776,6.859035,6.504257,6.504257,5.500244,1473100
2000-07-11,6.504257,6.977294,6.504257,6.977294,5.900262,1862800
2000-07-12,7.036424,7.095553,6.563387,6.681646,5.65025,1213500
2000-07-13,6.681646,6.681646,6.504257,6.681646,5.65025,877500
