Stock Quotes for CI,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,26.770834,26.833334,25.9375,26.145834,20.127382,2089500
2000-01-04,25.291666,26.125,24.958334,26.041666,20.047182,2073000
2000-01-05,25.979166,26.541666,25.9375,25.9375,19.966991,1556700
2000-01-06,25.9375,27.916666,25.9375,27.1875,20.929258,2016900
2000-01-07,28,28.458334,27.645834,28.375,21.84341,1743300
2000-01-10,28.3125,28.541666,28.125,28.208334,21.715107,2408400
2000-01-11,28,28,27.4375,27.479166,21.15378,1678500
2000-01-12,27.375,27.520834,27.291666,27.520834,21.185863,1857900
2000-01-13,27.333334,28.291666,27.25,28.041666,21.586809,1845300
2000-01-14,27.541666,27.8125,26.708334,26.875,20.688696,1855800
2000-01-18,26.25,26.75,26,26.333334,20.271709,1778400
2000-01-19,26.416666,26.75,25.604166,25.8125,19.87077,2131500
2000-01-20,25.875,26.041666,25.208334,25.3125,19.485861,1741500
2000-01-21,25.375,25.375,24.395834,24.854166,19.133032,2500200
2000-01-24,24.833334,24.833334,23.916666,23.979166,18.459448,1619400
2000-01-25,24.25,24.333334,23.75,23.833334,18.347181,1553700
2000-01-26,24.416666,24.666666,23.958334,24.25,18.667944,2623200
2000-01-27,24.333334,24.583334,23.833334,24.145834,18.587751,1484400
2000-01-28,24,24.458334,23.958334,24.1875,18.619822,2543700
2000-01-31,24,24.166666,23.4375,23.916666,18.411333,1296000
2000-02-01,24,24.291666,23.9375,23.958334,18.443407,1221000
2000-02-02,24.333334,24.75,24.208334,24.583334,18.924543,3341700
2000-02-03,24.666666,25.1875,24.375,24.9375,19.197186,3161400
2000-02-04,25.1875,25.354166,25.083334,25.291666,19.469828,2310000
2000-02-07,25.416666,25.458334,25.020834,25.416666,19.566053,2143200
2000-02-08,24.583334,25.25,24.208334,24.916666,19.181147,3466800
2000-02-09,25.333334,25.833334,24.875,25.666666,19.758501,5363100
2000-02-10,26,26.416666,25.9375,26.291666,20.239635,3891000
2000-02-11,26.583334,26.791666,26.5,26.625,20.496239,3099600
2000-02-14,26.708334,26.708334,26.416666,26.645834,20.512283,1349700
2000-02-15,26.666666,26.6875,26.166666,26.4375,20.351902,3453000
2000-02-16,26.375,26.645834,26.25,26.270834,20.223598,3711900
2000-02-17,26.375,26.625,26.208334,26.5,20.400015,2412300
2000-02-18,26,26.333334,25.625,25.666666,19.758501,2943600
2000-02-22,25.666666,25.833334,25.083334,25.270834,19.453783,2627400
2000-02-23,25.166666,25.5,24.791666,25,19.2453,3460800
2000-02-24,25,25,24.333334,24.333334,18.732092,2919300
2000-02-25,24.416666,24.833334,23.916666,24,18.475483,2472600
2000-02-28,24,24.666666,24,24.625,18.956621,3040800
2000-02-29,24.416666,24.958334,24.375,24.604166,18.940584,2886000
2000-03-01,24.6875,24.895834,23.958334,24.166666,18.603792,6094200
2000-03-02,24.083334,24.104166,23.208334,23.354166,17.978317,2789100
2000-03-03,23.4375,24.020834,23.4375,23.75,18.283028,2567100
2000-03-06,23.666666,23.6875,22.708334,22.895834,17.625484,1968600
2000-03-07,22.333334,22.333334,21.479166,21.854166,16.823591,3059100
