Stock Quotes for CMS,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,30.9375,31,29.5,29.5,16.649075,1615200
2000-01-04,29.5625,30,29.5625,29.875,16.860714,456400
2000-01-05,29.8125,31,29.6875,30.6875,17.319273,1842300
2000-01-06,30.6875,31.125,30.125,30.4375,17.178177,366500
2000-01-07,30.875,31.25,30.625,31.125,17.566183,531300
2000-01-10,30.9375,31.3125,30.4375,30.6875,17.319273,257800
2000-01-11,30.5625,31.5625,30.5625,31.5,17.777826,1471100
2000-01-12,31.3125,31.5,31.0625,31.3125,17.672001,1518200
2000-01-13,31.5625,32,31.3125,31.625,17.848375,492700
2000-01-14,31.625,31.625,30.875,31.1875,17.601458,276700
2000-01-18,31,31,30.4375,30.5625,17.248722,418900
2000-01-19,30.625,31.125,30.5,30.875,17.425089,512300
2000-01-20,30.9375,31.125,30.3125,30.9375,17.460363,391500
2000-01-21,31,31.625,30.625,31.375,17.707273,567300
2000-01-24,31.5,32.0625,31.25,31.25,17.636734,657300
2000-01-25,31.3125,31.3125,30.5,30.6875,17.319273,714500
2000-01-26,30.875,30.875,30,30.4375,17.178177,1105700
2000-01-27,30.6875,30.6875,29.9375,30,16.931261,572300
2000-01-28,29.75,30.25,29.4375,29.5,16.649075,514300
2000-01-31,29.75,30.375,29.3125,30,16.931261,982200
2000-02-01,26.125,26.625,22.75,23.5,13.262822,4026100
2000-02-02,23,23,20.3125,21.375,12.06352,6256700
2000-02-03,21.1875,22.3125,21.0625,21.9375,12.380985,5044000
2000-02-04,21.875,22,20.125,20.375,11.693707,3314200
2000-02-07,20.375,20.5625,20.0625,20.3125,11.657843,698100
2000-02-08,20.375,20.6875,20.25,20.3125,11.657843,807100
2000-02-09,20.3125,20.375,19.8125,19.9375,11.442622,1282000
2000-02-10,19.9375,19.9375,18.0625,18.75,10.761086,2792300
2000-02-11,18.8125,18.8125,18.0625,18.625,10.689343,1121200
2000-02-14,18.75,19.375,18.625,19.1875,11.012175,714400
2000-02-15,19.5,19.75,19.25,19.375,11.119786,746200
2000-02-16,19.125,19.3125,18.5,18.6875,10.725212,920000
2000-02-17,18.6875,18.6875,18,18.375,10.545861,1281500
2000-02-18,18.3125,18.5,17.9375,18.3125,10.509991,907200
2000-02-22,18.3125,18.375,17.9375,18.25,10.474121,685400
2000-02-23,18.4375,18.4375,17.5,17.5625,10.079544,1077400
2000-02-24,17.6875,17.6875,16.875,17,9.756716,697500
2000-02-25,17,17,16.1875,16.4375,9.433883,757300
2000-02-28,16.6875,16.6875,16.0625,16.5,9.469754,816200
2000-02-29,16.625,16.9375,16.5625,16.75,9.613235,914200
2000-03-01,16.75,17,16.6875,16.9375,9.720845,487000
2000-03-02,16.9375,17.25,16.875,16.875,9.684976,1122500
2000-03-03,17,17.125,16.8125,17.0625,9.792587,899300
2000-03-06,17.75,18,17,17.3125,9.936068,1817500
2000-03-07,17.3125,17.5,17.125,17.25,9.900195,842300
2000-03-08,17.25,17.375,17.0625,17.1875,9.864323,850000
2000-03-09,17.1875,17.25,16.875,17.125,9.828454,589200
2000-03-10,17.0625,17.375,17.0625,17.1875,9.864323,450800
2000-03-13,17.25,17.4375,17.125,17.1875,9.864323,537800
2000-03-14,17.25,17.5,17.0625,17.5,10.043678,1938700
2000-03-15,17.5,18.875,17.3125,17.875,10.258902,2766700
2000-03-16,19.125,19.625,18.75,19.4375,11.155656,455000
2000-03-17,19.5,19.6875,19,19.0625,10.940434,819300
2000-03-20,19.25,19.5625,19.1875,19.4375,11.155656,579900
2000-03-21,19.3125,19.625,19.125,19.375,11.119786,431100
2000-03-22,19.375,19.5625,18.4375,18.875,10.832824,1017200
2000-03-23,19.0625,19.125,18.5,19,10.904563,709900
2000-03-24,19,19.3125,18.8125,19.0625,10.940434,328400
2000-03-27,19.25,19.75,19,19,10.904563,625600
2000-03-28,19.0625,19.375,18.75,18.9375,10.868693,835300
2000-03-29,18.6875,19.25,18.625,18.875,10.832824,851200
2000-03-30,19.25,19.375,18.625,18.75,10.761086,946900
2000-03-31,18.75,18.75,18,18.125,10.402379,2418300
2000-04-03,18.1875,18.25,17.875,18,10.330646,1082900
2000-04-04,18,18.625,17.75,18.1875,10.438251,661400
2000-04-05,18.1875,18.6875,18.0625,18.4375,10.581729,681100
2000-04-06,18.5,18.5625,18.25,18.25,10.474121,677200
2000-04-07,18.3125,18.375,18.1875,18.25,10.474121,786100
2000-04-10,18.25,18.625,18.0625,18.4375,10.581729,456700
2000-04-11,18.6875,18.75,18.5,18.5625,10.653475,406700
2000-04-12,18.625,19.1875,18.625,18.75,10.761086,609500
2000-04-13,18.625,19.6875,18.625,19.5,11.191526,1084900
2000-04-14,19.6875,19.6875,18.6875,19.375,11.119786,815500
2000-04-17,19.25,19.375,18.625,19.375,11.119786,459700
2000-04-18,19.25,19.625,18.9375,19.4375,11.155656,926800
2000-04-19,18.875,19.1875,18.875,19.1875,11.012175,433500
2000-04-20,19,19.1875,18.875,18.875,10.832824,314300
2000-04-24,18.9375,19.5625,18.75,19.5,11.191526,496600
2000-04-25,19.25,19.875,18.75,19.8125,11.370878,591600
2000-04-26,19.875,19.875,19.25,19.5,11.191526,744100
2000-04-27,19.4375,19.4375,18.5625,18.6875,10.725212,3672100
2000-04-28,18.75,19.125,18.375,19,11.121792,3329900
2000-05-01,19.125,20.125,19.125,20.0625,11.743737,2123000
2000-05-02,20.0625,21.1875,20.0625,20.9375,12.25592,3229800
2000-05-03,20.6875,20.6875,20.1875,20.5625,12.036416,593500
2000-05-04,20.625,21.75,20.4375,21.375,12.512017,1067300
2000-05-05,21.375,21.375,20.75,21.0625,12.329091,400100
2000-05-08,21.5,21.875,21.5,21.5625,12.621774,1243100
2000-05-09,21.625,21.625,21.375,21.4375,12.548599,860200
2000-05-10,21.4375,21.4375,21.125,21.3125,12.475433,586400
2000-05-11,21.4375,21.875,21.25,21.875,12.804697,997000
2000-05-12,21.9375,22.1875,21.1875,21.25,12.438846,536400
2000-05-15,21.5,21.9375,21.375,21.75,12.731529,1092100
2000-05-16,21.9375,22.4375,21.5625,22.125,12.951035,495100
2000-05-17,22.375,22.375,21.625,21.8125,12.768106,425600
2000-05-18,21.6875,22.625,21.5625,22.125,12.951035,568700
2000-05-19,21.875,22.1875,21.625,21.6875,12.694938,505100
2000-05-22,21.8125,22.0625,21.5625,21.875,12.804697,531600
2000-05-23,21.875,21.9375,21.3125,21.5,12.585188,599200
2000-05-24,21.75,22.625,21.6875,22.0625,12.914453,498700
2000-05-25,22.1875,22.25,21.6875,21.9375,12.841282,703500
2000-05-26,21.8125,22.5,21.75,22.375,13.097377,322300
2000-05-30,22.75,22.9375,22,22.125,12.951035,318700
2000-05-31,22.25,23.1875,22.1875,22.75,13.316882,819000
2000-06-01,23.25,23.5,23.0625,23.125,13.536397,1701800
2000-06-02,23.5,23.6875,23.125,23.5,13.755908,726200
2000-06-05,23.3125,23.375,22.625,22.6875,13.280297,552700
2000-06-06,22.75,23.125,22.25,22.4375,13.133959,564500
2000-06-07,22.6875,22.875,22.3125,22.3125,13.060792,286400
2000-06-08,22.4375,22.4375,21.9375,22.125,12.951035,302600
2000-06-09,22.3125,22.6875,22.25,22.6875,13.280297,340100
2000-06-12,22.5,23.125,22.5,23.0625,13.499805,661900
2000-06-13,23.125,23.1875,22.75,22.875,13.39005,411600
2000-06-14,23.0625,23.0625,22.75,22.875,13.39005,339600
2000-06-15,22.75,23.3125,22.75,23.3125,13.646148,739400
2000-06-16,23.3125,23.5,23,23.25,13.609562,1240000
2000-06-19,23.3125,23.4375,22.875,23,13.463223,438300
2000-06-20,22.875,23,22.625,22.625,13.243711,393400
2000-06-21,22.75,23.0625,22.625,22.6875,13.280297,436100
2000-06-22,22.9375,22.9375,22.375,22.6875,13.280297,594100
2000-06-23,22.625,22.875,22.4375,22.5,13.170544,1001600
2000-06-26,22.375,22.9375,22.375,22.5625,13.207128,725100
2000-06-27,22.8125,22.8125,22.125,22.25,13.024203,759900
2000-06-28,22.25,22.9375,21.8125,22.5781,13.216262,482700
2000-06-29,22.4375,23,22.25,22.5,13.170544,524300
2000-06-30,22.3125,23.0625,21.875,22.125,12.951035,966200
2000-07-03,22.1875,23.3125,22.0625,22.875,13.39005,376800
2000-07-05,22.875,23.4375,22.375,22.75,13.316882,553300
2000-07-06,22.75,23.1875,22.5,22.5,13.170544,287100
2000-07-07,22.6875,22.9375,22.5,22.8125,13.353469,502000
2000-07-10,22.8125,22.9375,22.6875,22.75,13.316882,595700
2000-07-11,22.9375,23.1875,22.5625,22.6875,13.280297,590400
2000-07-12,22.8125,23.375,22.8125,23.125,13.536397,351500
2000-07-13,23,23.4375,23,23.4375,13.719317,621600
2000-07-14,23.375,23.75,23.3125,23.5625,13.792487,508800
2000-07-17,23.5625,23.6875,23.25,23.4062,13.700991,374200
2000-07-18,23.5,23.9375,23.25,23.875,13.975411,557700
2000-07-19,24.375,24.875,24.3125,24.875,14.560769,628100
2000-07-20,24.875,25,24.75,24.8125,14.524181,734700
2000-07-21,24.875,25,24.5625,24.8125,14.524181,1173100
2000-07-24,24.75,24.8125,24.5625,24.75,14.487602,451700
2000-07-25,24.75,24.8125,24.625,24.8125,14.524181,746000
2000-07-26,24.75,25,24.5625,24.8125,14.524181,685100
2000-07-27,24.75,25.875,24.75,25.625,14.999792,1974900
2000-07-28,25.625,25.8125,25.25,25.5,14.926612,1020200
