Stock Quotes for COF,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,48.125,48.1875,45.125,46.1875,38.242641,886900
2000-01-04,45.25,45.3125,42.875,43.3125,35.862175,1221700
2000-01-05,43.3125,43.375,41.75,42.3125,35.034176,1361900
2000-01-06,42.3125,44.4375,42.0625,44.25,36.638405,2482300
2000-01-07,44.25,46.1875,43.125,45.5,37.673389,1206500
2000-01-10,45.5,46.0625,44.875,44.9375,37.207653,855800
2000-01-11,44.75,45.5,43.25,43.5,36.01741,1511400
2000-01-12,43.5,44.5,43.375,44.0625,36.48315,1151400
2000-01-13,44.375,45.4375,43.9375,45.1875,37.41465,417700
2000-01-14,46.1875,48,45.875,46.8125,38.760124,1260600
2000-01-18,44,45.3125,42,42.5,35.189434,2612600
2000-01-19,43.75,43.8125,42.75,43.375,35.913925,1942600
2000-01-20,43.1875,43.5,42,42.375,35.085934,1163600
2000-01-21,43.1875,43.25,40.8125,41.375,34.25795,1324500
2000-01-24,41.3125,41.5,40.875,41.125,34.050961,1058900
2000-01-25,41,41.0625,40,40.0625,33.17123,986100
2000-01-26,40.125,42.625,40.125,41.9375,34.723694,1009300
2000-01-27,42,43.125,40.6875,41.5,34.361435,1583200
2000-01-28,41.25,41.25,39.8125,40.0625,33.17123,539500
2000-01-31,39.25,41.1875,39.1875,41,33.947445,500800
2000-02-01,41.5,41.5625,40,40.1875,33.274712,628200
2000-02-02,40.75,40.8125,39.25,39.8125,32.964207,534400
2000-02-03,40.5,40.8125,38.625,39.125,32.394997,865700
2000-02-04,40.125,40.125,38.5,38.5625,31.929239,611000
2000-02-07,38.4375,39.3125,37.375,37.9375,31.4335,910600
2000-02-08,38.375,38.75,36.9375,37.375,30.967438,1017700
2000-02-09,37,37.0625,34.8125,35,28.999613,1668300
2000-02-10,35,35.4375,33,33.5,27.756771,2143700
2000-02-11,33.5,34.0625,32.5,33.625,27.860334,1962100
2000-02-14,33.375,34.25,33,34.1875,28.32641,1369200
2000-02-15,34.4375,37.3125,34.0625,37.0625,30.70853,1852600
2000-02-16,38.25,39.1875,37,37.5,31.070988,2593200
2000-02-17,37.75,37.9375,36.625,36.75,30.449606,1183700
2000-02-18,36,36.1875,33.25,34.5,28.585329,1183400
2000-02-22,35.4375,36,32.8125,33.9375,28.119274,1872400
2000-02-23,35,35,32.75,33.0625,27.394279,1563500
2000-02-24,33.25,34.9375,32.0625,34.625,28.688892,2271300
2000-02-25,34.6875,35.9375,34.3125,35.5625,29.46567,1607900
2000-02-28,35.4375,38.1875,35.4375,37.875,31.381723,2347300
2000-02-29,38,38.125,36.375,36.8125,30.501381,1971000
2000-03-01,36.875,38.1875,36.75,37.6875,31.22636,1075000
2000-03-02,37.75,38.1875,36.5,36.8125,30.501381,1184200
2000-03-03,38.5,39.3125,37.4375,37.9375,31.4335,979700
2000-03-06,38.125,39,36.75,37.0625,30.70853,667000
2000-03-07,36.875,36.875,34.5,34.6875,28.740694,1258900
2000-03-08,34.4375,35.4375,33.875,35.1875,29.154959,1093200
2000-03-09,35.375,38,34.75,36.6875,30.397818,1716000
2000-03-10,36,36.9375,35.875,36.8125,30.501381,870500
2000-03-13,36.5625,37.75,36.25,37.75,31.278149,1098000
2000-03-14,37.75,38.625,37.75,38.125,31.588856,1104400
2000-03-15,38.125,41.75,37.8125,40.875,33.867401,2730900
2000-03-16,42.25,46.625,42.125,46.5625,38.57983,3991800
2000-03-17,46.9375,48.375,45.75,45.8125,37.958416,2357800
2000-03-20,44.75,44.9375,41.25,41.5625,34.437031,1647800
2000-03-21,41.75,44.4375,41.5,44,36.456657,1541000
2000-03-22,44.1875,46.625,44.0625,46.25,38.320915,1022200
2000-03-23,46.125,46.625,45.125,45.8125,37.958416,1154500
2000-03-24,46,46.8125,44.625,45.0625,37.337002,855300
2000-03-27,45.0625,45.0625,43.3125,44.5,36.870937,753100
2000-03-28,44.5625,46.375,44.4375,45.375,37.595936,849000
2000-03-29,45.625,46.0625,44,45.25,37.492363,799300
2000-03-30,45.375,46.9375,45.125,46.375,38.424477,932400
2000-03-31,46.4375,48.8125,45.6875,47.9375,39.719116,973000
2000-04-03,47.6875,49.6875,47.6875,49,40.599457,1323700
2000-04-04,49,49.375,44.125,46.5625,38.57983,1281100
2000-04-05,46.75,47.5625,46.25,46.3125,38.372704,811700
2000-04-06,46.4375,48.0625,46.4375,46.875,38.838772,821800
2000-04-07,47.5,47.6875,46.8125,47.25,39.149475,532900
2000-04-10,47.5,49.0625,47.1875,48.125,39.874481,556300
2000-04-11,48.625,49.875,48.5625,49.25,40.806587,1010500
2000-04-12,49,53,48.875,50.25,41.635162,2209200
2000-04-13,50.25,50.25,45.5,46.6875,38.683407,1712800
2000-04-14,44.1875,45.125,42.25,42.875,35.524525,2165100
2000-04-17,42.6875,43.875,42.3125,43,35.628094,1487300
2000-04-18,43,45.375,42.625,45.0625,37.337002,1073600
2000-04-19,45.5,45.8125,44.875,45.5,37.699497,622800
2000-04-20,45.5,47.4375,44.875,47.3125,39.201252,651100
2000-04-24,47.3125,48.875,46.4375,47.125,39.045898,866700
2000-04-25,47.1875,49.1875,46.5,48.875,40.49588,980400
