Stock Quotes for COG,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,1.338542,1.338542,1.21875,1.234375,0.712188,1306400
2000-01-04,1.223958,1.223958,1.192708,1.197917,0.691153,334400
2000-01-05,1.1875,1.223958,1.1875,1.21875,0.703173,363200
2000-01-06,1.213542,1.270833,1.208333,1.244792,0.718198,538400
2000-01-07,1.244792,1.296875,1.244792,1.296875,0.748248,388800
2000-01-10,1.307292,1.322917,1.25,1.25,0.721204,766400
2000-01-11,1.244792,1.244792,1.203125,1.203125,0.694158,723200
2000-01-12,1.203125,1.203125,1.182292,1.182292,0.682138,547200
2000-01-13,1.1875,1.1875,1.171875,1.1875,0.685143,1940000
2000-01-14,1.1875,1.208333,1.182292,1.208333,0.697163,1100000
2000-01-18,1.208333,1.291667,1.208333,1.270833,0.733223,1956800
2000-01-19,1.276042,1.291667,1.255208,1.265625,0.730218,2683200
2000-01-20,1.260417,1.270833,1.25,1.270833,0.733223,1493600
2000-01-21,1.25,1.307292,1.25,1.276042,0.736228,1320800
2000-01-24,1.276042,1.28125,1.229167,1.229167,0.709183,886400
2000-01-25,1.229167,1.239583,1.21875,1.229167,0.709183,454400
2000-01-26,1.239583,1.390625,1.239583,1.3125,0.757264,1839200
2000-01-27,1.3125,1.317708,1.25,1.255208,0.724208,788000
2000-01-28,1.25,1.265625,1.239583,1.25,0.721204,780000
2000-01-31,1.244792,1.25,1.197917,1.229167,0.709183,507200
2000-02-01,1.239583,1.28125,1.239583,1.276042,0.736228,682400
2000-02-02,1.28125,1.286458,1.255208,1.276042,0.736228,357600
2000-02-03,1.286458,1.328125,1.286458,1.3125,0.757264,869600
2000-02-04,1.307292,1.322917,1.307292,1.307292,0.754258,1332800
2000-02-07,1.307292,1.317708,1.291667,1.307292,0.754258,320000
2000-02-08,1.286458,1.307292,1.276042,1.28125,0.739234,602400
2000-02-09,1.270833,1.286458,1.265625,1.265625,0.75378,281600
2000-02-10,1.265625,1.296875,1.239583,1.296875,0.772392,1008800
2000-02-11,1.296875,1.296875,1.270833,1.270833,0.756882,316800
2000-02-14,1.276042,1.28125,1.255208,1.260417,0.750678,612800
2000-02-15,1.265625,1.28125,1.25,1.265625,0.75378,1841600
2000-02-16,1.270833,1.270833,1.25,1.265625,0.75378,1644800
2000-02-17,1.260417,1.265625,1.229167,1.239583,0.738271,896000
2000-02-18,1.239583,1.239583,1.203125,1.208333,0.719658,561600
2000-02-22,1.208333,1.21875,1.177083,1.192708,0.710353,1360800
2000-02-23,1.192708,1.192708,1.171875,1.182292,0.704149,384000
2000-02-24,1.177083,1.229167,1.177083,1.203125,0.716557,360000
2000-02-25,1.192708,1.244792,1.182292,1.234375,0.735169,1336800
2000-02-28,1.197917,1.255208,1.182292,1.255208,0.747577,501600
2000-02-29,1.25,1.317708,1.229167,1.317708,0.7848,605600
2000-03-01,1.317708,1.354167,1.317708,1.354167,0.806514,2980800
2000-03-02,1.364583,1.411458,1.364583,1.395833,0.83133,1464000
2000-03-03,1.401042,1.432292,1.401042,1.411458,0.840635,964800
2000-03-06,1.411458,1.4375,1.411458,1.432292,0.853044,4927200
2000-03-07,1.4375,1.515625,1.421875,1.489583,0.887166,1520000
2000-03-08,1.489583,1.510417,1.463542,1.463542,0.871655,4411200
2000-03-09,1.458333,1.458333,1.416667,1.4375,0.856146,1923200
2000-03-10,1.442708,1.473958,1.427083,1.4375,0.856146,2873600
2000-03-13,1.427083,1.479167,1.427083,1.453125,0.865452,902400
2000-03-14,1.453125,1.479167,1.442708,1.463542,0.871655,768000
2000-03-15,1.453125,1.460933,1.416667,1.421875,0.84684,525600
2000-03-16,1.4375,1.447917,1.421875,1.432292,0.853044,1192800
2000-03-17,1.416667,1.447917,1.416667,1.4375,0.856146,285600
2000-03-20,1.432292,1.4375,1.401042,1.401042,0.834432,744800
2000-03-21,1.40625,1.463542,1.401042,1.453125,0.865452,628800
2000-03-22,1.458333,1.473958,1.458333,1.46875,0.874758,988800
2000-03-23,1.473958,1.479167,1.442708,1.442708,0.859247,812000
2000-03-24,1.442708,1.46875,1.442708,1.442708,0.859247,432000
2000-03-27,1.442708,1.442708,1.390625,1.40625,0.837534,2011200
2000-03-28,1.395833,1.401042,1.375,1.390625,0.828228,1252800
2000-03-29,1.354167,1.458333,1.354167,1.458333,0.868554,5056800
2000-03-30,1.46875,1.5,1.442708,1.5,0.893369,1409600
2000-03-31,1.5,1.536458,1.489583,1.505208,0.896471,2131200
2000-04-03,1.510417,1.515625,1.497392,1.510417,0.899573,753600
2000-04-04,1.520833,1.520833,1.395833,1.395833,0.83133,1224000
2000-04-05,1.395833,1.4375,1.359375,1.4375,0.856146,1375200
2000-04-06,1.447917,1.484375,1.447917,1.458333,0.868554,816800
