Stock Quotes for CSX,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.229167,5.322917,5.041667,5.15625,1.611646,3039600
2000-01-04,5.010417,5.125,4.927083,5,1.562809,2536200
2000-01-05,5.03125,5.145833,4.958333,5.104167,1.595366,3399000
2000-01-06,5.104167,5.572917,5.03125,5.333333,1.666996,5304600
2000-01-07,5.333333,5.34375,5.270833,5.333333,1.666996,3403200
2000-01-10,5.3125,5.34375,5.291667,5.333333,1.666996,2851800
2000-01-11,5.333333,5.447917,5.333333,5.333333,1.666996,3345600
2000-01-12,5.333333,5.40625,5.322917,5.354167,1.673506,3196200
2000-01-13,5.333333,5.510417,5.3125,5.427083,1.696298,3115200
2000-01-14,5.354167,5.4375,5.333333,5.375,1.680019,2815200
2000-01-18,5.333333,5.385417,5.291667,5.291667,1.653972,2487600
2000-01-19,5.291667,5.333333,5.229167,5.291667,1.653972,11016000
2000-01-20,5.239583,5.270833,5,5.052083,1.579087,5173200
2000-01-21,5.270833,5.270833,5.09375,5.114583,1.598622,3034200
2000-01-24,5.21875,5.21875,5.020833,5.09375,1.592111,2826000
2000-01-25,5.09375,5.21875,4.989583,5.010417,1.566064,5508000
2000-01-26,5.104167,5.125,4.9375,4.989583,1.559552,14192400
2000-01-27,4.989583,5.104167,4.96875,5.0625,1.582343,4808400
2000-01-28,5,5,4.760417,4.854167,1.517226,5104200
2000-01-31,4.895833,4.947917,4.84375,4.875,1.523737,3303600
2000-02-01,4.875,4.885417,4.802083,4.822917,1.507458,1580400
2000-02-02,4.822917,4.822917,4.666667,4.708333,1.471644,2608200
2000-02-03,4.729167,4.760417,4.625,4.645833,1.452108,2348400
2000-02-04,4.6875,4.729167,4.59375,4.614583,1.442341,8008800
2000-02-07,4.614583,4.645833,4.354167,4.354167,1.360946,3981000
2000-02-08,4.25,4.333333,4.125,4.125,1.289316,11040000
2000-02-09,4.239583,4.302083,4.125,4.166667,1.302339,9291000
2000-02-10,3.958333,4.03125,3.8125,3.833333,1.198153,10611600
2000-02-11,3.833333,3.84375,3.520833,3.604167,1.126523,6285000
2000-02-14,3.583333,3.71875,3.5,3.645833,1.139548,17692800
2000-02-15,3.708333,3.770833,3.645833,3.666667,1.146058,5235000
2000-02-16,3.6875,3.760417,3.625,3.65625,1.142803,6755400
2000-02-17,3.666667,3.791667,3.572917,3.75,1.172106,6585600
2000-02-18,3.729167,3.729167,3.59375,3.635417,1.136291,4262400
2000-02-22,3.59375,3.791667,3.59375,3.739583,1.16885,4395600
2000-02-23,3.666667,3.666667,3.541667,3.5625,1.21062,5307000
2000-02-24,3.552083,3.614583,3.375,3.614583,1.228319,7553400
2000-02-25,3.583333,3.614583,3.510417,3.541667,1.20354,6822600
2000-02-28,3.541667,3.697917,3.510417,3.625,1.231858,4640400
2000-02-29,3.625,3.760417,3.625,3.697917,1.256637,10687800
2000-03-01,3.697917,3.8125,3.635417,3.75,1.274337,5541600
2000-03-02,3.75,3.770833,3.625,3.666667,1.246018,4014600
2000-03-03,3.708333,3.90625,3.6875,3.8125,1.295576,3727800
2000-03-06,3.739583,3.739583,3.666667,3.71875,1.263718,2813400
2000-03-07,3.6875,3.6875,3.53125,3.541667,1.20354,3510600
2000-03-08,3.5625,3.822917,3.5625,3.791667,1.288496,12570000
2000-03-09,3.75,3.75,3.625,3.6875,1.253098,2119200
2000-03-10,3.666667,3.760417,3.65625,3.708333,1.260178,1803000
2000-03-13,3.71875,3.71875,3.59375,3.645833,1.238939,2094000
2000-03-14,3.604167,3.635417,3.572917,3.59375,1.221239,3678000
2000-03-15,3.59375,3.895833,3.583333,3.895833,1.323894,3100200
2000-03-16,3.875,4.09375,3.84375,4.072917,1.384071,5694600
2000-03-17,4.166667,4.239583,4.09375,4.21875,1.433629,6405000
2000-03-20,4.25,4.270833,4.104167,4.145833,1.408851,2631600
2000-03-21,4.1875,4.25,4.083333,4.1875,1.423009,4725600
2000-03-22,4.1875,4.239583,4.114583,4.145833,1.408851,2983800
2000-03-23,4.145833,4.208333,4.0625,4.135417,1.405311,2404800
2000-03-24,4.135417,4.15625,4.020833,4.052083,1.376992,3758400
2000-03-27,4.083333,4.114583,4,4.03125,1.369912,4095600
2000-03-28,3.958333,4.020833,3.84375,3.947917,1.341593,2797200
2000-03-29,3.9375,3.989583,3.916667,3.96875,1.348673,2559600
2000-03-30,3.947917,3.989583,3.875,3.989583,1.355752,3409200
2000-03-31,3.875,4.0625,3.854167,3.916667,1.330975,5368200
2000-04-03,3.958333,3.958333,3.802083,3.833333,1.302655,4395600
2000-04-04,3.833333,3.875,3.760417,3.84375,1.306195,5691000
2000-04-05,3.833333,4.020833,3.770833,3.979167,1.352213,3804600
2000-04-06,3.979167,4.09375,3.916667,3.947917,1.341593,4063200
2000-04-07,3.895833,3.9375,3.75,3.770833,1.281416,4859400
2000-04-10,3.770833,3.822917,3.697917,3.71875,1.263718,4741800
2000-04-11,3.75,3.833333,3.697917,3.739583,1.270797,8786400
2000-04-12,3.666667,3.78125,3.572917,3.635417,1.235398,7806000
2000-04-13,3.666667,3.71875,3.479167,3.625,1.231858,17148000
2000-04-14,3.666667,3.666667,3.479167,3.552083,1.20708,6823800
2000-04-17,3.510417,3.583333,3.479167,3.479167,1.182302,4546800
2000-04-18,3.4375,3.552083,3.427083,3.510417,1.192921,3045600
2000-04-19,3.53125,3.666667,3.479167,3.510417,1.192921,2505000
2000-04-20,3.489583,3.53125,3.427083,3.4375,1.168142,4004400
2000-04-24,3.458333,3.666667,3.4375,3.489583,1.185841,3634800
2000-04-25,3.46875,3.6875,3.458333,3.625,1.231858,4812600
2000-04-26,3.625,3.708333,3.625,3.645833,1.238939,3371400
2000-04-27,3.625,3.625,3.458333,3.479167,1.182302,5276400
2000-04-28,3.46875,3.489583,3.395833,3.489583,1.185841,5170800
2000-05-01,3.447917,3.552083,3.4375,3.53125,1.2,3339000
2000-05-02,3.5,3.53125,3.4375,3.510417,1.192921,4691400
2000-05-03,3.53125,3.53125,3.427083,3.427083,1.164602,6544800
2000-05-04,3.427083,3.427083,3.291667,3.322917,1.129204,3930000
2000-05-05,3.333333,3.40625,3.291667,3.354167,1.139823,5062200
2000-05-08,3.447917,3.520833,3.427083,3.479167,1.182302,4780800
2000-05-09,3.5,3.677083,3.5,3.635417,1.235398,6050400
2000-05-10,3.625,3.729167,3.583333,3.604167,1.224779,9306000
2000-05-11,3.739583,3.739583,3.645833,3.71875,1.263718,6219600
2000-05-12,3.71875,3.875,3.71875,3.802083,1.292036,7437600
2000-05-15,3.875,3.875,3.760417,3.770833,1.281416,2819400
2000-05-16,3.791667,3.895833,3.770833,3.864583,1.313274,2009400
2000-05-17,3.833333,3.916667,3.833333,3.864583,1.313274,2757000
2000-05-18,3.895833,3.927083,3.854167,3.854167,1.309735,2878800
2000-05-19,3.885417,3.90625,3.84375,3.864583,1.313274,3138000
2000-05-22,3.927083,3.9375,3.71875,3.71875,1.263718,2584800
2000-05-23,3.729167,3.739583,3.677083,3.71875,1.37461,2076600
2000-05-24,3.791667,3.802083,3.708333,3.739583,1.382311,2340600
2000-05-25,3.75,3.760417,3.604167,3.625,1.339956,2421000
2000-05-26,3.614583,3.6875,3.614583,3.635417,1.343807,2907000
2000-05-30,3.708333,3.739583,3.666667,3.677083,1.359208,5142600
2000-05-31,3.71875,3.739583,3.625,3.625,1.339956,3119400
2000-06-01,3.666667,3.78125,3.645833,3.75,1.386162,4244400
2000-06-02,3.708333,3.854167,3.697917,3.791667,1.401563,4888200
2000-06-05,3.75,3.822917,3.6875,3.6875,1.363059,2760000
2000-06-06,3.666667,3.71875,3.645833,3.666667,1.355357,3917400
2000-06-07,3.635417,3.666667,3.5625,3.5625,1.316854,3483600
2000-06-08,3.5625,3.5625,3.354167,3.375,1.247545,6673200
2000-06-09,3.385417,3.53125,3.375,3.447917,1.274499,5960400
2000-06-12,3.46875,3.53125,3.46875,3.479167,1.28605,6103800
2000-06-13,3.5,3.583333,3.479167,3.510417,1.297601,10123800
2000-06-14,3.510417,3.552083,3.395833,3.416667,1.262947,8757000
2000-06-15,3.5,3.520833,3.4375,3.458333,1.278349,5981400
2000-06-16,3.458333,3.5,3.4375,3.447917,1.274499,4612200
2000-06-19,3.458333,3.46875,3.354167,3.354167,1.239844,3012000
2000-06-20,3.354167,3.364583,3.270833,3.291667,1.216742,2861400
2000-06-21,3.270833,3.364583,3.25,3.260417,1.205191,2527200
2000-06-22,3.302083,3.364583,3.25,3.302083,1.220592,6121800
2000-06-23,3.302083,3.375,3.302083,3.364583,1.243694,4611600
2000-06-26,3.364583,3.416667,3.291667,3.3125,1.224442,3712800
2000-06-27,3.34375,3.427083,3.3125,3.427083,1.266798,3046800
2000-06-28,3.625,3.864583,3.614583,3.835933,1.417926,22540200
2000-06-29,3.833333,3.833333,3.677083,3.75,1.386162,7490400
2000-06-30,3.760417,3.770833,3.5,3.53125,1.305302,7234800
2000-07-03,3.625,3.71875,3.614583,3.71875,1.37461,3247800
2000-07-05,3.875,4.083333,3.791667,4.020833,1.486273,7698000
2000-07-06,4.020833,4.114583,3.927083,3.979167,1.470871,4884000
2000-07-07,4.020833,4.052083,3.958333,4.020833,1.486273,3026400
2000-07-10,4.041667,4.114583,4.03125,4.052083,1.497825,2509800
2000-07-11,4.041667,4.052083,3.9375,3.958333,1.463171,4893600
2000-07-12,4,4.020833,3.927083,3.979167,1.470871,4289400
2000-07-13,4,4,3.84375,3.854167,1.424666,4519200
2000-07-14,3.979167,4.020833,3.916667,3.979167,1.470871,5472000
2000-07-17,4.083333,4.229167,3.989583,4.03645,1.492046,6973800
2000-07-18,4.010417,4.072917,3.96875,3.979167,1.470871,5389200
2000-07-19,4,4.125,3.864583,3.895833,1.440068,3886800
2000-07-20,3.916667,3.947917,3.833333,3.864583,1.428516,2690400
2000-07-21,3.84375,3.90625,3.770833,3.833333,1.416965,2882400
2000-07-24,3.864583,3.864583,3.78125,3.84375,1.420816,3285000
2000-07-25,3.885417,3.885417,3.677083,3.729167,1.378461,3363600
2000-07-26,3.71875,4.010417,3.71875,4,1.478572,6916200
2000-07-27,3.958333,4.135417,3.947917,4.09375,1.513226,6373200
2000-07-28,4.09375,4.104167,4.052083,4.104167,1.517077,4927200
2000-07-31,4.135417,4.28125,4.125,4.135417,1.528628,5325600
2000-08-01,4.166667,4.260417,4.135417,4.25,1.570983,3966600
2000-08-02,4.260417,4.28125,4.208333,4.239583,1.567133,3516600
2000-08-03,4.260417,4.40625,4.25,4.291667,1.586385,3766800
2000-08-04,4.458333,4.458333,4.375,4.447917,1.644141,5023200
2000-08-07,4.447917,4.510417,4.416667,4.489583,1.659543,3712200
2000-08-08,4.489583,4.604167,4.40625,4.572917,1.690347,4559400
2000-08-09,4.5,4.5,4.34375,4.5,1.663394,4138800
2000-08-10,4.520833,4.5625,4.385417,4.416667,1.63259,4315800
2000-08-11,4.427083,4.427083,4.34375,4.385417,1.621039,2432400
2000-08-14,4.479167,4.5,4.385417,4.479167,1.655693,2058600
2000-08-15,4.447917,4.458333,4.34375,4.354167,1.609488,2169600
2000-08-16,4.375,4.395833,4.25,4.3125,1.594085,2247000
2000-08-17,4.322917,4.322917,4.25,4.28125,1.582534,3231600
2000-08-18,4.260417,4.364583,4.25,4.354167,1.609488,1932000
2000-08-21,4.333333,4.364583,4.270833,4.270833,1.578683,1873800
2000-08-22,4.291667,4.4375,4.239583,4.4375,1.640291,2544000
2000-08-23,4.427083,4.427083,4.260417,4.270833,1.69315,3182400
2000-08-24,4.239583,4.28125,4.208333,4.260417,1.68902,2411400
2000-08-25,4.260417,4.260417,4.1875,4.21875,1.672502,1234200
2000-08-28,4.177083,4.21875,4.114583,4.166667,1.651854,2755200
2000-08-29,4.166667,4.166667,4.052083,4.0625,1.610558,2478600
2000-08-30,4.052083,4.072917,4.03125,4.041667,1.602299,2241600
2000-08-31,4.041667,4.041667,3.960933,3.960933,1.570292,2431200
2000-09-01,3.979167,4,3.916667,3.989583,1.58165,2571000
2000-09-05,3.9375,4.09375,3.927083,4.03125,1.598168,2002200
2000-09-06,4.03125,4.21875,4.020833,4.09375,1.622947,2019000
2000-09-07,4.15625,4.15625,3.958333,4,1.58578,2069400
2000-09-08,3.979167,4.020833,3.927083,3.958333,1.569261,3057000
2000-09-11,3.9375,3.979167,3.9375,3.958333,1.569261,2515800
2000-09-12,3.979167,4.010417,3.9375,3.96875,1.573391,1536600
2000-09-13,3.947917,4.135417,3.947917,4.0625,1.610558,2571000
2000-09-14,4.041667,4.041667,3.927083,3.947917,1.565132,2661000
2000-09-15,3.854167,3.947917,3.84375,3.90625,1.548613,8308200
2000-09-18,3.916667,3.979167,3.895833,3.916667,1.552743,3432600
2000-09-19,3.927083,3.947917,3.802083,3.8125,1.511446,7727400
2000-09-20,3.802083,3.802083,3.71875,3.729167,1.478409,2587200
2000-09-21,3.739583,3.791667,3.625,3.65625,1.449502,2694000
2000-09-22,3.635417,3.739583,3.604167,3.645833,1.445373,2399400
2000-09-25,3.645833,3.697917,3.5625,3.583333,1.420595,3279600
2000-09-26,3.583333,3.59375,3.510417,3.53125,1.399946,2035800
2000-09-27,3.520833,3.572917,3.5,3.541667,1.404076,2276400
2000-09-28,3.510417,3.666667,3.510417,3.614583,1.432984,1975800
2000-09-29,3.59375,3.697917,3.583333,3.635417,1.441243,1878600
2000-10-02,3.635417,3.635417,3.427083,3.4375,1.36278,3130800
2000-10-03,3.489583,3.645833,3.447917,3.5,1.387557,3823800
2000-10-04,3.541667,3.84375,3.520833,3.71875,1.474279,4176000
2000-10-05,3.6875,3.760417,3.666667,3.666667,1.453632,1813200
2000-10-06,3.666667,3.770833,3.666667,3.729167,1.478409,2930400
2000-10-09,3.729167,3.78125,3.729167,3.729167,1.478409,4579200
2000-10-10,3.697917,3.8125,3.697917,3.770833,1.494928,2962200
2000-10-11,3.78125,3.791667,3.583333,3.666667,1.453632,2457600
2000-10-12,3.645833,3.645833,3.5,3.625,1.437113,3457200
2000-10-13,3.604167,3.604167,3.5,3.541667,1.404076,3005400
2000-10-16,3.541667,3.604167,3.520833,3.5625,1.412335,1930200
2000-10-17,3.541667,3.541667,3.46875,3.489583,1.383428,1669200
2000-10-18,3.479167,3.479167,3.34375,3.416667,1.35452,2328000
2000-10-19,3.416667,3.5,3.385417,3.489583,1.383428,1977000
2000-10-20,3.489583,3.53125,3.489583,3.53125,1.399946,2555400
2000-10-23,3.510417,3.5625,3.458333,3.46875,1.375168,3188400
2000-10-24,3.46875,3.75,3.447917,3.739583,1.482539,8757000
2000-10-25,3.729167,3.739583,3.645833,3.729167,1.478409,3622200
2000-10-26,3.729167,3.854167,3.71875,3.8125,1.511446,4665000
2000-10-27,3.8125,3.90625,3.8125,3.854167,1.527966,3454200
2000-10-30,3.895833,4.083333,3.895833,4.072917,1.614687,5391000
2000-10-31,4.083333,4.239583,4.072917,4.21875,1.672502,5149200
2000-11-01,4.21875,4.28125,4.21875,4.25,1.684892,3593400
2000-11-02,4.25,4.385417,4.25,4.302083,1.705539,2883600
2000-11-03,4.333333,4.427083,4.333333,4.34375,1.722058,3002400
2000-11-06,4.302083,4.41145,4.302083,4.364583,1.730317,2428800
2000-11-07,4.354167,4.4375,4.34375,4.364583,1.730317,3659400
2000-11-08,4.333333,4.34375,4.28125,4.322917,1.713799,2433600
2000-11-09,4.322917,4.34375,4.28125,4.34375,1.722058,1777800
2000-11-10,4.34375,4.34375,4.260417,4.270833,1.69315,3399600
2000-11-13,4.239583,4.302083,4.208333,4.291667,1.701409,2544000
2000-11-14,4.291667,4.458333,4.291667,4.4375,1.759225,4233600
2000-11-15,4.416667,4.510417,4.416667,4.489583,1.779872,3030600
2000-11-16,4.447917,4.583333,4.427083,4.46875,1.771613,2271000
2000-11-17,4.395833,4.489583,4.375,4.40625,1.746835,3454800
2000-11-20,4.416667,4.416667,4.270833,4.291667,1.701409,3565800
2000-11-21,4.177083,4.239583,4.166667,4.197917,1.789321,4278600
2000-11-22,4.239583,4.239583,4.125,4.177083,1.780441,3204600
2000-11-24,4.177083,4.270833,4.15625,4.25,1.811522,1721400
2000-11-27,4.25,4.302083,4.208333,4.291667,1.829281,2946600
2000-11-28,4.291667,4.333333,4.260417,4.333333,1.847042,2923800
2000-11-29,4.385417,4.479167,4.385417,4.427083,1.887002,3726600
2000-11-30,4.447917,4.510417,4.3125,4.322917,1.842601,5971800
2000-12-01,4.322917,4.333333,4.229167,4.25,1.811522,3779400
2000-12-04,4.21875,4.46875,4.1875,4.40625,1.878122,7437000
2000-12-05,4.40625,4.614583,4.395833,4.510417,1.922522,5243400
2000-12-06,4.520833,4.541667,4.34375,4.354167,1.855922,3294000
2000-12-07,4.333333,4.364583,4.208333,4.291667,1.829281,3864600
2000-12-08,4.322917,4.322917,4.21875,4.302083,1.833722,3117600
2000-12-11,4.333333,4.489583,4.322917,4.479167,1.909202,3745800
2000-12-12,4.4375,4.541667,4.4375,4.46875,1.904763,2126400
2000-12-13,4.46875,4.520833,4.28125,4.322917,1.842601,2895600
2000-12-14,4.229167,4.260417,4.114583,4.125,1.758241,3946200
2000-12-15,4.041667,4.15625,4.010417,4.020833,1.713842,6851400
2000-12-18,4.041667,4.177083,4.041667,4.083333,1.740481,6483000
2000-12-19,4.125,4.291667,4.083333,4.114583,1.753802,5224800
2000-12-20,4.072917,4.072917,3.864583,4,1.704961,6236400
2000-12-21,4.010417,4.25,4,4.197917,1.789321,5107800
2000-12-22,4.229167,4.333333,4.21875,4.302083,1.833722,4233600
2000-12-26,4.3125,4.333333,4.270833,4.322917,1.842601,2037000
2000-12-27,4.322917,4.479167,4.322917,4.458333,1.900322,2694600
2000-12-28,4.333333,4.40625,4.260417,4.34375,1.851482,4427400
2000-12-29,4.34375,4.395833,4.3125,4.322917,1.842601,3877200
2001-01-02,4.333333,4.4375,4.28125,4.28125,1.824842,2409600
2001-01-03,4.291667,4.458333,4.135417,4.458333,1.900322,7230600
2001-01-04,4.5625,4.875,4.5625,4.635417,1.975801,8973000
