Stock Quotes for CVX,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,42.9375,42.9375,41.28125,41.8125,41.8125,4387600
2000-01-04,41.46875,42.0625,41.25,41.8125,41.8125,3702400
2000-01-05,41.53125,43.28125,41.53125,42.5625,42.5625,5567600
2000-01-06,42.65625,44.59375,42.65625,44.375,44.375,4353400
2000-01-07,45,45.4375,44.5,45.15625,45.15625,4487400
2000-01-10,45.03125,45.03125,43.84375,43.9375,43.9375,2104800
2000-01-11,43.9375,44.4375,43.46875,43.53125,43.53125,2791200
2000-01-12,43.53125,43.8125,42.9375,43.375,43.375,2992600
2000-01-13,43.25,44.625,43.0625,43.78125,43.78125,3253400
2000-01-14,42.90625,43.71875,42.78125,43.5,43.5,3673000
2000-01-18,43.75,44.75,43.46875,44.65625,44.65625,4317400
2000-01-19,44.5,44.5,43.875,43.96875,43.96875,5027000
2000-01-20,44.09375,44.09375,43.40625,43.75,43.75,3419800
2000-01-21,43.9375,44.9375,43.90625,44.28125,44.28125,3947800
2000-01-24,44.75,45.1875,43.96875,44.40625,44.40625,3536600
2000-01-25,44.40625,45.25,43.8125,44.28125,44.28125,3854600
2000-01-26,44.625,44.875,43.25,43.875,43.875,2681000
2000-01-27,43.65625,43.8125,41.78125,42.15625,42.15625,3550800
2000-01-28,41.78125,41.84375,40.9375,41.28125,41.28125,4066000
2000-01-31,41.03125,41.96875,40.375,41.8125,41.8125,3660600
2000-02-01,41.6875,42.21875,41.25,41.59375,41.59375,2611600
2000-02-02,41.34375,41.96875,41.21875,41.3125,41.3125,3418800
2000-02-03,41.0625,41.25,40.3125,40.71875,40.71875,3512800
2000-02-04,40.625,40.625,39.1875,39.28125,39.28125,4224200
2000-02-07,39.5625,40,39.21875,39.53125,39.53125,3135600
2000-02-08,40.0625,40.34375,39.15625,39.15625,39.15625,3567400
2000-02-09,39.21875,39.34375,37.46875,37.5,37.5,4802400
2000-02-10,37.78125,38.71875,37.4375,38.40625,38.40625,3832600
2000-02-11,38.6875,38.8125,36.09375,37,37,5019800
2000-02-14,37.09375,37.71875,36.8125,36.90625,36.90625,5039800
