Stock Quotes for DHI,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.805411,3.805411,3.616001,3.65044,2.658973,840000
2000-01-04,3.684878,3.684878,3.374935,3.512687,2.558634,568400
2000-01-05,3.529906,3.581563,3.495468,3.564344,2.596262,501700
2000-01-06,3.547125,3.547125,3.374935,3.374935,2.458296,2483300
2000-01-07,3.409373,3.547125,3.392154,3.495468,2.546092,684500
2000-01-10,3.495468,3.564344,3.426592,3.564344,2.596262,581600
2000-01-11,3.564344,3.564344,3.323277,3.340497,2.433211,2928500
2000-01-12,3.340497,3.374935,3.288839,3.306058,2.408127,1210100
2000-01-13,3.374935,3.392154,3.288839,3.340497,2.433211,1182100
2000-01-14,3.357716,3.495468,3.27162,3.495468,2.546092,972000
2000-01-18,3.340497,3.357716,3.27162,3.323277,2.420668,883200
2000-01-19,3.374935,3.374935,3.202744,3.237182,2.357957,782900
2000-01-20,3.27162,3.27162,3.133868,3.237182,2.357957,1253600
2000-01-21,3.237182,3.237182,3.116649,3.202744,2.332872,1131600
2000-01-24,3.323277,3.340497,3.168306,3.202744,2.332872,1783200
2000-01-25,3.237182,3.237182,2.996115,3.030554,2.207449,1065600
2000-01-26,3.064992,3.168306,3.064992,3.082211,2.245075,1167600
2000-01-27,3.09943,3.202744,3.09943,3.116649,2.270161,1120900
2000-01-28,3.09943,3.133868,3.064992,3.064992,2.232534,1064500
2000-01-31,3.306058,3.306058,3.133868,3.202744,2.332872,1476100
2000-02-01,3.219963,3.219963,3.116649,3.151087,2.295245,1028400
2000-02-02,3.27162,3.27162,3.151087,3.202744,2.332872,1501700
2000-02-03,3.219963,3.426592,3.219963,3.357716,2.476631,2116400
2000-02-04,3.478249,3.478249,3.323277,3.340497,2.463931,895300
2000-02-07,3.409373,3.409373,3.340497,3.392154,2.502032,1000900
2000-02-08,3.392154,3.512687,3.374935,3.409373,2.514732,1261300
2000-02-09,3.564344,3.581563,3.409373,3.426592,2.527434,765700
2000-02-10,3.667659,3.667659,3.392154,3.409373,2.514732,1729300
2000-02-11,3.409373,3.409373,3.27162,3.323277,2.451229,680500
2000-02-14,3.323277,3.478249,3.323277,3.426592,2.527434,873700
2000-02-15,3.443811,3.478249,3.374935,3.426592,2.527434,1095700
2000-02-16,3.443811,3.443811,3.219963,3.219963,2.375024,1053600
2000-02-17,3.357716,3.426592,3.27162,3.27162,2.413127,1070500
2000-02-18,3.219963,3.288839,3.064992,3.27162,2.413127,1752100
2000-02-22,3.27162,3.27162,3.116649,3.237182,2.387726,818500
2000-02-23,3.185525,3.237182,3.09943,3.151087,2.324222,689600
2000-02-24,3.133868,3.185525,3.064992,3.082211,2.273418,626500
2000-02-25,3.151087,3.151087,3.09943,3.09943,2.28612,1208000
2000-02-28,3.09943,3.168306,3.064992,3.116649,2.29882,581300
2000-02-29,3.116649,3.133868,3.064992,3.09943,2.28612,820800
2000-03-01,3.133868,3.323277,3.133868,3.323277,2.451229,1351300
2000-03-02,3.306058,3.340497,3.288839,3.323277,2.451229,978000
2000-03-03,3.323277,3.443811,3.306058,3.340497,2.463931,670400
2000-03-06,3.340497,3.357716,3.185525,3.27162,2.413127,302900
2000-03-07,3.237182,3.254401,3.116649,3.116649,2.29882,830900
2000-03-08,3.09943,3.185525,3.09943,3.151087,2.324222,743300
2000-03-09,3.185525,3.288839,3.168306,3.288839,2.425828,466800
2000-03-10,3.237182,3.254401,3.151087,3.185525,2.349623,472900
2000-03-13,3.133868,3.306058,3.133868,3.185525,2.349623,618500
2000-03-14,3.254401,3.254401,3.09943,3.09943,2.28612,1324100
2000-03-15,3.116649,3.443811,3.116649,3.323277,2.451229,816500
2000-03-16,3.478249,3.874287,3.478249,3.788192,2.794147,3454800
2000-03-17,3.702097,3.770973,3.65044,3.684878,2.717944,958400
2000-03-20,3.702097,3.788192,3.684878,3.719316,2.743344,554500
2000-03-21,3.65044,3.702097,3.581563,3.684878,2.717944,888500
2000-03-22,3.702097,3.719316,3.529906,3.616001,2.667141,964400
2000-03-23,3.63322,3.857068,3.616001,3.753754,2.768745,1294900
2000-03-24,3.788192,3.857068,3.702097,3.702097,2.730645,672100
2000-03-27,3.702097,3.719316,3.581563,3.65044,2.692542,899600
2000-03-28,3.547125,3.63322,3.512687,3.581563,2.641738,596400
2000-03-29,3.581563,3.65044,3.46103,3.512687,2.590936,1022400
2000-03-30,3.495468,3.857068,3.46103,3.684878,2.717944,2905200
2000-03-31,3.581563,3.63322,3.564344,3.598782,2.654439,827300
2000-04-03,3.564344,3.702097,3.547125,3.65044,2.692542,839600
2000-04-04,3.616001,3.702097,3.443811,3.581563,2.641738,1194000
2000-04-05,3.495468,3.805411,3.478249,3.581563,2.641738,1659700
2000-04-06,3.65044,3.719316,3.581563,3.684878,2.717944,523200
2000-04-07,3.702097,3.839849,3.702097,3.736535,2.756046,943700
2000-04-10,3.719316,3.839849,3.616001,3.63322,2.679842,627700
2000-04-11,3.598782,3.702097,3.581563,3.616001,2.667141,408800
2000-04-12,3.616001,3.770973,3.598782,3.702097,2.730645,875300
2000-04-13,3.667659,3.770973,3.63322,3.770973,2.781447,1712900
2000-04-14,3.63322,3.667659,3.409373,3.478249,2.565535,1470100
2000-04-17,3.443811,3.443811,3.357716,3.374935,2.489332,1304400
2000-04-18,3.392154,3.564344,3.374935,3.512687,2.590936,1028400
2000-04-19,3.512687,3.529906,3.409373,3.512687,2.590936,404500
2000-04-20,3.512687,3.512687,3.357716,3.357716,2.476631,611600
2000-04-24,3.409373,3.581563,3.392154,3.529906,2.603638,1028500
2000-04-25,3.547125,3.702097,3.495468,3.598782,2.654439,1022400
2000-04-26,3.598782,3.684878,3.598782,3.63322,2.679842,756800
2000-04-27,3.63322,3.667659,3.581563,3.65044,2.692542,670800
2000-04-28,3.667659,3.667659,3.478249,3.564344,2.629039,565200
2000-05-01,3.63322,3.63322,3.564344,3.581563,2.641738,1172400
2000-05-02,3.581563,3.753754,3.564344,3.616001,2.667141,1048800
2000-05-03,3.63322,3.684878,3.495468,3.529906,2.603638,687600
2000-05-04,3.564344,3.63322,3.564344,3.63322,2.679842,532800
2000-05-05,3.702097,3.857068,3.63322,3.857068,2.84495,2368100
2000-05-08,3.925944,3.925944,3.736535,3.788192,2.794147,830000
2000-05-09,3.753754,4.029259,3.753754,3.908725,2.883052,999200
2000-05-10,3.925944,3.960382,3.667659,3.684878,2.717944,427700
2000-05-11,3.702097,3.805411,3.667659,3.805411,2.837597,457200
2000-05-12,3.770973,3.994821,3.770973,3.943163,2.940315,815300
2000-05-15,3.925944,3.960382,3.874287,3.908725,2.914636,303600
2000-05-16,3.977602,4.01204,3.908725,3.960382,2.953155,500000
2000-05-17,3.943163,3.994821,3.770973,3.82263,2.850436,633700
2000-05-18,3.788192,3.82263,3.684878,3.684878,2.747719,476400
2000-05-19,3.684878,3.719316,3.547125,3.564344,2.657839,778900
2000-05-22,3.478249,3.581563,3.46103,3.529906,2.632161,844800
2000-05-23,3.495468,3.598782,3.478249,3.495468,2.606481,689300
2000-05-24,3.495468,3.581563,3.478249,3.581563,2.670678,544900
2000-05-25,3.564344,3.65044,3.564344,3.616001,2.696359,468500
2000-05-26,3.616001,3.616001,3.512687,3.616001,2.696359,740000
2000-05-30,3.581563,3.667659,3.581563,3.65044,2.722038,352900
2000-05-31,3.616001,3.65044,3.581563,3.598782,2.683519,403700
2000-06-01,3.581563,3.667659,3.581563,3.616001,2.696359,554500
2000-06-02,3.770973,3.874287,3.736535,3.874287,2.888957,857300
2000-06-05,3.857068,3.874287,3.719316,3.770973,2.811917,385700
2000-06-06,3.770973,3.839849,3.770973,3.805411,2.837597,283700
2000-06-07,3.753754,3.770973,3.702097,3.770973,2.811917,381700
2000-06-08,3.753754,3.770973,3.753754,3.753754,2.799077,333600
2000-06-09,3.788192,3.82263,3.753754,3.788192,2.824757,123600
2000-06-12,3.788192,3.839849,3.63322,3.65044,2.722038,774500
2000-06-13,3.616001,3.719316,3.616001,3.719316,2.773397,445300
2000-06-14,3.753754,3.770973,3.719316,3.736535,2.786237,282100
2000-06-15,3.667659,3.719316,3.616001,3.667659,2.734879,741200
2000-06-16,3.702097,3.805411,3.667659,3.788192,2.824757,830500
2000-06-19,3.788192,3.805411,3.719316,3.788192,2.824757,270800
2000-06-20,3.788192,3.788192,3.667659,3.684878,2.747719,445200
2000-06-21,3.770973,3.770973,3.684878,3.719316,2.773397,786100
2000-06-22,3.736535,3.736535,3.65044,3.65044,2.722038,392900
2000-06-23,3.63322,3.65044,3.581563,3.616001,2.696359,747200
2000-06-26,3.65044,3.719316,3.65044,3.684878,2.747719,321600
2000-06-27,3.684878,3.839849,3.667659,3.805411,2.837597,471600
2000-06-28,3.805411,3.82263,3.770973,3.770973,2.811917,398900
2000-06-29,3.753754,3.960382,3.753754,3.857068,2.876116,682400
2000-06-30,3.908725,3.994821,3.736535,3.736535,2.786237,1820500
2000-07-03,3.788192,3.943163,3.788192,3.925944,2.927475,236400
2000-07-05,3.943163,4.080916,3.908725,4.063697,3.030193,1026800
2000-07-06,4.080916,4.149792,4.080916,4.132573,3.081552,870000
2000-07-07,4.149792,4.201449,4.046478,4.098135,3.055873,645600
2000-07-10,4.01204,4.132573,3.891506,4.115354,3.068713,1103300
2000-07-11,3.977602,4.029259,3.925944,3.960382,2.953155,533300
2000-07-12,3.977602,4.098135,3.960382,4.063697,3.030193,751700
2000-07-13,4.063697,4.063697,3.857068,3.925944,2.927475,888800
2000-07-14,3.960382,4.029259,3.891506,3.891506,2.901796,394100
2000-07-17,3.994821,4.029259,3.925944,3.960382,2.953155,415700
2000-07-18,3.943163,4.098135,3.943163,3.994821,2.978835,542000
2000-07-19,4.01204,4.115354,3.994821,4.098135,3.055873,310800
2000-07-20,4.080916,4.218668,4.080916,4.18423,3.120072,672500
2000-07-21,4.253106,4.253106,4.132573,4.218668,3.145751,699600
2000-07-24,4.235887,4.253106,4.080916,4.115354,3.068713,730900
2000-07-25,4.149792,4.18423,4.063697,4.098135,3.055873,822000
2000-07-26,4.080916,4.304763,4.080916,4.287544,3.197112,847700
2000-07-27,4.37364,4.37364,4.339201,4.339201,3.235631,628100
2000-07-28,4.356421,4.356421,4.201449,4.218668,3.145751,878000
2000-07-31,4.18423,4.270325,4.18423,4.270325,3.184272,583700
2000-08-01,4.270325,4.37364,4.218668,4.37364,3.261311,328100
2000-08-02,4.339201,4.390859,4.339201,4.37364,3.261311,376900
2000-08-03,4.37364,4.476954,4.321982,4.459735,3.325509,601300
2000-08-04,4.459735,4.528611,4.442516,4.528611,3.376868,466100
2000-08-07,4.597487,5.010745,4.563049,5.010745,3.736382,1957200
2000-08-08,4.959087,5.389564,4.959087,5.28625,3.941819,3180500
2000-08-09,5.303469,5.389564,5.062402,5.062402,3.774903,1516900
2000-08-10,5.062402,5.062402,4.855773,4.959087,3.697863,674500
2000-08-11,4.993526,5.234592,4.993526,5.234592,3.903302,858100
2000-08-14,5.217373,5.28625,5.131278,5.165716,3.88155,484400
2000-08-15,5.148497,5.165716,4.993526,4.993526,3.752164,618500
2000-08-16,5.027964,5.027964,4.924649,4.993526,3.752164,478800
2000-08-17,5.045183,5.09684,4.872992,4.976306,3.739226,436400
2000-08-18,4.959087,4.976306,4.804116,4.855773,3.648657,618500
2000-08-21,4.90743,4.959087,4.890211,4.941868,3.713348,398900
2000-08-22,4.941868,4.941868,4.855773,4.855773,3.648657,249200
2000-08-23,4.855773,4.890211,4.73524,4.804116,3.609841,272900
2000-08-24,4.872992,4.890211,4.666364,4.700802,3.53221,769700
2000-08-25,4.54583,4.73524,4.54583,4.683583,3.519271,883300
2000-08-28,4.752459,4.993526,4.683583,4.993526,3.752164,918000
2000-08-29,4.976306,5.251812,4.976306,5.234592,3.933305,1173700
2000-08-30,5.234592,5.355126,5.148497,5.337907,4.010936,1394500
2000-08-31,5.372345,5.578973,5.372345,5.406783,4.06269,1812800
