Stock Quotes for DHR,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.097801,9.168878,8.718726,8.813495,5.484477,1474600
2000-01-04,8.86088,8.872725,8.43442,8.49365,5.285444,2424800
2000-01-05,8.576573,8.76611,8.410728,8.588419,5.344418,2854800
2000-01-06,8.49365,8.884572,8.292267,8.683188,5.403391,1281000
2000-01-07,8.718726,8.813495,8.671342,8.754265,5.447619,1751600
2000-01-10,8.801649,8.931956,8.789803,8.931956,5.558194,2592600
2000-01-11,8.908264,8.955648,8.683188,8.706881,5.418133,1867700
2000-01-12,8.671342,8.683188,8.398882,8.469958,5.2707,1282000
2000-01-13,8.541035,8.671342,8.541035,8.600266,5.35179,3044700
2000-01-14,8.576573,8.623958,8.398882,8.600266,5.35179,1747400
2000-01-18,8.505497,8.505497,8.315959,8.363343,5.204359,1972100
2000-01-19,8.315959,8.387035,8.197498,8.268575,5.145384,2894900
2000-01-20,8.256728,8.268575,8.019807,8.090883,5.03481,1182300
2000-01-21,8.090883,8.090883,7.67627,7.806577,4.857892,4429700
2000-01-24,7.771039,7.771039,7.19058,7.202426,4.481937,4488800
2000-01-25,7.249811,7.67627,7.249811,7.640732,4.754689,3804500
2000-01-26,7.640732,7.936884,7.617039,7.865808,4.89475,2309300
2000-01-27,7.652578,8.067191,7.640732,7.877654,4.902121,4236600
2000-01-28,7.877654,8.043499,7.830269,8.00796,4.983209,3923200
2000-01-31,7.996114,8.469958,7.996114,8.173806,5.086411,4537300
2000-02-01,8.16196,8.22119,8.114575,8.197498,5.101154,3269000
2000-02-02,8.173806,8.339651,8.138268,8.185652,5.093781,2158900
2000-02-03,8.209344,8.327806,8.173806,8.256728,5.138012,927500
2000-02-04,8.315959,8.327806,8.150114,8.197498,5.101154,1120600
2000-02-07,8.197498,8.304113,8.031652,8.173806,5.086411,2507100
2000-02-08,8.173806,8.387035,8.173806,8.304113,5.167497,2540900
2000-02-09,8.327806,8.351498,8.233036,8.268575,5.145384,3223100
2000-02-10,8.244883,8.28042,7.865808,7.901346,4.916864,1377500
2000-02-11,7.960576,8.019807,7.688116,7.782885,4.843149,2378400
2000-02-14,7.759192,7.794731,7.652578,7.759192,4.828405,1699300
2000-02-15,7.723654,7.865808,7.699962,7.806577,4.857892,2668600
2000-02-16,7.7355,7.830269,7.7355,7.747346,4.821033,2291300
2000-02-17,7.759192,7.877654,7.747346,7.759192,4.828405,1535300
2000-02-18,7.759192,7.794731,7.451194,7.557809,4.703088,2646900
2000-02-22,7.557809,7.67627,7.439348,7.534117,4.688343,2453800
2000-02-23,7.510425,7.569655,7.391963,7.451194,4.636743,2994100
2000-02-24,7.451194,7.486732,7.107657,7.309041,4.548285,2940800
2000-02-25,7.261657,7.427502,7.178734,7.285349,4.53354,1538400
2000-02-28,7.344579,7.510425,7.19058,7.439348,4.629372,1354800
2000-02-29,7.439348,7.806577,7.439348,7.7355,4.813663,3825100
2000-03-01,7.771039,7.972422,7.759192,7.853961,4.887378,3342300
2000-03-02,7.842115,7.853961,7.593347,7.652578,4.762059,2038100
2000-03-03,7.652578,7.747346,7.474886,7.581501,4.717829,2355200
2000-03-06,7.581501,7.628886,7.451194,7.605193,4.732574,2738200
2000-03-07,7.557809,7.557809,7.166888,7.166888,4.459825,2554100
2000-03-08,7.166888,7.178734,6.906274,7.036581,4.378736,2385200
2000-03-09,7.012888,7.202426,6.929966,7.202426,4.481937,2324600
2000-03-10,7.155042,7.380117,7.155042,7.285349,4.53354,1293100
2000-03-13,7.285349,7.285349,7.048427,7.119503,4.430338,2291300
2000-03-14,7.107657,7.273503,6.989196,7.119503,4.430338,3006200
2000-03-15,7.048427,7.427502,6.965504,7.40381,4.607256,4955200
2000-03-16,7.356425,8.268575,7.332733,8.233036,5.123269,4577400
2000-03-17,8.233036,8.446266,8.079037,8.233036,5.123269,3301700
2000-03-20,8.185652,8.268575,7.853961,8.16196,5.079039,2466500
2000-03-21,8.16196,8.28042,7.94873,8.28042,5.152756,1884500
2000-03-22,8.233036,8.233036,8.019807,8.055345,5.012695,1597000
2000-03-23,8.055345,8.090883,7.936884,8.079037,5.027438,2626900
2000-03-24,8.055345,8.292267,7.818423,7.830269,4.872634,1664000
2000-03-27,7.782885,8.315959,7.782885,8.209344,5.108525,3090600
2000-03-28,8.209344,8.588419,8.209344,8.398882,5.226471,2456500
2000-03-29,8.387035,8.955648,8.351498,8.955648,5.582908,2707100
2000-03-30,8.908264,9.559799,8.884572,9.488723,5.915224,4257200
2000-03-31,9.536107,9.713799,9.382108,9.666414,6.025994,3118100
