Stock Quotes for DLR,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2004-10-29,12,12.01,12,12,6.757411,5951800
2004-11-01,12,12.01,12,12,6.757411,764400
2004-11-02,12,12.01,12,12,6.757411,950100
2004-11-03,12.02,12.2,12.01,12.15,6.841878,433600
2004-11-04,12.18,12.18,12.05,12.06,6.7912,311200
2004-11-05,12.05,12.1,12,12.08,6.802461,391800
2004-11-08,12.13,12.13,12,12.01,6.763043,91100
2004-11-09,12,12.06,12,12.01,6.763043,97600
2004-11-10,12,12.04,12,12.01,6.763043,177500
2004-11-11,12,12.02,12,12.02,6.768675,92700
2004-11-12,12.01,12.38,12.01,12.29,6.920715,354900
2004-11-15,12.32,12.45,12.2,12.39,6.977027,268100
2004-11-16,12.49,12.65,12.31,12.5,7.03897,252500
2004-11-17,12.55,12.6,12.35,12.51,7.044602,425000
2004-11-18,12.5,12.74,12.5,12.72,7.162857,179700
2004-11-19,12.72,12.74,12.5,12.71,7.157223,202600
2004-11-22,12.61,12.73,12.51,12.63,7.112176,105200
2004-11-23,12.55,12.95,12.52,12.8,7.207906,204200
2004-11-24,12.75,12.95,12.7,12.79,7.202276,141700
2004-11-26,12.4,12.78,12.4,12.65,7.123435,42900
2004-11-29,12.65,12.75,12.55,12.68,7.140333,174200
2004-11-30,12.66,12.85,12.65,12.76,7.18538,148800
2004-12-01,12.66,13.17,12.66,13.15,7.404996,162500
2004-12-02,13.05,13.07,12.78,12.95,7.292374,212800
2004-12-03,12.9,13.2,12.9,13.15,7.404996,138300
2004-12-06,13.16,13.19,13.05,13.12,7.388103,126600
2004-12-07,13.06,13.2,13,13,7.32053,116200
2004-12-08,12.8,13,12.7,12.86,7.241693,112300
2004-12-09,12.86,12.95,12.5,12.85,7.236065,139200
2004-12-10,12.75,13.05,12.55,12.97,7.303633,186000
2004-12-13,12.87,13.04,12.7,12.91,7.26985,215700
2004-12-14,12.81,13.1,12.79,12.9,7.264215,169400
2004-12-15,13,13.14,12.89,13.05,7.348685,200300
2004-12-16,13.03,13.09,12.93,13.05,7.348685,230000
2004-12-17,13.05,13.55,12.94,13.4,7.545775,887700
2004-12-20,13.5,13.5,13,13.34,7.511989,222800
2004-12-21,13.4,13.5,13.29,13.45,7.573933,82700
2004-12-22,13.4,13.7,13.21,13.7,7.714711,194000
2004-12-23,13.7,14.1,13.65,13.94,7.849862,107900
2004-12-27,14,14.04,13.52,13.6,7.658399,112500
2004-12-28,13.68,13.77,13.47,13.53,7.618981,111100
2004-12-29,12.95,13.47,12.95,13.28,7.565602,109400
2004-12-30,13.33,13.57,13.2,13.3,7.576996,48900
2004-12-31,13.29,13.69,13.29,13.47,7.673841,55500
2005-01-03,13.54,13.6,13.39,13.59,7.742207,189100
2005-01-04,13.61,13.77,13.55,13.65,7.776385,154400
2005-01-05,13.6,13.66,12.5,13.2,7.520023,302600
2005-01-06,13.1,13.65,13,13.39,7.628268,93300
2005-01-07,13.42,13.42,13.08,13.26,7.554207,124300
2005-01-10,13.2,13.74,13.1,13.3,7.576996,79800
2005-01-11,13.3,13.53,13.05,13.26,7.554207,136400
2005-01-12,13.27,13.4,13.2,13.3,7.576996,111600
2005-01-13,13.3,13.6,13.28,13.37,7.616874,77500
2005-01-14,13.38,13.77,13.38,13.59,7.742207,28100
2005-01-18,13.49,13.8,13.23,13.7,7.804876,185900
2005-01-19,13.7,13.87,13.5,13.65,7.776385,233600
2005-01-20,13.6,13.65,13.4,13.56,7.725114,42100
2005-01-21,13.6,13.64,13.46,13.6,7.747905,51400
2005-01-24,13.7,13.75,13.45,13.52,7.702329,48000
2005-01-25,13.5,13.66,13.5,13.5,7.690934,61100
2005-01-26,13.55,13.84,13.55,13.71,7.81057,105300
2005-01-27,13.63,13.8,13.57,13.7,7.804876,106000
2005-01-28,13.7,13.83,13.65,13.8,7.861845,48100
2005-01-31,13.85,14,13.79,13.8,7.861845,64800
2005-02-01,13.75,13.83,13.6,13.8,7.861845,102900
2005-02-02,13.85,14.03,13.84,13.95,7.947296,118100
2005-02-03,13.97,14.05,13.85,13.98,7.964388,51200
2005-02-04,13.98,14.05,13.93,13.96,7.952999,122900
2005-02-07,13.9,14.15,13.9,14.05,8.00427,48300
2005-02-08,13.95,14.09,13.93,14,7.975782,251800
2005-02-09,14.02,14.05,13.84,13.85,7.89033,122000
2005-02-10,13.9,14.22,13.9,14.11,8.038454,75400
2005-02-11,14.05,14.6,14,14.56,8.294815,125800
2005-02-14,14.6,14.63,14.4,14.5,8.260634,120600
2005-02-15,14.51,14.61,14.3,14.47,8.243543,89700
2005-02-16,14.4,14.55,14.4,14.5,8.260634,115600
2005-02-17,14.45,14.45,13.96,14,7.975782,70000
2005-02-18,14.05,14.1,13.92,14,7.975782,78800
2005-02-22,13.95,13.99,13.7,13.88,7.90742,47100
2005-02-23,13.88,13.95,13.8,13.85,7.89033,55400
2005-02-24,13.9,14,13.73,13.98,7.964388,25100
2005-02-25,14,14.07,14,14.05,8.00427,54000
2005-02-28,14,14.45,14,14.33,8.163786,66600
2005-03-01,14.35,14.35,13.74,14.25,8.118207,129900
2005-03-02,14.2,14.67,14.2,14.5,8.260634,57100
2005-03-03,14.55,14.75,14.3,14.41,8.209362,21300
2005-03-04,14.45,14.65,14.4,14.49,8.254936,181100
2005-03-07,14.5,14.7,14.45,14.52,8.272026,43300
2005-03-08,14.55,14.55,14.24,14.25,8.118207,16200
2005-03-09,14.15,14.38,14,14.26,8.123905,46300
2005-03-10,14.25,14.4,14.2,14.31,8.15239,61900
2005-03-11,14.16,14.21,13.92,13.98,8.102427,204300
2005-03-14,14.03,14.64,13.98,14.64,8.484948,23900
2005-03-15,14.68,14.81,13.98,14.17,8.21255,111600
2005-03-16,14.22,14.22,13.96,14,8.114022,70400
2005-03-17,14.05,14.05,13.95,13.97,8.096637,32200
2005-03-18,14.05,14.1,13.91,14.1,8.171979,100100
2005-03-21,14.25,14.3,13.89,14.14,8.195163,112500
2005-03-22,14.1,14.15,13.75,13.91,8.061862,142000
2005-03-23,13.91,14.25,13.78,14.25,8.258914,60700
2005-03-24,14.29,14.71,14.29,14.51,8.409604,78200
2005-03-28,14.41,14.55,14.32,14.51,8.409604,44300
2005-03-29,14.52,14.6,14.43,14.5,8.403809,52200
2005-03-30,14.6,14.68,14.14,14.68,8.508135,62100
2005-03-31,14.67,14.73,14.24,14.37,8.328465,41100
2005-04-01,14.47,14.51,14.15,14.31,8.293692,88600
2005-04-04,14.35,14.38,13.86,14.32,8.299485,68300
2005-04-05,14.32,14.33,14.06,14.16,8.206754,127700
2005-04-06,14.25,14.6,14.2,14.6,8.461767,65100
2005-04-07,14.51,14.59,14.27,14.43,8.363237,25200
2005-04-08,14.53,14.53,14.02,14.02,8.12561,46700
2005-04-11,14.07,14.12,13.9,13.95,8.085042,67100
2005-04-12,13.96,14.4,13.67,14.4,8.345852,49000
2005-04-13,14.35,14.35,13.8,14.15,8.200958,39600
2005-04-14,14.17,14.31,13.9,13.9,8.056064,39100
2005-04-15,13.9,14,13.82,13.83,8.015495,64900
2005-04-18,13.88,14,13.76,13.84,8.021292,88300
2005-04-19,13.9,14.18,13.9,14,8.114022,70600
2005-04-20,13.96,14,13.85,13.98,8.102427,98700
2005-04-21,14,14.25,13.9,14.07,8.154592,106300
2005-04-22,14.1,14.1,13.85,14,8.114022,77200
2005-04-25,14.05,14.23,13.93,14.12,8.183572,212000
2005-04-26,14.07,14.15,13.9,14.02,8.12561,39200
2005-04-27,14,14.23,13.97,14.16,8.206754,73400
2005-04-28,14.13,14.35,14,14.1,8.171979,39900
2005-04-29,14.2,14.35,13.99,14.27,8.270507,100200
