Stock Quotes for ES,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,20.5,20.6875,20.3125,20.6875,11.486818,276400
2000-01-04,20.5,20.875,20.375,20.6875,11.486818,291500
2000-01-05,20.5625,21,20.5625,20.8125,11.556225,284400
2000-01-06,20.5625,21.3125,20.5625,21.0625,11.695037,130000
2000-01-07,20.9375,21.25,20.8125,21.25,11.79915,85700
2000-01-10,21.125,21.3125,20.75,21.0625,11.695037,151400
2000-01-11,21.0625,21.125,21,21,11.660332,299700
2000-01-12,21,21.125,20.9375,21.125,11.729742,412000
2000-01-13,21.0625,21.125,20.625,20.9375,11.625634,547700
2000-01-14,20.9375,21,20.625,20.625,11.452112,239400
2000-01-18,20.625,20.625,20,20.125,11.174487,169600
2000-01-19,20.125,20.625,20.0625,20.125,11.174487,302300
2000-01-20,20.3125,20.625,20.3125,20.625,11.452112,211700
2000-01-21,20.625,20.625,20.375,20.5625,11.417412,158200
2000-01-24,20.375,20.4375,19.5625,19.75,10.966266,957100
2000-01-25,19.875,20,19.625,19.875,11.035675,1354700
2000-01-26,20.125,20.3125,20,20.25,11.243891,618400
2000-01-27,20.25,20.625,20.25,20.5625,11.417412,407300
2000-01-28,20.5625,20.75,20.375,20.4375,11.348007,178200
2000-01-31,20.4375,20.5,20,20.5,11.382707,199600
2000-02-01,20.375,20.5,20.125,20.3125,11.278595,189800
2000-02-02,20.3125,20.6875,20.3125,20.3125,11.278595,652200
2000-02-03,20.25,20.5625,20.25,20.4375,11.348007,189400
2000-02-04,20.4375,20.5,20.125,20.1875,11.209188,124200
2000-02-07,20.0625,20.1875,20,20.1875,11.209188,256900
2000-02-08,20.0625,20.3125,20.0625,20.125,11.174487,225400
2000-02-09,20.125,20.5,20.0625,20.25,11.243891,132400
2000-02-10,20.0625,20.25,19.875,19.875,11.035675,163800
2000-02-11,20,20,19.1875,19.375,10.758049,350900
2000-02-14,19.5,19.5625,19.3125,19.3125,10.72334,577800
2000-02-15,19.3125,19.4375,19.1875,19.1875,10.653939,489100
2000-02-16,19.1875,19.25,18.5,18.9375,10.515121,1361000
2000-02-17,19,19.4375,18.75,19.1875,10.653939,266900
2000-02-18,19,19.0625,18.875,18.9375,10.515121,254000
2000-02-22,18.9375,19,18.4375,18.4375,10.237496,246300
2000-02-23,18.4375,18.75,18.4375,18.75,10.411015,253000
2000-02-24,18.625,18.6875,18,18.3125,10.168086,321200
2000-02-25,18.1875,18.375,18.125,18.25,10.133387,341300
2000-02-28,18.25,18.875,18.1875,18.8125,10.445719,342600
2000-02-29,18.75,18.8125,18.5,18.8125,10.445719,280800
2000-03-01,18.8125,19.3125,18.625,19.1875,10.653939,736600
2000-03-02,19.125,19.5,19.125,19.375,10.814407,1770700
2000-03-03,19.375,19.5,19,19.5,10.884177,245200
2000-03-06,19.75,19.75,18.8125,19.1875,10.709754,215600
2000-03-07,19.1875,19.5625,19.125,19.5,10.884177,239900
2000-03-08,19.4375,19.75,19.375,19.625,10.953948,211800
2000-03-09,19.6875,19.6875,19.1875,19.375,10.814407,378400
2000-03-10,19.4375,19.875,19.375,19.875,11.093489,305500
2000-03-13,19.625,19.75,19.5,19.5625,10.919061,250500
2000-03-14,19.4375,19.5,19.375,19.375,10.814407,383500
2000-03-15,19.375,19.625,18.875,19.375,10.814407,956500
2000-03-16,19.5,20.0625,19.4375,19.8125,11.0586,519200
2000-03-17,19.5625,19.9375,19.5625,19.875,11.093489,228100
2000-03-20,19.8125,20.1875,19.75,20.125,11.233027,206400
2000-03-21,19.9375,20.25,19.9375,20.0625,11.19814,251500
2000-03-22,20.0625,20.1875,19.5625,20.125,11.233027,257700
2000-03-23,20,20.625,19.9375,20.625,11.512109,260600
2000-03-24,20.5,20.5625,20.375,20.5,11.442339,232800
2000-03-27,20.375,20.875,20.3125,20.875,11.651651,557600
2000-03-28,20.75,20.9375,20.625,20.9375,11.686537,282000
2000-03-29,20.625,20.9375,20.625,20.875,11.651651,180400
