Stock Quotes for ESS,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,33.875,33.875,33.1875,33.3125,16.243525,12200
2000-01-04,33.1875,33.375,32.625,32.9375,16.060663,62700
2000-01-05,32.625,33,32.625,32.8125,15.999712,96900
2000-01-06,32.8125,33.25,32.5625,33.125,16.152102,72500
2000-01-07,33.125,34.5,33.125,34.25,16.700657,39400
2000-01-10,34.375,34.375,33.75,34.0625,16.609221,23300
2000-01-11,33.8125,34.1875,33.6875,33.6875,16.426374,46400
2000-01-12,33.9375,33.9375,33.625,33.625,16.395906,43500
2000-01-13,33.625,34,33.5625,34,16.578747,14300
2000-01-14,34.0625,34.0625,33.6875,33.875,16.517803,10100
2000-01-18,33.8125,33.8125,33.375,33.75,16.456856,27600
2000-01-19,34,34.25,34,34.125,16.639708,57900
2000-01-20,34.1875,34.3125,34.125,34.3125,16.731136,18400
2000-01-21,34.125,34.1875,34,34.0625,16.609221,12700
2000-01-24,33.9375,34.125,33.75,34,16.578747,36900
2000-01-25,34,34.25,34,34.1875,16.670185,26000
2000-01-26,34.0625,34.25,34.0625,34.125,16.639708,11200
2000-01-27,34.125,34.5,33.875,34.375,16.761602,19800
2000-01-28,34.25,34.5,33.9375,33.9375,16.548279,19300
2000-01-31,34,34,33.875,34,16.578747,66300
2000-02-01,34,34.625,34,34.625,16.883507,30500
2000-02-02,34.625,34.75,34.5,34.5625,16.853041,30100
2000-02-03,34.5625,35,34.5625,34.875,17.005413,21000
2000-02-04,34.8125,35.125,34.6875,35.0625,17.09684,16000
2000-02-07,35.125,35.125,34.75,34.8125,16.974937,19800
2000-02-08,34.8125,34.8125,34.375,34.375,16.761602,49800
2000-02-09,34.25,34.5,33.8125,34.3125,16.731136,20300
2000-02-10,34.375,34.375,34.125,34.375,16.761602,14300
2000-02-11,34.25,34.375,34.25,34.3125,16.731136,18200
2000-02-14,34.3125,34.5625,34.25,34.5625,16.853041,44000
2000-02-15,34.625,34.625,34.0625,34.4375,16.792084,32900
2000-02-16,34.375,34.375,33.875,34.25,16.700657,18700
2000-02-17,34.375,34.375,34.125,34.375,16.761602,25200
