Stock Quotes for EXC,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,17.25,17.3125,16.5,16.9375,7.546655,917400
2000-01-04,16.75,17.0625,16.5625,16.8125,7.490962,890600
2000-01-05,16.8125,17.875,16.8125,17.625,7.852978,1035200
2000-01-06,17.4375,18,17.1875,17.65625,7.866901,874200
2000-01-07,17.6875,18.6875,17.5,17.65625,7.866901,2686600
2000-01-10,18.40625,18.84375,18.28125,18.71875,8.340307,1020400
2000-01-11,18.625,18.84375,18.5625,18.59375,8.284615,974400
2000-01-12,18.5,18.9375,18.40625,18.75,8.354234,1382200
2000-01-13,18.84375,19.40625,18.6875,19.3125,8.604857,1100600
2000-01-14,19.1875,19.5,19.03125,19.25,8.577013,1040000
2000-01-18,19.125,19.21875,18.625,18.84375,8.396004,906800
2000-01-19,18.90625,19.28125,18.84375,19.1875,8.549165,1042800
2000-01-20,19.0625,19.09375,18.625,18.90625,8.423851,961400
2000-01-21,19.125,19.53125,18.78125,19.4375,8.660556,3596200
2000-01-24,19.4375,20.5,19.375,20.3125,9.050416,2606000
2000-01-25,20.28125,20.28125,19.84375,20,8.91118,2527600
2000-01-26,19.9375,20.5625,19.71875,20.4375,9.106115,1538000
2000-01-27,20.5,21.09375,20.46875,21,9.35674,9224200
2000-01-28,20.90625,21.25,20.59375,20.59375,9.175734,3436000
2000-01-31,20.625,20.875,20.28125,20.875,9.301048,2972200
2000-02-01,20.8125,21.0625,20.60935,20.78125,9.259272,2746000
2000-02-02,20.78125,21.15625,20.75,20.84375,9.287122,1080000
2000-02-03,20.96875,21.84375,20.96875,21.75,9.690907,1765400
2000-02-04,21.71875,21.75,21.46875,21.5,9.579516,5839000
2000-02-07,21.3125,21.4375,21,21,9.35674,1156000
2000-02-08,21.03125,21.25,21.03125,21.1875,9.440283,1108200
2000-02-09,21.1875,21.46875,21.15625,21.25,9.46813,4433000
2000-02-10,21.125,21.25,20.96875,20.96875,9.342813,2660600
2000-02-11,20.90625,21,20.59375,20.625,9.189651,1441600
2000-02-14,20.625,20.75,20.40625,20.59375,9.175734,3236600
2000-02-15,20.5,20.65625,20.34375,20.4375,9.106115,1908800
2000-02-16,20.25,20.46875,20.0625,20.375,9.078265,2052800
2000-02-17,20.125,20.53125,20.0625,20.125,8.966878,1335200
2000-02-18,20.03125,20.15625,19.71875,19.78125,8.81372,973200
2000-02-22,19.8125,20.1875,19.8125,19.90625,8.869411,1546200
2000-02-23,19.78125,20.3125,19.78125,20.1875,9.109121,2460600
2000-02-24,20.1875,20.1875,18.8125,19,8.573292,1995800
2000-02-25,19.28125,19.28125,19,19.28125,8.700201,1486000
2000-02-28,19.28125,19.90625,19.0625,19.65625,8.869411,887200
2000-02-29,19.53125,19.53125,18.65625,18.65625,8.418188,1613800
2000-03-01,19.25,19.28125,18.75,18.875,8.516888,1197800
2000-03-02,18.875,19.5,18.8125,19.5,8.798909,1188600
2000-03-03,19.8125,19.90625,19.53125,19.75,8.911713,2300600
2000-03-06,19.75,19.875,19.3125,19.375,8.742505,2042000
2000-03-07,19.375,19.59375,18.84375,18.875,8.516888,2483200
2000-03-08,19,19.375,19,19.09375,8.615596,1318800
2000-03-09,18.96875,19.21875,18.90625,19.15625,8.643794,1543800
2000-03-10,19.03125,19.21875,18.9375,19.125,8.629695,758800
2000-03-13,19.03125,19.125,18.90625,19.0625,8.601494,626600
2000-03-14,18.8125,18.96875,18.5,18.65625,8.418188,1466400
2000-03-15,18.5625,19.34375,18.53125,19.3125,8.714299,1899800
2000-03-16,19.3125,20.375,19.3125,20.03125,9.038618,1312000
2000-03-17,20.0625,20.125,19.1875,19.25,8.6861,1210200
2000-03-20,19.125,19.59375,19.09375,19.21875,8.671998,872200
2000-03-21,19.125,19.59375,19.0625,19.375,8.742505,1362000
2000-03-22,19.375,19.375,18.75,18.875,8.516888,1228800
2000-03-23,18.75,18.875,18.59375,18.71875,8.446387,1411000
2000-03-24,18.75,19.03125,18.65625,19,8.573292,1105200
2000-03-27,18.8125,19.34375,18.65625,18.65625,8.418188,1122400
2000-03-28,18.5,18.6875,17.96875,18.34375,8.277176,1279000
2000-03-29,18.28125,18.59375,18.25,18.59375,8.389984,1591200
2000-03-30,18.75,18.78125,18.5,18.5625,8.375883,975000
2000-03-31,18.5625,18.9375,18.1875,18.4375,8.319478,2352600
2000-04-03,18.625,18.78125,18.28125,18.46875,8.333581,656000
2000-04-04,18.59375,19.6875,18.59375,19.6875,8.88351,2341000
2000-04-05,19.8125,21,19.8125,20.28125,9.151428,2886000
2000-04-06,20.21875,20.53125,19.625,19.8125,8.939912,1463200
2000-04-07,19.75,20.125,19.6875,19.84375,8.954017,911800
2000-04-10,19.875,20.84375,19.84375,20.6875,9.334734,1412200
2000-04-11,20.71875,21.34375,20.6875,20.84375,9.405241,1971200
2000-04-12,20.9375,21.75,20.78125,21.25,9.588552,1775200
2000-04-13,21.625,22.3125,21.34375,21.78125,9.828263,1546000
2000-04-14,21.6875,22.46875,20.8125,21.48435,9.694294,1809600
2000-04-17,20.90625,21.3125,20.09375,21,9.475745,1407000
