Stock Quotes for EXPD,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,10.96875,11,10.640625,10.796875,8.765018,1046800
2000-01-04,10.6875,10.75,10.617175,10.617175,8.619136,813600
2000-01-05,10.671875,10.71875,10.59375,10.648425,8.644507,568400
2000-01-06,10.59375,10.8125,10.578125,10.703125,8.68891,490400
2000-01-07,10.59375,10.8125,10.46875,10.617175,8.619136,804000
2000-01-10,10.59375,10.90625,10.578125,10.773425,8.745983,1740000
2000-01-11,10.875,10.875,10.46875,10.515625,8.5367,647600
2000-01-12,10.5,10.5,10,10.03125,8.143477,636400
2000-01-13,10.125,10.40625,10.0625,10.328125,8.384483,561600
2000-01-14,10.421875,11.1875,10.40625,11.0703,8.986987,1625200
2000-01-18,11.15625,11.15625,10.46875,10.46875,8.498643,942400
2000-01-19,10.4375,10.65625,10.25,10.585925,8.593767,857600
2000-01-20,10.609375,10.71875,10.5,10.60155,8.606452,1080800
2000-01-21,10.578125,10.75,10.5,10.59375,8.600123,339200
2000-01-24,10.625,10.75,10.21875,10.5,8.524013,1446000
2000-01-25,10.554675,10.75,10.484375,10.492175,8.517659,595600
2000-01-26,10.5625,10.890625,10.5625,10.734375,8.714285,895200
2000-01-27,10.8125,10.875,10.734375,10.734375,8.714285,686800
2000-01-28,10.703125,10.875,10.125,10.523425,8.543029,1000400
2000-01-31,10.421875,10.5625,10.28125,10.53905,8.555715,500800
2000-02-01,10.625,10.625,10.1875,10.554675,8.568398,805200
2000-02-02,10.5625,10.5625,9.6875,10.453125,8.485962,1085600
2000-02-03,10.4375,11.34375,10.375,11.0625,8.980659,1152800
2000-02-04,11.140625,11.375,10.953125,11.21875,9.107505,692400
2000-02-07,11.3125,11.3125,10.484375,10.59375,8.600123,709600
2000-02-08,10.875,10.9375,10.46875,10.546875,8.562065,1979600
2000-02-09,10.5625,10.78125,9.828125,10,8.118108,1277200
2000-02-10,10.078125,10.125,8.890625,9.304675,7.553637,3404000
2000-02-11,9.5,9.53125,9.125,9.5,7.712204,3893200
2000-02-14,9.484375,9.8125,9.40625,9.429675,7.655112,2596800
2000-02-15,9.5,9.53125,9.3125,9.375,7.610725,1386000
2000-02-16,9.390625,9.578125,9.3125,9.421875,7.648783,1514000
2000-02-17,9.578125,9.578125,8.875,9.125,7.407774,1335200
2000-02-18,9.1875,9.1875,8.65625,8.65625,7.027237,1092400
2000-02-22,8.6875,8.71875,8.40625,8.546875,6.938445,1075600
2000-02-23,8.546875,8.59375,8.15625,8.15625,6.621331,2822800
2000-02-24,8.28125,8.90625,8.21875,8.34375,6.773548,1948400
2000-02-25,8.46875,8.53125,8.3125,8.492175,6.894039,1822400
2000-02-28,8.421875,9.78125,8.375,9.773425,7.934174,1756000
2000-02-29,9.59375,9.671875,9.109375,9.4375,7.661464,1502400
2000-03-01,9.65625,9.65625,9.34375,9.5078,7.718536,1018000
2000-03-02,9.40625,10,9.3125,9.66405,7.84538,1496800
2000-03-03,9.71875,9.78125,9.5,9.75,7.915157,636800
2000-03-06,9.734375,9.75,9.1875,9.1875,7.458513,1230800
2000-03-07,9.28125,9.28125,9,9.125,7.407774,883200
2000-03-08,9.125,9.28125,9,9.15625,7.433145,1740400
2000-03-09,9.03125,9.15625,8.953125,9,7.306299,2971200
2000-03-10,9,9.03125,8.84375,8.90625,7.230189,1376400
2000-03-13,8.84375,8.859375,8.46875,8.6328,7.008201,2150800
2000-03-14,8.65625,8.78125,8.609375,8.71875,7.077975,1354400
2000-03-15,8.71875,8.9375,8.65625,8.921875,7.242874,2438400
2000-03-16,9.125,10.046875,9.046875,9.640625,7.826363,966000
2000-03-17,9.546875,10.1875,9.40625,9.742175,7.908804,875600
2000-03-20,9.6875,9.6875,9.28125,9.3125,7.559989,934800
2000-03-21,9.40625,10.03125,9.3125,9.9453,8.073699,686000
2000-03-22,10.125,10.375,10,10.21875,8.295692,1466800
2000-03-23,10.0625,10.875,10,10.71875,8.701599,2198800
2000-03-24,10.71875,10.984375,10.625,10.96875,8.904548,1048400
2000-03-27,11.03125,11.03125,10.5625,10.59375,8.600123,2210400
2000-03-28,10.710925,11.25,10.59375,10.984375,8.917236,1311200
2000-03-29,10.960925,11,10.8125,10.875,8.828444,1109200
2000-03-30,10.75,10.75,10.46875,10.546875,8.562065,894400
2000-03-31,10.53125,10.53125,9.78125,9.9375,8.067369,2139600
2000-04-03,10.015625,10.21875,9.21875,9.21875,7.483881,1092000
2000-04-04,9.25,9.9375,9.125,9.890625,8.029314,554800
2000-04-05,9.53515,9.96875,9.53125,9.859375,8.003948,387600
2000-04-06,9.96875,9.96875,9.59375,9.90625,8.042001,262400
2000-04-07,9.6953,9.75,9.28125,9.484375,7.699519,500800
2000-04-10,9.621075,9.621075,9.28125,9.296875,7.547304,552800
2000-04-11,9.484375,9.734375,8.875,9.5078,7.718536,1147200
2000-04-12,9.46875,9.984375,9.34375,9.78125,7.940524,624800
2000-04-13,9.71875,9.9375,9.625,9.625,7.81368,981200
2000-04-14,9.6875,9.75,9.4375,9.550775,7.753422,931600
2000-04-17,9.40625,9.6875,8.78125,8.78125,7.128715,1789200
2000-04-18,8.84375,10.578125,8.6875,10.328125,8.384483,1990000
2000-04-19,10.15625,10.40625,9.71875,10.140625,8.232267,892000
2000-04-20,10.203125,10.25,10.03125,10.0625,8.168848,669200
2000-04-24,10.25,10.25,9.46875,9.625,7.81368,980800
2000-04-25,9.78125,10.6875,9.65625,10.6875,8.67623,1352000
2000-04-26,10.59375,10.6875,10.40625,10.5,8.524013,555200
2000-04-27,10.5,10.6875,10.359375,10.41015,8.451071,1601200
2000-04-28,10.5,10.6875,10.34375,10.6875,8.67623,1891600
2000-05-01,10.6875,10.6875,10.1875,10.1875,8.270322,1812000
2000-05-02,10.375,10.53125,9.875,9.9375,8.067369,740800
2000-05-03,9.84375,9.875,9.46875,9.47265,7.689998,1802000
2000-05-04,9.875,10.1875,9.4375,10.1875,8.270322,2116000
2000-05-05,10.125,11.375,10.09375,10.984375,8.917236,5355600
2000-05-08,10.71875,11.046875,10.6875,10.75,8.726967,2143600
2000-05-09,10.75,11.09375,10.75,11.09375,9.006029,1640000
2000-05-10,11,11.015625,10.5625,10.5625,8.574753,1007600
2000-05-11,10.703125,11.03125,10.453125,10.953125,8.891866,607200
2000-05-12,10.90625,10.9375,10.375,10.625,8.625491,194800
2000-05-15,10.5625,11,10.375,10.6875,8.67623,972800
2000-05-16,10.796875,11.34375,10.671875,11.25,9.132873,1148000
2000-05-17,11.125,11.234375,10.78125,11.234375,9.120186,502800
2000-05-18,11,11.171875,10.84375,10.84375,8.803075,382400
2000-05-19,10.8125,10.96875,10.75,10.859375,8.815759,354000
2000-05-22,10.875,10.875,10.53125,10.609375,8.612806,510000
2000-05-23,10.75,10.96875,10.5,10.53125,8.54938,461600
2000-05-24,10.59375,11.09375,10.4375,10.96875,8.904548,470000
2000-05-25,11.0625,11.0625,10,10.28125,8.346431,696800
2000-05-26,10.28125,10.28125,9.875,9.953125,8.080053,874800
2000-05-30,10.1875,10.28125,9.984375,10.125,8.277802,613600
2000-05-31,10.25,10.59375,9.96875,10.140625,8.290575,664000
2000-06-01,10.28125,10.46875,10.03125,10.34375,8.456646,747600
2000-06-02,10.53125,10.78125,10.53125,10.6875,8.737681,334000
2000-06-05,10.640625,10.78125,10.265625,10.40625,8.507739,380400
2000-06-06,10.453125,10.921875,10.359375,10.78905,8.820704,436800
2000-06-07,10.703125,11.125,10.703125,11.0625,9.044268,576000
2000-06-08,10.96875,11.0625,10.65625,10.75,8.788777,610000
2000-06-09,10.890625,10.90625,10.625,10.765625,8.801556,334800
2000-06-12,11.03125,11.0625,10.8125,11.03125,9.018716,398400
2000-06-13,10.796875,10.984375,10.25,10.546875,8.62271,710800
2000-06-14,10.6875,11.15625,10.671875,10.859375,8.878199,428800
2000-06-15,10.921875,10.9375,10.625,10.671875,8.724906,488000
2000-06-16,10.734375,11.125,10.625,11,8.993167,548800
2000-06-19,10.9375,11.0625,10.765625,10.921875,8.929297,278000
2000-06-20,10.9375,11.625,10.9375,11.34375,9.274205,1174400
2000-06-21,11.25,12,11.21875,11.296875,9.235884,816400
2000-06-22,11.328125,11.34375,10.21875,10.6875,8.737681,434400
2000-06-23,10.679675,10.78125,10.125,10.328125,8.44387,176400
2000-06-26,10.328125,11.34375,10.3125,11.28125,9.223107,364000
