Stock Quotes for EXPE,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2005-07-21,48.220001,49.200001,47.84,48.040001,32.741581,109200
2005-07-22,49.240002,49.799999,47.900002,49.720001,33.886585,56800
2005-07-25,49.799999,49.799999,48.299999,48.48,33.041466,39600
2005-07-26,48.700001,48.700001,47.5,48,32.714321,102400
2005-07-27,48,48.240002,47.299999,48.139999,32.809734,98100
2005-07-28,48.200001,48.240002,47.82,48.099998,32.782482,93600
2005-07-29,48.200001,48.700001,47.700001,48.68,33.177773,60700
2005-08-01,48.459999,49,48.200001,48.700001,33.191399,164900
2005-08-02,52,52,47.279999,48.099998,32.782482,299700
2005-08-03,48.540001,48.540001,47.52,47.700001,32.509846,147700
2005-08-04,47.540001,47.779999,46.700001,47.200001,32.169079,141200
2005-08-05,47.380001,47.380001,46.299999,46.740002,31.855572,207000
2005-08-08,47,47.299999,42.52,45,30.66968,6384200
2005-08-09,46.540001,47.700001,45.040001,47.700001,32.509846,4870300
2005-08-10,48.380001,49.040001,47.34,47.400002,32.305393,2559000
2005-08-11,47.16,47.560001,45.560001,45.740002,31.174011,1705100
2005-08-12,45.459999,45.5,43,44.599998,30.397051,1688900
2005-08-15,45,45.16,42.599998,42.880001,29.224796,1489800
2005-08-16,42.580002,43.200001,41.380001,42.900002,29.238424,2345600
2005-08-17,42.360001,43.98,42.299999,43.380001,29.565563,1120600
2005-08-18,42.580002,44,42.580002,43.5,29.647348,1339900
2005-08-19,43.220001,43.799999,43.080002,43.299999,29.511045,736700
2005-08-22,43.400002,43.599998,42.400002,43.200001,29.442892,1630600
2005-08-23,42.759998,43.279999,42.419998,42.900002,29.238424,1077200
2005-08-24,42.599998,43.560001,42.439999,43.200001,29.442892,1159600
2005-08-25,42.860001,44.619999,42.860001,44.32,30.206224,789600
2005-08-26,44.279999,45.060001,43.799999,44.220001,30.138069,539900
2005-08-29,44.099998,45,43.799999,44.68,30.451586,465000
2005-08-30,44.080002,45,44,44.799999,30.533363,606100
2005-08-31,44.540001,44.860001,44,44.52,30.342531,826900
2005-09-01,44.279999,44.880001,44.119999,44.439999,30.288008,740500
2005-09-02,44.380001,45.259998,43.439999,44.740002,30.49247,918500
2005-09-06,43.380001,45.099998,43.380001,44.18,30.110811,1242200
2005-09-07,43.900002,45.18,43.82,44.560001,30.369793,683400
2005-09-08,44.34,45.939999,44.040001,44.900002,30.601522,640200
2005-09-09,44,44.700001,43.5,44.119999,30.06991,1995900
2005-09-12,43.900002,45.580002,43.900002,44.200001,30.124437,1010600
2005-09-13,44.68,44.82,44,44.139999,30.083544,748300
2005-09-14,43.880001,44.279999,43.5,43.639999,29.742771,727300
2005-09-15,43.459999,43.700001,42.099998,42.82,29.183897,1261400
2005-09-16,42.5,42.919998,41.5,42,28.625025,951900
2005-09-19,41.599998,42.619999,41.52,42.099998,28.693178,1082000
2005-09-20,42.139999,42.139999,41.52,41.880001,28.543249,665300
2005-09-21,42.880001,43,37.220001,41.299999,28.147947,896600
2005-09-22,41.32,41.34,39.259998,40.5,27.602697,972600
2005-09-23,40.580002,40.599998,39.5,40.16,27.370981,690200
2005-09-26,40.060001,40.66,39.799999,40.080002,27.316456,765500
2005-09-27,40.080002,40.540001,39.299999,39.84,27.152882,676500
2005-09-28,39.759998,39.860001,39.279999,39.459999,26.893896,651600
2005-09-29,39.220001,40.220001,39.080002,40.040001,27.2892,1144100
2005-09-30,39.299999,39.98,39.040001,39.619999,27.002945,1072900
2005-10-03,40.82,42.5,40.400002,40.82,27.820805,1023300
2005-10-04,40.880001,42.040001,40.799999,41.18,28.066154,672800
2005-10-05,41.200001,41.540001,39.84,40.18,27.384615,538700
2005-10-06,40.599998,40.599998,39.32,40.080002,27.316456,367700
2005-10-07,39.84,40.799999,39.439999,40.200001,27.398243,546500
2005-10-10,40,41,39.799999,40.599998,27.670862,442300
2005-10-11,40.619999,41.16,39.799999,40.099998,27.33008,446000
2005-10-12,39.900002,40.5,39.080002,39.299999,26.784853,620300
2005-10-13,39.040001,39.82,38.599998,39.52,26.934793,621500
2005-10-14,39.619999,41.919998,39.400002,40.279999,27.452763,479800
2005-10-17,40.16,41,39.5,40.84,27.834436,600700
2005-10-18,40.939999,41.16,39.400002,39.740002,27.084728,300700
2005-10-19,39.700001,39.98,38.900002,39.18,26.703066,467400
2005-10-20,39.040001,39.400002,37.959999,39,26.580385,588100
2005-10-21,38.720001,39.880001,38.419998,39.16,26.689434,417200
2005-10-24,39.240002,39.240002,37.720001,38.540001,26.26687,794000
2005-10-25,38.18,38.48,37.5,37.66,25.667105,491100
2005-10-26,37.619999,38.060001,37.02,37.48,25.544436,471600
2005-10-27,38.16,38.200001,37.400002,37.66,25.667105,572600
2005-10-28,37.18,37.779999,37.16,37.560001,25.598951,607300
2005-10-31,37.220001,38.459999,36.98,37.700001,25.69437,903800
2005-11-01,37.360001,38.380001,37.360001,38.080002,25.953363,820800
2005-11-02,37.880001,39.080002,37.599998,38.799999,26.444071,824000
2005-11-03,41,41.939999,40.259998,41.419998,28.229733,2266800
2005-11-04,46.959999,48.240002,44.400002,45.459999,30.983189,4354600
2005-11-07,45.599998,45.740002,44.119999,45.259998,30.846874,723600
2005-11-08,44.84,45.799999,43.799999,45.18,30.792351,704700
2005-11-09,45.240002,45.580002,44.040001,44.599998,30.397051,823200
2005-11-10,44.200001,44.919998,43.82,44,29.988123,647100
2005-11-11,43.98,44.240002,42.759998,43,29.30658,686900
2005-11-14,43,43.639999,42.299999,43.139999,29.401991,949800
2005-11-15,42.919998,43.18,42.16,43.02,29.320206,661400
2005-11-16,43.380001,44.16,42.740002,42.82,29.183897,575300
2005-11-17,42.900002,43.740002,42.32,43.299999,29.511045,1132600
2005-11-18,43.299999,43.82,43.099998,43.400002,29.579201,833900
2005-11-21,43.360001,45.799999,43.360001,45.200001,30.805979,2279800
2005-11-22,45.439999,47.380001,44.84,46.799999,31.896463,1898600
2005-11-23,46.200001,46.799999,45.099998,45.599998,31.078608,1132300
2005-11-25,45.880001,46.84,45.880001,46.279999,31.542061,193300
2005-11-28,46.700001,46.939999,45.84,46.380001,31.61021,645500
2005-11-29,46.259998,48.5,46.200001,47.32,32.25087,1951800
2005-11-30,47.939999,49.98,47.48,49.779999,33.927464,2771500
2005-12-01,49.779999,50.16,49.259998,49.68,33.859314,1448900
2005-12-02,49.299999,49.860001,48.799999,49.799999,33.941109,470800
2005-12-05,49.939999,49.939999,48.279999,48.759998,33.232296,1101300
2005-12-06,49.259998,49.580002,48.419998,48.619999,33.136871,676400
2005-12-07,48.419998,49.599998,48.419998,49.16,33.504913,995900
2005-12-08,49,49.540001,48.400002,49.240002,33.559441,528500
2005-12-09,49.099998,50.240002,48.66,49.799999,33.941109,980900
2005-12-12,50.5,50.599998,49.200001,50.400002,34.350037,704400
2005-12-13,50.299999,50.860001,49.459999,50.240002,34.240986,891500
2005-12-14,50.419998,50.959999,49.619999,50.720001,34.568127,693100
2005-12-15,50.860001,51.16,50.060001,50.860001,34.663548,834800
2005-12-16,51.299999,52.639999,49.919998,52.200001,35.576817,8207900
2005-12-19,51.32,51.880001,49.599998,50.84,34.649914,2319800
2005-12-20,50.98,51.119999,48.900002,49.52,33.750271,1073300
2005-12-21,49.32,49.52,48.299999,48.639999,33.150513,1044600
2005-12-22,48.82,49.119999,47.220001,48.360001,32.959675,1500000
2005-12-23,48.52,48.779999,47.540001,47.919998,32.659794,498500
2005-12-27,47.799999,48.439999,46.299999,47.439999,32.332657,550500
2005-12-28,47.139999,48.119999,46.200001,47.900002,32.646164,946900
2005-12-29,48,48.459999,47.360001,47.66,32.48259,449400
2005-12-30,47.360001,48.380001,46.799999,47.919998,32.659794,529000
2006-01-03,48,48.400002,46.900002,48,32.714321,1029700
2006-01-04,48,48.599998,47.18,48.5,33.055084,1135500
2006-01-05,48.66,48.700001,47.599998,48,32.714321,618800
2006-01-06,48.48,48.68,47.220001,48.02,32.72794,1600500
2006-01-09,48.080002,49.02,47.599998,48.84,33.286827,1079500
2006-01-10,49.720001,50.799999,49.040001,50.619999,34.499969,1861100
2006-01-11,50.560001,51.299999,50.099998,50.880001,34.677174,966900
2006-01-12,50.5,51.400002,50.099998,51.259998,34.936172,854700
2006-01-13,51.060001,51.599998,50.740002,51.439999,35.05883,635100
2006-01-17,51.68,51.98,51.439999,51.740002,35.263313,1292000
2006-01-18,51.34,52.259998,51.34,51.919998,35.385994,1305900
2006-01-19,51.900002,52.220001,51.259998,51.959999,35.413258,437200
2006-01-20,51.459999,52,50.419998,50.700001,34.554508,760500
2006-01-23,50.540001,51.540001,50,51.32,34.977062,634200
2006-01-24,51.32,51.759998,50.5,50.98,34.745331,1179400
2006-01-25,50.84,51,49.400002,50.599998,34.486351,589100
2006-01-26,51.200001,51.799999,50.619999,51.34,34.990692,605000
2006-01-27,51.380001,53.099998,51.139999,52.34,35.672241,972600
2006-01-30,52.66,53.220001,52.259998,52.619999,35.863068,736800
2006-01-31,52.580002,52.919998,51.200001,52.040001,35.467766,587300
2006-02-01,51.860001,52.599998,50.959999,52.360001,35.685871,418400
2006-02-02,52.02,55.099998,51.240002,51.779999,35.290573,753800
2006-02-03,50.959999,51.34,49.599998,50.939999,34.718071,846800
2006-02-06,50.459999,51.18,50.400002,51.040001,34.786213,393200
2006-02-07,50.540001,51.439999,50.400002,51.080002,34.813484,491200
2006-02-08,51.060001,51.740002,50.66,51.400002,35.031578,486600
2006-02-09,51.259998,52.220001,50.200001,50.48,34.404556,440400
2006-02-10,48.619999,48.799999,47.099998,48.48,33.041466,2202100
2006-02-13,48.040001,48.560001,47.639999,48.400002,32.986938,735400
2006-02-14,48.16,48.400002,46.560001,47.66,32.48259,1425600
2006-02-15,47.419998,49.279999,46.98,48.5,33.055084,1952100
2006-02-16,39.400002,41.52,38.900002,39.639999,27.016579,13689600
2006-02-17,39.599998,41,39.459999,40.240002,27.425505,2051000
2006-02-21,40.139999,40.419998,39.560001,39.959999,27.234663,2299400
2006-02-22,40.200001,41.119999,39.959999,40.599998,27.670862,1656900
2006-02-23,40.560001,40.599998,39.880001,40.040001,27.2892,852400
2006-02-24,39.880001,40,39,39.040001,26.607645,1933200
2006-02-27,39.240002,39.68,38.98,39.02,26.594015,1206600
2006-02-28,39.119999,39.119999,37.580002,37.939999,25.857941,2488500
2006-03-01,38.02,39.139999,37.700001,38.799999,26.444071,1285300
2006-03-02,38.5,38.799999,38.02,38.32,26.116928,625900
2006-03-03,38.139999,38.98,37.84,38.799999,26.444071,776000
2006-03-06,38.619999,39,38.52,38.720001,26.389555,996400
2006-03-07,38.759998,38.759998,37.900002,38.259998,26.076038,719900
2006-03-08,38,38.259998,36.939999,37.540001,25.585321,1467700
2006-03-09,37.66,37.880001,37.040001,37.139999,25.3127,1017100
2006-03-10,37.16,37.599998,36.099998,36.939999,25.17639,1060300
2006-03-13,37.040001,37.52,36.5,37.299999,25.421751,579100
2006-03-14,37.400002,37.68,36.900002,37.200001,25.353598,739500
2006-03-15,37.119999,37.759998,36.82,37.400002,25.489906,438800
2006-03-16,37.279999,37.34,36.18,36.279999,24.726574,1155400
2006-03-17,36.279999,36.400002,35.919998,36.360001,24.781101,2022700
2006-03-20,36.32,36.619999,36.119999,36.240002,24.699318,672900
2006-03-21,36.139999,36.459999,34.98,35.240002,24.017767,1427800
2006-03-22,34.959999,37.220001,34.84,37,25.217285,1568700
