Stock Quotes for FE,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,22.4375,22.5,21.875,22.0625,9.576499,532500
2000-01-04,22,22.375,21.875,22.0625,9.576499,887800
2000-01-05,22.125,23,22.125,22.875,9.929176,532000
2000-01-06,22.875,23.0625,22.8125,22.9375,9.956304,359000
2000-01-07,22.9375,23.1875,22.875,23.0625,10.010564,378100
2000-01-10,23.0625,23.375,22.9375,23.125,10.037688,407000
2000-01-11,23,23.4375,23,23.375,10.146208,479900
2000-01-12,23.125,23.5,23.125,23.4375,10.173337,935600
2000-01-13,23.5625,23.5625,23.375,23.375,10.146208,581400
2000-01-14,23.5625,23.5625,23.1875,23.25,10.091948,835800
2000-01-18,23.125,23.25,22.8125,22.875,9.929176,561300
2000-01-19,22.8125,23,22.5,22.8125,9.902045,638200
2000-01-20,22.75,22.875,22.5625,22.75,9.874918,410400
2000-01-21,22.75,23,22.5625,23,9.983431,819800
2000-01-24,23,23.375,22.9375,23.125,10.037688,556700
2000-01-25,23.0625,23.3125,22.6875,22.8125,9.902045,673400
2000-01-26,22.8125,23.3125,22.8125,23.125,10.037688,1349700
2000-01-27,23.125,23.25,23,23.125,10.037688,808900
2000-01-28,23.125,23.1875,22.5,22.6875,9.847787,909000
2000-01-31,22.75,23.0625,22.6875,22.75,9.874918,523000
2000-02-01,22.8125,23.125,22.75,22.9375,9.956304,289500
2000-02-02,22.875,23.125,22.8125,22.875,9.929176,3666600
2000-02-03,22.75,23.125,22.6875,22.875,10.09466,618100
2000-02-04,22.9375,22.9375,22.1875,22.3125,9.84643,688000
2000-02-07,22.125,22.25,22,22,9.708529,311400
2000-02-08,22,22.3125,22,22.125,9.763686,202500
2000-02-09,22.125,22.375,22.125,22.3125,9.84643,523800
2000-02-10,22.3125,22.375,21.875,22,9.708529,439900
2000-02-11,22,22.1875,21.5625,21.6875,9.570622,940600
2000-02-14,21.6875,21.75,21.5,21.625,9.543038,625700
2000-02-15,21.625,21.9375,21.5625,21.625,9.543038,392500
2000-02-16,21.625,21.875,21.4375,21.625,9.543038,460400
2000-02-17,21.5625,21.625,21,21,9.26723,910200
2000-02-18,20.875,20.9375,20.4375,20.4375,9.019,1194200
2000-02-22,20.4375,20.5,19.875,20.0625,8.853512,714900
