Stock Quotes for FIS,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2001-06-20,24,24.5,23.9,23.9,10.303576,11000
2001-06-21,24.5,25.5,24.5,25.5,10.99336,39300
2001-06-22,25.5,25.65,25.5,25.6,11.036469,33800
2001-06-25,25.9,26.5,25.9,26.5,11.42447,9100
2001-06-26,26.5,26.5,26.15,26.450001,11.402914,109800
2001-06-27,26.450001,26.6,26.440001,26.6,11.467583,185300
2001-06-28,26.799999,27.5,26.799999,27.5,11.855582,66000
2001-06-29,27.549999,28.1,27.549999,28,12.071139,71300
2001-07-02,28,28.4,28,28,12.071139,69700
2001-07-03,28.01,28.16,28.01,28.049999,12.092691,56200
2001-07-05,28.049999,28.049999,27.940001,27.950001,12.049583,61900
2001-07-06,27.950001,30,26.9,30,12.933362,3337400
2001-07-09,30,31.299999,29.799999,29.91,12.894562,1674700
2001-07-10,29.91,30.01,28.549999,28.549999,12.308249,1210400
2001-07-11,28.450001,29.01,28.379999,28.5,12.286694,2426400
2001-07-12,28.51,30.200001,28.51,29.450001,12.696252,1294600
2001-07-13,29.35,30.02,28.99,29,12.502251,709500
2001-07-16,29,29.610001,28.52,28.75,12.39447,593900
2001-07-17,28.75,29.75,28.709999,29.59,12.756605,837100
2001-07-18,29.52,30,29.43,29.49,12.713492,396600
2001-07-19,29.440001,29.5,28.809999,28.9,12.459138,303600
2001-07-20,28.799999,29.15,28.799999,28.959999,12.485006,519000
2001-07-23,28.959999,29.01,28.6,29.01,12.50656,206100
2001-07-24,28.950001,29.299999,28.74,28.98,12.493627,268600
2001-07-25,28.969999,29.790001,28.75,29.549999,12.739362,385200
2001-07-26,29.4,29.950001,29.18,29.93,12.903181,208500
2001-07-27,29.92,30.549999,29.9,30.530001,13.161853,274600
2001-07-30,30.540001,32.150002,30.540001,31.620001,13.63176,289200
2001-07-31,31.6,33.5,31.6,33.02,14.23532,357300
2001-08-01,33.099998,34.279999,33.099998,34,14.65781,759800
2001-08-02,33.950001,34.200001,33.66,33.709999,14.532788,365500
2001-08-03,33.5,33.549999,32.599998,32.650002,14.075809,139800
2001-08-06,32.799999,32.900002,32.080002,32.139999,13.855942,161700
2001-08-07,32.139999,32.700001,32.099998,32.450001,13.989588,186400
2001-08-08,32.5,32.599998,32,32.490002,14.006827,322400
2001-08-09,32.5,32.599998,32.349998,32.509998,14.015454,169400
2001-08-10,32.509998,32.75,32.099998,32.150002,13.860252,328500
2001-08-13,32.139999,32.139999,31.99,32,13.795589,396200
2001-08-14,33,33,32.48,32.790001,14.136163,269000
2001-08-15,32.799999,33.099998,32,32,13.795589,307000
2001-08-16,32,32.150002,31.799999,32,13.795589,280600
2001-08-17,31.950001,32.25,31.790001,32.240002,13.899055,211200
2001-08-20,32.290001,32.290001,32,32.02,13.804208,150900
2001-08-21,32,32.450001,32,32.299999,13.92492,321800
2001-08-22,32.200001,32.630001,32.150002,32.5,14.01114,234300
2001-08-23,32.25,32.5,32.200001,32.400002,13.968031,72300
2001-08-24,32.349998,32.400002,32.200001,32.349998,13.946471,69600
2001-08-27,32.349998,32.73,32.349998,32.650002,14.075809,80900
2001-08-28,32.720001,32.720001,32.310001,32.380001,13.959407,241000
2001-08-29,32.380001,32.740002,32.299999,32.73,14.110297,261600
2001-08-30,32.68,33.119999,32.68,33.009998,14.231008,182300
2001-08-31,33.25,34.360001,33.25,34.360001,14.813013,277600
2001-09-04,34.349998,35.099998,34.330002,34.900002,15.045813,760800
2001-09-05,34.900002,34.900002,33.709999,33.720001,14.537103,296900
2001-09-06,33.700001,33.700001,32.830002,33,14.226699,333900
2001-09-07,33,33.049999,32.5,32.639999,14.071498,186200
2001-09-10,32.5,32.860001,32.5,32.75,14.118917,179400
2001-09-17,32,32.049999,29.99,30.09,12.972161,279800
2001-09-18,30.09,30.780001,29.98,30.75,13.256695,389000
2001-09-19,30.85,31.200001,30.34,30.82,13.286877,222200
2001-09-20,30.700001,30.85,29.299999,29.870001,12.877316,653700
2001-09-21,28.4,29.9,27.75,29.639999,12.778166,685900
2001-09-24,29.540001,30,28.75,29.43,12.687626,364400
2001-09-25,29.43,29.43,28.299999,28.73,12.385847,245300
2001-09-26,28.719999,28.719999,25.6,25.6,11.036469,619500
2001-09-27,25.6,25.950001,24.809999,24.98,10.769179,597300
2001-09-28,25,26.25,25,25.959999,11.191667,1213300
2001-10-01,26.049999,28.24,26,28.23,12.170293,208600
2001-10-02,28.25,28.450001,27.790001,28,12.071139,179100
2001-10-03,28.01,29.25,27.82,29.219999,12.597096,235300
2001-10-04,29.200001,31.9,29.200001,31,13.364477,274100
2001-10-05,30.950001,30.950001,29.4,30.190001,13.015273,176000
2001-10-08,30.24,30.75,28.51,28.51,12.291006,246600
2001-10-09,28.52,30.200001,26.75,29.889999,12.885936,397600
2001-10-10,29.9,30.299999,29.5,29.74,12.821274,347100
2001-10-11,29.74,29.74,28.549999,28.790001,12.411718,339700
2001-10-12,28.799999,28.9,27.799999,27.809999,11.989225,468100
2001-10-15,27.790001,30,27.299999,29,12.502251,453100
2001-10-16,29.1,29.1,28.6,28.700001,12.372915,94600
2001-10-17,28.76,29.540001,28.65,28.66,12.355669,342800
2001-10-18,28.66,30.200001,28.66,29.459999,12.700562,850100
2001-10-19,29.5,29.700001,29.299999,29.4,12.674693,366800
2001-10-22,29.459999,29.68,29.299999,29.51,12.722115,365200
2001-10-23,29.559999,29.940001,29.559999,29.85,12.868691,248500
2001-10-24,29.860001,30.1,29.700001,30.02,12.941983,162900
2001-10-25,30.030001,30.08,29.950001,30,12.933362,287200
2001-10-26,30,30,29.75,29.950001,12.911805,74100
2001-10-29,29.65,30,29.48,29.49,12.713492,113500
