Stock Quotes for FRT,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,18.8125,18.875,18.625,18.8125,8.58371,110000
2000-01-04,18.75,18.8125,18.625,18.75,8.555193,176500
2000-01-05,18.75,18.875,18.625,18.6875,8.526677,135400
2000-01-06,18.75,19.25,18.625,19.25,8.783335,186800
2000-01-07,19.25,20.375,19.1875,20.25,9.239607,190200
2000-01-10,20.3125,20.5,20.0625,20.375,9.296642,64400
2000-01-11,20.25,20.25,19.5,19.625,8.954435,56900
2000-01-12,19.75,20.25,19.75,20,9.125539,96100
2000-01-13,19.875,20.0625,19.625,19.9375,9.09702,164200
2000-01-14,20,20.0625,19.75,19.75,9.011471,53400
2000-01-18,20,20.0625,19.8125,20,9.125539,64000
2000-01-19,19.875,20.125,19.75,20.125,9.182571,154100
2000-01-20,20.1875,20.25,20.125,20.1875,9.211092,51900
2000-01-21,20.1875,20.1875,20.0625,20.1875,9.211092,29200
2000-01-24,20.125,20.1875,20,20,9.125539,52600
2000-01-25,20,20.125,19.875,20,9.125539,66700
2000-01-26,20.0625,20.0625,20,20,9.125539,34200
2000-01-27,20.0625,20.125,20,20.0625,9.154058,61000
2000-01-28,20,20.0625,20,20.0625,9.154058,33400
2000-01-31,19.9375,20.0625,19.9375,19.9375,9.09702,57100
2000-02-01,20.0625,20.0625,19.875,20.0625,9.154058,49100
2000-02-02,20.0625,20.0625,19.625,19.6875,8.982954,171500
2000-02-03,19.75,19.8125,19.6875,19.75,9.011471,34500
2000-02-04,19.625,19.6875,19.4375,19.4375,8.868883,73000
2000-02-07,19.375,19.5,19.1875,19.1875,8.754817,99200
2000-02-08,19.1875,19.25,19,19.125,8.726298,73500
2000-02-09,19.1875,19.25,18.875,19.125,8.726298,70600
2000-02-10,19,19.375,18.9375,19.3125,8.811849,33400
2000-02-11,19.1875,19.25,18.75,18.75,8.555193,77400
2000-02-14,18.75,18.75,17.75,18,8.212987,143600
2000-02-15,18,18.25,17.875,18,8.212987,249000
2000-02-16,18,18.125,17.875,17.875,8.155952,97100
2000-02-17,17.9375,18.0625,17.9375,18.0625,8.241503,70100
2000-02-18,18.0625,18.375,18.0625,18.1875,8.298539,113000
2000-02-22,18.125,18.5,18.0625,18.5,8.441126,83500
2000-02-23,18.375,18.6875,18.125,18.625,8.498158,85000
2000-02-24,18.5,18.5,18.0625,18.25,8.327056,49900
2000-02-25,18.25,18.5,18.25,18.375,8.38409,37200
