Stock Quotes for FTR,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,209.0625,211.875,207.1875,210,174.672989,34600
2000-01-04,208.125,218.4375,206.25,212.8125,177.012344,82900
2000-01-05,210.9375,215.625,210,214.6875,178.571945,41600
2000-01-06,212.8125,214.6875,211.875,212.8125,177.012344,17900
2000-01-07,212.8125,220.3125,210,220.3125,183.250595,32700
2000-01-10,215.625,221.25,212.8125,218.4375,181.691055,33200
2000-01-11,216.5625,219.375,213.75,215.625,179.3517,25600
2000-01-12,214.6875,229.6875,210,228.75,190.268768,141200
2000-01-13,225,227.8125,221.25,224.0625,186.369827,71400
2000-01-14,226.875,228.75,225,225.9375,187.929337,57600
2000-01-18,225,232.5,224.0625,230.625,191.828308,52500
2000-01-19,230.625,234.375,226.875,231.5625,192.608154,49400
2000-01-20,231.5625,239.0625,230.625,235.3125,195.727295,94100
2000-01-21,236.25,241.875,234.375,240.9375,200.406036,54700
2000-01-24,239.0625,240,228.75,232.5,193.387939,42700
2000-01-25,231.5625,233.4375,215.625,227.8125,189.488968,38600
2000-01-26,225.9375,233.4375,225,233.4375,194.167648,23400
2000-01-27,234.375,239.0625,232.5,233.4375,194.167648,50300
2000-01-28,234.375,234.375,221.25,222.1875,184.810272,25500
2000-01-31,224.0625,225,217.5,222.1875,184.810272,52200
2000-02-01,222.1875,228.75,222.1875,223.125,185.590042,42000
2000-02-02,223.125,227.8125,222.1875,227.8125,189.488968,96500
2000-02-03,229.6875,240.9375,225.9375,240.9375,200.406036,70900
2000-02-04,241.875,255.9375,240.9375,255.9375,212.88266,206400
2000-02-07,255.9375,255.9375,249.375,255,212.102859,78200
2000-02-08,255,255,247.5,250.3125,208.203918,61900
2000-02-09,250.3125,251.25,240.9375,241.875,201.185837,35600
2000-02-10,243.75,247.5,241.875,244.6875,203.525101,24900
2000-02-11,244.6875,247.5,236.25,238.125,198.066635,37200
2000-02-14,237.1875,244.6875,235.3125,242.8125,201.965607,50400
2000-02-15,247.5,252.1875,243.75,246.5625,205.084793,112500
2000-02-16,245.625,246.5625,240,241.875,201.185837,41300
2000-02-17,242.8125,251.25,242.8125,248.4375,206.644363,118300
2000-02-18,246.5625,247.5,241.875,243.75,202.745377,37600
2000-02-22,242.8125,244.6875,234.375,236.25,196.507034,33900
2000-02-23,236.25,236.25,225,230.625,191.828308,58900
2000-02-24,230.625,232.5,227.8125,232.5,193.387939,54700
2000-02-25,236.25,240,234.375,239.0625,198.846466,46100
2000-02-28,237.1875,237.1875,229.6875,231.5625,192.608154,46100
2000-02-29,232.5,237.1875,225,228.75,190.268768,56100
2000-03-01,228.75,230.625,223.125,229.6875,191.048538,63600
2000-03-02,231.5625,237.1875,228.75,235.3125,195.727295,63900
2000-03-03,236.25,239.0625,231.5625,233.4375,194.167648,41400
2000-03-06,237.1875,240.9375,232.5,234.375,194.947403,54300
2000-03-07,234.375,242.8125,232.5,240,199.626236,119700
2000-03-08,239.0625,243.75,236.25,239.0625,198.846466,75900
2000-03-09,239.0625,243.75,237.1875,243.75,202.745377,70500
2000-03-10,243.75,249.375,240.9375,242.8125,201.965607,62900
2000-03-13,238.125,240.9375,236.25,239.0625,198.846466,49700
2000-03-14,238.125,239.0625,230.625,232.5,193.387939,42600
2000-03-15,233.4375,234.375,223.125,227.8125,189.488968,48800
2000-03-16,229.6875,236.25,227.8125,235.3125,195.727295,65700
2000-03-17,234.375,251.25,233.4375,247.5,205.864487,102100
2000-03-20,248.4375,254.0625,244.6875,252.1875,209.763489,115200
2000-03-21,247.5,251.25,247.5,250.3125,208.203918,119200
2000-03-22,250.3125,251.25,241.875,246.5625,205.084793,99500
2000-03-23,241.875,246.5625,238.125,240.9375,200.406036,89300
2000-03-24,240,244.6875,240,243.75,202.745377,100300
2000-03-27,243.75,252.1875,241.875,252.1875,209.763489,129100
2000-03-28,245.625,249.375,245.625,247.5,205.864487,24900
2000-03-29,245.625,247.5,239.0625,242.8125,201.965607,40300
2000-03-30,240,240.9375,235.3125,239.0625,198.846466,37900
2000-03-31,236.25,246.5625,236.25,245.625,204.305008,51500
2000-04-03,243.75,252.1875,242.8125,250.3125,208.203918,51400
2000-04-04,249.375,252.1875,236.25,241.875,201.185837,108800
