Stock Quotes for GGP,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.198647,7.198647,7.102236,7.182578,1.657471,385000
2000-01-04,7.037962,7.037962,6.813005,6.893347,1.712309,506700
2000-01-05,6.877278,6.973689,6.780868,6.941552,1.724284,402100
2000-01-06,6.909415,7.246852,6.909415,7.182578,1.784155,682200
2000-01-07,7.230783,7.359331,7.198647,7.343262,1.824069,2521100
2000-01-10,7.295057,7.359331,7.295057,7.343262,1.824069,1351100
2000-01-11,7.311125,7.375399,7.311125,7.343262,1.824069,803100
2000-01-12,7.375399,7.375399,7.295057,7.327194,1.820078,711300
2000-01-13,7.327194,7.343262,7.295057,7.327194,1.820078,933500
2000-01-14,7.311125,7.359331,7.311125,7.359331,1.82806,1368600
2000-01-18,7.343262,7.536083,7.327194,7.439673,1.848018,2154800
2000-01-19,7.439673,7.455741,7.327194,7.423604,1.844026,595000
2000-01-20,7.439673,7.455741,7.391468,7.407536,1.840035,199100
2000-01-21,7.375399,7.407536,7.359331,7.391468,1.836043,175300
2000-01-24,7.407536,7.439673,7.359331,7.359331,1.82806,450300
2000-01-25,7.391468,7.455741,7.327194,7.375399,1.832051,594600
2000-01-26,7.407536,7.487878,7.407536,7.455741,1.852009,863400
2000-01-27,7.455741,7.471809,7.327194,7.327194,1.820078,929900
2000-01-28,7.343262,7.455741,7.343262,7.423604,1.844026,142300
2000-01-31,7.423604,7.439673,7.327194,7.327194,1.820078,777500
2000-02-01,7.343262,7.375399,7.278989,7.327194,1.820078,1726900
2000-02-02,7.311125,7.375399,7.311125,7.359331,1.82806,1057500
2000-02-03,7.359331,7.455741,7.246852,7.343262,1.824069,2558500
2000-02-04,7.375399,7.423604,7.375399,7.391468,1.836043,237500
2000-02-07,7.391468,7.407536,7.359331,7.391468,1.836043,525400
2000-02-08,7.391468,7.455741,7.391468,7.439673,1.848018,1460100
2000-02-09,7.503946,7.503946,7.455741,7.455741,1.852009,852900
2000-02-10,7.439673,7.471809,7.407536,7.439673,1.848018,1370200
2000-02-11,7.439673,7.471809,7.423604,7.423604,1.844026,437100
2000-02-14,7.423604,7.455741,7.391468,7.423604,1.844026,463900
2000-02-15,7.391468,7.632493,7.391468,7.584289,1.88394,3081300
2000-02-16,7.552152,7.712836,7.552152,7.56822,1.879949,1629700
2000-02-17,7.56822,7.584289,7.552152,7.56822,1.879949,164100
2000-02-18,7.584289,7.584289,7.503946,7.520015,1.867975,99500
2000-02-22,7.584289,7.584289,7.471809,7.471809,1.856001,241500
2000-02-23,7.520015,7.520015,7.455741,7.487878,1.859991,314900
2000-02-24,7.520015,7.536083,7.471809,7.536083,1.871966,181200
2000-02-25,7.471809,7.487878,7.439673,7.471809,1.856001,653800
2000-02-28,7.503946,7.503946,7.407536,7.439673,1.848018,295900
2000-02-29,7.423604,7.439673,7.391468,7.407536,1.840035,864200
2000-03-01,7.407536,7.471809,7.407536,7.439673,1.848018,262400
2000-03-02,7.439673,7.487878,7.359331,7.471809,1.856001,337200
2000-03-03,7.471809,7.536083,7.471809,7.503946,1.863983,409900
2000-03-06,7.503946,7.600357,7.455741,7.471809,1.856001,537400
2000-03-07,7.471809,7.503946,7.423604,7.487878,1.859991,131400
2000-03-08,7.487878,7.487878,7.359331,7.359331,1.82806,611400
2000-03-09,7.423604,7.503946,7.407536,7.487878,1.859991,212200
2000-03-10,7.503946,7.503946,7.278989,7.327194,1.820078,958300
2000-03-13,7.327194,7.455741,7.327194,7.391468,1.836043,434800
2000-03-14,7.391468,7.391468,7.311125,7.327194,1.820078,199500
2000-03-15,7.327194,7.471809,7.311125,7.455741,1.852009,441400
2000-03-16,7.487878,7.56822,7.487878,7.536083,1.871966,390000
2000-03-17,7.520015,7.648562,7.471809,7.503946,1.863983,418000
2000-03-20,7.487878,7.616425,7.487878,7.536083,1.871966,210700
2000-03-21,7.520015,7.552152,7.503946,7.536083,1.871966,159300
2000-03-22,7.536083,7.632493,7.520015,7.616425,1.891923,606600
2000-03-23,7.600357,7.696767,7.536083,7.696767,1.91188,474400
2000-03-24,7.696767,7.696767,7.455741,7.471809,1.856001,2523500
2000-03-27,7.503946,7.56822,7.455741,7.552152,1.875957,997600
2000-03-28,7.56822,7.712836,7.552152,7.712836,1.915872,897200
2000-03-29,7.712836,7.777109,7.66463,7.777109,1.931837,443300
2000-03-30,7.744973,7.825315,7.696767,7.825315,1.943811,303300
2000-03-31,7.777109,7.857451,7.777109,7.825315,1.943811,894900
2000-04-03,7.825315,7.87352,7.825315,7.857451,1.951793,357700
2000-04-04,7.777109,7.777109,7.66463,7.728904,2.053123,342200
2000-04-05,7.744973,7.761041,7.648562,7.66463,2.03605,2010800
2000-04-06,7.696767,7.761041,7.616425,7.761041,2.061661,555300
2000-04-07,7.777109,7.889588,7.744973,7.889588,2.095809,355400
2000-04-10,7.889588,7.985999,7.87352,7.953862,2.112883,208700
2000-04-11,8.002067,8.098477,7.96993,8.034204,2.134224,909300
2000-04-12,8.098477,8.162751,8.034204,8.146683,2.164103,829500
2000-04-13,8.162751,8.227025,8.146683,8.227025,2.185446,792200
2000-04-14,8.162751,8.210957,8.162751,8.194888,2.176909,229700
2000-04-17,8.227025,8.227025,8.034204,8.050272,2.138493,482200
2000-04-18,8.06634,8.17882,8.06634,8.114546,2.155567,749800
2000-04-19,8.130614,8.194888,8.098477,8.162751,2.168372,237500
2000-04-20,8.162751,8.259162,8.162751,8.227025,2.185446,308800
2000-04-24,8.227025,8.291298,8.194888,8.210957,2.181178,548000
2000-04-25,8.243093,8.243093,8.227025,8.227025,2.185446,339400
2000-04-26,8.259162,8.516256,8.259162,8.451982,2.245205,530800
2000-04-27,8.451982,8.484119,8.387709,8.484119,2.25374,604000
2000-04-28,8.500188,8.500188,8.419846,8.451982,2.245205,289300
2000-05-01,8.468051,8.741214,8.435914,8.741214,2.322036,2555000
2000-05-02,8.725145,8.789419,8.660872,8.757282,2.326304,808500
2000-05-03,8.757282,8.773351,8.612666,8.612666,2.287888,2063700
2000-05-04,8.644803,8.725145,8.484119,8.67694,2.304962,1192500
2000-05-05,8.612666,8.612666,8.548393,8.548393,2.270814,300500
2000-05-08,8.596598,8.660872,8.596598,8.660872,2.300694,238400
2000-05-09,8.67694,8.67694,8.58053,8.612666,2.287888,406000
2000-05-10,8.628735,8.644803,8.451982,8.451982,2.245205,871900
2000-05-11,8.484119,8.500188,8.451982,8.484119,2.25374,150800
2000-05-12,8.484119,8.484119,8.387709,8.435914,2.240935,658400
2000-05-15,8.468051,8.500188,8.451982,8.484119,2.25374,244500
2000-05-16,8.484119,8.516256,8.468051,8.484119,2.25374,406700
2000-05-17,8.484119,8.484119,8.419846,8.419846,2.236667,228200
2000-05-18,8.435914,8.468051,8.37164,8.387709,2.228131,215000
2000-05-19,8.387709,8.403777,8.307366,8.387709,2.228131,540600
2000-05-22,8.451982,8.451982,8.339503,8.355572,2.219593,538200
2000-05-23,8.387709,8.403777,8.339503,8.355572,2.219593,189000
2000-05-24,8.387709,8.403777,8.27523,8.27523,2.198251,427800
2000-05-25,8.307366,8.323435,8.194888,8.194888,2.176909,166800
2000-05-26,8.227025,8.259162,8.098477,8.17882,2.17264,2308400
2000-05-30,8.17882,8.210957,8.114546,8.114546,2.155567,612500
2000-05-31,8.130614,8.130614,8.06634,8.130614,2.159835,745200
2000-06-01,8.146683,8.146683,8.082409,8.082409,2.147029,563500
2000-06-02,8.114546,8.114546,8.050272,8.06634,2.142761,376000
2000-06-05,8.06634,8.06634,7.985999,8.034204,2.134224,715600
2000-06-06,8.034204,8.06634,7.96993,8.018135,2.129956,2888400
2000-06-07,8.018135,8.034204,7.937793,8.018135,2.129956,2033400
2000-06-08,8.002067,8.082409,7.96993,8.06634,2.142761,2029900
2000-06-09,8.082409,8.098477,8.034204,8.082409,2.147029,1461200
2000-06-12,8.098477,8.098477,8.034204,8.082409,2.147029,1351100
2000-06-13,8.098477,8.114546,8.034204,8.050272,2.138493,1362900
2000-06-14,8.050272,8.098477,7.937793,7.953862,2.112883,12274400
2000-06-15,7.96993,8.227025,7.96993,8.082409,2.147029,1472900
2000-06-16,8.114546,8.130614,8.050272,8.098477,2.151298,637400
2000-06-19,8.130614,8.162751,8.082409,8.130614,2.159835,278800
2000-06-20,8.194888,8.210957,8.130614,8.17882,2.17264,312300
2000-06-21,8.210957,8.210957,8.050272,8.130614,2.159835,263600
2000-06-22,8.130614,8.146683,8.06634,8.082409,2.147029,201700
2000-06-23,8.050272,8.098477,7.96993,8.06634,2.142761,611000
2000-06-26,8.050272,8.114546,8.034204,8.098477,2.151298,255900
2000-06-27,8.098477,8.194888,8.082409,8.17882,2.17264,2684100
2000-06-28,8.162751,8.355572,8.130614,8.323435,2.211057,738600
2000-06-29,8.307366,8.323435,8.243093,8.291298,2.20252,286200
2000-06-30,8.323435,8.387709,8.162751,8.166761,2.169437,2571700
2000-07-03,8.210957,8.243093,8.146683,8.194888,2.321908,796100
