Stock Quotes for GRMN,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-12-08,7.90625,11.4375,7.5625,10,5.888298,17149800
2000-12-11,11.34375,11.375,9.9375,10.59375,6.237918,2919200
2000-12-12,10.60935,10.625,9.6875,9.9375,5.851497,1077400
2000-12-13,10.375,10.4375,9.875,9.9375,5.851497,422400
2000-12-14,9.99215,10.125,9.9375,10.0625,5.9251,265400
2000-12-15,10.125,10.125,9,10.0625,5.9251,950200
2000-12-18,10.25,10.25,9.71875,10.03125,5.906699,483600
2000-12-19,10.0234,10.03125,9.625,9.8125,5.777894,457400
2000-12-20,9.6875,9.8125,9,9.125,5.373072,1228800
2000-12-21,9.03125,9.25,8.875,9.09375,5.354673,1017400
2000-12-22,9.3125,9.6875,9.25,9.625,5.667486,416000
2000-12-26,9.65625,9.6875,9.4375,9.5,5.593884,754000
2000-12-27,9.4531,9.5625,9.125,9.28125,5.465076,361400
2000-12-28,9.3125,9.6875,9.15625,9.3125,5.483479,1048600
2000-12-29,9.5,10.0625,9.375,9.875,5.814694,232800
2001-01-02,10.0859,10.125,9.34375,9.625,5.667486,330400
2001-01-03,9.3906,9.6875,8.75,8.8125,5.189065,545400
2001-01-04,8.96875,9.5,8.8125,9.03125,5.31787,287600
2001-01-05,9.05465,9.25,8.875,9.0625,5.33627,962000
2001-01-08,9,9.09375,8.75,8.75,5.152262,631000
2001-01-09,8.9531,9,8.5,8.625,5.078658,821800
2001-01-10,8.59375,8.625,8.375,8.5,5.005055,976800
2001-01-11,8.5156,9.25,8.5,9.09375,5.354673,1357000
2001-01-12,9.29685,9.625,9.25,9.5625,5.630685,566200
2001-01-16,9.8125,10.25,9.4375,9.5,5.593884,663200
2001-01-17,9.55465,9.9375,9.4375,9.6875,5.70429,486000
2001-01-18,9.74215,9.75,9.25,9.5,5.593884,292800
2001-01-19,9.53125,9.625,9.125,9.1875,5.409876,254200
2001-01-22,9.3125,9.3125,8.8125,8.9375,5.262667,764600
2001-01-23,9.125,9.1875,8.9375,8.9375,5.262667,442600
2001-01-24,8.9453,9,8.46875,8.5,5.005055,1197200
2001-01-25,8.625,9,8.125,8.9375,5.262667,985800
2001-01-26,8.75,9.6875,8.6875,9.3125,5.483479,249000
2001-01-29,9.49215,10,9.3125,9.96875,5.869899,206600
2001-01-30,9.96875,10.03125,9.46875,10.03125,5.906699,188800
2001-01-31,9.8828,10.03125,9.6875,9.71875,5.72269,84200
2001-02-01,9.6875,10.03125,9.6875,9.9375,5.851497,100600
2001-02-02,10.03125,10.875,10,10.8125,6.366724,477200
2001-02-05,11.03125,12.1875,10.875,11.9375,7.029158,562400
2001-02-06,12.11715,12.84375,11.9375,12.375,7.286771,585600
2001-02-07,12.0625,12.5,11.9375,12.1875,7.176364,189400
2001-02-08,12.1328,12.6875,12.125,12.5625,7.397176,451400
2001-02-09,12.53125,12.59375,12,12,7.065959,730200
2001-02-12,12.125,12.1875,11.75,11.75,6.918751,2362200
2001-02-13,11.90625,12.3125,11.6875,12.1875,7.176364,228600
2001-02-14,12.25,12.3125,10.6875,11.125,6.550735,1363600
2001-02-15,11.375,11.5,10.375,10.625,6.256319,359400
2001-02-16,10.59375,11.1875,10.0625,10.6875,6.29312,264200
2001-02-20,11,11,9.5625,9.8125,5.777894,391400
2001-02-21,9.6328,10.0625,9.4375,9.8125,5.777894,196800
2001-02-22,9.80465,9.8125,9.28125,9.28125,5.465076,197400
2001-02-23,9.25,10.28125,9.1875,10.25,6.035506,122800
2001-02-26,10.25,10.75,10.22655,10.60935,6.247102,118600
2001-02-27,10.75,11,10.6875,11,6.477129,271800
2001-02-28,11.0625,11.0625,10.90625,10.9375,6.440325,142600
2001-03-01,10.875,10.9375,9.4375,10,5.888298,232000
2001-03-02,10.09375,10.125,9.625,10.0625,5.9251,167000
2001-03-05,10.25,10.5625,10.09375,10.4375,6.145913,110000
2001-03-06,10.5,10.6875,10,10,5.888298,257000
2001-03-07,10.35935,10.4375,10.03125,10.3125,6.072308,175800
2001-03-08,10.375,10.375,9.75,9.9375,5.851497,137000
2001-03-09,9.98435,10.25,9.75,9.8125,5.777894,140000
2001-03-12,9.625,9.8125,9.0625,9.0625,5.33627,255000
2001-03-13,9.1875,9.5,9.09375,9.4375,5.557083,229200
2001-03-14,9.25,10.125,9.125,9.90625,5.833097,184000
2001-03-15,9.96875,10.25,9.9375,10.125,5.961905,57200
2001-03-16,10.1875,10.1875,9.84375,9.84375,5.796294,75800
2001-03-19,9.84375,9.875,9.4375,9.6875,5.70429,120800
2001-03-20,9.75,10.25,9.5625,9.5625,5.630685,309800
2001-03-21,9.5625,10.0625,9.5625,9.96875,5.869899,75200
2001-03-22,10.05465,10.0625,9.625,9.8125,5.777894,126800
2001-03-23,10,10.3125,9.8125,10,5.888298,339800
2001-03-26,10,10.3125,9.9375,10.125,5.961905,491400
2001-03-27,9.9375,10.125,9.875,9.875,5.814694,230800
2001-03-28,9.8125,9.9375,9,9.375,5.52028,172400
2001-03-29,9.375,9.5625,9.0625,9.53125,5.612285,129600
2001-03-30,9.5,10,9.5,9.9375,5.851497,97200
2001-04-02,9.6875,10,9.6875,9.875,5.814694,125000
2001-04-03,10,10.0625,9.25,9.25,5.446677,224600
2001-04-04,9.4375,10.125,9.1875,10.03125,5.906699,190000
2001-04-05,10.125,10.1875,9.96875,10.125,5.961905,109600
2001-04-06,10.0625,10.0625,9.5,9.5625,5.630685,138800
2001-04-09,9.46,9.46,8.975,9.125,5.373072,801400
