Stock Quotes for GT,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,28.0625,28.75,27.125,27.1875,22.700941,1730100
2000-01-04,27.25,28,26.875,27.375,22.857508,1373300
2000-01-05,27.375,27.8125,26.5,26.5,22.126898,1450800
2000-01-06,26.625,27.375,26.5,26.6875,22.283461,1269400
2000-01-07,27,28.4375,26.375,27.6875,23.118437,1509400
2000-01-10,29,29,27.625,28,23.379366,1381500
2000-01-11,28,28.125,27.5625,27.875,23.274992,1357200
2000-01-12,28,29.125,28,28.4375,23.744663,2002200
2000-01-13,28.5,28.75,28.125,28.125,23.483746,1132200
2000-01-14,28.25,28.375,27.4375,27.5,22.961878,1553000
2000-01-18,27.625,28.1875,27.5,27.5625,23.014065,1095600
2000-01-19,27.875,28.4375,27.25,27.25,22.753134,2531300
2000-01-20,27,27.0625,26.125,26.125,21.813784,1705800
2000-01-21,26.125,26.1875,24.5,25.25,21.083174,3337200
2000-01-24,25.6875,25.75,25.0625,25.0625,20.926619,1050900
2000-01-25,25.3125,25.4375,24.125,24.125,20.143827,1206900
2000-01-26,24.25,24.875,24.25,24.375,20.35257,935900
2000-01-27,24.5,24.875,24.375,24.8125,20.717873,645700
2000-01-28,24.625,24.6875,23.0625,23.4375,19.56978,1650000
2000-01-31,23.25,23.75,22.75,23.75,19.830711,1505000
2000-02-01,23.6875,24.5,23.25,24,20.039457,1224500
2000-02-02,23.9375,24,22.625,23.25,19.413225,1013300
2000-02-03,22.75,23.25,22.4375,22.75,18.995733,1733600
2000-02-04,22.8125,23,22.25,22.25,18.578245,917200
2000-02-07,22.625,23.4375,22.1875,23,19.204483,1357200
2000-02-08,23.25,23.4375,22.0625,22.0625,18.421686,1651700
2000-02-09,22.125,23.9375,22.125,22.75,18.995733,2877600
2000-02-10,23.125,23.625,22.5625,23,19.204483,2212100
2000-02-11,23,23.125,21.875,21.875,18.265125,1912400
2000-02-14,21.625,23.125,21.625,22,18.624935,1925000
2000-02-15,22,25.125,21.9375,23.875,20.212282,2625900
2000-02-16,25.25,25.25,23.625,23.9375,20.265198,1907700
2000-02-17,24.375,24.375,23.375,23.375,19.788992,833300
2000-02-18,23.4375,24.3125,22.875,23.625,20.000633,1730500
2000-02-22,23.6875,25.4375,23.5,24.375,20.635574,1546500
2000-02-23,24.5,24.875,24.125,24.125,20.423925,1164500
2000-02-24,24.125,24.8125,23.4375,23.4375,19.841898,1613600
2000-02-25,23.6875,24.4375,22.875,22.875,19.365694,1234700
2000-02-28,22.9375,23.375,22.625,22.75,19.259872,1035100
2000-02-29,22.375,22.9375,22.0625,22.875,19.365694,1413800
2000-03-01,22.625,22.75,21.625,21.625,18.307457,1815700
2000-03-02,22.5,22.625,21.75,22.4375,18.995312,1135600
2000-03-03,22.1875,23.125,21.875,22.0625,18.677841,964900
2000-03-06,22,22.3125,21.5,21.5625,18.254547,940300
2000-03-07,21.5,21.5625,20.75,20.75,17.566698,1377400
2000-03-08,21,21.75,20.625,20.6875,17.513783,1512300
2000-03-09,20.5,21.5625,20.375,20.625,17.460871,1092000
2000-03-10,20.875,21.75,20.5,20.875,17.672516,1306300
2000-03-13,20.5,21,20.5,20.5625,17.407965,1155500
2000-03-14,20.625,20.875,20.375,20.375,17.249222,1018600
2000-03-15,20.5,22.375,20.4375,21.9375,18.572018,1259300
2000-03-16,23.875,24.1875,22.75,23,19.471516,2280600
2000-03-17,23.125,24.9375,23.0625,23.4375,19.841898,1639000
2000-03-20,24,24.1875,23.3125,23.3125,19.736078,833900
2000-03-21,23.1875,24.5,23,23.75,20.106455,1057700
2000-03-22,23.75,24.1875,23.3125,23.4375,19.841898,676500
2000-03-23,23.375,23.875,23.1875,23.5625,19.947721,584800
2000-03-24,23.5625,24.25,23.4375,24.125,20.423925,849600
2000-03-27,24,24.125,23.625,24.0625,20.371016,840700
2000-03-28,23.625,23.75,23.0625,23.0625,19.524427,888600
2000-03-29,23,23.0625,22.5625,22.75,19.259872,1153100
2000-03-30,22.875,23.8125,22.75,23.4375,19.841898,943000
2000-03-31,23.375,23.4375,22.875,23.3125,19.736078,1297500
2000-04-03,23.4375,25.5,22.9375,25.3125,21.429255,1682900
2000-04-04,26,27.0625,25.75,26.4375,22.38166,3625700
2000-04-05,26.625,27.1875,26.375,26.5625,22.487488,1189500
2000-04-06,26.5625,27.1875,26.3125,26.5,22.434578,824400
2000-04-07,26.5,26.5625,25.0625,25.0625,21.217606,845100
2000-04-10,25.5,28.5,25.25,28.5,24.127754,2361000
2000-04-11,29.25,29.8125,28.1875,29.0625,24.603962,3233900
2000-04-12,29.25,29.6875,28.625,29,24.551044,1614600
2000-04-13,30,31.625,29.1875,29.875,25.291811,2658500
2000-04-14,30.125,30.5625,27.5625,27.5625,23.334072,2358900
2000-04-17,28.1875,29.5,28.0625,28.625,24.233576,1454800
2000-04-18,28.5,29.125,28.25,28.75,24.339399,1069400
2000-04-19,28.8125,29.5,28.25,28.5,24.127754,736800
2000-04-20,28.5625,28.875,28.1875,28.8125,24.392311,770300
2000-04-24,28.5625,29.3125,28.25,29,24.551044,864500
2000-04-25,29.875,29.9375,29.1875,29.625,25.080162,1171200
2000-04-26,29.5625,30,29.3125,29.4375,24.921431,616900
2000-04-27,29.1875,29.4375,28.75,29.0625,24.603962,852500
2000-04-28,29,29.0625,27.25,27.625,23.38699,1383100
2000-05-01,28.125,28.625,28,28.1875,23.86319,1465800
2000-05-02,28.1875,29.4375,28.0625,28.625,24.233576,729400
2000-05-03,28.375,28.6875,28.25,28.375,24.021929,651400
2000-05-04,28.375,28.625,28.25,28.5,24.127754,472400
2000-05-05,28.25,28.375,27.375,27.375,23.175343,559400
2000-05-08,28.125,28.75,28,28,23.704464,669800
2000-05-09,28,28.9375,28,28,23.704464,854100
2000-05-10,28,28.3125,27.125,27.25,23.069515,652400
2000-05-11,27.3125,28.5,27.1875,28.1875,23.86319,528500
2000-05-12,28.125,28.25,27.25,27.4375,23.47813,819900
2000-05-15,27.25,27.3125,26.0625,26.125,22.35503,1035200
2000-05-16,25.625,26.1875,25.25,25.5625,21.873705,1534200
2000-05-17,25.625,26.1875,25.625,25.625,21.927181,1033200
2000-05-18,25.625,25.6875,24.6875,25.1875,21.552813,941800
2000-05-19,25.1875,25.375,24.25,24.3125,20.804081,745400
2000-05-22,24.5625,24.8125,24.125,24.125,20.643641,754900
2000-05-23,24.75,25.75,24.5,25.1875,21.552813,1049600
2000-05-24,25.3125,26.375,25.3125,25.8125,22.087626,705100
2000-05-25,25.5,25.6875,25,25,21.392368,673500
2000-05-26,25.25,25.375,24.0625,24.0625,20.59016,770700
2000-05-30,24.5,26,24.5,25.125,21.499334,1404100
2000-05-31,25,25.6875,24.875,24.875,21.285412,1164900
2000-06-01,25.25,26.5625,25.1875,26.1875,22.408506,1020900
2000-06-02,27.25,27.875,26.5625,27.8125,23.799015,1428100
2000-06-05,28.3125,28.375,27.8125,28.125,24.06642,1150600
2000-06-06,28.0625,28.125,27.25,27.5625,23.585094,1320500
2000-06-07,27.5,27.625,27.125,27.4375,23.47813,723700
2000-06-08,27.4375,28.125,27.4375,27.6875,23.692053,674700
2000-06-09,27.6875,27.75,27.0625,27.125,23.210724,777100
2000-06-12,27.1875,27.25,26.5625,26.5625,22.729399,841900
2000-06-13,26.5625,27.25,26.5625,27.0625,23.15724,796900
2000-06-14,27.125,27.75,27,27.5,23.531607,658100
2000-06-15,26,27,26,26.4375,22.622437,1508300
2000-06-16,26,26,24.25,24.5,20.964527,2037300
2000-06-19,24.5,24.5625,22.625,23.375,20.001869,2338200
2000-06-20,23.3125,23.3125,22.5,23,19.680981,1288400
2000-06-21,22.75,23.4375,22.75,23,19.680981,636400
2000-06-22,23,23.125,22,22.375,19.146172,1472500
2000-06-23,22.3125,23.0625,22.25,22.8125,19.520542,1260300
2000-06-26,22.875,23,22.625,22.6875,19.413582,581500
2000-06-27,22.6875,23.5,22.625,22.8125,19.520542,1401700
2000-06-28,23.5,23.9375,22.8125,23.3281,19.961733,1081000
2000-06-29,23.0625,23.0625,21,21,17.969593,2528800
2000-06-30,21.25,21.6875,19.75,20,17.113894,2862400
2000-07-03,20.5,21.0625,20.4375,20.625,17.648706,1255200
2000-07-05,21.125,22,21.0625,21.4375,18.343962,1583200
2000-07-06,21.375,21.4375,20.6875,21.25,18.183516,1016600
2000-07-07,21.125,21.125,20.1875,20.375,17.43478,1093100
2000-07-10,20.375,21.9375,20.3125,21.6875,18.557886,1050600
2000-07-11,21.8125,21.875,21.25,21.25,18.183516,1073500
2000-07-12,21.5,22.375,21.4375,21.5,18.39744,880100
2000-07-13,22,22,21.5625,21.625,18.504398,589700
2000-07-14,21.6875,21.75,21.1875,21.3125,18.237001,1204800
2000-07-17,21.375,21.625,21.25,21.2812,18.210218,568200
2000-07-18,21.875,21.875,21.5,21.5,18.39744,759100
2000-07-19,21.75,22.375,21.6875,21.8125,18.664845,709400
2000-07-20,21.8125,22.0625,21.25,21.3125,18.237001,505900
2000-07-21,21.25,21.75,21.25,21.3125,18.237001,565400
2000-07-24,21.3125,22.25,21.3125,21.75,18.611362,834700
2000-07-25,21.75,21.8125,21.25,21.3125,18.237001,630600
2000-07-26,21.1875,21.375,20.5,20.5,17.541744,1012500
2000-07-27,20.75,21.25,20.375,20.4375,17.488262,673000
2000-07-28,20.5,21.25,20.4375,20.625,17.648706,388500
2000-07-31,20.5625,20.625,19.9375,19.9375,17.060413,1234100
2000-08-01,19.6875,20.3125,19.5625,20.0625,17.167377,1347100
2000-08-02,20.3125,20.375,20.125,20.1875,17.274343,638700
2000-08-03,20.25,20.875,20.0625,20.75,17.755676,773100
2000-08-04,20.625,20.75,20.5,20.625,17.648706,523400
2000-08-07,20.5,21.375,20.5,21.0625,18.023069,769200
2000-08-08,21.125,22.4375,21.0625,22.125,18.932255,1920300
2000-08-09,23.75,24.4375,23.5,23.5625,20.16231,2804100
2000-08-10,23.875,24,22.5625,23.125,19.787945,1930100
2000-08-11,23.25,23.5,23.125,23.375,20.264761,787000
2000-08-14,24.125,24.25,23.5625,23.5625,20.427313,1208700
2000-08-15,23.6875,24.1875,23.1875,23.625,20.481495,1199900
2000-08-16,23.125,23.5,22.375,23.1875,20.102215,1459100
2000-08-17,23.4375,23.4375,22.875,23.0625,19.993845,801800
2000-08-18,23,23.875,23,23.625,20.481495,929600
2000-08-21,23.75,24.75,23.6875,24.1875,20.969158,1214300
