Stock Quotes for JBHT,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.5625,3.609375,3.265625,3.359375,2.798692,246000
2000-01-04,3.265625,3.3125,3.1875,3.1875,2.655504,279600
2000-01-05,3.25,3.308575,3.15625,3.21875,2.681538,145600
2000-01-06,3.25,3.34375,3.25,3.3125,2.75964,223600
2000-01-07,3.34375,3.484375,3.265625,3.3125,2.75964,165600
2000-01-10,3.34375,3.40625,3.1875,3.21875,2.681538,272400
2000-01-11,3.28125,3.3125,3.21875,3.265625,2.720589,134400
2000-01-12,3.1875,3.265625,3.171875,3.234375,2.694554,229200
2000-01-13,3.21875,3.28125,3.21875,3.25,2.707573,300800
2000-01-14,3.21875,3.265625,3.171875,3.25,2.707573,172000
2000-01-18,3.21875,3.28125,3.171875,3.21875,2.681538,259600
2000-01-19,3.15625,3.1875,3.109375,3.109375,2.590417,179600
2000-01-20,3.109375,3.234375,3.109375,3.21875,2.681538,267600
2000-01-21,3.21875,3.21875,3.078125,3.078125,2.564383,192800
2000-01-24,3.117175,3.140625,3,3.03125,2.525331,211600
2000-01-25,3.09375,3.15625,3,3,2.499297,222400
2000-01-26,3.03125,3.25,3.03125,3.21875,2.681538,244800
2000-01-27,3.21875,3.296875,3.0625,3.10155,2.583899,382000
2000-01-28,3.109375,3.171875,3.03125,3.171875,2.642486,214000
2000-01-31,3,3.1875,2.9375,3.15625,2.629469,976800
2000-02-01,3.1328,3.140625,3.0625,3.109375,2.632114,166800
2000-02-02,3.109375,3.21875,3.09375,3.171875,2.685021,256000
2000-02-03,3.15625,3.1875,3.125,3.140625,2.658568,254400
2000-02-04,3.109375,3.1875,3.109375,3.125,2.645342,103200
2000-02-07,3.1328,3.140625,3.0625,3.078125,2.605661,298400
2000-02-08,3.03125,3.15625,3.03125,3.078125,2.605661,278400
2000-02-09,3.03125,3.125,3.03125,3.0625,2.592435,713600
2000-02-10,3.0625,3.09375,3,3.015625,2.552754,149600
2000-02-11,3,3.078125,2.96875,3.046875,2.579208,118000
2000-02-14,3,3.09375,2.953125,3.078125,2.605661,224000
2000-02-15,3.0625,3.078125,2.8125,2.91405,2.46677,529600
2000-02-16,2.921875,2.9375,2.84375,2.867175,2.427091,512800
2000-02-17,2.9375,2.9375,2.671875,2.71875,2.301446,570400
2000-02-18,2.78125,2.8125,2.6875,2.71875,2.301446,498400
2000-02-22,2.734375,2.75,2.6875,2.734375,2.314673,342400
2000-02-23,2.867175,2.867175,2.75,2.796875,2.36758,530800
2000-02-24,2.765625,2.8125,2.703125,2.765625,2.341127,970800
2000-02-25,2.765625,2.828125,2.71875,2.8203,2.38741,756400
2000-02-28,2.75,2.765625,2.625,2.71875,2.301446,293600
2000-02-29,2.734375,2.875,2.625,2.875,2.433714,257600
2000-03-01,2.796875,3,2.78125,2.9375,2.486621,256800
2000-03-02,2.90625,2.9375,2.8125,2.828125,2.394034,382000
2000-03-03,2.8125,2.9375,2.8125,2.875,2.433714,164800
2000-03-06,2.828125,2.9375,2.8125,2.859375,2.420486,326800
2000-03-07,2.84375,2.859375,2.75,2.828125,2.394034,429600
2000-03-08,2.765625,2.96875,2.75,2.875,2.433714,369600
2000-03-09,2.9375,3.0625,2.875,3.0625,2.592435,528000
2000-03-10,3.078125,3.21875,3.015625,3.21875,2.724701,280400
2000-03-13,3.234375,3.5,3.15625,3.398425,2.876798,596400
2000-03-14,3.84375,4,3.5625,3.59375,3.042143,1668000
2000-03-15,3.734375,3.875,3.625,3.75,3.174409,1592400
2000-03-16,3.78125,3.90625,3.65625,3.875,3.280223,1379600
2000-03-17,3.765625,3.9375,3.6875,3.8125,3.227316,867600
2000-03-20,3.8125,3.90625,3.75,3.828125,3.240543,382000
2000-03-21,3.78125,3.90625,3.75,3.875,3.280223,342400
2000-03-22,3.835925,3.90625,3.8125,3.875,3.280223,462000
2000-03-23,3.828125,4,3.8125,3.96875,3.359583,337200
2000-03-24,3.9375,4,3.8125,3.8125,3.227316,463200
2000-03-27,3.828125,3.9375,3.78125,3.8125,3.227316,307600
2000-03-28,3.84375,3.890625,3.578125,3.578125,3.028917,1338000
2000-03-29,3.75,3.90625,3.734375,3.859375,3.266995,538800
2000-03-30,3.78125,3.875,3.6875,3.84375,3.25377,639600
2000-03-31,3.859375,3.875,3.25,3.421875,2.896649,1591600
2000-04-03,3.40625,3.640625,3.34375,3.625,3.068596,360400
2000-04-04,3.6875,3.6875,3.40625,3.46875,2.936329,279600
2000-04-05,3.53125,3.75,3.46875,3.65625,3.095049,130800
