Stock Quotes for JNPR,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,58.1875,58.333332,55.5,57.333332,53.933346,5626200
2000-01-04,55.5625,58.833332,53.5,54.8125,51.562,6387000
2000-01-05,53.84375,56.666668,52.333332,54.395832,51.170044,7562400
2000-01-06,54.5,56.5,51.354168,52,48.916298,3063600
2000-01-07,50.625,54.166668,50,54.145832,50.934872,4957200
2000-01-10,56.479168,56.5,52.927082,54.25,51.032867,18047400
2000-01-11,54.791668,57.666668,53.958332,53.979168,50.77808,8139000
2000-01-12,54.833332,54.833332,48.833332,51.291668,48.249966,11376000
2000-01-13,52.989582,53,51,52.40625,49.298443,6484800
2000-01-14,55.5,57.166668,55,56.6875,53.325813,10500600
2000-01-18,55.125,60,55.125,59.375,55.853935,8448000
2000-01-19,60.875,61.25,56.8125,59.5,55.971519,9051000
2000-01-20,60.25,60.28125,57.4375,58.46875,55.001438,6099400
2000-01-21,59.0625,75.085899,58.25,74.96875,70.522949,15106000
2000-01-24,74.3125,74.875,69.40625,70.6875,66.495575,7957200
2000-01-25,71.5,72.9375,67,71.4375,67.201126,5003800
2000-01-26,72.5,74.5625,70.625,71.875,67.612663,3699800
2000-01-27,72.625,74,70.5625,71.21875,66.995316,3553200
2000-01-28,69.5,72.9375,69.21875,70.375,66.201622,3815800
2000-01-31,69,69.3125,62.53125,67.65625,63.644089,2956200
2000-02-01,68.1875,71.6875,67.09375,69.25,65.143318,2484800
2000-02-02,70.5,72.40625,68.5,68.53125,64.467194,2109200
2000-02-03,70.5625,78.125,70.25,77.46875,72.874687,8828200
2000-02-04,78,86.46875,78,85,79.95932,8400600
2000-02-07,92.0625,92.15625,84.375,86.5,81.370369,4766200
2000-02-08,86,87.0625,84.75,84.8125,79.782936,6035400
2000-02-09,86.25,102.34375,85.75,92.96875,87.455513,10104200
2000-02-10,94.5,107,90.3125,104.25,98.067764,6848600
2000-02-11,108.03125,115,103.5,107.9375,101.536568,7086800
2000-02-14,111,115.5,100.40625,102.03125,95.980576,6503800
2000-02-15,103.375,109.25,100.125,106.4375,100.125534,4894000
2000-02-16,107.5,111,103.5625,110.25,103.711937,5243800
2000-02-17,112.125,125.625,111.5,120.625,113.47168,6202600
2000-02-18,124.4375,134.875,115.21875,119.15625,112.090019,8021600
2000-02-22,122.75,123.6875,110.25,115.375,108.53302,4641600
2000-02-23,117,124.875,111.25,117.46875,110.502602,3046000
2000-02-24,119.9375,121,111.625,114.5,107.709908,4270800
2000-02-25,114.875,119.46875,114.84375,116.375,109.473717,1924400
2000-02-28,116.3125,120,114.375,114.53125,107.739304,2423800
