Stock Quotes for KLAC,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,56.125,56.125,51.6875,54.25,32.098522,3769400
2000-01-04,53.28125,55.21875,51.8125,51.9375,30.730251,3129800
2000-01-05,50.9375,51,48.3125,49.34375,29.195599,5478600
2000-01-06,48.59375,50.75,48.5,49.71875,29.417479,8351000
2000-01-07,49.90625,52.75,48.75,52.65625,31.155525,6038200
2000-01-10,54.0625,59.125,53.96875,58.28125,34.483723,5177000
2000-01-11,56.75,60,56.625,57.78125,34.187885,4988200
2000-01-12,57.9375,60.6875,55.8125,59.59375,35.260292,6113000
2000-01-13,58.75,61,56.90625,59.875,35.426697,7030000
2000-01-14,62.53125,69.875,62.4375,69,40.82576,10145600
2000-01-18,68.125,68.617149,64.5625,65.3125,38.643951,6755400
2000-01-19,64.5625,67.125,62.5,64.3125,38.052258,2796600
2000-01-20,65.0625,66.125,59.5,63.25,37.423622,4974600
2000-01-21,63.625,65.125,61.875,64.25,38.015301,3352900
2000-01-24,65,66,59,59.8125,35.389725,3038100
2000-01-25,60.6875,62.125,56.75,61.9375,36.647038,2354200
2000-01-26,62.25,62.5,58.375,58.375,34.539196,2487700
2000-01-27,59.3125,62,54.375,56.9375,33.688656,3446300
2000-01-28,55,57.875,54.5,56.3125,33.318859,3466400
2000-01-31,55.375,60.3125,54.875,58.625,34.687115,4471300
2000-02-01,58.4375,62.25,57.25,60.625,35.870464,3138800
2000-02-02,59.25,65.125,59.25,64.5625,38.200199,5396500
2000-02-03,64.9375,66.5,63.5,66.1875,39.161674,3979900
2000-02-04,67.25,67.875,65.8125,65.9375,39.013748,5089400
2000-02-07,65.625,69,65,68.1875,40.345028,2810400
2000-02-08,68.875,70,67.5,69.75,41.26952,3813800
2000-02-09,68.25,71.6875,66.1875,67.8125,40.12315,4037400
2000-02-10,67.6875,71,66.6875,70.4375,41.676304,1995400
2000-02-11,70.625,70.75,67.75,68.5,40.529919,1689800
2000-02-14,68,69.125,65.875,67.625,40.012196,2027100
2000-02-15,67,70.5,65,69.6875,41.232517,2724100
2000-02-16,71,73.375,70.375,71.75,42.452866,3866200
2000-02-17,72.375,74.125,70.375,74,43.784157,2928900
2000-02-18,72.875,73.4375,67.875,68,40.234074,2433800
2000-02-22,67.9375,73,65.125,71.625,42.378922,2742100
2000-02-23,71.375,73.6875,70.1875,72.3125,42.78569,2477200
2000-02-24,73.75,74.375,70.3125,72.8125,43.081535,3568500
2000-02-25,72.9375,74.75,68.625,68.625,40.603882,2569800
2000-02-28,67.875,70.531197,64.343697,69.8125,41.306488,3464600
2000-02-29,71.625,78.8125,71.625,77.9375,46.113884,5754100
2000-03-01,78.875,80,75.1875,75.3125,44.56073,2647500
2000-03-02,77.125,78.25,72.125,72.125,42.674751,2101700
2000-03-03,76.25,83.25,76.125,83.25,49.257168,3855900
2000-03-06,85,86.25,83,83.9375,49.663944,4428700
2000-03-07,84.875,85.375,80.125,84,49.700928,3361900
2000-03-08,83.875,84,77.125,79,46.742546,4588300
2000-03-09,79.0625,85.25,78.0625,85,50.292606,2837500
2000-03-10,84.625,91.5,83.5,91.125,53.916641,3701800
2000-03-13,86.25,87.5,82.5,83.9375,49.663944,3553300
2000-03-14,86.25,86.25,76.25,76.375,45.189388,3356100
2000-03-15,77.1875,80.0625,74.0625,75.125,44.449802,3840700
2000-03-16,76.875,79.25,70.375,75.125,44.449802,7237100
2000-03-17,74.125,80.25,72.875,80,47.334213,4847400
2000-03-20,79.875,81.625,77,77.0625,45.596161,2706700
2000-03-21,77.875,80.6875,74,80.6875,47.741005,3892000
2000-03-22,80.5,85,80.4375,83.5625,49.442074,3256500
2000-03-23,84.875,90.25,84.625,86.75,51.32803,5604100
2000-03-24,87.4375,91.6875,87.375,89.3125,52.844223,3079600
2000-03-27,89.4375,91,87.5,89.4375,52.91819,1950500
2000-03-28,88.625,89.25,84.5625,85,50.292606,2301700
2000-03-29,85.625,85.625,76.875,77.8125,46.039909,3600700
2000-03-30,76.75,82.5,75.9375,79.25,46.890457,3505300
2000-03-31,80.4375,85.75,76.25,84.25,49.848854,2928600
2000-04-03,84.125,84.25,75.5,77.0625,45.596161,3344200
2000-04-04,78.5,82.5,66.5625,79.625,47.112343,6737100
2000-04-05,77.875,86.9375,77.125,81.375,48.14777,6091700
2000-04-06,83.3125,89.6875,82,89.125,52.733295,4445900
2000-04-07,89.6875,97.75,88.375,97.4375,57.651608,5924000
2000-04-10,97.3125,97.625,83.5,83.8125,49.589989,5175100
2000-04-11,81,90.6875,79,86.375,51.106167,6761700
2000-04-12,88.75,90.5625,77.890602,78,46.150867,5835500
2000-04-13,82.125,82.75,63.875,64.75,38.311134,12102500
2000-04-14,63.5,65.625,54.625,57.625,34.095425,12581400
2000-04-17,57,69.5,56,68,40.234074,8585900
2000-04-18,67.75,72.1875,64.25,72,42.600784,6424900
2000-04-19,71.4375,71.6875,64,64.5625,38.200199,4023000
2000-04-20,65.125,67.875,62.5,65.125,38.533028,3461100
2000-04-24,63.125,67.25,59.125,63.875,37.793411,4079100
2000-04-25,65,67.625,63.0625,66.125,39.124687,4382600
2000-04-26,67.1875,70,63.5,63.6875,37.682472,4716500
2000-04-27,61.375,72,60.625,70.9375,41.972141,5710300
2000-04-28,72.4375,75.5,70.9375,74.875,44.301888,4720700
2000-05-01,76.281197,77.25,70.25,71.5625,42.341938,5387700
2000-05-02,71,75.75,68.5,68.6875,40.640869,6656800
