Stock Quotes for L,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,10.03125,10.083333,9.822917,9.84375,6.910575,2482200
2000-01-04,9.802083,9.916667,9.770833,9.78125,6.866703,2046000
2000-01-05,9.770833,9.885417,9.71875,9.71875,6.822824,1801800
2000-01-06,9.625,9.6875,9.583333,9.65625,6.778947,2002800
2000-01-07,9.635417,9.854167,9.625,9.8125,6.888638,1503600
2000-01-10,9.833333,9.875,9.645833,9.760417,6.852075,2595000
2000-01-11,9.729167,9.875,9.729167,9.75,6.844765,1872600
2000-01-12,9.78125,9.916667,9.78125,9.875,6.932515,1212600
2000-01-13,9.875,10.114583,9.875,10.03125,7.042207,1309800
2000-01-14,10.114583,10.15625,9.9375,10.0625,7.064146,1128600
2000-01-18,10.1875,10.1875,10.0625,10.104167,7.093397,2151600
2000-01-19,10.0625,10.166667,9.510417,10,7.020267,1426800
2000-01-20,9.958333,9.979167,9.697917,9.729167,6.830139,890400
2000-01-21,9.729167,9.833333,9.729167,9.770833,6.859389,1683000
2000-01-24,9.78125,9.78125,9.583333,9.583333,6.727761,1977000
2000-01-25,9.583333,9.635417,9.489583,9.5,6.669257,1738800
2000-01-26,9.541667,9.583333,9.458333,9.520833,6.683884,2653800
2000-01-27,9.5625,9.5625,9.364583,9.385417,6.588817,1755600
2000-01-28,9.354167,9.375,9.25,9.270833,6.686629,1549200
2000-01-31,9.197917,9.40625,9.197917,9.333333,6.731707,2562000
2000-02-01,9.333333,9.5,9.302083,9.5,6.851917,1656600
2000-02-02,9.458333,9.541667,9.427083,9.447917,6.814352,794400
2000-02-03,9.458333,9.645833,9.4375,9.552083,6.889482,1750800
2000-02-04,9.53125,9.635417,9.510417,9.5625,6.896996,1390200
2000-02-07,9.5625,9.65625,9.4375,9.5,6.851917,7752000
2000-02-08,9.427083,9.427083,8.770833,8.802083,6.348542,1936200
2000-02-09,8.802083,9.041667,8.635417,8.739583,6.303465,1831800
2000-02-10,8.739583,8.875,8.677083,8.677083,6.258387,1872000
2000-02-11,8.677083,8.697917,8.385417,8.416667,6.070556,1985400
2000-02-14,8.416667,8.416667,8.25,8.25,5.950349,2212800
2000-02-15,8.21875,8.229167,8.041667,8.072917,5.822626,3124200
2000-02-16,8.09375,8.145833,8.052083,8.145833,5.875219,2446800
2000-02-17,8.15625,8.166667,8.052083,8.072917,5.822626,1983000
2000-02-18,8,8.010417,7.71875,7.802083,5.627287,1925400
2000-02-22,7.8125,7.885417,7.677083,7.822917,5.642312,1068000
2000-02-23,7.822917,7.833333,7.65625,7.708333,5.559669,1005600
2000-02-24,7.5,7.625,7.260417,7.59375,5.477027,4099800
2000-02-25,7.625,7.739583,7.583333,7.604167,5.484539,3235800
2000-02-28,7.645833,8.020833,7.635417,7.822917,5.642312,2856600
2000-02-29,7.666667,7.6875,7.375,7.416667,5.349305,5006400
2000-03-01,7.427083,7.541667,7.291667,7.4375,5.36433,2404800
2000-03-02,7.416667,7.447917,7.291667,7.3125,5.274173,2194800
2000-03-03,7.3125,7.59375,7.166667,7.28125,5.251633,3727800
2000-03-06,7.322917,7.322917,7,7.041667,5.078832,1867200
2000-03-07,7.041667,7.041667,6.875,6.885417,4.966137,1800600
2000-03-08,6.75,6.979167,6.65625,6.666667,4.808364,2428800
