Stock Quotes for LEN,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.927729,8.019912,7.743363,7.835546,6.03651,387100
2000-01-04,7.712635,7.866273,7.712635,7.77409,5.989166,548200
2000-01-05,7.77409,7.897001,7.77409,7.804818,6.012837,222700
2000-01-06,7.77409,7.835546,7.712635,7.804818,6.012837,511100
2000-01-07,7.804818,8.019912,7.77409,7.958456,6.1312,914300
2000-01-10,7.958456,8.112094,7.866273,8.019912,6.178546,2106000
2000-01-11,8.050639,8.050639,7.866273,7.866273,6.060183,580500
2000-01-12,7.989184,8.142822,7.743363,7.927729,6.107528,908600
2000-01-13,8.050639,8.235005,8.050639,8.112094,6.249562,312000
2000-01-14,8.17355,8.357916,8.142822,8.142822,6.273236,401300
2000-01-18,8.17355,8.204277,8.081367,8.081367,6.225892,681600
2000-01-19,7.897001,8.17355,7.897001,8.019912,6.178546,449500
2000-01-20,8.019912,8.112094,7.989184,8.081367,6.225892,677300
2000-01-21,8.050639,8.112094,7.927729,8.019912,6.178546,1111400
2000-01-24,8.019912,8.112094,7.989184,8.019912,6.178546,1095500
2000-01-25,8.050639,8.081367,7.927729,7.958456,6.1312,1067600
2000-01-26,8.019912,8.019912,7.897001,7.927729,6.107528,1342000
2000-01-27,7.927729,8.050639,7.897001,7.958456,6.1312,817700
2000-01-28,8.019912,8.019912,7.743363,7.743363,5.965492,649300
2000-01-31,7.866273,7.927729,7.804818,7.835546,6.03651,455200
2000-02-01,7.866273,7.927729,7.835546,7.866273,6.060183,639700
2000-02-02,7.866273,7.897001,7.835546,7.866273,6.060183,311800
2000-02-03,7.897001,8.357916,7.866273,8.050639,6.212121,642700
2000-02-04,8.081367,8.235005,8.019912,8.17355,6.306963,2411500
2000-02-07,8.112094,8.235005,7.989184,8.019912,6.18841,1357100
2000-02-08,7.958456,8.480826,7.927729,7.927729,6.117279,475100
2000-02-09,8.050639,8.17355,8.050639,8.142822,6.283254,359800
2000-02-10,8.112094,8.112094,7.897001,7.958456,6.14099,538400
2000-02-11,7.897001,7.927729,7.77409,7.77409,5.998729,303700
2000-02-14,7.866273,7.866273,7.743363,7.804818,6.022438,243500
2000-02-15,7.804818,8.17355,7.804818,8.17355,6.306963,582500
2000-02-16,8.050639,8.081367,7.866273,7.866273,6.06986,217600
2000-02-17,7.897001,9.156834,7.897001,8.327188,6.425515,2888300
2000-02-18,8.419371,8.603737,8.050639,8.17355,6.306963,939500
2000-02-22,8.235005,8.29646,8.019912,8.019912,6.18841,529500
2000-02-23,8.019912,8.050639,7.743363,7.835546,6.046149,1203100
2000-02-24,7.958456,7.958456,7.497542,7.743363,5.975017,829900
2000-02-25,7.743363,7.743363,7.65118,7.681908,5.927598,265800
2000-02-28,7.65118,7.835546,7.589725,7.835546,6.046149,236400
2000-02-29,7.712635,8.112094,7.712635,8.112094,6.25954,278900
2000-03-01,8.081367,8.29646,8.019912,8.29646,6.401805,319500
2000-03-02,8.29646,8.419371,8.265733,8.29646,6.401805,263000
2000-03-03,8.419371,8.603737,8.357916,8.388643,6.472938,333400
2000-03-06,8.388643,8.542281,8.17355,8.327188,6.425515,321000
2000-03-07,8.204277,8.388643,7.989184,7.989184,6.164702,192000
