Stock Quotes for LLY,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,65,67.4375,65,65.5625,36.473602,2645000
2000-01-04,64.25,65.4375,62.75,63.5,35.326183,3701000
2000-01-05,63.125,65.3125,63,64.3125,35.778191,3411000
2000-01-06,65,66.1875,64.3125,66.1875,36.821289,2460100
2000-01-07,68,71.0625,67.5,71.0625,39.533356,5863300
2000-01-10,71.0625,71.0625,67.9375,68.125,37.899162,2830500
2000-01-11,67,69.375,67,68.5,38.107773,3309700
2000-01-12,67.625,68.3125,66.9375,67.5,37.551445,3573600
2000-01-13,65.75,68.375,65.625,66.6875,37.099438,3639400
2000-01-14,68.9375,69.25,68,68.3125,38.00346,3750300
2000-01-18,69.375,69.375,66.5,67.3125,37.447147,2082900
2000-01-19,66,68,65.75,67.75,37.690533,2193700
2000-01-20,67.6875,68.25,65.5625,66.781197,37.151573,2136400
2000-01-21,65.125,65.625,64.125,64.75,36.021572,4051000
2000-01-24,64.625,64.8125,61.5625,62.125,34.561249,4206900
2000-01-25,62.375,63.25,61.75,62.3125,34.665558,3148700
2000-01-26,62.9375,63.375,62.125,62.75,34.908939,2233100
2000-01-27,62,64.375,61.5,64.25,35.74342,3052200
2000-01-28,65,67.375,64.875,65.3125,36.334507,4284500
2000-01-31,65.9375,67,62.375,66.875,37.203766,3334100
2000-02-01,65.875,66.5,64.6875,65.5625,36.473602,2981300
2000-02-02,65.5,66.0625,63.875,65.0625,36.195435,2066300
2000-02-03,65.3125,65.8125,63.625,65.25,36.29974,2643600
2000-02-04,64.9375,65.25,64.5,64.875,36.091122,1717600
2000-02-07,65.4375,65.4375,62.75,63.3125,35.221863,1957400
2000-02-08,62.625,63.75,62.625,63.3125,35.221863,2536700
2000-02-09,64.375,64.375,61.6875,61.75,34.352623,3211000
2000-02-10,61.875,63,61.8125,62.3125,34.665558,2080000
2000-02-11,62.5,62.5625,61.0625,61.625,34.426743,3268100
2000-02-14,61.375,62,60.4375,60.75,33.93792,2758000
2000-02-15,60.875,61.6875,60.625,61.1875,34.182323,2989400
2000-02-16,62,62.4375,61.1875,61.25,34.217247,3292800
2000-02-17,61.75,61.9375,60.1875,60.1875,33.623676,3290500
2000-02-18,60.3125,60.375,58.25,58.5,32.680954,3684000
2000-02-22,59.75,60.375,57.625,59.5,33.239605,2716500
2000-02-23,59.75,60.875,58.3125,60.3125,33.693523,2489800
2000-02-24,59.9375,60.25,57.875,58.5625,32.715874,2612700
2000-02-25,58.4375,58.8125,56.125,56.6875,31.668427,2554400
2000-02-28,57,58.4375,57,57.5,32.122318,3832900
2000-02-29,58.5,60.5,58.375,59.4375,33.204678,4138700
2000-03-01,59.4375,60.25,58,58.875,32.890461,4186700
2000-03-02,57.875,59.375,57.1875,57.6875,32.227077,2095800
2000-03-03,58.625,59,57.5625,58,32.401638,2085200
2000-03-06,57.25,58.6875,57.125,57.625,32.192131,2549700
2000-03-07,57.875,57.9375,54,54.5,30.446367,3998100
2000-03-08,55,57.375,54.5,55.5,31.005018,4282600
2000-03-09,56.4375,60.0625,56.4375,60.0625,33.553833,3853500
2000-03-10,60.125,61.9375,60,61.1875,34.182323,3535800
2000-03-13,61,61,57.625,59.25,33.099949,2115500
2000-03-14,58.25,58.6875,57.375,57.4375,32.087387,2133000
2000-03-15,57.4375,63.5,57.375,62.75,35.05521,4364700
2000-03-16,63.875,65.9375,63,64.75,36.172504,5316400
2000-03-17,63.875,63.9375,61,61.375,34.287071,4843300
2000-03-20,61.375,61.4375,59.625,60.75,33.93792,2271100
2000-03-21,59.75,62,59.6875,61.6875,34.461655,2987000
2000-03-22,62.375,64.3125,61.625,63.5625,35.509106,3347000
2000-03-23,64.1875,64.8125,63.5625,64.375,35.963032,3159800
2000-03-24,64.125,64.1875,61.125,62.125,34.706066,2061200
2000-03-27,62,62.3125,59.9375,60.5,33.79826,2013000
2000-03-28,59.8125,61,59.5,60.25,33.6586,2114100
2000-03-29,60.125,61.5,60.125,61,34.077572,2834600
2000-03-30,61.25,63.125,60.75,60.75,33.93792,3098400
2000-03-31,61.25,64.5,60.125,62.625,34.985382,3243800
2000-04-03,64.25,65.5,64,65.375,36.52166,2741300
2000-04-04,65.625,69.375,65.4375,69,38.546772,6700500
2000-04-05,68.125,69,66.875,67.468697,37.691319,3470900
2000-04-06,66,67,65.0625,65.875,36.800983,2190400
2000-04-07,65.625,65.75,64.1875,64.3125,35.928101,1607200
2000-04-10,64,66.75,63.75,64.875,36.242348,2884200
2000-04-11,65,66.9375,64.875,66.875,37.359646,2373300
2000-04-12,66.25,67,64.75,65.125,36.382019,2618200
2000-04-13,68.4375,70,68,70,39.105423,4523000
2000-04-14,68.5,69.9375,66.5,67.4375,37.673889,4056300
2000-04-17,67.4375,70,67.375,70,39.105423,3876700
2000-04-18,69.8125,74,69.5,73.25,40.921021,6465300
2000-04-19,74.1875,76.25,73.25,75.625,42.247818,6148700
2000-04-20,76.4375,76.875,75,75.75,42.31765,4305000
2000-04-24,75.75,78.5,75.75,77.5,43.295288,4803800
2000-04-25,77.0625,77.3125,76.1875,77,43.015965,3801900
2000-04-26,76.5,78.125,75.5,77.8125,43.469868,4066100
2000-04-27,77,78,76.1875,77.9375,43.539711,2522200
2000-04-28,77.125,77.6875,76,77.125,43.085789,2653700
2000-05-01,78,79.4375,77,77.375,43.225475,3418600
2000-05-02,76.9375,78.6875,76.875,78,43.574615,2582900
2000-05-03,78,79.0625,77.3125,79,44.133263,2586400
2000-05-04,79,79.625,77.6875,79.25,44.272923,2963800
2000-05-05,77.5,79.9375,77.5,79.75,44.552254,3169400
2000-05-08,79.9375,80.5,78.75,80.5,44.97123,2496200
2000-05-09,80.25,80.3125,79,79.625,44.482418,2654900
2000-05-10,77.875,78.6875,76,77.25,43.155621,4571900
2000-05-11,75.25,75.9375,74.25,74.875,41.970089,2621800
2000-05-12,74.25,76.125,73,75.4375,42.285389,3131000
2000-05-15,75.375,76.9375,75.25,76.4375,42.845913,3444700
2000-05-16,75.5,76.5,74.75,74.9375,42.005131,3343900
2000-05-17,74.625,74.75,72.875,73.875,41.409538,4043400
2000-05-18,73.875,74.8125,73.625,73.75,41.339485,2635300
2000-05-19,73.9375,76.0625,73.6875,75.9375,42.565666,2775700
2000-05-22,76.25,77,73.6875,75.1875,42.145264,2518800
2000-05-23,74.625,76.1875,73.875,75.5625,42.35545,1867300
2000-05-24,75.5625,77.625,75.4375,77.125,43.2313,2274900
2000-05-25,78.5,79.625,77.25,78.625,44.072109,3401300
2000-05-26,77.75,79.375,77.75,78.8125,44.177204,1715500
2000-05-30,77.875,78,75.4375,76.5,42.880962,2042300
2000-05-31,76,77.4375,75,76.125,42.670776,2219200
2000-06-01,77,77.75,76.25,77.0625,43.196255,2992100
2000-06-02,76.9375,76.9375,72.3125,73.125,40.989166,4229700
2000-06-05,71.625,73,71.25,72.4375,40.603771,3257100
2000-06-06,71.25,74.375,71.25,74.125,41.549683,2245600
2000-06-07,74.375,75.875,74,74.875,41.970089,2493600
2000-06-08,74.625,75.5625,73.375,74.9375,42.005131,1811000
2000-06-09,73.875,76.5,73.875,76.1875,42.705795,2704400
2000-06-12,77,79,76.75,78.25,43.861897,8891900
2000-06-13,78.125,80.9375,78.0625,80.75,45.263245,4020600
2000-06-14,81.125,82.9375,80.9375,82.8125,46.419334,4995200
2000-06-15,82.8125,83.4375,81.6875,83,46.52446,3666700
2000-06-16,83,85.25,82.375,84.9375,47.610477,6617700
2000-06-19,84.125,86.8125,84.125,86.375,48.416252,3680300
2000-06-20,86.25,87.125,85.4375,86.578102,48.530102,4375200
2000-06-21,86.625,89.4375,86.25,86.75,48.626465,5560400
2000-06-22,86.25,86.3125,83.875,84.5,47.36525,3317600
2000-06-23,84.5,85.3125,84.3125,85.3125,47.820679,1671900
2000-06-26,85.3125,87.6875,84.875,86.5625,48.521347,3165200
2000-06-27,86.125,86.25,83.875,84.75,47.505363,3858000
2000-06-28,86.5,87.625,85.375,87.203102,48.88044,4775700
2000-06-29,102,109,98.9375,101.625,56.964397,24396500
2000-06-30,99.25,100.75,97.5,99.875,55.983482,8779800
2000-07-03,97.9375,99.3125,97.5,98.75,55.352871,2013600
