Stock Quotes for LMT,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,22,22.3125,20.25,20.25,12.884728,3011300
2000-01-04,20,21.3125,20,20.9375,13.322165,3593500
2000-01-05,21.25,21.625,20.5,21.0625,13.401702,1721200
2000-01-06,21,21.75,21,21.375,13.600542,1750700
2000-01-07,21.75,22.0625,21.1875,21.4375,13.640312,2203200
2000-01-10,21.375,21.5,20.5625,20.625,13.123326,1361000
2000-01-11,20.5,20.75,19.75,19.9375,12.685884,2236100
2000-01-12,20,21.25,20,21.1875,13.481244,3562400
2000-01-13,21.4375,21.4375,20.5625,20.75,13.202858,2871700
2000-01-14,20.75,20.9375,20.5,20.5,13.0438,1609300
2000-01-18,21,21.25,19.75,20,12.725647,3763800
2000-01-19,20.0625,20.75,20,20.6875,13.163096,2270500
2000-01-20,20.5,20.6875,20.375,20.5625,13.083559,2321600
2000-01-21,20.75,21.1875,20.625,21,13.36194,2340600
2000-01-24,20.9375,21.0625,19.5625,19.5625,12.447273,1917000
2000-01-25,19.5625,19.9375,19.125,19.25,12.248446,2022500
2000-01-26,19.4375,20.0625,19.25,20.0625,12.765425,2020300
2000-01-27,19.9375,20,19,19.4375,12.367746,2236300
2000-01-28,19,19.9375,18.3125,18.875,12.009836,2213200
2000-01-31,18.3125,18.875,18.1875,18.5,11.771235,1528600
2000-02-01,18.75,18.875,18.375,18.6875,11.890531,737300
2000-02-02,18.4375,18.8125,18.1875,18.6875,11.890531,1633700
2000-02-03,18.625,18.9375,18.5,18.625,11.850767,1830200
2000-02-04,18.75,19.3125,18.375,19.125,12.168909,2012900
2000-02-07,19.25,19.5,18.25,18.75,11.930296,1633700
2000-02-08,18.3125,18.375,17.875,18.375,11.691691,2110300
2000-02-09,17.875,18.5,17.875,18.375,11.691691,1863800
2000-02-10,18.0625,18.5,18.0625,18.3125,11.651929,1814500
2000-02-11,18.125,18.3125,17.375,17.5,11.13495,1821000
2000-02-14,17.75,18.125,17.5,18.0625,11.492854,1839400
2000-02-15,18,18.1875,17.8125,18.125,11.532628,1273200
2000-02-16,17.5,18.0625,17.5,17.75,11.294015,1630600
2000-02-17,17.9375,18.25,17.8125,18,11.453088,4412100
2000-02-18,17.75,17.875,17,17.4375,11.095182,1651200
2000-02-22,17.0625,18,17.0625,18,11.453088,1411100
2000-02-23,17.9375,17.9375,17.5,17.8125,11.333788,1358100
