Stock Quotes for LUK,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.465109,7.465109,6.836255,7.059396,5.607657,477100
2000-01-04,6.836255,6.998539,6.836255,6.917397,5.494858,292900
2000-01-05,6.917397,6.957968,6.815969,6.897111,5.478745,300000
2000-01-06,6.978254,7.059396,6.957968,6.998539,5.559315,111500
2000-01-07,7.059396,7.18111,7.039111,7.18111,5.704341,122600
2000-01-10,7.140539,7.201396,7.099967,7.120253,5.655998,159500
2000-01-11,7.079682,7.120253,7.018825,7.120253,5.655998,183000
2000-01-12,7.120253,7.140539,7.039111,7.140539,5.672113,190400
2000-01-13,7.140539,7.140539,7.059396,7.079682,5.62377,92400
2000-01-14,7.120253,7.140539,6.998539,6.998539,5.559315,223800
2000-01-18,6.978254,7.079682,6.957968,7.079682,5.62377,178600
2000-01-19,7.079682,7.201396,7.079682,7.160824,5.688226,80300
2000-01-20,7.160824,7.160824,6.917397,6.917397,5.494858,411200
2000-01-21,6.85654,6.897111,6.815969,6.897111,5.478745,156100
2000-01-24,6.836255,6.897111,6.815969,6.815969,5.414289,175000
2000-01-25,6.795683,6.897111,6.795683,6.85654,5.446518,1031100
2000-01-26,6.876826,7.039111,6.876826,6.917397,5.494858,399500
2000-01-27,6.897111,6.978254,6.876826,6.917397,5.494858,91800
2000-01-28,6.815969,7.018825,6.815969,6.876826,5.462631,564600
2000-01-31,6.897111,7.018825,6.876826,6.897111,5.478745,209000
2000-02-01,6.917397,7.059396,6.876826,6.978254,5.543201,652500
2000-02-02,6.998539,6.998539,6.85654,6.897111,5.478745,793600
2000-02-03,6.85654,7.079682,6.85654,7.059396,5.607657,600700
2000-02-04,7.059396,7.404252,7.059396,7.404252,5.881595,505400
2000-02-07,7.343395,7.383966,7.262252,7.262252,5.768796,248300
2000-02-08,7.241967,7.241967,7.059396,7.099967,5.639885,96700
2000-02-09,7.140539,7.140539,6.978254,7.039111,5.591542,266100
2000-02-10,7.039111,7.059396,6.978254,6.998539,5.559315,167600
2000-02-11,6.998539,7.018825,6.978254,6.998539,5.559315,327400
2000-02-14,6.978254,7.039111,6.937683,7.039111,5.591542,255700
2000-02-15,6.998539,7.018825,6.957968,6.978254,5.543201,211300
2000-02-16,6.978254,7.018825,6.957968,7.018825,5.575429,687600
2000-02-17,7.039111,7.039111,6.978254,7.018825,5.575429,531100
2000-02-18,6.978254,7.018825,6.957968,6.978254,5.543201,752300
2000-02-22,6.978254,7.059396,6.978254,7.018825,5.575429,255300
2000-02-23,7.059396,7.059396,6.957968,6.998539,5.559315,755400
2000-02-24,6.978254,7.039111,6.957968,6.978254,5.543201,308700
2000-02-25,6.957968,6.957968,6.917397,6.957968,5.527088,405600
2000-02-28,6.917397,6.957968,6.85654,6.897111,5.478745,310100
2000-02-29,6.897111,6.937683,6.815969,6.937683,5.510973,706300
2000-03-01,6.937683,6.957968,6.897111,6.957968,5.527088,181100
2000-03-02,6.917397,6.978254,6.897111,6.957968,5.527088,320000
2000-03-03,6.978254,6.978254,6.897111,6.978254,5.543201,358000
2000-03-06,6.937683,7.018825,6.937683,6.937683,5.510973,82100
2000-03-07,6.897111,6.937683,6.815969,6.897111,5.478745,719900
2000-03-08,6.897111,6.917397,6.836255,6.876826,5.462631,553900
2000-03-09,6.876826,6.876826,6.815969,6.876826,5.462631,499300
2000-03-10,6.85654,6.897111,6.85654,6.876826,5.462631,160200
2000-03-13,6.836255,6.85654,6.795683,6.85654,5.446518,123400
2000-03-14,6.815969,7.018825,6.815969,6.957968,5.527088,179500
2000-03-15,6.917397,6.957968,6.694255,6.937683,5.510973,178200
2000-03-16,6.937683,7.404252,6.775398,7.363681,5.849366,312400
2000-03-17,7.18111,7.201396,6.978254,7.059396,5.607657,222600
2000-03-20,6.978254,7.039111,6.897111,6.998539,5.559315,113300
2000-03-21,6.917397,6.978254,6.815969,6.978254,5.543201,157300
2000-03-22,6.978254,7.059396,6.937683,7.059396,5.607657,110900
2000-03-23,7.059396,7.059396,6.815969,7.059396,5.607657,294100
2000-03-24,6.978254,7.262252,6.897111,7.201396,5.720454,178600
2000-03-27,7.282538,7.282538,7.140539,7.221681,5.736567,127100
2000-03-28,7.099967,7.323109,7.059396,7.282538,5.78491,210300
2000-03-29,7.241967,7.302824,7.18111,7.302824,5.801023,204100
2000-03-30,7.262252,7.465109,7.262252,7.323109,5.817138,236000
2000-03-31,7.323109,7.850535,7.282538,7.708536,6.123303,599500
2000-04-03,7.667965,7.667965,7.465109,7.546251,5.994392,81500
2000-04-04,7.50568,7.50568,7.282538,7.363681,5.849366,209700
2000-04-05,7.241967,7.383966,7.18111,7.323109,5.817138,245400
2000-04-06,7.363681,7.383966,7.282538,7.343395,5.833253,107400
2000-04-07,7.282538,7.383966,7.221681,7.383966,5.86548,152400
2000-04-10,7.465109,7.525966,7.383966,7.383966,5.86548,300000
