Stock Quotes for LYB,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2010-04-28,22.25,22.25,21.700001,22,17.49762,5244400
2010-04-29,22,23.25,21.9,23,18.292965,8773600
2010-04-30,22.950001,23,22.25,22.299999,17.736219,1644400
2010-05-03,22.75,22.950001,22.65,22.799999,18.133892,3302700
2010-05-04,22.799999,22.799999,21.5,21.5,17.099943,2276500
2010-05-05,22,22,20,20.59,16.376183,6999200
2010-05-06,20.5,20.549999,18.450001,19.450001,15.469486,8029400
2010-05-07,19.5,19.549999,17.9,18.6,14.793443,3881500
2010-05-10,19.75,19.85,18.700001,19.01,15.119531,3861100
2010-05-11,18.75,19.280001,18.75,18.9,15.032045,2626900
2010-05-12,19.200001,20.040001,19.200001,19.799999,15.747854,5714300
2010-05-13,19.85,20.1,19.6,19.65,15.628551,2475900
2010-05-14,19.299999,19.4,18.75,18.75,14.912744,3133400
2010-05-17,19,19.200001,18.700001,18.85,14.992275,10117000
2010-05-18,19.049999,19.32,18.25,18.790001,14.944555,6219800
2010-05-19,18.9,18.93,17.549999,17.700001,14.077632,6227700
2010-05-20,17.139999,17.139999,16.200001,16.9,13.44135,10248400
2010-05-21,16.35,17.120001,16.25,16.549999,13.16298,4560800
2010-05-24,16.700001,17.15,16.68,16.9,13.44135,1761300
2010-05-25,16.790001,16.790001,16.200001,16.57,13.178887,4649600
2010-05-26,16.99,17.4,16.799999,17.15,13.640188,2079300
2010-05-27,17.65,18,17.65,17.9,14.236701,3156100
2010-05-28,17.9,17.9,16.25,17.77,14.133305,222200
2010-06-01,17.65,17.799999,17.200001,17.5,13.91856,900800
2010-06-02,17.610001,17.66,17.219999,17.33,13.783348,829900
2010-06-03,17.450001,17.5,17.15,17.33,13.783348,2173600
2010-06-04,17.049999,17.1,16.75,17.049999,13.560652,3147200
2010-06-07,17.15,17.200001,16.74,16.889999,13.433398,2826800
2010-06-08,17.030001,17.030001,16.5,16.75,13.322048,2037700
2010-06-09,16.790001,17.1,16.700001,16.790001,13.353863,1410200
2010-06-10,16.969999,17.07,16.85,16.969999,13.497026,1401000
2010-06-11,16.940001,17.190001,16.940001,17.139999,13.632236,452500
2010-06-14,17.190001,17.58,17.190001,17.49,13.910605,1008500
2010-06-15,17.48,18,17.35,17.969999,14.292372,1974300
