Stock Quotes for MAA,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,22.625,22.875,22.4375,22.5,7.875503,28800
2000-01-04,22.4375,22.625,22.375,22.625,7.919259,38800
2000-01-05,22.5,22.875,22.375,22.375,7.831752,62900
2000-01-06,22.375,23,22.375,22.75,7.963007,29000
2000-01-07,22.625,23,22.625,22.9375,8.02864,17700
2000-01-10,22.9375,22.9375,22.6875,22.75,7.963007,20400
2000-01-11,22.75,22.75,22.4375,22.5,7.875503,35000
2000-01-12,22.4375,22.5625,22.4375,22.5,7.875503,18400
2000-01-13,22.4375,22.5625,22.4375,22.5,7.875503,17500
2000-01-14,22.4375,22.75,22.3125,22.4375,7.853631,36600
2000-01-18,22.5625,23,22.5625,23,8.050518,33900
2000-01-19,23.125,23.375,23.125,23.25,8.13802,56800
2000-01-20,22.5,22.75,22.25,22.25,7.987256,64300
2000-01-21,22.375,22.4375,22.125,22.4375,8.054562,10600
2000-01-24,22.25,22.375,22.0625,22.125,7.94238,24100
2000-01-25,22.0625,22.375,22.0625,22.25,7.987256,15100
2000-01-26,22.125,22.4375,22.0625,22.0625,7.919944,17200
2000-01-27,22.25,22.25,22,22.0625,7.919944,24000
2000-01-28,22.1875,22.375,22,22.0625,7.919944,20400
2000-01-31,22.25,22.375,22.125,22.125,7.94238,13800
2000-02-01,22.375,22.375,22,22.1875,7.964818,47700
2000-02-02,22.25,22.25,22,22.125,7.94238,26400
2000-02-03,22.1875,22.3125,22,22.1875,7.964818,26400
2000-02-04,22.0625,22.1875,22,22.0625,7.919944,28600
2000-02-07,22.0625,22.3125,22.0625,22.25,7.987256,27100
2000-02-08,22.375,22.4375,22.125,22.25,7.987256,22400
2000-02-09,22.25,22.25,22.125,22.25,7.987256,20500
2000-02-10,22.1875,22.4375,22.1875,22.3125,8.009688,21300
2000-02-11,22.3125,22.375,22.25,22.375,8.032123,24900
2000-02-14,22.25,22.375,22.1875,22.3125,8.009688,24500
2000-02-15,22.3125,22.5,22.25,22.5,8.076999,76600
2000-02-16,22.5,22.5625,22.0625,22.4375,8.054562,85300
2000-02-17,22.4375,22.4375,22.375,22.4375,8.054562,17000
2000-02-18,22.4375,22.5,22.375,22.375,8.032123,20100
2000-02-22,22.1875,22.25,22.0625,22.1875,7.964818,21200
2000-02-23,22.1875,22.375,22.125,22.375,8.032123,10800
2000-02-24,22.3125,22.375,22.25,22.25,7.987256,42500
2000-02-25,22.3125,22.375,22,22.1875,7.964818,30900
2000-02-28,22.3125,22.4375,22.25,22.375,8.032123,18200
2000-02-29,22.3125,22.875,22.3125,22.8125,8.189175,39400
2000-03-01,22.5,22.625,22.25,22.5,8.076999,20400
2000-03-02,22.375,22.875,22.3125,22.5,8.076999,44100
2000-03-03,22.5,22.625,22.375,22.5,8.076999,27600
2000-03-06,22.5,22.625,22.5,22.625,8.121868,42500
2000-03-07,22.5,22.625,22,22.125,7.94238,98400
2000-03-08,22.25,22.5,22.125,22.5,8.076999,20800
2000-03-09,22.25,22.375,22.1875,22.25,7.987256,20600
2000-03-10,22.125,22.25,22.125,22.25,7.987256,27400
2000-03-13,22.125,22.25,22,22.1875,7.964818,15200
2000-03-14,22.1875,22.4375,22.125,22.4375,8.054562,25200
2000-03-15,22.375,22.4375,22.25,22.25,7.987256,18500
2000-03-16,22.375,22.75,22.375,22.5,8.076999,42600
2000-03-17,22.375,22.625,22.375,22.625,8.121868,20200
2000-03-20,22.4375,22.5,22.3125,22.4375,8.054562,18200
2000-03-21,22.3125,22.5625,22.25,22.375,8.032123,32800
2000-03-22,22.3125,22.375,22.25,22.375,8.032123,12000
2000-03-23,22.375,22.5,22.375,22.375,8.032123,63000
2000-03-24,22.5,22.5625,22.375,22.5625,8.099433,77100
2000-03-27,22.5,22.5,22.375,22.4375,8.054562,62100
2000-03-28,22.4375,22.5625,22.375,22.5,8.076999,38000
2000-03-29,22.5,22.5625,22.4375,22.5,8.076999,95400
2000-03-30,22.5,22.9375,22.5,22.9375,8.234048,58600
2000-03-31,22.75,22.75,22.5,22.75,8.166739,79100
2000-04-03,22.625,22.625,22.5,22.625,8.121868,28500
2000-04-04,22.4375,22.625,22.375,22.625,8.121868,13500
2000-04-05,22.5625,22.8125,22.5,22.75,8.166739,28600
2000-04-06,22.625,22.8125,22.5625,22.8125,8.189175,25400
2000-04-07,22.6875,23,22.625,23,8.256488,7100
2000-04-10,22.75,23,22.75,23,8.256488,24800
2000-04-11,22.875,23.25,22.875,23.25,8.34623,39200
2000-04-12,22.9375,23.9375,22.9375,23.9375,8.593029,37300
2000-04-13,23.6875,24.125,23.5625,24.125,8.660336,8400
2000-04-14,23.9375,24.5,23.9375,24.5,8.794952,62500
2000-04-17,24.0625,24.5,23.75,24.5,8.794952,40100
2000-04-18,23.5,23.5,23.25,23.3125,8.571585,24400
2000-04-19,23.4375,23.5625,23.4375,23.5625,8.663504,11200
2000-04-20,23.5625,23.75,23.4375,23.75,8.732446,16700
2000-04-24,23.625,23.625,23.375,23.5,8.640524,23600
2000-04-25,23.5625,23.5625,23.25,23.4375,8.617543,18400
2000-04-26,23.4375,23.5625,23.25,23.5,8.640524,28100
2000-04-27,23.625,23.6875,23.375,23.6875,8.709464,13300
2000-04-28,23.8125,23.875,23.75,23.875,8.778406,67700
2000-05-01,24,24,23.625,24,8.824366,127200
2000-05-02,24,24.0625,23.875,24,8.824366,9100
2000-05-03,24,24,23.5625,23.5625,8.663504,21400
2000-05-04,23.5625,23.625,23.5,23.5,8.640524,5800
2000-05-05,23.4375,23.8125,23.4375,23.75,8.732446,11700
2000-05-08,23.6875,23.875,23.5625,23.5625,8.663504,10100
2000-05-09,23.5,23.5,23.25,23.25,8.548603,53200
2000-05-10,23.1875,23.5,23.125,23.25,8.548603,26800
2000-05-11,23.3125,23.375,23.125,23.3125,8.571585,83200
2000-05-12,23.1875,23.5,23.0625,23.4375,8.617543,14700
2000-05-15,23.5625,23.9375,23.5625,23.9375,8.801389,10100
2000-05-16,23.9375,24.25,23.75,24.125,8.870331,49300
2000-05-17,24.125,24.4375,24.125,24.1875,8.893307,43300
2000-05-18,24.125,24.25,23.875,24,8.824366,17200
2000-05-19,23.9375,24.1875,23.9375,24.0625,8.847346,20700
2000-05-22,24,24.125,23.875,24.125,8.870331,29400
2000-05-23,24.125,24.125,23.9375,23.9375,8.801389,25000
2000-05-24,23.8125,23.875,23.375,23.4375,8.617543,10900
2000-05-25,23.25,23.375,23.25,23.25,8.548603,44900
2000-05-26,23.1875,23.375,23.1875,23.25,8.548603,35900
2000-05-30,23.1875,23.5,23.1875,23.5,8.640524,49600
2000-05-31,23.5,23.5,23.375,23.4375,8.617543,39100
2000-06-01,23.5,23.625,23.4375,23.5,8.640524,19700
2000-06-02,23.625,23.625,23.4375,23.5625,8.663504,15500
2000-06-05,23.5,23.6875,23.5,23.625,8.686488,13900
2000-06-06,23.625,23.6875,23.5,23.5625,8.663504,9200
2000-06-07,23.625,23.6875,23.5625,23.625,8.686488,7000
2000-06-08,23.625,23.6875,23.625,23.6875,8.709464,10900
2000-06-09,23.75,24.25,23.625,24,8.824366,19500
2000-06-12,24.125,24.125,23.5625,23.5625,8.663504,19700
2000-06-13,23.375,23.4375,23,23.125,8.502645,79400
2000-06-14,23,23.6875,23,23.5,8.640524,34500
2000-06-15,23.5,23.625,23.125,23.625,8.686488,19100
2000-06-16,23.6875,23.6875,23.25,23.3125,8.571585,33000
2000-06-19,23.3125,23.5625,23.3125,23.5625,8.663504,27100
2000-06-20,23.5625,23.625,23.4375,23.5,8.640524,16500
2000-06-21,23.6875,23.875,23.625,23.75,8.732446,15400
2000-06-22,23.75,23.75,23.5,23.5625,8.663504,38000
2000-06-23,23.5,23.625,23.5,23.5,8.640524,47300
2000-06-26,23.5,24,23.5,24,8.824366,47700
2000-06-27,23.9375,24.25,23.9375,24.125,8.870331,38300
2000-06-28,24.125,24.1875,24,24.125,8.870331,17800
2000-06-29,24,24.25,24,24.125,8.870331,11700
2000-06-30,24.0625,24.125,23.9375,24.0156,8.830107,34700
2000-07-03,24,24.3125,24,24.3125,8.939269,8700
2000-07-05,24.3125,24.3125,24.0625,24.0625,8.847346,16200
2000-07-06,24.125,24.25,24.0625,24.125,8.870331,34600
2000-07-07,24.25,24.25,24.0625,24.125,8.870331,15400
2000-07-10,24.1875,24.25,24.0625,24.125,8.870331,26100
2000-07-11,24.1875,24.25,24.0625,24.1875,8.893307,17300
2000-07-12,24.25,24.3125,24.125,24.25,8.916286,21300
2000-07-13,24.3125,24.3125,24.1875,24.1875,8.893307,16400
2000-07-14,24.125,24.3125,24.125,24.3125,8.939269,9800
2000-07-17,24.1875,24.3125,24.1875,24.1875,8.893307,19500
2000-07-18,24.125,24.375,23.8125,23.9375,8.801389,79000
2000-07-19,24,24.125,23.75,24.125,8.870331,130600
2000-07-20,23.3125,23.6875,23.3125,23.625,8.900469,11800
2000-07-21,23.6875,23.6875,23.5,23.5,8.853374,5600
