Stock Quotes for MDLZ,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2001-06-13,31.5,32,31.09,31.25,13.559743,69567200
2001-06-14,31,31,29.5,30.15,13.082439,31979800
2001-06-15,30,30.75,29.950001,30.6,13.277705,14369300
2001-06-18,30.059999,30.6,30.059999,30.32,13.156203,4019800
2001-06-19,30.6,30.709999,30.209999,30.4,13.190916,5690300
2001-06-20,30.4,30.59,30.18,30.299999,13.147524,3791600
2001-06-21,30.35,30.35,30,30,13.017353,6027200
2001-06-22,30,30.02,29.76,30,13.017353,4847700
2001-06-25,30,30.15,29.85,30.15,13.082439,2420300
2001-06-26,30,30.08,29.809999,30.040001,13.034712,3333300
2001-06-27,29.950001,30,29.809999,29.940001,12.991316,3182300
2001-06-28,29.98,30.440001,29.969999,30.41,13.195251,2778100
2001-06-29,30.5,31,30.33,31,13.451265,5777800
2001-07-02,30.700001,30.700001,30.42,30.469999,13.221288,3167600
2001-07-03,30.459999,30.639999,30.42,30.559999,13.260343,608700
2001-07-05,30.75,31.030001,30.629999,30.93,13.420891,2085500
2001-07-06,30.98,30.98,30.5,30.65,13.299394,945300
2001-07-09,30.6,30.74,30.25,30.379999,13.18224,2295300
2001-07-10,30.450001,30.85,30.280001,30.35,13.169225,3301300
2001-07-11,30.360001,30.360001,30,30.299999,13.147524,2023000
2001-07-12,30.65,30.9,30.200001,30.9,13.407873,1912500
2001-07-13,30.9,30.98,30.459999,30.73,13.334106,995400
2001-07-16,30.73,31.01,30.65,30.709999,13.32543,1198100
2001-07-17,30.889999,31.450001,30.85,31.450001,13.646524,3792700
2001-07-18,31.450001,31.5,30.799999,31.49,13.663881,5645100
2001-07-19,31.74,31.74,30.190001,31.32,13.590117,3326000
2001-07-20,31.25,31.34,31.01,31.200001,13.538045,1390900
2001-07-23,31.1,31.190001,30.92,31,13.451265,1756000
2001-07-24,31.18,31.190001,30.9,31.07,13.481635,1146500
2001-07-25,31,31,30.51,30.700001,13.321091,860600
2001-07-26,30.950001,31.190001,30.620001,31.120001,13.503332,1901900
2001-07-27,31.200001,31.200001,30.809999,30.91,13.41221,1541800
