Stock Quotes for MRK,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,68.625,68.625,66.5,67.625,33.534145,5978800
2000-01-04,67,67.8125,64.75,65.25,32.356411,7533100
2000-01-05,65.0625,68.875,65.0625,67.8125,33.62711,7598300
2000-01-06,67.8125,69.1875,67.6875,68.375,33.906044,4760500
2000-01-07,69.8125,75.25,69.625,74.9375,37.160282,10373300
2000-01-10,74.75,74.8125,72.125,72.75,36.07555,5726800
2000-01-11,72.0625,73.6875,71.375,73,36.199512,5023300
2000-01-12,73.625,75.1875,73.4375,74.4375,36.912361,4990400
2000-01-13,74.8125,76.125,73.8125,74.75,37.067303,5353500
2000-01-14,75.25,75.9375,72.6875,74.125,36.757374,5540200
2000-01-18,73.125,73.5625,70.5625,70.8125,35.114758,5299700
2000-01-19,71.75,72.6875,71.25,71.5,35.455681,4761600
2000-01-20,71.9375,73.1875,71.4375,72.9375,36.168514,4986300
2000-01-21,74.5,74.5,71.5625,72.4375,35.92057,7928900
2000-01-24,73,73,69.0625,70.25,34.835842,5189100
2000-01-25,71.125,72,70.625,70.875,35.145763,5446100
2000-01-26,71,73,70.625,72.8125,36.106552,5357500
2000-01-27,73.125,75.4375,73,74.125,36.757374,7747200
2000-01-28,75.5,78.4375,75.25,76.375,37.873131,9823000
2000-01-31,75.6875,79,74.5625,78.625,38.988853,8006300
2000-02-01,77.375,77.9375,75.5,76.8125,38.090073,5026400
2000-02-02,77.3125,78.375,75.9375,76.875,38.121071,4642700
2000-02-03,76.3125,76.6875,75.375,76.25,37.811127,3874000
2000-02-04,76.875,76.875,74.9375,75.0625,37.222256,4262100
2000-02-07,74.25,75.4375,73.75,75.25,37.315262,4170200
2000-02-08,75.5,75.875,75.0625,75.4375,37.408226,3939200
2000-02-09,74.125,74.1875,70.875,71.375,35.393703,6927300
2000-02-10,70,70.25,68,69,34.215969,7019500
2000-02-11,67.625,68.125,64.3125,65.25,32.356411,9213400
2000-02-14,65.5,66.4375,64,66.0625,32.759312,8933100
2000-02-15,65.75,66.625,65.125,65.625,32.542377,6377100
2000-02-16,65.5,67.1875,65.25,65.5,32.480385,5137400
2000-02-17,66.375,66.6875,63.125,63.25,31.364641,6936900
2000-02-18,63.4375,64.375,61.5625,62,30.744804,6617100
2000-02-22,62.5,65.5,61.8125,65.5,32.480385,9199400
2000-02-23,66,66,63.125,63.125,31.302668,7728500
2000-02-24,63.3125,63.3125,60.6875,62,30.744804,9066800
2000-02-25,61.0625,61.5,59.1875,60.1875,29.845993,7701300
2000-02-28,60.1875,61.9375,60,61.5625,30.52783,8488200
2000-02-29,62.4375,63.125,61.375,61.5625,30.52783,7866200
2000-03-01,61.5,61.75,59.75,60,29.893847,6955700
2000-03-02,60.0625,60.75,59.25,59.25,29.52018,5884600
2000-03-03,60.0625,60.125,57.0625,57.5,28.64827,10216500
2000-03-06,57.4375,57.75,56.25,56.5,28.150036,8686200
2000-03-07,56,56,52,53.9375,26.873327,12923800
2000-03-08,53.9375,57.4375,53.9375,56.8125,28.305729,11994000
2000-03-09,58.5,61.625,57.6875,61.125,30.454348,12280200
2000-03-10,61.75,61.875,59,59.5625,29.675873,8313900
2000-03-13,56.375,57.6875,56.125,57,28.399153,8876900
2000-03-14,55.875,56.75,55.375,56.5,28.150036,7141300
2000-03-15,56.25,60,56.0625,59.8125,29.800432,9185600
2000-03-16,60.4375,65.6875,60.1875,65,32.384995,15120800
2000-03-17,64.9375,65,62.6875,62.75,31.263983,8515400
2000-03-20,61.625,62.1875,60.3125,61.625,30.703463,6118700
2000-03-21,61.625,64,61.5625,63.9375,31.855623,5143400
2000-03-22,63.0625,64.9375,63,64.4375,32.10474,5274200
2000-03-23,63.5625,64.75,62.5625,62.875,31.326256,4828100
2000-03-24,62.875,63,60.375,61.75,30.765743,6695600
2000-03-27,60.875,61.5625,59.875,61.125,30.454348,5578500
2000-03-28,59.75,62.5,59.75,61.5625,30.672325,7592000
2000-03-29,62.9375,65,62.5,64,31.886753,7047200
2000-03-30,64,65.9375,63.8125,64.0625,31.917904,6303600
2000-03-31,63.8125,64.9375,62.125,62.125,30.952578,5662600
2000-04-03,62.375,67,62.375,66.75,33.256905,7647200
2000-04-04,68.3125,69.75,65.25,67.6875,33.723991,12027800
2000-04-05,67.9375,68.5,66.9375,68.25,34.004246,6247600
2000-04-06,67,67.0625,64.625,65.5625,32.665245,6228000
2000-04-07,65.375,66.6875,65,65.5,32.634109,3322400
2000-04-10,65.0625,68.25,65.0625,66.375,33.070061,4710800
2000-04-11,66.4375,68,66.375,67.3125,33.537144,5705900
2000-04-12,67.5625,67.75,64.875,64.875,32.322727,5840100
2000-04-13,65.375,67,65.125,65.8125,32.789818,4871700
2000-04-14,64.9375,65.625,62.5625,63.5625,31.668776,6155600
2000-04-17,63.75,64.75,61.875,64.4375,32.10474,6261100
2000-04-18,64.25,66.375,64,66.25,33.007797,4600700
2000-04-19,66,69.75,65.5625,69,34.377922,8176700
2000-04-20,69,70.25,68.9375,69.75,34.751591,6542000
2000-04-24,69.875,72.1875,69.75,71.9375,35.841484,7415800
2000-04-25,71.9375,72.8125,69.875,72.5,36.121731,6689100
2000-04-26,72,72.1875,70.25,71.9375,35.841484,4619400
2000-04-27,71.25,72.625,70.8125,71.5,35.623493,5645300
2000-04-28,69.625,70.3125,67.5625,69.5,34.627018,8069000
2000-05-01,69.5,69.5625,67.5625,67.5625,33.661716,5159000
2000-05-02,67.0625,70.0625,66.9375,69.25,34.502483,4490200
2000-05-03,69,69.875,68,68.3125,34.035374,4003800
2000-05-04,68.5625,68.625,67,67.1875,33.474873,3406500
2000-05-05,66.875,69.9375,66.75,69.25,34.502483,3657300
2000-05-08,69.9375,70.5,69,69.875,34.813881,4279300
2000-05-09,70,70.0625,68.6875,68.9375,34.346786,3683400
2000-05-10,68.6875,68.75,66.75,68,33.879688,4246100
2000-05-11,68.25,68.6875,67.0625,68.25,34.004246,4024700
2000-05-12,68.3125,68.9375,67.3125,68.125,33.941963,3040900
2000-05-15,68.25,69.9375,67.5,69.625,34.689304,3196300
2000-05-16,69.625,71.5,69,71,35.374374,5115600
2000-05-17,70.5,71.375,69.625,69.8125,34.782734,3357300
2000-05-18,69.75,70.6875,69.75,69.9375,34.845005,2850500
2000-05-19,69.1875,72.9375,69.1875,72.4375,36.090591,7055400
2000-05-22,72,73.625,71.6875,72.3125,36.028305,6281600
2000-05-23,73.5,73.8125,72.625,73.8125,36.775646,4847300
2000-05-24,74,75,73.3125,74.625,37.180462,7152900
