Stock Quotes for MRO,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.437609,7.493531,7.195281,7.232563,2.464447,4841200
2000-01-04,7.083437,7.139359,6.897031,6.952953,2.369172,4847200
2000-01-05,7.064797,7.269844,7.008875,7.139359,2.432688,9528900
2000-01-06,7.363047,8.05275,7.325766,7.903625,2.693106,8595800
2000-01-07,7.45625,8.201875,7.45625,8.127313,2.769327,8239300
2000-01-10,7.866344,7.978188,7.642656,7.717219,2.629589,6339900
2000-01-11,7.661297,7.884984,7.661297,7.810422,2.661349,4509600
2000-01-12,7.735859,7.829062,7.530812,7.735859,2.635942,4478100
2000-01-13,7.661297,7.847703,7.661297,7.7545,2.642294,3421900
2000-01-14,7.810422,7.810422,7.605375,7.7545,2.642294,5511400
2000-01-18,7.829062,7.922266,7.735859,7.884984,2.686755,4965200
2000-01-19,7.847703,7.996828,7.829062,7.959547,2.712162,3985500
2000-01-20,7.922266,7.940906,7.605375,7.679937,2.616886,6054600
2000-01-21,7.829062,8.164594,7.829062,7.940906,2.70581,5331400
2000-01-24,7.7545,7.866344,7.549453,7.568094,2.578777,8331900
2000-01-25,7.586734,7.698578,7.195281,7.400328,2.521612,5558400
2000-01-26,7.158,7.661297,7.158,7.45625,2.540667,8023100
2000-01-27,7.679937,7.679937,7.232563,7.269844,2.47715,4621200
2000-01-28,7.363047,7.45625,7.232563,7.344406,2.502557,4898900
2000-01-31,7.269844,7.679937,7.195281,7.661297,2.610536,5180800
2000-02-01,7.586734,7.586734,7.344406,7.363047,2.508909,1668000
2000-02-02,7.437609,7.717219,7.400328,7.624016,2.597831,4311100
2000-02-03,7.549453,7.549453,7.363047,7.474891,2.547018,3947600
2000-02-04,7.829062,7.829062,7.158,7.307125,2.489853,6032800
2000-02-07,7.213922,7.512172,7.139359,7.45625,2.540667,5583200
2000-02-08,7.530812,7.605375,7.269844,7.288485,2.483502,1634100
2000-02-09,7.213922,7.269844,6.915672,6.971594,2.375524,3774300
2000-02-10,6.990234,7.288485,6.971594,7.139359,2.432688,2837200
2000-02-11,7.139359,7.158,6.729266,6.85975,2.337414,3240200
2000-02-14,6.85975,7.008875,6.785188,6.971594,2.450543,4503600
2000-02-15,7.027515,7.213922,7.027515,7.139359,2.509513,3679700
2000-02-16,7.158,7.381688,7.139359,7.288485,2.561931,3693800
2000-02-17,7.363047,7.418969,7.046156,7.251203,2.548827,1962100
2000-02-18,7.102078,7.195281,6.747906,6.934312,2.437439,2315100
2000-02-22,7.008875,7.102078,6.766547,6.85975,2.411229,3241900
2000-02-23,6.580141,6.710625,6.505578,6.54286,2.299841,4776800
2000-02-24,6.505578,6.5615,6.337812,6.431015,2.260527,5824900
2000-02-25,6.5615,6.5615,6.170047,6.337812,2.227766,6611200
2000-02-28,6.28189,6.505578,6.26325,6.356453,2.234318,4665800
2000-02-29,6.393734,6.505578,6.319172,6.449656,2.26708,5210000
2000-03-01,6.524219,6.710625,6.337812,6.654703,2.339155,6313800
2000-03-02,6.54286,7.158,6.54286,7.027515,2.470201,7253600
2000-03-03,7.213922,7.213922,6.747906,6.915672,2.430886,3461100
2000-03-06,6.934312,7.008875,6.803828,6.897031,2.424335,2652400
2000-03-07,7.158,7.474891,6.971594,7.381688,2.594692,4950800
2000-03-08,7.344406,7.735859,7.307125,7.325766,2.575036,9734700
2000-03-09,7.158,7.474891,7.139359,7.400328,2.601245,4527700
2000-03-10,7.418969,7.791781,7.307125,7.45625,2.620901,5997600
2000-03-13,7.307125,7.717219,7.307125,7.45625,2.620901,5181500
2000-03-14,7.437609,7.568094,7.213922,7.363047,2.58814,4467000
2000-03-15,7.288485,7.7545,7.083437,7.586734,2.666767,8573000
2000-03-16,7.418969,7.77314,7.335071,7.735859,2.719186,5519100
2000-03-17,7.381688,7.642656,7.232563,7.251203,2.548827,7174500
2000-03-20,7.325766,7.325766,7.158,7.195281,2.529171,3382300
2000-03-21,7.195281,7.418969,7.176641,7.307125,2.568483,5141600
2000-03-22,7.139359,7.307125,7.083437,7.139359,2.509513,4861300
2000-03-23,7.120719,7.120719,6.785188,6.785188,2.385021,15102700
2000-03-24,6.785188,7.008875,6.710625,6.785188,2.385021,11454800
2000-03-27,6.747906,6.952953,6.654703,6.934312,2.437439,5477600
2000-03-28,6.841109,7.046156,6.636063,6.822469,2.398124,6656100
2000-03-29,6.747906,7.176641,6.747906,7.120719,2.50296,7336100
2000-03-30,7.307125,7.698578,7.232563,7.530812,2.64711,11062800
2000-03-31,7.605375,7.847703,7.530812,7.77314,2.73229,9825300
2000-04-03,7.791781,7.847703,7.586734,7.698578,2.706081,4258500
2000-04-04,7.624016,7.866344,7.45625,7.530812,2.64711,5890600
2000-04-05,7.568094,7.661297,7.102078,7.251203,2.548827,3404800
