Stock Quotes for MYL,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,11.111111,11.166667,10.722222,10.833333,9.9953,1853200
2000-01-04,10.694445,10.722222,10.111111,10.333333,9.533978,1139100
2000-01-05,10.333333,10.555555,10.25,10.5,9.687751,1191100
2000-01-06,10.527778,10.666667,10.472222,10.555555,9.739008,821700
2000-01-07,10.555555,11.194445,10.444445,11.111111,10.251587,1631700
2000-01-10,11.111111,11.388889,11.083333,11.333333,10.456618,1534500
2000-01-11,11.277778,12.055555,11.111111,12,11.071714,1974600
2000-01-12,12,12.194445,11.666667,11.722222,10.815429,2009200
2000-01-13,11.777778,12,11.777778,12,11.071714,1106700
2000-01-14,12.027778,12.638889,12.027778,12.138889,11.199861,1628200
2000-01-18,12.222222,12.333333,12.055555,12.305555,11.353635,837600
2000-01-19,12.138889,12.416667,12.083333,12.416667,11.456151,1120500
2000-01-20,12.305555,12.444445,12.222222,12.305555,11.353635,1323000
2000-01-21,12.333333,12.388889,11.777778,11.888889,10.969198,867600
2000-01-24,11.805555,11.944445,11.138889,11.277778,10.405361,1690200
2000-01-25,11.166667,11.333333,11,11.305555,10.430992,969300
2000-01-26,11.305555,11.305555,10.888889,11.111111,10.251587,914400
2000-01-27,11.333333,11.472222,11.138889,11.305555,10.430992,1448200
2000-01-28,11.333333,12.111111,10.972222,11.666667,10.764169,1572300
2000-01-31,11.5,11.833333,10.722222,11.833333,10.917941,2266600
2000-02-01,11.833333,11.833333,11.222222,11.416667,10.533505,849100
2000-02-02,11.5,11.611111,11.25,11.305555,10.430992,769600
2000-02-03,11.333333,11.388889,11.194445,11.305555,10.430992,478300
2000-02-04,11.333333,11.361111,11.055555,11.138889,10.277217,936900
2000-02-07,11.222222,11.333333,11.111111,11.333333,10.456618,592600
2000-02-08,11.277778,11.333333,11.194445,11.277778,10.405361,1368400
2000-02-09,11.277778,11.333333,11.055555,11.083333,10.225958,1019700
2000-02-10,11.083333,11.111111,10.888889,10.972222,10.123445,1037700
2000-02-11,10.944445,11.055555,10.666667,10.833333,9.9953,801900
2000-02-14,10.805555,10.805555,10.638889,10.75,9.918411,855100
2000-02-15,10.777778,11.055555,10.555555,10.583333,9.764636,864000
2000-02-16,10.472222,10.611111,10.361111,10.388889,9.585236,1132600
2000-02-17,10.361111,10.805555,10.222222,10.805555,9.969669,1956700
2000-02-18,10.888889,11.333333,10.833333,10.861111,10.020927,2154700
2000-02-22,11.111111,11.166667,10.222222,10.277778,9.482717,1121800
2000-02-23,10.388889,10.583333,10.277778,10.277778,9.482717,960700
2000-02-24,10.472222,10.916667,10.333333,10.527778,9.713381,1707700
2000-02-25,10.611111,10.972222,10.305555,10.361111,9.559605,834900
2000-02-28,10.305555,10.333333,10,10.083333,9.303317,893800
2000-02-29,10.166667,10.638889,10.166667,10.222222,9.431461,1535500
2000-03-01,10.111111,10.416667,10.027778,10.138889,9.354572,824400
2000-03-02,10.111111,11.166667,10.083333,10.722222,9.892782,3292300
2000-03-03,12,13.111111,11.833333,13.111111,12.096874,6770700
2000-03-06,13.111111,13.111111,12.055555,12.361111,11.404891,3171300
2000-03-07,12.416667,12.416667,11.972222,12.111111,11.174232,2250100
2000-03-08,12.222222,12.75,12.222222,12.416667,11.456151,1176400
2000-03-09,12.444445,12.666667,12.25,12.666667,11.686812,3292600
2000-03-10,12.444445,12.444445,12.083333,12.388889,11.430523,2845900
2000-03-13,12.166667,12.222222,11.888889,12.166667,11.225491,1303800
2000-03-14,12.166667,12.194445,11.555555,11.916667,10.994828,1174200
2000-03-15,11.861111,12.333333,11.722222,12.305555,11.353635,2686000
2000-03-16,12.444445,13.333333,12.416667,13.333333,12.301905,4105000
2000-03-17,13.333333,13.333333,12.972222,13.027778,12.019986,2364000
2000-03-20,13.027778,13.055555,12.444445,12.472222,11.507409,1526100
2000-03-21,12.527778,13.055555,12.5,12.944445,11.943102,955900
2000-03-22,12.777778,12.777778,12.277778,12.527778,11.558663,2142000
2000-03-23,12.555555,12.555555,12.111111,12.444445,11.481778,1746400
2000-03-24,12.444445,12.666667,12.222222,12.388889,11.430523,1551700
2000-03-27,12.416667,12.416667,11.888889,12,11.071714,1212400
2000-03-28,11.944445,11.972222,11.527778,11.611111,10.712909,2277600
2000-03-29,11.583333,11.833333,11.5,11.611111,10.74999,1380600
2000-03-30,11.638889,11.944445,11.5,11.583333,10.724272,1555200
2000-03-31,11.638889,12.444445,11.638889,12.222222,11.315775,2090400
2000-04-03,12.111111,12.305555,12.055555,12.111111,11.212906,896400
2000-04-04,12.222222,12.888889,12,12.583333,11.650109,2735700
2000-04-05,12.555555,13.305555,12.555555,13.166667,12.19018,1789600
