Stock Quotes for NRG,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2003-12-02,9.5,9.625,9.5,9.625,8.695191,160000
2003-12-03,9.75,9.75,9.75,9.75,8.808119,300000
2003-12-04,10.125,10.125,10.125,10.125,9.14689,50000
2003-12-05,10.125,10.125,10.125,10.125,9.14689,0
2003-12-08,10.5,10.9,10.5,10.9,9.847024,954000
2003-12-09,10.9,11.375,10.9,11.065,9.996086,3014200
2003-12-10,11.125,11.5,11.125,11.25,10.163215,2994600
2003-12-11,11.375,11.5,11.315,11.45,10.343893,2203200
2003-12-12,11.5,11.525,11.46,11.475,10.366478,709000
2003-12-15,11.45,11.45,11.2,11.2,10.118043,1287000
2003-12-16,11.175,11.175,10.9,10.975,9.914779,885600
2003-12-17,10.95,10.95,10.7,10.725,9.688933,1150800
2003-12-18,10.725,10.775,10.725,10.775,9.734098,2425200
2003-12-19,10.775,10.9,10.775,10.9,9.847024,1421800
2003-12-22,10.825,10.9,10.825,10.825,9.779268,5200
2003-12-23,10.85,10.925,10.85,10.9,9.847024,133800
2003-12-24,10.9,10.925,10.9,10.925,9.869611,20200
2003-12-26,10.925,10.925,10.925,10.925,9.869611,1000
2003-12-29,10.9,10.9,10.9,10.9,9.847024,1200
2003-12-30,10.925,10.95,10.925,10.95,9.892196,31600
2003-12-31,10.95,11,10.95,10.95,9.892196,14200
2004-01-02,11,11.225,10.975,11.225,10.140629,557600
2004-01-05,11.225,11.25,11.15,11.2,10.118043,136000
2004-01-06,11.2,11.25,11.195,11.225,10.140629,160600
2004-01-07,11.2,11.2,11,11.125,10.050288,283400
2004-01-08,11.175,11.175,11.1,11.13,10.054806,385200
2004-01-09,11.15,11.15,10.575,10.575,9.553418,3456200
2004-01-12,10.625,10.625,10.6,10.6,9.576005,17800
2004-01-13,10.625,10.675,10.48,10.5,9.485666,1069600
2004-01-14,10.525,10.55,10.5,10.5,9.485666,208600
2004-01-15,10.5,10.5,10.375,10.425,9.417912,54200
2004-01-16,10.375,10.45,10.375,10.4,9.395326,493800
2004-01-20,10.5,10.525,10.485,10.5,9.485666,856600
2004-01-21,10.525,10.575,10.5,10.5,9.485666,969600
2004-01-22,10.55,10.8,10.55,10.75,9.711516,863600
2004-01-23,10.75,10.75,10.55,10.6,9.576005,748400
2004-01-26,10.6,10.6,10.425,10.425,9.417912,291600
2004-01-27,10.425,10.425,10.35,10.365,9.363706,994600
2004-01-28,10.375,10.375,10.225,10.25,9.259818,100000
2004-01-29,10.25,10.25,9.875,10,9.033969,1169000
2004-01-30,10,10.125,10,10,9.033969,341200
2004-02-02,10,10.175,10,10.075,9.101721,80800
2004-02-03,10,10.155,10,10.15,9.169477,1379200
2004-02-04,10.125,10.15,10.125,10.125,9.14689,575200
2004-02-05,10.135,10.135,10.01,10.025,9.056552,649000
2004-02-06,10.075,10.075,10,10.025,9.056552,486600
2004-02-09,10.025,10.025,10,10,9.033969,607400
2004-02-10,10,10.05,10,10.015,9.047519,544600
2004-02-11,10.04,10.04,10,10,9.033969,1015600
2004-02-12,10.01,10.025,10,10,9.033969,188600
2004-02-13,10.01,10.02,10,10.02,9.052037,927400
2004-02-17,10.015,10.02,9.9,9.9,8.943624,276200
2004-02-18,9.875,9.925,9.75,9.755,8.812634,442800
2004-02-19,9.765,9.775,9.75,9.77,8.826186,680800
2004-02-20,9.775,9.785,9.75,9.77,8.826186,210200
2004-02-23,9.75,9.76,9.5,9.625,8.695191,94800
2004-02-24,9.6,9.8,9.05,9.22,8.329318,2856800
2004-02-25,9.25,9.625,9.2,9.6,8.672611,2178200
2004-02-26,9.6,9.675,9.55,9.575,8.650025,1029200
2004-02-27,9.55,9.65,9.55,9.65,8.717778,1516600
2004-03-01,9.6,10.1,9.6,10,9.033969,1330400
2004-03-02,10,10.025,9.875,9.95,8.988798,303800
2004-03-03,9.95,9.995,9.9,9.985,9.020416,465600
2004-03-04,9.975,9.975,9.425,9.9,8.943624,385200
2004-03-05,9.9,9.95,9.875,9.925,8.966214,160800
2004-03-08,9.95,9.95,9.535,9.75,8.808119,99000
2004-03-09,9.8,9.875,9.75,9.75,8.808119,94800
2004-03-10,9.85,9.85,9.7,9.7,8.762947,129800
2004-03-11,9.825,10.05,9.825,9.875,8.921043,2046200
2004-03-12,9.95,10,9.875,9.975,9.011383,764400
2004-03-15,9.99,9.99,9.875,9.925,8.966214,35800
2004-03-16,9.95,9.975,9.9,9.95,8.988798,1954800
2004-03-17,9.975,10.275,9.975,10.25,9.259818,1440400
2004-03-18,10.225,10.325,10.2,10.3,9.304987,821600
2004-03-19,10.325,10.35,10.3,10.325,9.327573,66600
2004-03-22,10.325,10.4,10.325,10.375,9.37274,825400
2004-03-23,10.375,10.55,10.375,10.485,9.472116,3840000
2004-03-24,10.485,10.65,10.45,10.65,9.621175,1556200
2004-03-25,11,11.075,10.5,10.655,9.625691,1995400
2004-03-26,10.685,10.72,10.65,10.66,9.630211,902800
2004-03-29,10.675,11.1,10.675,10.925,9.869611,1548800
2004-03-30,10.95,11,10.835,10.995,9.932846,492800
2004-03-31,10.925,11.1,10.9,11.1,10.027703,1969800
2004-04-01,11.125,11.175,11.075,11.12,10.045774,852600
2004-04-02,11.18,11.25,11.175,11.25,10.163215,1118400
2004-04-05,11.28,11.33,11.15,11.33,10.235486,847600
2004-04-06,11.33,11.4,11.28,11.33,10.235486,683600
2004-04-07,11.33,11.33,11.175,11.2,10.118043,629200
2004-04-08,11.25,11.25,11.075,11.095,10.023187,387400
2004-04-12,11.13,11.16,10.99,11.07,10.000604,500000
2004-04-13,11.015,11.1,10.925,10.995,9.932846,921800
2004-04-14,11,11,10.75,10.85,9.801856,331000
2004-04-15,10.85,10.85,10.5,10.62,9.594076,383000
2004-04-16,10.67,10.7,10.625,10.675,9.64376,406400
2004-04-19,10.675,10.8,10.675,10.755,9.716034,225400
2004-04-20,10.775,10.775,10.51,10.625,9.598591,146200
2004-04-21,10.625,10.625,10.385,10.42,9.413394,521000
2004-04-22,10.42,10.45,10.345,10.45,9.440499,553600
2004-04-23,10.475,10.55,10.47,10.5,9.485666,816200
2004-04-26,10.5,10.6,10.495,10.6,9.576005,468000
