Stock Quotes for NTAP,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,44.9375,45.0625,40,42.5,38.552654,5426000
2000-01-04,41.1875,42.4375,37,37.125,33.676884,4511400
2000-01-05,40.375,42.25,35,39.1875,35.547821,6633800
2000-01-06,38.5,38.90625,35,35.03125,31.77759,5589600
2000-01-07,34.5,42.5,33.875,42.5,38.552654,8510400
2000-01-10,44.28125,45.90625,43.25,44.3125,40.196815,6348600
2000-01-11,45.5,46.8125,40.875,41.25,37.418755,4730800
2000-01-12,41,44.375,39.3125,43.5625,39.516476,4356800
2000-01-13,44,45,41.625,42.859348,38.878632,5144000
2000-01-14,44,47.625,43.5,46.84375,42.492962,6007600
2000-01-18,48.9375,60,48.5,59.0625,53.576855,7576600
2000-01-19,56.8125,58.5,53,54.25,49.21133,5907600
2000-01-20,57.3125,57.625,55.625,57.5,52.159473,4236600
2000-01-21,57.875,60.75,55,58.5625,53.123291,4913400
2000-01-24,59.9375,59.96875,50.3125,51,46.263184,6404800
2000-01-25,51.875,55.5,49.5,53.59375,48.616035,5941600
2000-01-26,54.125,57.5625,53.3125,54.1875,49.154636,5902600
2000-01-27,55.3125,55.75,49.5625,51.4375,46.660061,6209400
2000-01-28,50.65625,53.5,49,49.59375,44.987545,3665000
2000-01-31,50.4375,52.5,45.3125,50.1875,45.526146,5795600
2000-02-01,52.0625,54.3125,50.15625,53.90625,48.899506,3727000
2000-02-02,54.5625,57.625,53,56.5625,51.309044,4979600
2000-02-03,57.5,57.5,53,57.3125,51.989395,4748000
2000-02-04,58.0625,66.9375,57.75,63.96875,58.027416,7945400
2000-02-07,65.6875,65.90625,60.5,62.6875,56.86517,5134800
2000-02-08,64.03125,66.25,61.5625,66,59.870022,5969400
2000-02-09,66.8125,67.125,63,64.34375,58.367592,3716200
2000-02-10,65.03125,69.9375,62.9375,69.625,63.158314,3887400
2000-02-11,72.53125,79.5625,71.25,77.46875,70.273567,5743800
2000-02-14,79.9375,80.125,71.5625,74.15625,67.268723,7121800
2000-02-15,74.875,76.5,70.75,75.78125,68.742783,4891200
2000-02-16,80.75,88.15625,78.53125,87.71875,79.571548,10379800
2000-02-17,89.25,89.96875,83.03125,87.1875,79.08963,7400400
2000-02-18,86,87.125,83.5,83.625,75.858032,3796000
2000-02-22,84.96875,85.710899,81.5625,84.3125,76.481667,3910000
