Stock Quotes for PBCT,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,4.497355,4.550264,4.391534,4.417989,0.670836,891000
2000-01-04,4.404762,4.431217,4.365079,4.404762,0.668827,1229300
2000-01-05,4.404762,4.444445,4.351852,4.431217,0.672844,361800
2000-01-06,4.417989,4.431217,4.378307,4.391534,0.666819,370600
2000-01-07,4.417989,4.417989,4.325397,4.365079,0.662802,362200
2000-01-10,4.345228,4.351852,4.232804,4.285714,0.650751,631400
2000-01-11,4.246032,4.417989,4.246032,4.391534,0.666819,297900
2000-01-12,4.378307,4.431217,4.285714,4.378307,0.66481,228600
2000-01-13,4.318772,4.4709,4.312169,4.431217,0.672844,346000
2000-01-14,4.4709,4.603175,4.417989,4.537037,0.688912,402500
2000-01-18,4.537037,4.57672,4.365079,4.431217,0.672844,217300
2000-01-19,4.391534,4.4709,4.378307,4.431217,0.672844,156200
2000-01-20,4.444445,4.484127,4.338624,4.338624,0.658785,272100
2000-01-21,4.351852,4.417989,4.232804,4.246032,0.644725,255100
2000-01-24,4.232804,4.338624,4.100529,4.100529,0.622632,691900
2000-01-25,4.113757,4.126984,3.994709,4.047619,0.614598,1276500
2000-01-26,4.074074,4.232804,4.054222,4.232804,0.642717,490300
2000-01-27,4.232804,4.259259,4.140212,4.153439,0.630666,225700
2000-01-28,4.219577,4.246032,4.021164,4.179894,0.680583,589000
2000-01-31,4.219577,4.417989,4.179894,4.378307,0.71289,3380100
2000-02-01,4.404762,4.404762,4.312169,4.312169,0.702121,393300
2000-02-02,4.365079,4.365079,4.126984,4.193122,0.682737,304200
2000-02-03,4.160042,4.232804,4.100529,4.232804,0.689199,434700
2000-02-04,4.206349,4.431217,4.206349,4.325397,0.704275,286600
2000-02-07,4.325397,4.338624,4.206349,4.219577,0.687045,382600
2000-02-08,4.219577,4.219577,4.047619,4.100529,0.667661,390100
2000-02-09,4.100529,4.140212,4.047619,4.113757,0.669815,643400
2000-02-10,4.126984,4.179894,4.034391,4.047619,0.659046,324400
2000-02-11,4.034391,4.074074,3.955026,4.021164,0.654739,730300
2000-02-14,3.968254,4.074074,3.941799,3.955026,0.64397,254100
2000-02-15,3.96163,4.047619,3.941799,4.021164,0.654739,963900
2000-02-16,4.021164,4.179894,3.994709,4.126984,0.671968,463200
2000-02-17,4.100529,4.153439,4.047619,4.113757,0.669815,361800
2000-02-18,4.047619,4.126984,3.994709,4.021164,0.654739,212900
2000-02-22,3.994709,4.047619,3.941799,3.955026,0.64397,488800
2000-02-23,3.955026,4.021164,3.928571,3.968254,0.646123,471800
2000-02-24,3.968254,3.981482,3.902116,3.955026,0.64397,471800
2000-02-25,3.941799,4.021164,3.849206,3.968254,0.646123,540700
2000-02-28,4.021164,4.021164,3.888889,3.928571,0.639663,337600
2000-02-29,3.941799,4.232804,3.862434,4.222878,0.687582,1213500
2000-03-01,4.193122,4.206349,3.862434,3.862434,0.628894,788300
2000-03-02,3.902116,3.902116,3.809524,3.809524,0.620279,502900
2000-03-03,3.835979,3.968254,3.822751,3.968254,0.646123,749200
2000-03-06,3.941799,4.047619,3.888889,3.968254,0.646123,359900
2000-03-07,4.007936,4.034391,3.756614,3.759915,0.612201,361800
2000-03-08,3.776444,3.783069,3.703704,3.703704,0.603049,746500
2000-03-09,3.730159,3.730159,3.650794,3.677249,0.598741,559600
2000-03-10,3.690476,3.716931,3.650794,3.677249,0.598741,870600
2000-03-13,3.624339,3.664021,3.465608,3.597884,0.585819,1098900
2000-03-14,3.664021,3.888889,3.624339,3.789672,0.617046,827800
2000-03-15,3.756614,4.153439,3.730159,4.100529,0.667661,398700
2000-03-16,4.179894,4.4709,4.153439,4.4709,0.727966,758700
2000-03-17,4.464275,4.4709,4.338624,4.378307,0.71289,631200
2000-03-20,4.338624,4.391534,4.153439,4.153439,0.676276,169400
2000-03-21,4.219577,4.378307,4.179894,4.365079,0.710736,241900
2000-03-22,4.312169,4.4709,4.312169,4.457672,0.725812,1042600
2000-03-23,4.457672,4.4709,4.404762,4.457672,0.725812,571600
2000-03-24,4.431217,4.497355,4.153439,4.219577,0.687045,534800
2000-03-27,4.206349,4.351852,4.206349,4.232804,0.689199,478100
2000-03-28,4.252635,4.272487,4.193122,4.193122,0.682737,238300
