Stock Quotes for PBI,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,48.3125,48.5,45.75,47.4375,20.288647,697900
2000-01-04,46.25,46.75,45.5625,45.8125,19.593658,623100
2000-01-05,46,46.125,44.875,45.75,19.566912,890800
2000-01-06,44.9375,45.25,44.5625,45.125,19.299603,743600
2000-01-07,45.9375,46.25,44.6875,45.9375,19.647114,831800
2000-01-10,46.375,46.5,44.875,45.625,19.513464,374500
2000-01-11,45.875,48.6875,45.875,47.5,20.31538,675000
2000-01-12,47.5,49.1875,47.3125,48.8125,20.87672,811500
2000-01-13,49,50.3125,48.4375,50.25,21.491528,1237800
2000-01-14,49.75,49.9375,48.125,48.375,20.689606,679400
2000-01-18,48,48.625,47.375,48.5,20.743069,1112200
2000-01-19,48.25,49.9375,48.0625,49.9375,21.357876,1103800
2000-01-20,49.6875,50.25,47.5625,47.5625,20.342112,1010100
2000-01-21,47.625,47.625,45,46,19.673845,1315200
2000-01-24,45.875,47,44.625,45.25,19.353073,958100
2000-01-25,44.625,45.375,41.5625,43.5,18.604612,1203000
2000-01-26,43.625,44.25,43.0625,43.5,18.604612,976100
2000-01-27,45,48,45,45.9375,19.647114,1356900
2000-01-28,46.75,48.375,45.0625,45.0625,19.272881,1263400
2000-01-31,45.125,50,45.125,49,20.956919,1073800
2000-02-01,49.0625,49.75,48.125,49.5625,21.197489,883600
2000-02-02,48.375,49.25,47.6875,47.6875,20.395573,897700
2000-02-03,48.25,50.625,47.75,50.4375,21.57172,1306600
2000-02-04,51,51.25,49.5,50.125,21.43808,977300
2000-02-07,51.25,51.25,49.375,49.8125,21.304422,664000
2000-02-08,50.125,50.75,47.5,48,20.529224,846200
2000-02-09,48.1875,48.9375,47.3125,47.3125,20.235186,812900
2000-02-10,47.3125,48.375,47.1875,47.625,20.368847,563800
2000-02-11,47.625,47.625,46.25,47,20.101532,676700
2000-02-14,47,48.5,46.5625,46.875,20.048077,677600
2000-02-15,47.8125,50.9375,47.5,49.875,21.331141,811500
2000-02-16,49.5,50.1875,48.8125,49.0625,20.983648,843300
2000-02-17,49.5,53,49.5,51.4375,21.999418,1371000
2000-02-18,51.25,53.375,51.25,53,22.667686,1639600
2000-02-22,51.875,52.75,50.3125,50.6875,21.678646,1087500
2000-02-23,50.25,51.0625,49.875,50,21.505531,814000
2000-02-24,49.75,50,47.1875,48.75,20.967892,1355800
2000-02-25,48.125,48.8125,47.125,48.4375,20.833483,806700
2000-02-28,47.75,50.125,47.625,49.6875,21.371119,827800
2000-02-29,49,50.8125,48.375,49.5,21.290468,1093700
2000-03-01,49.25,53.875,48.75,53.75,23.118433,1026000
2000-03-02,54,54.125,51.8125,52.75,22.688332,888500
2000-03-03,51.5,51.9375,50.375,50.875,21.88187,720200
2000-03-06,50.875,50.875,48.6875,48.6875,20.941008,1118900
2000-03-07,49,50,48.1875,48.3125,20.77972,1752600
2000-03-08,49,49.1875,46.25,48.5,20.860359,1605600
2000-03-09,48.5,49.9375,47,47.75,20.537783,1342200
2000-03-10,47.75,47.75,46.125,46.125,19.838842,1928500
2000-03-13,44.5625,46.1875,44.5625,45.9375,19.758207,1833400
2000-03-14,45.6875,47.5625,45.0625,46.875,20.161434,1264700
2000-03-15,45.5625,47.9375,44.75,47.6875,20.510895,2114600
2000-03-16,47,48.375,44.5,47.8125,20.564659,1317200
2000-03-17,46.625,47.375,41,43.9375,18.89798,7050500
2000-03-20,44.75,44.75,42,43.125,18.548521,1925100
2000-03-21,42.25,44.25,42.125,44.0625,18.951744,1056100
2000-03-22,44,44.3125,43.0625,43.4375,18.682932,1128400
2000-03-23,43.75,46.5625,43.75,45.6875,19.650671,2040500
2000-03-24,44.75,45.9375,44.375,45.375,19.516275,1040000
2000-03-27,45.3125,45.8125,44,44.8125,19.274336,763500
2000-03-28,44.8125,45.9375,44.8125,45.125,19.408737,750700
2000-03-29,45.1875,45.875,43.375,43.625,18.763573,729900
2000-03-30,43.375,44,43.0625,43.625,18.763573,675900
2000-03-31,44.4375,46.0625,44,44.6875,19.220566,744900
2000-04-03,44.5625,45,43,43.4375,18.682932,904800
