Stock Quotes for PDCO,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,10.78125,10.78125,10.1875,10.5625,9.01829,486400
2000-01-04,10.34375,10.5625,9.75,10.03125,8.564708,978000
2000-01-05,10,11.625,9.78125,11.1875,9.551917,1167200
2000-01-06,11.1875,11.5,10.9375,11.15625,9.525239,853600
2000-01-07,11.125,11.359375,10.953125,11.3125,9.65864,968800
2000-01-10,11.4375,11.5625,11,11.429675,9.758686,478400
2000-01-11,11.25,11.5,11.25,11.34375,9.685325,212000
2000-01-12,11.34375,11.375,11.0625,11.125,9.498556,255600
2000-01-13,11.09375,12.0625,11.09375,12,10.245631,1343200
2000-01-14,12,12,11.65625,11.6875,9.978821,554000
2000-01-18,11.6328,11.75,11.1875,11.75,10.03218,346800
2000-01-19,11.65625,11.71875,11.578125,11.625,9.925455,456000
2000-01-20,11.5703,11.65625,11.3125,11.5,9.818731,416800
2000-01-21,11.578125,12,11.46875,11.703125,9.992159,524400
2000-01-24,11.71875,11.875,11.453125,11.453125,9.778708,626800
2000-01-25,11.625,11.71875,11.4375,11.71875,10.005502,391600
2000-01-26,11.734375,11.839825,11.4375,11.53125,9.845413,611600
2000-01-27,11.53125,11.640625,11.4375,11.578125,9.885434,632400
2000-01-28,11.515625,11.671875,11.0039,11.015625,9.405169,344400
2000-01-31,11.03125,11.5,10.75,10.890625,9.298447,534400
2000-02-01,11,11,10.59375,10.671875,9.111672,716400
2000-02-02,10.75,11.6875,10.5,11.03125,9.41851,728800
2000-02-03,10.96875,11.6875,10.96875,11.609375,9.912114,341200
2000-02-04,11.625,11.625,11.09765,11.171875,9.538577,310000
2000-02-07,11.28125,11.28125,10.6875,10.75,9.178379,410800
2000-02-08,10.75,10.984375,10.03125,10.1875,8.698112,958800
2000-02-09,10.25,10.59375,9.984375,9.984375,8.524687,856000
2000-02-10,10.28125,10.3125,9.625,10.015625,8.551366,994400
2000-02-11,10.046875,10.046875,9.5625,9.671875,8.257873,414400
2000-02-14,9.6875,10.109375,9.4375,9.75,8.324578,500000
2000-02-15,9.6875,9.90625,9.59375,9.671875,8.257873,762000
2000-02-16,9.8125,9.8125,9.1875,9.21875,7.870995,342800
2000-02-17,9.296875,9.390625,8.578125,8.890625,7.590836,908800
2000-02-18,8.640625,9.03125,8.5625,8.75,7.470775,822400
2000-02-22,8.75,8.875,8.125,8.21875,7.017191,1154000
2000-02-23,8.390625,9.25,8.28125,9.171875,7.830971,1299600
2000-02-24,9.390625,9.8125,9.140625,9.78125,8.35126,724000
2000-02-25,9.65625,9.65625,8.765625,8.9375,7.630862,1584000
2000-02-28,9.015625,9.03125,8.921875,8.96875,7.657544,500000
2000-02-29,9,9.0625,8.953125,9.0078,7.690883,1777200
2000-03-01,9.015625,9.015625,8.5,8.6953,7.42407,2492000
2000-03-02,8.625,9.03125,8.625,8.75,7.470775,1024400
2000-03-03,8.875,9.03125,8.78125,8.97655,7.664205,1224000
2000-03-06,9,9,8.75,8.75,7.470775,1560000
2000-03-07,8.96875,8.96875,8.5,8.59375,7.337367,635200
2000-03-08,8.59375,8.65625,8.375,8.4375,7.20396,574000
2000-03-09,8.625,8.625,8.25,8.59375,7.337367,799200
2000-03-10,8.625,8.9375,8.46875,8.46875,7.230642,500800
2000-03-13,8.8125,9.0625,8.4375,8.875,7.577499,688400
2000-03-14,8.929675,9.15625,8.75,8.84375,7.550817,578800
2000-03-15,8.921875,9.3125,8.71875,9.3125,7.951037,985200
2000-03-16,9.140625,9.71875,9.140625,9.703125,8.284557,1447200
2000-03-17,9.46875,9.78125,9.421875,9.617175,8.21117,846800
2000-03-20,9.6953,9.78125,9.46875,9.46875,8.084445,285200
2000-03-21,9.734375,9.78125,9.359375,9.78125,8.35126,422000
2000-03-22,9.71875,9.78125,9.5,9.734375,8.311234,768800
2000-03-23,9.765625,9.78125,9.5,9.71875,8.297894,456400
2000-03-24,9.75,9.78125,9.5,9.6875,8.271214,371200
2000-03-27,9.75,9.765625,9.5,9.703125,8.284557,175200
2000-03-28,9.6875,9.78125,9.375,9.40625,8.031082,596000
2000-03-29,9.75,9.765625,9.34375,9.5,8.111124,642400
2000-03-30,9.5,9.5,9.25,9.25,7.897675,181600
2000-03-31,9.25,9.625,9.21875,9.5625,8.164487,962400
2000-04-03,9.4375,9.5,9.40625,9.421875,8.044421,483600
2000-04-04,9.5,9.5,9.21875,9.390625,8.017742,704400
2000-04-05,9.359375,9.625,9.265625,9.59375,8.19117,444000
2000-04-06,9.5625,9.890625,9.5625,9.859375,8.417963,624800
2000-04-07,9.875,10.3125,9.875,10.25,8.751476,630000
2000-04-10,10.25,10.28125,9.8125,9.84375,8.404621,555200
2000-04-11,9.90625,10.5,9.8125,10.375,8.8582,454000
2000-04-12,10.8125,11.59375,10.5,11.28125,9.631963,845200
2000-04-13,11.1875,11.9375,11.15625,11.53125,9.845413,1214800
2000-04-14,11.4375,11.5,11.125,11.203125,9.565257,398800
2000-04-17,10.90625,11.28125,10.4375,11.125,9.498556,442400
2000-04-18,11.125,12,10.65625,11.8125,10.085545,1135600
2000-04-19,11.75,11.9375,11.609375,11.859375,10.125566,437600
2000-04-20,11.859375,12.0625,11.6875,11.875,10.138907,570400
2000-04-24,11.734375,12.03125,11.625,11.8125,10.085545,452800
2000-04-25,11.734375,12.25,11.484375,12.21875,10.432399,1466000
2000-04-26,12.234375,12.375,12,12.375,10.565808,800400
2000-04-27,12.21875,12.34375,11.765625,12.34375,10.539124,195200
2000-04-28,12.234375,12.359375,11.734375,12.03125,10.272313,289200
2000-05-01,11.75,12.375,11.703125,12.1875,10.405722,374400
2000-05-02,12.1875,12.1875,11.28125,11.328125,9.671985,311600
2000-05-03,11.3125,11.5625,10.90625,11.390625,9.725344,223600
2000-05-04,11.46875,11.640625,11.4375,11.59375,9.898775,228400
2000-05-05,11.671875,12.25,11.421875,12.1875,10.405722,163200
2000-05-08,11.8125,12.21875,11.75,11.78125,10.058865,216800
2000-05-09,12,12,10.71875,11.484375,9.805391,328000
2000-05-10,11.03125,12.0625,11.03125,11.75,10.03218,668800
2000-05-11,11.671875,12.25,11.65625,12.140625,10.365698,442800
2000-05-12,12.25,12.25,11.984375,12.125,10.352357,469600
2000-05-15,12,12.375,12,12.3125,10.512446,826800
2000-05-16,12.3125,12.5,12.21875,12.390625,10.579148,644800
2000-05-17,12.328125,12.40625,12.0625,12.171875,10.392378,463200
2000-05-18,12.171875,12.21875,12.15625,12.15625,10.379037,150400
2000-05-19,12.15625,12.203125,12.03125,12.09375,10.325675,244000
2000-05-22,12.171875,12.171875,12.0625,12.078125,10.312336,361200
2000-05-23,12.125,12.1875,11.609375,11.625,9.925455,441200
2000-05-24,11.65625,12.4375,11.65625,12.375,10.565808,805200
2000-05-25,12.359375,12.8125,12.3125,12.375,10.565808,1248800
2000-05-26,12.375,12.375,11.5,11.96875,10.218951,870000
2000-05-30,12,13.046875,11.96875,12.90625,11.01939,1410000
2000-05-31,12.625,12.96875,12.59375,12.734375,10.87264,1418800
2000-06-01,12.765625,12.78125,12.625,12.78125,10.912667,404800
2000-06-02,13.03125,13.0625,12.65625,12.84375,10.966026,760000
2000-06-05,12.78125,13.5,12.71875,13.4375,11.472975,884000
2000-06-06,13.0703,13.46875,12.96875,13.09375,11.17948,312000
2000-06-07,13.09375,13.25,12.875,13.25,11.312883,330400
2000-06-08,13.0078,13.40625,13.0078,13.34375,11.392928,873200
2000-06-09,13.421875,13.46875,13.375,13.421875,11.459633,498800
2000-06-12,13.460925,13.46875,12.625,12.796875,10.926006,589200
2000-06-13,12.546875,13.359375,12.4375,13.359375,11.406272,846400
2000-06-14,13.4375,13.4375,13.1875,13.1875,11.259523,722400
2000-06-15,13.25,13.421875,13.21875,13.421875,11.459633,1143200
2000-06-16,13.453125,13.875,13.390625,13.875,11.846511,1174400
2000-06-19,13.625,14,13.40625,13.828125,11.806492,857200
2000-06-20,13.59375,13.65625,12.78125,13.140625,11.219501,1162400
2000-06-21,13.273425,13.28125,13,13.078125,11.166141,616400
2000-06-22,13.25,13.25,12.6875,12.84375,10.966026,401200
2000-06-23,12.828125,13,11.90625,12,10.245631,871200
2000-06-26,12.0625,13.546875,12.046875,13.5,11.526337,901600
2000-06-27,12.828125,12.84375,11.9375,12.25,10.459085,1084000
2000-06-28,12.523425,12.90625,12.40625,12.84375,10.966026,1150800
2000-06-29,12.75,13.28125,12.625,13.2617,11.322872,1786000
2000-06-30,13.09375,13.09375,12.125,12.75,10.885982,2711200
2000-07-03,12.71875,12.875,12.59375,12.6875,10.832621,209600
2000-07-05,12.875,12.875,12.34375,12.53125,10.699216,713200
2000-07-06,12.625,12.625,11.8125,12.1875,10.405722,457600
2000-07-07,12,12.1875,11.5625,11.5625,9.872093,790400
2000-07-10,11.625,12.734375,11.5625,12.46875,10.645853,1751200
2000-07-11,12.34375,13.15625,12.25,13.03125,11.126116,743200
2000-07-12,13.125,13.25,12.625,12.625,10.779259,1222400
2000-07-13,12.625,12.625,12.125,12.171875,10.392378,629600
2000-07-14,12.25,12.328125,11.96875,12.25,10.459085,1260000
2000-07-17,12.335925,12.65625,12.25,12.65625,10.805943,264800
2000-07-18,12.453125,12.59375,12.375,12.5,10.672532,348800
2000-07-19,12.484375,12.6875,12.46875,12.484375,10.659191,403200
2000-07-20,12.46875,12.96875,12.453125,12.921875,11.03273,348400
2000-07-21,12.97655,13.0625,12.671875,12.71875,10.859303,848800
2000-07-24,12.5078,12.875,12.375,12.4375,10.619171,295000
2000-07-25,12.8125,12.8125,11.625,12.4375,10.619171,605800
2000-07-26,12.375,12.875,12.1875,12.5,10.672532,612800
2000-07-27,12.625,13.1875,12.375,13,11.099433,308200
2000-07-28,12.75,13.15625,12.3125,12.9375,11.046071,196800
2000-07-31,13.125,13.25,12.4375,13.25,11.312883,465200
2000-08-01,13.25,13.25,12.625,12.6875,10.832621,392600
2000-08-02,12.96875,13.46875,12.6875,12.84375,10.966026,334000
