Stock Quotes for PH,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,34.208328,34.208328,32.333328,32.541672,22.608192,593400
2000-01-04,32.541672,32.833328,31.25,31.25,21.710819,217600
2000-01-05,31.41667,31.83333,31.08333,31.25,21.710819,420900
2000-01-06,31.33333,31.83333,30.75,31.83333,22.116079,1203400
2000-01-07,34.666672,36,34.5,34.75,24.142424,2630100
2000-01-10,34.75,35.625,33.833328,34.333328,23.852934,774900
2000-01-11,34.166672,34.541672,33.333328,33.458328,23.245037,523500
2000-01-12,33.625,34.125,33.583328,33.916672,23.563475,1078900
2000-01-13,33.958328,33.958328,33.208328,33.5,23.273994,551500
2000-01-14,33.583328,33.583328,32.416672,33.083328,22.984503,741100
2000-01-18,32.666672,32.791672,30.375,31.125,21.62397,1312800
2000-01-19,30.66667,31.91667,30.5,31.91667,22.173979,899200
2000-01-20,32.666672,32.666672,31.54167,31.70833,22.029236,862800
2000-01-21,31.70833,32,30.66667,31.16667,21.65292,755200
2000-01-24,31.20833,31.20833,29.41667,29.54167,20.52396,783900
2000-01-25,29.58333,29.66667,28.5,28.75,19.973946,556000
2000-01-26,28.875,29.75,27.875,29.375,20.408152,1097700
2000-01-27,29.33333,30,29,29.25,20.32132,442500
2000-01-28,29.08333,29.08333,28,28.125,19.539734,567100
2000-01-31,28.08333,29.08333,27.79167,28.83333,20.031843,387900
2000-02-01,28.75,29.625,28.75,29.41667,20.437113,705400
2000-02-02,29.41667,29.83333,28.5,28.70833,19.944998,306100
2000-02-03,28.79167,29.04167,27.91667,28.375,19.713417,320400
2000-02-04,28.54167,28.66667,27.625,27.95833,19.423939,404400
2000-02-07,28,28.29167,26.83333,27.29167,18.960773,653200
2000-02-08,27.29167,28.16667,27.29167,27.29167,18.960773,587700
2000-02-09,27.41667,27.45833,25.45833,25.79167,17.918667,1052100
2000-02-10,26.125,26.16667,25.08333,25.20833,17.513382,828600
2000-02-11,25.20833,25.20833,23.58333,23.66667,16.442316,843300
2000-02-14,23.83333,25.875,23.75,25.45833,17.687071,763600
2000-02-15,25.625,27.95833,25.625,27.79167,19.308142,1480000
2000-02-16,27.66667,28.91667,27.66667,27.95833,19.423939,1201000
2000-02-17,28.125,28.125,26.66667,27,18.758137,483900
2000-02-18,27.5,28.29167,27.375,27.45833,19.076561,796900
2000-02-22,27,27.75,27,27.54167,19.253668,776500
2000-02-23,27.54167,27.58333,27.08333,27.5,19.224531,603900
2000-02-24,26.83333,26.83333,24.66667,24.95833,17.447725,771900
2000-02-25,25.125,25.5,22.75,22.875,15.991314,1359900
2000-02-28,23.16667,23.66667,22.75,23.29167,16.282608,2224000
2000-02-29,23.29167,24.5,23,24.16667,16.894291,1242700
2000-03-01,23.91667,24.875,23.875,24.70833,17.272953,785700
2000-03-02,24.79167,24.79167,23,23.79167,16.632137,760000
2000-03-03,23.79167,25.16667,23.58333,23.95833,16.748648,803700
2000-03-06,24.58333,24.58333,23.3125,23.625,16.515621,533100
2000-03-07,23.5,23.5,22.70833,22.70833,15.874808,629800
2000-03-08,22.875,23.5,22.75,23.5,16.428234,493800
2000-03-09,23.66667,24.16667,23.625,24,16.777773,708600
2000-03-10,23.91667,24.125,23.58333,23.66667,16.544754,440700
2000-03-13,23.08333,23.54167,23.04167,23.33333,16.311729,484800
2000-03-14,23.5,23.5,22.625,22.625,15.816544,292500
2000-03-15,22.66667,24.91667,22.625,24.33333,17.010801,1545300
2000-03-16,24.375,27.08333,24.375,26.83333,18.75849,803500
2000-03-17,25.66667,26.33333,24.70833,25.33333,17.709867,1132800
2000-03-20,25.33333,26.33333,25.33333,26.16667,18.292437,479800
2000-03-21,26.08333,26.25,25.33333,25.70833,17.972017,417400
2000-03-22,25.70833,25.70833,24.70833,24.91667,17.418598,560100
2000-03-23,24.83333,25.75,24.58333,25.70833,17.972017,553800
2000-03-24,25.83333,26.25,25.66667,26.08333,18.234182,497500
2000-03-27,26.08333,26.29167,25.08333,25.33333,17.709867,218800
2000-03-28,27.66667,27.66667,26.41667,27,18.87499,813300
2000-03-29,27,27.75,27,27.5,19.224531,879700
2000-03-30,27.75,28.625,27.5,27.70833,19.370178,413800
2000-03-31,27.66667,28.125,27.54167,27.54167,19.253668,364900
2000-04-03,27.375,28.625,27.29167,27.875,19.486689,636400
2000-04-04,27.75,28.875,27.75,28.66667,20.040125,806700
2000-04-05,28.83333,28.83333,28.375,28.41667,19.86536,708400
2000-04-06,28.66667,29.33333,28.625,29.125,20.360533,617400
2000-04-07,29.04167,30,29.04167,29.29167,20.477045,495700
2000-04-10,29.20833,29.91667,28.91667,29.75,20.797451,613600
2000-04-11,29.45833,30.91667,29.45833,30.5,21.321754,493300
2000-04-12,30.54167,32.041672,30.54167,31.375,21.933447,730600
2000-04-13,31.375,31.375,29.79167,29.83333,20.855701,471700
2000-04-14,29.70833,29.70833,27.33333,27.41667,19.166281,691900
2000-04-17,27.33333,28.29167,27,28.08333,19.632326,855000
2000-04-18,28.70833,30,28.16667,28.29167,19.777973,585900
2000-04-19,28.20833,29.45833,28.08333,28.54167,19.952744,572700
2000-04-20,28.625,29.70833,28.375,29.5,20.622686,516400
2000-04-24,29,29.83333,28.91667,29.58333,20.680941,448000
2000-04-25,29.5,31.83333,29.41667,31.375,21.933447,995800
2000-04-26,30.83333,31.54167,30.54167,30.75,21.496532,748300
2000-04-27,30.04167,31.41667,30.04167,30.91667,21.613047,578200
2000-04-28,31.16667,31.54167,30.875,31,21.671297,626500
2000-05-01,30.875,31.45833,30.66667,31.04167,21.700438,447700
2000-05-02,30.70833,31.70833,30.625,30.91667,21.613047,597700
2000-05-03,31.33333,31.33333,30.04167,30.20833,21.117855,351700
2000-05-04,30.375,30.58333,29.91667,30.16667,21.088737,487800
2000-05-05,30.16667,32.208328,30.04167,32.166672,22.486893,862900
2000-05-08,31.66667,31.75,30.79167,30.91667,21.613047,418200
2000-05-09,31,31,29.5,29.875,20.884832,521200
2000-05-10,30,30.375,29.25,29.75,20.797451,292600
2000-05-11,30.08333,30.79167,30,30.45833,21.292633,518500
