Stock Quotes for PNR,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,19.25,19.25,17.375,18.09375,11.397852,367000
2000-01-04,18.1875,18.1875,17.4375,17.8125,11.22068,175200
2000-01-05,17.8125,18.25,17.5625,18.09375,11.397852,213800
2000-01-06,17.96875,18.0625,17.65625,18,11.338793,511800
2000-01-07,18.125,18.875,17.96875,18.71875,11.791562,339800
2000-01-10,19.0625,19.0625,18.125,18.1875,11.456911,297400
2000-01-11,18.28125,18.375,17.96875,18,11.338793,238600
2000-01-12,18.09375,18.4375,17.84375,18,11.338793,187400
2000-01-13,18,18.09375,17.78125,17.9375,11.299424,272600
2000-01-14,18,18.09375,17.5,17.71875,11.161626,330600
2000-01-18,17.65625,17.75,17.3125,17.4375,10.984453,247000
2000-01-19,17.46875,17.625,17.34375,17.4375,10.984453,162400
2000-01-20,17.4375,17.625,16.96875,17.125,10.787601,189800
2000-01-21,17.375,17.4375,17.03125,17.28125,10.886033,183200
2000-01-24,17.15625,17.25,16.28125,16.5,10.393896,476800
2000-01-25,16.75,16.75,15.625,15.96875,10.059242,716800
2000-01-26,16.0625,16.25,15.78125,15.90625,10.121282,289400
2000-01-27,16.03125,16.8125,15.9375,16.4375,10.45932,661400
2000-01-28,16.4375,16.5625,16.0625,16.375,10.419553,260000
2000-01-31,16.5,17.125,16.125,16.75,10.658167,657200
2000-02-01,16.875,17.125,16.625,16.84375,10.717827,342600
2000-02-02,17.125,17.75,17.125,17.15625,10.91667,732200
2000-02-03,17.0625,17.4375,16.90625,17.21875,10.956439,589200
2000-02-04,17.1875,17.4375,17.1875,17.28125,10.99621,271200
2000-02-07,17.5625,18.6875,17.375,18.34375,11.672287,774800
2000-02-08,18.46875,19,17.8125,18,11.453552,526800
2000-02-09,18,18.1875,17.625,18.03125,11.473443,396000
2000-02-10,17.96875,18,17.65625,17.9375,11.413785,414800
2000-02-11,18.125,18.125,17.1875,17.1875,10.936555,154200
2000-02-14,17.375,17.96875,17.3125,17.9375,11.413785,376400
2000-02-15,17.8125,18.125,17.46875,17.8125,11.334244,595000
2000-02-16,17.84375,18.34375,17.84375,18.0625,11.493324,388400
2000-02-17,18.125,18.21875,17.75,17.75,11.294476,239600
2000-02-18,17.6875,18.125,17.65625,17.96875,11.433663,278600
2000-02-22,18.71875,18.8125,18.15625,18.3125,11.652403,390600
2000-02-23,18.25,18.375,17.875,18.375,11.692169,260200
2000-02-24,18.28125,18.28125,17.03125,17.3125,11.016096,433600
2000-02-25,17.3125,17.46875,16.9375,17.21875,10.956439,258800
2000-02-28,17.15625,17.21875,16.875,17.09375,10.876901,289400
2000-02-29,17.375,17.875,17.03125,17.1875,10.936555,503400
2000-03-01,17.34375,17.9375,17.3125,17.875,11.374015,353600
2000-03-02,17.875,17.875,17.46875,17.5625,11.175173,331000
2000-03-03,17.59375,18.28125,17.53125,18.125,11.533092,212600
2000-03-06,18,18.03125,17.5,18.03125,11.473443,356400
2000-03-07,18,18.5,17.875,18.5,11.771708,222000
2000-03-08,18.25,18.25,17.875,18.125,11.533092,319600
2000-03-09,18,18.875,17.75,18.5625,11.811479,311000
2000-03-10,18.8125,18.90625,18.3125,18.59375,11.831362,193200
2000-03-13,18.6875,18.6875,17.875,18,11.453552,329400
2000-03-14,18.03125,18.375,17.25,17.5,11.135401,427800
2000-03-15,17.375,18.25,17.3125,18.25,11.612626,502200
2000-03-16,18.625,19.9375,18.5625,19.71875,12.547209,674200
2000-03-17,19,19.5,18.9375,18.96875,12.069978,307400
2000-03-20,18.6875,18.90625,18.5,18.5625,11.811479,300800
2000-03-21,18.59375,18.84375,18.375,18.4375,11.731939,401600
2000-03-22,18.5,19,18.46875,18.75,11.930787,323800
2000-03-23,18.5,18.75,18.3125,18.65625,11.871134,198200
2000-03-24,18.40625,18.6875,18.3125,18.65625,11.871134,617000
2000-03-27,18.75,18.75,17.84375,18.375,11.692169,205600
2000-03-28,18.25,18.28125,17.8125,17.8125,11.334244,379000
2000-03-29,17.84375,18.15625,17.5,17.65625,11.234822,338800
2000-03-30,17.59375,18.4375,17.59375,18.40625,11.712051,847000
2000-03-31,18.5,18.84375,18.40625,18.53125,11.791588,500400
2000-04-03,18.40625,19.75,18.28125,19.75,12.567092,585600
2000-04-04,19.75,20.46875,19.25,19.65625,12.507439,790400
2000-04-05,19.6875,20,19.125,19.125,12.169404,268600
2000-04-06,19.25,19.4375,18.78125,18.875,12.010325,569800
2000-04-07,18.78125,19.625,18.625,19.28125,12.268826,546200
2000-04-10,19.34375,19.6875,19.25,19.34375,12.308593,277800
2000-04-11,19.59375,20.1875,19.375,19.84375,12.62675,386600
2000-04-12,19.84375,20,19.25,19.40625,12.34836,212400
2000-04-13,19.5625,20,19.0625,19.1875,12.209167,250200
2000-04-14,19.125,19.25,17.75,17.96875,11.433663,296400
2000-04-17,18.09375,19,17.96875,18.9375,12.050097,386400
2000-04-18,18.9375,19.84375,18.6875,19.3125,12.288709,534200
