Stock Quotes for PNW,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,30.3125,30.3125,29.375,29.75,13.07422,246300
2000-01-04,29.5625,30.125,29.5625,30.125,13.239029,347800
2000-01-05,29.875,31.25,29.875,30.9375,13.596095,453000
2000-01-06,30.8125,31.1875,30.8125,31.125,13.678498,139300
2000-01-07,31.125,32.0625,30.875,32,14.063026,303300
2000-01-10,31.75,31.875,31.375,31.5625,13.870765,178800
2000-01-11,31.5625,31.6875,30.875,31.25,13.733431,150800
2000-01-12,31.125,32,31.0625,31.75,13.953169,143500
2000-01-13,31.75,31.75,30.8125,31.0625,13.651027,1107400
2000-01-14,31,31,30.625,30.875,13.568624,204300
2000-01-18,30.875,31,30,30.125,13.239029,348600
2000-01-19,29.6875,31.0625,29.6875,31.0625,13.651027,208500
2000-01-20,31.1875,31.5,30.3125,30.375,13.348889,326300
2000-01-21,30.9375,31.125,30.5,30.875,13.568624,233400
2000-01-24,30.875,32.0625,30.6875,31.6875,13.925692,520000
2000-01-25,31.9375,32.3125,30.0625,30.3125,13.321424,519900
2000-01-26,30.5,31.25,30.25,30.875,13.568624,308700
2000-01-27,31.125,31.875,31,31.625,13.898229,841900
2000-01-28,30.875,30.9375,29.8125,29.9375,13.303859,1628400
2000-01-31,30.3125,30.875,29.75,30.875,13.720474,585300
2000-02-01,30.75,31,30.5625,31,13.776023,170600
2000-02-02,30.9375,31.3125,30.875,31,13.776023,169100
2000-02-03,31.125,31.9375,31.125,31.6875,14.081537,460800
2000-02-04,31.6875,31.6875,30.625,30.8125,13.692699,202500
2000-02-07,30.8125,30.875,30.5625,30.625,13.609373,94800
2000-02-08,30.625,31,30.625,30.9375,13.748247,228700
2000-02-09,30.8125,31.625,30.125,30.8125,13.692699,382300
2000-02-10,30.9375,31.1875,30,30.4375,13.526054,802100
2000-02-11,30.4375,30.5625,30.0625,30.4375,13.526054,160800
2000-02-14,30.5,30.5,30.3125,30.375,13.498281,342600
2000-02-15,30.375,30.5,30,30.3125,13.47051,104900
2000-02-16,30.1875,30.25,29.4375,30,13.331641,251100
2000-02-17,30,30.0625,29.375,29.625,13.164981,236700
2000-02-18,29.5,29.5625,28.25,28.875,12.831697,284400
2000-02-22,29.125,29.375,28.8125,28.9375,12.85947,262700
2000-02-23,28.8125,28.8125,27.875,28.25,12.553954,185800
2000-02-24,28.25,28.25,26.8125,27.375,12.165117,135700
2000-02-25,27,27.0625,26.25,26.25,11.665175,252100
2000-02-28,26.5,27.875,26.375,27.6875,12.303987,243900
2000-02-29,27.5,27.875,27.3125,27.5,12.220663,224500
2000-03-01,27.625,27.9375,27.25,27.375,12.165117,679300
2000-03-02,27.5,27.625,27.375,27.4375,12.192891,317200
2000-03-03,27.4375,27.75,27.25,27.375,12.165117,356400
2000-03-06,27.25,27.25,25.875,26.125,11.609629,303400
2000-03-07,26.0625,26.75,26,26.4375,11.748498,339900
2000-03-08,26.5625,27.1875,26.375,26.5,11.776278,328000
2000-03-09,26.5,27,26.25,26.9375,11.970695,176000
2000-03-10,27.1875,27.1875,26,26.1875,11.637404,936500
2000-03-13,26.0625,26.25,25.6875,25.9375,11.52631,136700
2000-03-14,25.9375,26.375,25.6875,26.0625,11.581857,187600
2000-03-15,26,28.6875,26,28.5625,12.69283,696500
2000-03-16,28.4375,29.9375,28.1875,29.625,13.164981,583700
2000-03-17,29.625,29.625,28.625,28.75,12.77615,258600
2000-03-20,28.875,28.875,28.1875,28.375,12.609505,536000
2000-03-21,28.25,28.5,27.6875,27.8125,12.359535,375900
2000-03-22,27.75,27.75,26.5625,26.6875,11.859603,481700
2000-03-23,26.5,28,26.5,27.0625,12.026245,1041700
2000-03-24,27,27.25,26.6875,26.6875,11.859603,634500
2000-03-27,26.875,27.3125,26.75,26.8125,11.915148,835000
2000-03-28,26.6875,26.875,26.625,26.875,11.942924,295500
2000-03-29,26.75,27.5625,26.75,27.5,12.220663,530200
2000-03-30,27.375,28,27.375,27.9375,12.415083,335300
2000-03-31,27.8125,28.1875,27.5625,28.1875,12.52618,368600
2000-04-03,28.375,28.5625,27.875,28.1875,12.52618,204600
2000-04-04,28.375,29,27.875,28.625,12.720597,259600
2000-04-05,28.625,30,28.625,29.3125,13.026117,380600
2000-04-06,29.5,29.5,28.875,29.0625,12.915017,182300
2000-04-07,29,29.25,28.875,28.9375,12.85947,178900
2000-04-10,28.75,29.625,28.625,29.5,13.109435,161100
2000-04-11,29.625,30,29.375,29.375,13.053889,263800
2000-04-12,29.625,30.75,29.625,30.1875,13.41496,335800
2000-04-13,30.375,31.1875,30,30.9375,13.748247,264300
2000-04-14,30.8125,31.625,30.0625,30.25,13.442729,799200
2000-04-17,30.125,30.5,29.5,30.375,13.498281,468400
2000-04-18,30.125,30.8125,29.875,29.875,13.276087,473400
2000-04-19,30,30.75,29.6875,30.5625,13.581602,1156700
2000-04-20,30.5625,31.625,30.5625,31.0625,13.8038,298100
2000-04-24,30.875,33.125,30.875,32.8125,14.581483,473100
2000-04-25,32.875,33.6875,32.375,33.625,14.942548,298600
2000-04-26,33.5,35,33.375,35,15.553576,250400
2000-04-27,34.5,34.5,33.125,33.5,15.037358,748700
2000-04-28,33.625,35.25,33.625,35.0625,15.738733,1058700
2000-05-01,35,35.5,34.8125,35.125,15.766788,714500
2000-05-02,35.1875,35.75,33.9375,34.0625,15.289854,848100
2000-05-03,33.875,34.125,33.1875,33.6875,15.121524,286100
2000-05-04,33.8125,34.75,33.5,34.5625,15.514294,413000
2000-05-05,34.4375,35,34.0625,35,15.710687,502000
2000-05-08,34.875,36.5,34.875,36.5,16.383991,1187700
2000-05-09,36.875,36.875,35.5625,36.6875,16.468159,733600
2000-05-10,36.75,37.1875,36.5625,37.1875,16.692595,292800
2000-05-11,37.0625,38,37.0625,37.75,16.945084,304600
