Stock Quotes for PPG,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,31.3125,31.3125,29.8125,30,11.829362,1100000
2000-01-04,29.875,29.96875,28.90625,28.96875,11.422727,1179600
2000-01-05,29,30.125,29,30.0625,11.854002,1660400
2000-01-06,30.0625,32.21875,30.0625,31.5,12.420823,2151400
2000-01-07,31.71875,32.25,31.625,32.0625,12.642632,1624600
2000-01-10,31.9375,31.9375,30.90625,31.0625,12.248318,1145400
2000-01-11,30.9375,31.0625,30.46875,30.9375,12.199024,1118600
2000-01-12,30.9375,31.8125,30.9375,31.40625,12.383862,1163200
2000-01-13,31.5,32.53125,31.4375,32.1875,12.691916,1694400
2000-01-14,32.125,32.25,31.1875,31.5,12.420823,1915600
2000-01-18,31.0625,31.375,30.75,30.75,12.125095,1619800
2000-01-19,30.4375,30.71875,29.6875,30.15625,11.890972,1582600
2000-01-20,30.28125,30.28125,28.75,28.9375,11.410405,870200
2000-01-21,29.0625,29.65625,28.5625,29.3125,11.558273,1533000
2000-01-24,29.5625,29.75,28.8125,29,11.43505,1129200
2000-01-25,29.125,29.40625,27.75,28.28125,11.151635,1708600
2000-01-26,28.375,29.0625,28.25,28.71875,11.324146,1723000
2000-01-27,29,29.40625,28.90625,29.0625,11.459694,1519600
2000-01-28,28.96875,28.96875,27.375,28.34375,11.176279,1126200
2000-01-31,28.375,28.46875,27.40625,27.53125,10.855903,1116800
2000-02-01,27.65625,28.125,27.5625,28.03125,11.053061,1180200
2000-02-02,27.875,27.90625,27.3125,27.53125,10.855903,541000
2000-02-03,27.53125,27.625,27.0625,27.375,10.794295,627200
2000-02-04,27.53125,27.53125,26.9375,27.03125,10.658745,800800
2000-02-07,27.0625,27.0625,26,26.15625,10.313723,1327400
2000-02-08,26.25,26.375,25.8125,25.9375,10.227468,837000
2000-02-09,25.75,25.9375,25.5,25.5,10.054958,1183200
2000-02-10,25.75,25.8125,25.0625,25.25,9.956379,1010600
2000-02-11,25.375,25.4375,24.09375,24.3125,9.586712,1401800
2000-02-14,24.5625,25.3125,24.15625,25.3125,9.981026,1587600
2000-02-15,25.3125,26.40625,25.1875,26.25,10.350692,1394200
2000-02-16,26.75,26.75,26.09375,26.40625,10.412301,1086800
2000-02-17,26.5,26.75,25.875,26.25,10.509896,1191800
2000-02-18,26.15625,26.15625,25.3125,25.53125,10.22212,927400
2000-02-22,25.53125,26.78125,25.53125,26.3125,10.534914,718800
2000-02-23,26.03125,26.90625,25.8125,26.6875,10.68506,1178600
2000-02-24,26.5625,26.5625,24.84375,25.125,10.059466,1323200
2000-02-25,25.15625,25.15625,24.28125,24.53125,9.821748,1389600
2000-02-28,24.65625,25.125,24.3125,24.53125,9.821748,1565800
2000-02-29,24.5,24.6875,24.09375,24.6875,9.884306,1388600
2000-03-01,24.5625,24.5625,23.78125,24.15625,9.671607,812600
2000-03-02,23.875,24.09375,23.3125,23.5625,9.433884,576000
2000-03-03,23.59375,25.3125,23.5,24.53125,9.821748,1930400
2000-03-06,24.125,24.25,23.40625,24,9.609048,987600
2000-03-07,23.625,23.8125,23,23.25,9.308765,914200
2000-03-08,23,23.34375,22.8125,23.03125,9.221182,1162800
2000-03-09,22.8125,22.9375,22.1875,22.78125,9.12109,969600
2000-03-10,22.8125,23.59375,22.5625,23.34375,9.346298,779400
2000-03-13,23,23.34375,22.5625,22.96875,9.19616,736200
2000-03-14,23.0625,23.46875,22.78125,23,9.208669,689800
2000-03-15,22.75,25.1875,22.625,25.09375,10.046959,1429000
2000-03-16,24.96875,26.40625,24.9375,26.40625,10.572453,1427000
2000-03-17,25.625,25.78125,24.8125,25.03125,10.021936,1252000
2000-03-20,25.125,26,25.125,25.53125,10.22212,765000
2000-03-21,25.5,26.4375,25.3125,26.09375,10.447338,990800
2000-03-22,25.96875,25.96875,24.75,24.90625,9.971888,858000
2000-03-23,24.5,25.40625,24.34375,25.1875,10.084493,1004600
2000-03-24,25.3125,25.5,25.03125,25.28125,10.12203,944600
2000-03-27,25.125,25.21875,24.625,24.75,9.909329,548400
2000-03-28,24.5,25.59375,24.5,24.875,9.959376,917000
2000-03-29,24.25,25.59375,24.25,25.4375,10.184587,787400
2000-03-30,25.46875,26.96875,25.4375,26.5625,10.635012,1067000
2000-03-31,26.6875,26.6875,25.78125,26.15625,10.472356,1456800
2000-04-03,25.6875,26.53125,25.6875,26.5,10.609988,1082800
2000-04-04,26.875,27.8125,26.5,26.90625,10.772647,1803200
2000-04-05,27.03125,27.4375,26.125,26.34375,10.547432,922400
2000-04-06,26.5625,26.875,26.1875,26.40625,10.572453,948000
2000-04-07,26.28125,26.6875,26,26.03125,10.422309,683600
2000-04-10,25.5625,26.375,25.5,25.96875,10.397288,1366400
2000-04-11,26.0625,27.71875,26.0625,27.03125,10.822687,1175800
2000-04-12,27.1875,28.75,27.1875,28.5625,11.435765,1853600
2000-04-13,29.0625,29.0625,27.96875,28.03125,11.223066,1487800
2000-04-14,28.125,28.125,26.5,26.59375,10.647526,1096200
2000-04-17,26.3125,26.96875,26.15625,26.625,10.660034,907400
2000-04-18,26.4375,26.71875,25.4375,25.59375,10.247147,994000
2000-04-19,25.8125,25.8125,25.25,25.3125,10.134542,894800
2000-04-20,25.6875,26.9375,25.6875,26.5,10.609988,1251200
2000-04-24,26.46875,27.8125,26.46875,27.15625,10.872732,1290600
2000-04-25,26.875,28.09375,26.78125,27.96875,11.198044,1272000
2000-04-26,27.96875,27.96875,26.90625,27.1875,10.885246,1001000
2000-04-27,27.3125,27.40625,26.625,26.875,10.760129,952200
2000-04-28,26.6875,27.8125,26.6875,27.1875,10.885246,682200
2000-05-01,26.875,27.375,26.75,27.25,10.910269,590000
2000-05-02,27.125,27.625,27.03125,27.1875,10.885246,1210400
2000-05-03,26.6875,26.84375,26.3125,26.3125,10.534914,1071000
2000-05-04,26.375,27.125,26.34375,26.6875,10.68506,670600
2000-05-05,26.53125,27.84375,26.46875,27.5625,11.035389,922400
2000-05-08,27.21875,27.90625,27.1875,27.4375,11.147116,740000
2000-05-09,27.4375,28.1875,27.375,27.75,11.274073,1150800
2000-05-10,27.75,28.3125,27.21875,27.28125,11.083633,704000
2000-05-11,27.5,28.21875,27.46875,27.90625,11.337555,440400
2000-05-12,27.90625,27.9375,27.15625,27.5625,11.197899,630800
2000-05-15,27.4375,28.625,27.4375,28.40625,11.540689,676800
2000-05-16,28.40625,28.40625,27.65625,28.3125,11.5026,808800
2000-05-17,28.1875,28.1875,27.625,27.71875,11.261377,402600
2000-05-18,27.625,27.96875,27.4375,27.71875,11.261377,681200
2000-05-19,27.125,27.625,27.125,27.59375,11.210589,556200
2000-05-22,27.5,28.0625,27.375,27.59375,11.210589,491400
2000-05-23,27.71875,27.71875,26.8125,27.25,11.070936,942000
2000-05-24,27.25,27.875,27.25,27.5,11.172511,1003800
2000-05-25,26.75,26.78125,25.125,25.6875,10.436135,1882200
2000-05-26,25.6875,25.875,25.15625,25.53125,10.372654,650200
2000-05-30,25.65625,26,25.28125,25.9375,10.537704,657400
2000-05-31,25.25,25.5,24.78125,24.78125,10.067948,1114200
2000-06-01,24.8125,24.9375,24,24.9375,10.131432,1843200
2000-06-02,24.75,25.25,24.5625,25,10.156823,1545800
2000-06-05,25,25.15625,24.3125,24.5,9.953683,809800
2000-06-06,24.5,24.53125,24.0625,24.1875,9.826728,889600
2000-06-07,24.375,24.4375,23.96875,24.09375,9.788636,907400
2000-06-08,24.03125,24.25,23.875,23.9375,9.725158,895800
2000-06-09,23.96875,24,23.8125,23.96875,9.737853,881000
2000-06-12,24,24.46875,23.96875,24.3125,9.877509,1074000
2000-06-13,24.4375,24.53125,23.5,23.71875,9.636288,1081400
2000-06-14,23.5,24.21875,23.5,24.0625,9.775945,1043000
2000-06-15,24,24.03125,23.25,23.5,9.547414,771200
2000-06-16,23.15625,23.46875,23.0625,23.296875,9.46489,1013800
2000-06-19,23.1875,23.3125,22.125,22.28125,9.052271,1446600
2000-06-20,22.25,22.40625,21.25,21.75,8.836437,1776000
2000-06-21,22,22.0625,20.875,21.0625,8.557125,2302400
2000-06-22,21.0625,21.78125,20.78125,21.5,8.73487,1685000
2000-06-23,21.5,21.65625,21.1875,21.53125,8.747562,1432200
2000-06-26,21.65625,21.65625,21.25,21.5,8.73487,1450600
2000-06-27,21.5,22.5,21.3125,22.34375,9.077659,2625600
2000-06-28,22.34375,23.09375,21.75,22.648439,9.201449,2788800
2000-06-29,22.625,23.03125,22.09375,22.5,9.141143,1472200
2000-06-30,22.53125,22.59375,21.96875,22.15625,9.001486,1748200
2000-07-03,22.28125,23,22.25,22.96875,9.331586,720600
2000-07-05,22.625,22.96875,22.1875,22.4375,9.11575,1370800
2000-07-06,22.375,22.375,21.90625,21.96875,8.925306,1458400
2000-07-07,22.09375,22.34375,21.75,22.09375,8.976094,2083000
2000-07-10,21.75,22.25,21.65625,21.8125,8.861825,1407800
2000-07-11,21.78125,22.75,21.78125,22.75,9.242711,1001400
2000-07-12,22.65625,22.9375,22.25,22.40625,9.103051,940800
2000-07-13,22.375,23.25,22.375,22.96875,9.331586,973200
2000-07-14,23.03125,23.15625,22.34375,22.65625,9.204621,883000
2000-07-17,22.5625,22.59375,21.875,21.96875,8.925306,1349000
2000-07-18,21.9375,22.0625,21.71875,21.8125,8.861825,1016200
2000-07-19,21.6875,22,21.25,21.34375,8.67139,887800
2000-07-20,20.9375,21.4375,20.78125,21.0625,8.557125,1373400
2000-07-21,21.1875,21.53125,21.09375,21.40625,8.696778,1539000
