Stock Quotes for PPL,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,10.681993,10.7111,10.303613,10.332719,3.783901,1662700
2000-01-04,10.390931,10.827525,10.390931,10.594675,3.87983,980000
2000-01-05,10.594675,11.031269,10.565569,10.827525,3.9651,913000
2000-01-06,10.885737,10.94395,10.594675,10.681993,3.911805,704700
2000-01-07,10.798419,11.002163,10.769313,10.885737,3.986419,506100
2000-01-10,10.856631,11.089481,10.740207,10.769313,3.943783,472400
2000-01-11,10.856631,11.060375,10.594675,10.681993,3.911805,696400
2000-01-12,10.652887,10.856631,10.652887,10.740207,3.933123,606400
2000-01-13,10.769313,11.060375,10.769313,10.798419,3.954441,667400
2000-01-14,10.885737,10.973056,10.681993,10.740207,3.933123,738200
2000-01-18,10.681993,10.740207,10.449143,10.652887,3.901148,812100
2000-01-19,10.652887,10.827525,10.623781,10.7111,3.922465,710300
2000-01-20,10.7111,10.856631,10.7111,10.769313,3.943783,534500
2000-01-21,10.973056,11.1768,10.885737,11.002163,4.029055,1102600
2000-01-24,11.002163,11.089481,10.856631,10.94395,4.007736,1135700
2000-01-25,10.885737,10.973056,10.565569,10.623781,3.890486,716800
2000-01-26,10.623781,10.798419,10.536463,10.536463,3.85851,986000
2000-01-27,10.652887,10.973056,10.652887,10.798419,3.954441,1039100
2000-01-28,10.7111,10.740207,10.274507,10.332719,3.783901,852300
2000-01-31,10.7111,10.885737,10.565569,10.798419,3.954441,833800
2000-02-01,10.827525,10.827525,10.681993,10.740207,3.933123,506300
2000-02-02,10.652887,10.798419,10.623781,10.740207,3.933123,394900
2000-02-03,10.652887,10.973056,10.594675,10.94395,4.007736,867500
2000-02-04,10.856631,10.914844,10.303613,10.449143,3.826535,475200
2000-02-07,10.47825,10.594675,10.332719,10.361825,3.794558,419600
2000-02-08,10.420037,10.681993,10.361825,10.390931,3.805218,399600
2000-02-09,10.332719,10.47825,10.041656,10.303613,3.77324,677700
2000-02-10,10.274507,10.390931,10.099869,10.274507,3.762582,606000
2000-02-11,10.216293,10.2454,10.041656,10.158081,3.719946,338400
2000-02-14,10.216293,10.420037,10.187187,10.303613,3.77324,579600
2000-02-15,10.420037,10.594675,10.420037,10.47825,3.837193,689100
2000-02-16,10.449143,10.47825,10.158081,10.303613,3.77324,499700
2000-02-17,10.303613,10.303613,10.01255,10.128975,3.709287,571800
2000-02-18,10.01255,10.041656,9.750594,9.808806,3.592039,689500
2000-02-22,9.867019,9.983444,9.750594,9.7797,3.581381,255300
2000-02-23,9.7797,9.7797,9.54685,9.605062,3.517427,324500
2000-02-24,9.692381,9.692381,8.993832,9.459531,3.464133,696400
2000-02-25,9.314,9.575956,9.226682,9.284894,3.400181,681600
2000-02-28,9.139362,9.517744,9.139362,9.459531,3.464133,694000
2000-02-29,9.488638,9.488638,9.197575,9.372212,3.432157,506800
2000-03-01,9.284894,9.488638,9.226682,9.401319,3.442815,551600
2000-03-02,9.401319,9.488638,9.284894,9.459531,3.464133,642300
2000-03-03,9.459531,9.634169,9.401319,9.575956,3.506768,234500
2000-03-06,9.430425,9.459531,9.08115,9.110256,3.336226,402000
2000-03-07,9.08115,9.314,8.760982,8.993832,3.293592,860600
2000-03-08,8.644556,9.022938,8.557238,8.673662,3.272775,6123000
2000-03-09,8.8483,8.935618,8.702768,8.935618,3.371619,612400
2000-03-10,8.790088,9.08115,8.731875,8.964725,3.382598,534700
2000-03-13,8.790088,8.877406,8.644556,8.702768,3.283757,474600
2000-03-14,8.644556,8.702768,8.586344,8.61545,3.250811,349400
2000-03-15,8.731875,9.343106,8.702768,9.284894,3.503407,995900
2000-03-16,9.284894,10.01255,9.139362,9.896125,3.734039,828600
2000-03-17,9.488638,9.721487,9.430425,9.488638,3.580283,680900
2000-03-20,9.372212,9.721487,9.372212,9.634169,3.635197,595400
2000-03-21,9.54685,9.663275,9.401319,9.517744,3.591266,294400
2000-03-22,9.401319,9.430425,9.139362,9.226682,3.481443,565000
2000-03-23,9.255788,9.663275,9.168468,9.634169,3.635197,887500
2000-03-24,9.634169,9.7797,9.634169,9.7797,3.69011,556200
2000-03-27,9.692381,9.750594,9.663275,9.692381,3.657162,343100
2000-03-28,9.663275,9.721487,9.284894,9.372212,3.536354,442800
2000-03-29,9.372212,9.750594,9.372212,9.517744,3.591266,503500
