Stock Quotes for PRU,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2001-12-13,29.1,30,29,29.299999,20.492867,49466000
2001-12-14,29.9,30.1,29.52,29.68,20.758644,9676300
2001-12-17,29.950001,29.950001,29.4,29.450001,20.597776,5110900
2001-12-18,29.5,29.950001,29.389999,29.950001,20.947489,5167700
2001-12-19,29.85,30.190001,29.620001,30.15,21.08737,3693200
2001-12-20,30.25,30.98,30.120001,30.17,21.101368,3914200
2001-12-21,30.4,30.99,30.25,30.99,21.674877,3429100
2001-12-24,30.75,31.49,30.75,31.450001,21.996609,976900
2001-12-26,31.5,32.740002,31.5,32.200001,22.521173,2456300
2001-12-27,32.200001,32.970001,31.52,32.849998,22.975788,4447500
2001-12-28,32.860001,33.099998,32.580002,32.939999,23.038734,4174800
2001-12-31,33.110001,33.740002,32.720001,33.189999,23.213594,5532800
2002-01-02,32.610001,32.799999,31.120001,31.299999,21.891701,5168900
2002-01-03,31.299999,32.75,30.82,31.25,21.85673,2906500
2002-01-04,31.200001,32,31.1,31.950001,22.346321,3086000
2002-01-07,31.75,32.049999,31.370001,31.950001,22.346321,2449300
2002-01-08,31.25,31.85,31.25,31.780001,22.227419,1766500
2002-01-09,31.950001,31.950001,31.25,31.299999,21.891701,1639100
2002-01-10,31.120001,31.68,31.01,31.01,21.688866,1689400
2002-01-11,31.01,31.15,30.75,30.9,21.611927,1966200
2002-01-14,30.75,30.75,29.530001,30.049999,21.017426,3160000
2002-01-15,30.4,31.120001,29.92,30.780001,21.528006,1962400
2002-01-16,30.58,31.15,30.450001,30.68,21.458059,1881100
2002-01-17,30.879999,31,30.299999,30.52,21.346157,1739800
2002-01-18,30.4,30.450001,29.75,30.25,21.15731,1531400
2002-01-22,30.49,31.25,30.4,31.25,21.85673,2322700
2002-01-23,31.65,31.700001,30.52,30.52,21.346157,2460800
2002-01-24,30.6,30.67,30,30.25,21.15731,3064100
2002-01-25,30,30.5,29.9,30.43,21.283207,2373600
2002-01-28,30.65,31.040001,30.549999,30.93,21.632914,2450800
2002-01-29,30,30.889999,30,30.389999,21.25523,2512800
2002-01-30,30.5,30.57,29.799999,30.15,21.08737,3533700
2002-01-31,30.48,31.18,30.33,31.049999,21.716846,3986900
2002-02-01,30.950001,30.950001,30.4,30.6,21.402105,3200100
2002-02-04,30.6,30.98,30.5,30.879999,21.597946,3193400
2002-02-05,30.85,31.6,30.76,31.049999,21.716846,2397200
2002-02-06,31.200001,31.200001,30.889999,31.15,21.786783,2107700
2002-02-07,30.950001,31.049999,30.52,30.620001,21.416098,1801500
2002-02-08,30.57,31.030001,30.549999,31.030001,21.702854,1399300
2002-02-11,30.700001,31.889999,30.67,31.76,22.213427,1904300
2002-02-12,31.41,31.85,31.25,31.5,22.031582,2038700
2002-02-13,31.200001,32.220001,30.860001,32.09,22.444233,3779900
2002-02-14,32.049999,32.279999,31.9,32.029999,22.402267,2200800
2002-02-15,31.83,31.93,31.030001,31.5,22.031582,1649600
2002-02-19,31,31.1,30,30.26,21.164307,2983900
2002-02-20,30.5,30.73,30.1,30.65,21.437077,2283100
2002-02-21,30.450001,30.870001,30.450001,30.84,21.569969,1929100
2002-02-22,30.549999,30.65,30,30.24,21.150322,1655900
2002-02-25,30.25,30.32,30.07,30.280001,21.178297,2355800
2002-02-26,30.379999,30.690001,30.33,30.5,21.332163,2309100
2002-02-27,30.6,30.610001,30.299999,30.35,21.227255,2937000
2002-02-28,30.35,30.75,30.35,30.57,21.381126,2012600
2002-03-01,30.690001,30.889999,30.4,30.85,21.576965,2189500
2002-03-04,30.879999,31.48,30.700001,30.700001,21.47205,2321500
2002-03-05,30.700001,31.49,30.41,31.440001,21.989616,3350200
2002-03-06,31,31.4,31,31.4,21.961636,1593000
2002-03-07,31.200001,31.67,31.1,31.57,22.080536,2412800
2002-03-08,31.85,32.060001,31.450001,31.75,22.206436,2561600
2002-03-11,31.85,31.9,31.200001,31.35,21.926668,2237500
2002-03-12,31,31.35,30.690001,30.9,21.611927,2054000
2002-03-13,30.629999,30.9,30.6,30.629999,21.423088,2077400
2002-03-14,30.700001,31,30.700001,30.969999,21.660892,2493400
2002-03-15,30.690001,31.379999,30.690001,31.1,21.751812,3211200
2002-03-18,31.549999,31.6,30.950001,31.389999,21.954647,2275600
2002-03-19,31.299999,31.780001,31.290001,31.4,21.961636,2259500
2002-03-20,31.25,31.49,31.219999,31.35,21.926668,2410100
2002-03-21,31.17,31.34,30.99,31.25,21.85673,2524800
2002-03-22,30.85,31.299999,30.83,31.25,21.85673,1674300
2002-03-25,31.200001,31.450001,31.139999,31.209999,21.828751,930200
2002-03-26,31.049999,31.48,31.049999,31.43,21.982626,1693800
2002-03-27,31.25,31.49,31.23,31.370001,21.94066,1764400
2002-03-28,31.370001,31.389999,30.950001,31.049999,21.716846,2681600
2002-04-01,31.15,31.299999,30.93,31.049999,21.716846,1553000
2002-04-02,31,31.4,30.99,31.35,21.926668,1753400
