Stock Quotes for PX,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,25.15625,26.0625,24.75,24.90625,16.586071,1369400
2000-01-04,24.65625,24.78125,24.3125,24.46875,16.294727,983600
2000-01-05,24.46875,25.34375,24.46875,24.90625,16.586071,3410600
2000-01-06,24.90625,26.84375,24.84375,26.75,17.813902,2463600
2000-01-07,26.625,26.96875,26.21875,26.78125,17.834705,2128400
2000-01-10,26.59375,26.875,26.46875,26.8125,17.855515,1391600
2000-01-11,26.6875,27.46875,26.6875,27.25,18.146872,2303600
2000-01-12,27.125,27.4375,26.28125,26.78125,17.834705,1497600
2000-01-13,26.75,27.28125,26.40625,26.40625,17.58499,1135200
2000-01-14,26.71875,27,26.65625,26.71875,17.793091,995200
2000-01-18,26.21875,26.28125,25.1875,25.5625,17.023098,1185000
2000-01-19,25.1875,25.21875,24.3125,24.59375,16.377964,1538400
2000-01-20,24.46875,24.46875,22.75,23.6875,15.77446,1869400
2000-01-21,23.8125,23.875,23.34375,23.4375,15.607969,1574400
2000-01-24,23.3125,24.5,23.125,24.375,16.232283,2158000
2000-01-25,23.375,23.5,21.1875,21.96875,14.629872,3920200
2000-01-26,21.96875,22.375,21.125,21.46875,14.296908,2475200
2000-01-27,21.125,22,21.0625,21.875,14.567443,2670800
2000-01-28,21.6875,21.75,20,20.40625,13.589338,2028200
2000-01-31,20.5,20.5,19.25,20.375,13.568532,2810000
2000-02-01,20.25,20.625,19.78125,20.5,13.651772,2200800
2000-02-02,20.5,20.5,19,19.5,12.985832,3565200
2000-02-03,19.9375,20.78125,19.875,20.25,13.485295,3135600
2000-02-04,20.125,20.875,20.09375,20.6875,13.776638,2354600
2000-02-07,20.8125,21.1875,20.625,21,13.984744,3286000
2000-02-08,20.5625,21,20.3125,20.34375,13.547717,1675600
2000-02-09,20.21875,20.21875,19.53125,19.6875,13.110697,2568400
2000-02-10,19.6875,19.9375,18.875,19.21875,12.798539,2178600
2000-02-11,19.09375,19.125,18.5625,18.8125,12.527997,2328800
2000-02-14,18.6875,19.5,18.5,19.40625,12.923401,1752400
2000-02-15,19.1875,20.3125,19.125,20.125,13.402049,3780000
2000-02-16,20.1875,20.8125,19.9375,20.53125,13.672582,2291200
2000-02-17,20.40625,21,20.375,20.4375,13.610153,1514200
2000-02-18,20.25,20.375,19.6875,19.8125,13.193942,1340400
2000-02-22,19.6875,19.875,19.5625,19.75,13.152318,1890800
2000-02-23,19.875,20.25,19.1875,19.1875,12.777732,2666000
2000-02-24,19.21875,19.21875,17.5625,17.96875,11.96611,2292200
2000-02-25,17.90625,18.125,17.5625,17.75,11.820439,1495200
2000-02-28,17.5625,18.0625,17.4375,17.65625,11.75801,1979200
2000-02-29,17.5625,17.6875,16.6875,16.875,11.237741,2777800
2000-03-01,17,17.0625,16.5,16.65625,11.09207,1595600
2000-03-02,16.6875,16.9375,16.1875,16.34375,10.883958,1540400
2000-03-03,16.5,17.4375,16.5,17.0625,11.471395,3211600
2000-03-06,16.875,17.25,16.8125,16.9375,11.387357,2260200
2000-03-07,16.84375,16.875,15.9375,16.03125,10.778069,1034800
2000-03-08,16.125,16.5,15.9375,16.0625,10.799076,2256400
2000-03-09,16.0625,16.0625,15.6875,15.90625,10.694031,1279000
2000-03-10,15.875,17.25,15.875,16.75,11.261295,2692200
2000-03-13,16.625,17,16.125,16.6875,11.219278,1626000
2000-03-14,16.8125,17.1875,16.6875,16.8125,11.303313,1874600
2000-03-15,16.9375,19.5,16.9375,18.625,12.521883,2931400
2000-03-16,18.8125,20.25,18.75,20.03125,13.46734,3434000
2000-03-17,19.75,19.78125,17.96875,18.5,12.437851,2063200
2000-03-20,18.75,19.875,18.75,19,12.774011,1126600
2000-03-21,19.0625,19.625,18.875,19.46875,13.08916,1242000
2000-03-22,19.21875,19.25,18.5625,18.8125,12.647948,1736600
2000-03-23,18.78125,19.6875,18.78125,18.875,12.68997,1291000
2000-03-24,18.5,19.5625,18.5,19.40625,13.047138,1361400
2000-03-27,19.40625,19.78125,19.03125,19.09375,12.837036,1354400
2000-03-28,19.03125,20.28125,19.03125,19.375,13.026128,1548000
2000-03-29,19.625,20.25,19.625,19.90625,13.383292,1575000
2000-03-30,20,21.59375,19.8125,20.71875,13.929555,2351400
2000-03-31,20.75,21.375,20.125,20.8125,13.992582,1894400
2000-04-03,20.6875,21.0625,20.375,20.84375,14.013591,1019000
2000-04-04,21.0625,21.5625,20.234381,20.9375,14.07662,2181200
2000-04-05,20.8125,21.25,19.8125,20.5,13.782484,1260000
2000-04-06,20.625,21.125,20.53125,20.96875,14.09763,1317800
