Stock Quotes for PXD,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.5625,8.625,8.25,8.4375,8.115915,149600
2000-01-04,8.375,8.5625,8.125,8.5625,8.236151,140100
2000-01-05,8.625,8.75,8.125,8.3125,7.995682,199900
2000-01-06,8.3125,8.75,8.3125,8.5,8.176036,216200
2000-01-07,8.5625,8.8125,8.5,8.75,8.416504,164900
2000-01-10,8.625,8.625,8.375,8.5,8.176036,107300
2000-01-11,8.375,8.6875,8.3125,8.625,8.296268,80900
2000-01-12,8.625,8.6875,8.1875,8.1875,7.875445,186600
2000-01-13,8.4375,8.4375,8.3125,8.4375,8.115915,153100
2000-01-14,8.375,8.8125,8.3125,8.6875,8.356388,391900
2000-01-18,8.9375,9.3125,8.6875,9.3125,8.957567,449100
2000-01-19,9.375,9.625,8.75,9.125,8.777212,490600
2000-01-20,9,9,8.6875,9,8.656976,279300
2000-01-21,9,9.4375,9,9.4375,9.077803,449000
2000-01-24,9.4375,10.1875,9.4375,9.5,9.137919,390900
2000-01-25,9.625,9.875,9.375,9.75,9.378392,208800
2000-01-26,10.125,10.1875,9.8125,9.8125,9.438509,331700
2000-01-27,9.8125,9.875,8.8125,8.8125,8.476624,215000
2000-01-28,8.875,9.125,8.625,8.625,8.296268,190000
2000-01-31,8.625,8.8125,8.5625,8.5625,8.236151,164200
2000-02-01,8.625,8.9375,8.4375,8.9375,8.59686,134100
2000-02-02,9,9.5,9,9.3125,8.957567,232100
2000-02-03,9.4375,9.4375,8.75,9,8.656976,137100
2000-02-04,9.125,9.25,8.5625,8.875,8.536741,99400
2000-02-07,8.9375,8.9375,8.3125,8.6875,8.356388,133900
2000-02-08,8.6875,8.6875,8.3125,8.375,8.055795,189200
2000-02-09,8.375,8.375,8.125,8.125,7.815327,108500
2000-02-10,8.0625,8.375,7.9375,8.3125,7.995682,155800
2000-02-11,8.3125,8.3125,8,8.125,7.815327,154300
2000-02-14,8,8.0625,7.75,7.875,7.574853,206900
2000-02-15,8,8.125,7.75,8.0625,7.755207,665400
2000-02-16,8,8,7.6875,7.75,7.454619,617200
2000-02-17,7.8125,7.9375,7.5,7.6875,7.3945,211200
2000-02-18,7.75,7.8125,6.75,6.875,6.612968,630400
2000-02-22,7.125,7.6875,7.0625,7.4375,7.15403,411400
2000-02-23,7.625,7.875,7.25,7.6875,7.3945,468400
2000-02-24,7.5625,7.75,7.4375,7.75,7.454619,273800
