Stock Quotes for R,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,24.0625,24.375,23.3125,23.625,15.823843,263500
2000-01-04,23.5,23.5625,21.375,22.3125,14.944735,462500
2000-01-05,22.25,22.875,22.25,22.75,15.237769,336900
2000-01-06,22.5625,24.75,22.5625,24.625,16.493633,634300
2000-01-07,24.5,25.125,24.375,25.125,16.828531,299600
2000-01-10,25.0625,25.125,23.8125,24,16.07502,188100
2000-01-11,24.25,24.5625,24.125,24.5,16.409916,171100
2000-01-12,24.375,24.8125,23.875,23.9375,16.033154,389100
2000-01-13,23.9375,24.1875,23.625,23.6875,15.865706,216100
2000-01-14,23.8125,23.875,23.6875,23.6875,15.865706,245700
2000-01-18,23.4375,24.0625,23.3125,24,16.07502,104600
2000-01-19,24,25,24,24.875,16.661081,328700
2000-01-20,24.75,24.875,24,24.0625,16.116882,139800
2000-01-21,23.625,23.625,22.375,23.4375,15.698256,380200
2000-01-24,23.625,23.625,23,23.25,15.572674,182400
2000-01-25,23.125,23.3125,22.3125,22.4375,15.028468,382100
2000-01-26,22.4375,22.5625,22.25,22.3125,14.944735,223100
2000-01-27,22.4375,22.4375,21.8125,22.125,14.819159,270900
2000-01-28,22,22,21.5,21.625,14.484261,179900
2000-01-31,21.5625,22.0625,21.5,22.0625,14.777292,310900
2000-02-01,22,22.0625,21.5625,21.8125,14.609843,140500
2000-02-02,22.0625,22.375,21.5,22.0625,14.777292,941000
2000-02-03,22.0625,22.625,22.0625,22.625,15.15405,248100
2000-02-04,22.625,24,22.5625,22.625,15.15405,312300
2000-02-07,22.75,23.125,21.5625,21.6875,14.526116,289800
2000-02-08,21.3125,21.75,21.3125,21.5,14.400536,158800
2000-02-09,21.5,21.625,20.6875,20.8125,13.940054,203000
2000-02-10,20.8125,21.125,20.375,21,14.065639,219100
2000-02-11,21,21,19.9375,20.125,13.479578,364500
2000-02-14,20.375,20.4375,19.75,20.1875,13.521433,499900
2000-02-15,20.3125,20.75,20.25,20.5625,13.772609,268200
2000-02-16,20.6875,20.6875,19.9375,20.4375,13.688877,243400
2000-02-17,20.375,20.6875,19.5625,19.75,13.228396,232000
2000-02-18,19.75,19.75,18.875,19.125,12.809781,272600
2000-02-22,19.125,19.25,18.875,19.125,12.809781,165100
2000-02-23,18.9375,19.25,18.5,18.5625,12.433021,322100
2000-02-24,18.625,19,18.5,18.8125,12.600471,323100
2000-02-25,18.75,18.875,18.5625,18.625,12.474881,222300
2000-02-28,18.625,18.8125,18.5,18.625,12.474881,233900
2000-02-29,18.6875,18.875,18.4375,18.5,12.391157,373300
2000-03-01,18.5,18.75,18.5,18.5625,12.534654,247200
2000-03-02,18.4375,18.75,18.0625,18.25,12.323632,564900
2000-03-03,18.375,18.625,17.875,18.3125,12.365834,375700
2000-03-06,18.4375,18.4375,17.6875,17.8125,12.028204,207700
2000-03-07,17.75,17.875,17.4375,17.625,11.901589,310100
2000-03-08,17.6875,17.75,17.4375,17.5,11.81718,297400
2000-03-09,17.5,18.0625,17.4375,18.0625,12.197017,1065500
