Stock Quotes for RSG,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.75,9.75,9.25,9.416667,6.504981,767100
2000-01-04,9.291667,9.291667,8.708333,8.833333,6.102017,673900
2000-01-05,8.916667,8.958333,8.583333,8.666667,5.986883,782700
2000-01-06,8.666667,8.708333,8.5,8.625,5.958101,1115500
2000-01-07,8.625,9.083333,8.625,9.083333,6.274714,892600
2000-01-10,9,9.166667,8.75,9.125,6.303498,401500
2000-01-11,9.125,9.333333,8.833333,8.916667,6.159584,783400
2000-01-12,8.916667,8.958333,8.833333,8.958333,6.188368,461500
2000-01-13,8.916667,9.208333,8.833333,9,6.21715,919800
2000-01-14,8.916667,8.958333,8.833333,8.958333,6.188368,1282300
2000-01-18,9,9.125,8.75,8.833333,6.102017,1297800
2000-01-19,8.75,8.833333,8.541667,8.666667,5.986883,790800
2000-01-20,8.666667,8.75,8.583333,8.666667,5.986883,1080300
2000-01-21,8.708333,8.75,8.5,8.666667,5.986883,616500
2000-01-24,8.666667,8.666667,8.375,8.458333,5.842968,526300
2000-01-25,8.5,8.5,8.166667,8.333333,5.756618,529000
2000-01-26,8.25,8.25,7.708333,7.916667,5.46879,2514700
2000-01-27,8.25,8.583333,7.958333,8,5.526355,3865300
2000-01-28,8,8.166667,7.666667,7.833333,5.411222,3408700
2000-01-31,7.833333,8,7.75,7.833333,5.411222,1712200
2000-02-01,7.916667,7.916667,7.416667,7.416667,5.123391,2837400
2000-02-02,7.416667,7.666667,7.416667,7.458333,5.152174,1602600
2000-02-03,7.375,7.416667,7.083333,7.208333,4.979476,4669900
2000-02-04,7.291667,7.708333,7.25,7.666667,5.29609,1280500
2000-02-07,7.666667,7.708333,7.583333,7.583333,5.238524,739800
2000-02-08,7.666667,7.708333,7.541667,7.541667,5.209742,980800
2000-02-09,7.5,7.5,7.25,7.333333,5.065827,918000
2000-02-10,7.291667,7.333333,6.541667,6.916667,4.777995,5055300
2000-02-11,6.916667,7.041667,6.666667,6.708333,4.634078,2683200
2000-02-14,6.875,6.958333,6.708333,6.958333,4.806777,1523700
2000-02-15,6.875,7.291667,6.708333,7.291667,5.037041,1507500
