Stock Quotes for SCG,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,26.625,26.875,26.375,26.6875,11.878117,350700
2000-01-04,26.6875,26.6875,25.875,26.1875,11.655568,153200
2000-01-05,26.375,26.75,26.25,26.4375,11.766845,580200
2000-01-06,26.4375,26.4375,26,26.125,11.627752,700200
2000-01-07,26.25,26.375,26,26.3125,11.711211,353000
2000-01-10,26.375,26.375,26.0625,26.25,11.683393,254500
2000-01-11,26.125,26.3125,25.625,25.625,11.405216,364800
2000-01-12,25.6875,26,25.6875,25.875,11.516488,184600
2000-01-13,25.75,26.25,25.625,26.1875,11.655568,304400
2000-01-14,26.25,26.5625,26,26.4375,11.766845,271100
2000-01-18,26.4375,26.6875,26.25,26.375,11.739026,372900
2000-01-19,26.375,27,26.375,26.6875,11.878117,374800
2000-01-20,26.625,27.125,26.625,27.0625,12.045021,587600
2000-01-21,27.625,28.6875,27.5,28.3125,12.601373,1739100
2000-01-24,28.6875,29,28.125,28.4375,12.657002,1370900
2000-01-25,28.625,28.625,27.75,27.875,12.406648,279500
2000-01-26,27.8125,28.375,27.8125,27.875,12.406648,223900
2000-01-27,27.875,28.4375,27.25,27.5,12.239748,657300
2000-01-28,27.5,27.8125,27.375,27.4375,12.211927,337700
2000-01-31,27.4375,27.75,27.0625,27.1875,12.100657,600600
2000-02-01,27.375,27.625,27.25,27.5625,12.267567,443800
2000-02-02,27.5625,27.6875,27.375,27.4375,12.211927,334600
2000-02-03,27.5625,28.375,27.5625,27.8125,12.378834,749900
2000-02-04,27.75,27.8125,27.4375,27.5,12.239748,456800
2000-02-07,27.5625,27.625,27.4375,27.5,12.239748,758500
2000-02-08,27.5625,27.9375,27.375,27.8125,12.378834,1799400
2000-02-09,27.9375,27.9375,27.625,27.6875,12.323196,1374000
2000-02-10,27.3125,27.3125,26.875,27.0625,12.045021,415000
2000-02-11,26.75,27.125,26.25,27,12.017198,1165700
2000-02-14,26.875,27,26.75,26.8125,11.933755,154000
2000-02-15,26.8125,26.9375,26.625,26.625,11.850298,143600
2000-02-16,26.75,26.8125,26.5625,26.8125,11.933755,141200
2000-02-17,26.625,26.875,26.625,26.75,11.905935,125300
2000-02-18,26.75,26.75,26.5625,26.5625,11.822476,80700
2000-02-22,26.5625,26.5625,26.375,26.4375,11.766845,45700
2000-02-23,26.5,26.8125,25.8125,25.9375,11.544304,614900
2000-02-24,25.9375,25.9375,23.75,24.25,10.793228,640100
2000-02-25,23.75,24,23.6875,23.875,10.626324,1250400
2000-02-28,23.75,24.625,23.375,24.625,10.960135,397700
2000-02-29,24.625,24.625,23.5,23.8125,10.598505,467800
2000-03-01,23.6875,23.75,22.75,23.5625,10.487236,517100
2000-03-02,23.5,23.875,23.3125,23.6875,10.542866,739300
2000-03-03,23.875,23.875,23.4375,23.5625,10.487236,324500
2000-03-06,23.625,23.75,23.1875,23.1875,10.320329,362100
2000-03-07,23,23.375,22.5625,22.8125,10.153425,218300
2000-03-08,22.25,23.125,22.25,23.0625,10.395709,1037800
2000-03-09,22.875,23.125,22.75,22.9375,10.339362,500300
2000-03-10,22.8125,23.0625,22.625,22.9375,10.339362,298300
2000-03-13,22.6875,22.875,22.5,22.625,10.1985,233900
2000-03-14,22.25,23.125,22,22.5625,10.170325,508600
2000-03-15,22.5625,23.75,22.5625,23.5,10.592916,393500
