Stock Quotes for SIG,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,21.583334,21.666666,21.583334,21.666666,15.579881,1500
2000-01-04,21.75,22.041666,21.75,21.75,15.639806,3400
2000-01-05,21.75,21.75,21.75,21.75,15.639806,0
2000-01-06,22.666666,23,22.666666,22.75,16.35887,900
2000-01-07,22.333334,22.333334,22.333334,22.333334,16.059256,100
2000-01-10,22.333334,22.333334,22.333334,22.333334,16.059256,0
2000-01-11,21.916666,21.916666,21.916666,21.916666,15.759651,4300
2000-01-12,21.916666,21.916666,21.916666,21.916666,15.759651,0
2000-01-13,21.916666,21.916666,21.916666,21.916666,15.759651,0
2000-01-14,21.666666,21.666666,21.666666,21.666666,15.579881,300
2000-01-18,21.833334,21.833334,21.833334,21.833334,15.699726,300
2000-01-19,21.833334,21.833334,21.833334,21.833334,15.699726,0
2000-01-20,21.833334,21.833334,21.833334,21.833334,15.699726,0
2000-01-21,21.166666,21.166666,21.166666,21.166666,15.220345,700
2000-01-24,22,22,22,22,15.819567,12000
2000-01-25,20.666666,21,20.666666,21,15.100502,1600
2000-01-26,21,21,21,21,15.100502,0
2000-01-27,20,20,19.666666,19.666666,14.14174,4300
2000-01-28,19.041666,19.041666,19,19,13.662353,700
2000-01-31,18.666666,18.666666,18,18,12.943285,5100
2000-02-01,17.833334,17.833334,17.833334,17.833334,12.823435,400
2000-02-02,17.583334,17.583334,17.166666,17.166666,12.344057,2400
2000-02-03,17.333334,17.333334,17.333334,17.333334,12.463902,600
2000-02-04,17,17,16.916666,16.916666,12.16429,3100
2000-02-07,18.083334,18.083334,18,18,12.943285,1600
2000-02-08,18,18,18,18,12.943285,0
2000-02-09,19.5,19.5,19.5,19.5,14.021891,7600
2000-02-10,18.5,18.5,18,18,12.943285,400
2000-02-11,18,18,18,18,12.943285,0
2000-02-14,18,18,18,18,12.943285,100
2000-02-15,17.416666,17.458334,17.416666,17.458334,12.553791,400
2000-02-16,17.125,17.125,17.125,17.125,12.314097,9600
2000-02-17,16.833334,16.833334,16.666666,16.666666,11.984522,2200
2000-02-18,16.208334,16.208334,16.208334,16.208334,11.654949,400
2000-02-22,16,16,16,16,11.505141,100
2000-02-23,16,16,16,16,11.505141,0
2000-02-24,16,16.375,15.666667,15.708333,11.295412,12100
2000-02-25,15.833333,15.833333,15.833333,15.833333,11.385297,1500
2000-02-28,15.75,15.75,15.25,15.25,10.965837,51400
2000-02-29,15.75,15.75,15.75,15.75,11.325373,300
2000-03-01,15.5,15.5,15.5,15.5,11.145606,700
2000-03-02,15.5,16.333334,15.5,15.5,11.145606,6400
2000-03-03,15.5,15.5,15.5,15.5,11.145606,0
2000-03-06,15.5,15.5,15.5,15.5,11.145606,2100
2000-03-07,15,15,15,15,10.78607,5800
2000-03-08,14.375,14.375,14.375,14.375,10.336652,400
2000-03-09,14,14,14,14,10.067001,300
2000-03-10,14.5,14.5,14.166667,14.166667,10.186846,700
2000-03-13,14.875,14.875,14.833333,14.875,10.696185,600
2000-03-14,14.666667,14.666667,14.666667,14.666667,10.546383,400
2000-03-15,14.666667,14.666667,14.666667,14.666667,10.546383,0
2000-03-16,14.666667,15.25,14.666667,15.25,10.965837,25800
2000-03-17,15.333333,15.333333,15.333333,15.333333,11.025759,100
2000-03-20,15.333333,15.333333,15.333333,15.333333,11.025759,0
2000-03-21,16.166666,16.5,16.125,16.5,11.864678,9400
2000-03-22,17.333334,17.333334,16.208334,16.208334,11.654949,3300
2000-03-23,17.333334,18,17.333334,18,12.943285,17800
2000-03-24,18.333334,18.333334,18.333334,18.333334,13.182974,100
2000-03-27,19.041666,19.625,18.75,19.625,14.111771,1000
2000-03-28,18.166666,18.166666,18.166666,18.166666,13.063127,700
2000-03-29,18,18,18,18,12.943285,6300
2000-03-30,17.333334,17.333334,17,17,12.224214,13800
2000-03-31,16.75,16.75,16.75,16.75,12.044445,400
2000-04-03,16.75,16.75,16.75,16.75,12.044445,0
2000-04-04,16.75,16.75,16.75,16.75,12.044445,1000
2000-04-05,16.416666,16.416666,16.416666,16.416666,11.804755,1300
2000-04-06,16.416666,16.416666,16.416666,16.416666,11.804755,0
2000-04-07,16.416666,16.416666,16.416666,16.416666,11.804755,0
2000-04-10,17.333334,17.333334,16.583334,16.583334,11.924603,1600
2000-04-11,16.333334,16.333334,16.333334,16.333334,11.744828,400
2000-04-12,16.333334,16.333334,16.333334,16.333334,11.744828,0
2000-04-13,16.666666,16.666666,16.666666,16.666666,11.984522,100
2000-04-14,16,17.083334,15.5,15.833333,11.385297,22900
2000-04-17,15.416667,15.416667,15.333333,15.333333,11.025759,3400
