Stock Quotes for SLG,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,21.5,21.5625,21,21.5625,12.088176,85600
2000-01-04,21.5,21.5,21.125,21.25,11.912984,64200
2000-01-05,21.25,21.3125,21,21.0625,11.807872,34700
2000-01-06,21,21.6875,21,21.4375,12.0181,113700
2000-01-07,21.25,22.1875,21.25,22.1875,12.438556,175100
2000-01-10,22.3125,22.6875,22.3125,22.5625,12.648785,66400
2000-01-11,22.5625,22.875,22.5625,22.6875,12.718862,165100
2000-01-12,22.5625,22.75,22.5625,22.75,12.753904,35000
2000-01-13,23,23.1875,22.875,23,12.894051,89900
2000-01-14,23.1875,23.1875,22.375,22.375,12.54367,24900
2000-01-18,22.25,22.625,22.25,22.5,12.613749,39300
2000-01-19,22.25,22.25,22.125,22.1875,12.438556,70800
2000-01-20,22.25,22.5,22.1875,22.4375,12.578709,26000
2000-01-21,22.1875,22.4375,22.1875,22.3125,12.508636,20000
2000-01-24,22.3125,22.3125,22,22.0625,12.368484,57900
2000-01-25,22.1875,22.1875,21.9375,21.9375,12.298409,13400
2000-01-26,21.9375,22.125,21.9375,22.0625,12.368484,7400
2000-01-27,22,22.25,21.75,22.0625,12.368484,99300
2000-01-28,22.0625,22.125,21.875,22,12.333447,13000
2000-01-31,22,22.1875,21.75,21.75,12.193291,46800
2000-02-01,21.875,21.9375,21.625,21.8125,12.228329,12700
2000-02-02,21.8125,21.8125,21.5625,21.75,12.193291,19600
2000-02-03,21.75,22.125,21.75,22,12.333447,18000
2000-02-04,22,22.3125,22,22.3125,12.508636,33600
2000-02-07,22.25,22.375,22,22.25,12.473598,64800
2000-02-08,22.25,22.6875,22.25,22.625,12.683824,47300
2000-02-09,22.625,22.9375,22.625,22.6875,12.718862,113500
2000-02-10,22.8125,22.9375,22.4375,22.5,12.613749,58800
2000-02-11,22.5,22.6875,21.9375,22.3125,12.508636,44700
2000-02-14,22.0625,22.1875,21.625,21.625,12.123214,73400
2000-02-15,21.625,22,21.625,21.8125,12.228329,103700
2000-02-16,21.5625,21.75,21.4375,21.5625,12.088176,46400
2000-02-17,21.5,22.0625,21.125,22.0625,12.368484,91100
2000-02-18,22,22.375,21.875,22.125,12.40352,31100
2000-02-22,22.125,22.625,22,22.625,12.683824,200900
2000-02-23,22.5,22.625,22.25,22.625,12.683824,51800
2000-02-24,22.625,22.9375,22.625,22.8125,12.788943,153400
2000-02-25,22.75,23.25,22.75,23.0625,12.929097,156300
2000-02-28,22.625,23.1875,22.625,23.0625,12.929097,77300
2000-02-29,23,23.25,23,23.1875,12.999171,99000
2000-03-01,23.1875,23.4375,22.9375,23.4375,13.139325,57400
2000-03-02,23.3125,23.375,23.0625,23.125,12.964131,58000
2000-03-03,23.25,23.25,22.625,23.125,12.964131,75200
2000-03-06,23.125,23.1875,23,23.125,12.964131,60900
2000-03-07,23,23,22.3125,22.3125,12.508636,341300
2000-03-08,22.4375,22.5625,22.0625,22.4375,12.578709,32700
2000-03-09,22.4375,22.4375,22.0625,22.3125,12.508636,28900
2000-03-10,22.3125,22.375,22,22,12.333447,41600
2000-03-13,21.8125,22.375,21.8125,22,12.333447,33500
2000-03-14,21.9375,22,21.625,21.75,12.193291,36900
2000-03-15,21.8125,21.8125,21.25,21.3125,11.94802,80700
2000-03-16,21.1875,22.8125,21.125,22.625,12.683824,65400
2000-03-17,22.4375,23,22.4375,23,12.894051,18400
