Stock Quotes for SNI,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2008-06-12,40.990002,42.779999,40.990002,42.5,38.154808,447800
2008-06-13,42.5,43.34,42.5,42.610001,38.253551,51200
2008-06-16,43,43.009998,42.259998,42.259998,37.93935,56400
2008-06-17,43,43.490002,42.740002,43,38.603683,214100
2008-06-18,43,43.189999,41.799999,42.700001,38.334354,276800
2008-06-19,42.490002,42.490002,41.349998,41.43,37.194195,58200
2008-06-20,41.389999,41.48,40.93,41.169998,36.960777,369000
2008-06-23,41.27,41.490002,41.099998,41.490002,37.248062,50700
2008-06-24,41.099998,41.119999,40.66,40.66,36.502926,107600
2008-06-25,40.75,41.240002,40.57,40.709999,36.547817,206900
2008-06-26,40.52,40.52,39.799999,39.799999,35.730862,49500
2008-06-27,39.849998,39.98,38.740002,38.740002,34.779221,40200
2008-06-30,38.900002,39.02,38,38.349998,34.4291,1598400
2008-07-01,38.299999,41.23,38.09,39.75,35.685974,1190700
2008-07-02,39.849998,42.77,39.009998,41.75,37.481472,1047000
2008-07-03,42.099998,42.150002,41.009998,41.34,37.1134,735300
2008-07-07,41.130001,42.189999,40.150002,40.200001,36.089951,1439500
2008-07-08,39.389999,41.23,39.389999,40.799999,36.62862,710100
2008-07-09,39.900002,41.07,39.900002,40,35.910408,562400
2008-07-10,39.990002,41,39.900002,40.599998,36.449059,1092900
2008-07-11,39.900002,40.709999,39.360001,40.18,36.07201,745200
2008-07-14,40.130001,41.540001,40.029999,41.009998,36.817135,851800
2008-07-15,40.599998,40.950001,40,40.400002,36.26952,795100
2008-07-16,41.610001,41.830002,39.59,40.209999,36.098938,745300
2008-07-17,40.25,41.93,40.130001,41.720001,37.454556,1036800
2008-07-18,41.919998,41.919998,39.970001,40.139999,36.036095,857100
2008-07-21,39.630001,40.119999,38.099998,38.310001,34.393188,825400
2008-07-22,39,39.68,38.77,39.09,35.093433,694200
2008-07-23,39.900002,40.5,38.5,39.939999,35.856544,577600
2008-07-24,40.200001,41.07,38.990002,40.75,36.583729,1100300
2008-07-25,40.400002,41.299999,40.400002,40.639999,36.484974,792200
2008-07-28,42.34,42.34,39.540001,40.040001,35.946304,687200
2008-07-29,40.27,41.040001,40.040001,40.700001,36.538837,258100
2008-07-30,41.099998,41.799999,40.040001,40.720001,36.556786,712000
2008-07-31,39.990002,41.48,39.990002,40.540001,36.395199,586100
2008-08-01,40.27,40.450001,39.990002,40.099998,36.000183,423000
2008-08-04,39.970001,41.110001,39.75,40.82,36.646557,528800
2008-08-05,41.299999,42.900002,40.900002,42.650002,38.289471,600300
2008-08-06,43.150002,43.150002,41.939999,42.43,38.091953,260800
2008-08-07,42.950001,42.950001,40.84,40.889999,36.709415,490400
2008-08-08,40.669998,41.279999,39.75,41.279999,37.059536,602000
2008-08-11,41.259998,42.360001,41.18,41.57,37.319889,328400
2008-08-12,41.5,42.360001,41.5,42.16,37.849564,322500
2008-08-13,42.450001,42.540001,42.02,42.299999,37.97525,576800
2008-08-14,41.450001,43.290001,41.450001,42.900002,38.513893,427300
2008-08-15,42.889999,43.189999,42.52,42.75,38.379242,342700
2008-08-18,42.950001,42.990002,40.959999,41.720001,37.454556,521700
2008-08-19,41.75,42.25,40.84,41.470001,37.230118,489600
2008-08-20,40.869999,42.400002,40.799999,41.790001,37.517403,320300
2008-08-21,41.049999,42.360001,40.830002,41.860001,37.58025,389700
2008-08-22,42.099998,42.990002,41.16,42.02,37.723881,524700
2008-08-25,41.16,41.490002,40.880001,41.009998,36.817135,349800
2008-08-26,41.07,41.869999,40.709999,41.759998,37.490456,315700
2008-08-27,41.57,41.75,41.029999,41.41,37.243134,214200
2008-08-28,41.200001,42.110001,41,41.68,37.485973,386000
2008-08-29,41.5,41.540001,40.990002,41.540001,37.360046,312000
2008-09-02,43,43,41.189999,41.509998,37.333069,417300
2008-09-03,41.200001,41.970001,40.57,41.490002,37.315075,363200
2008-09-04,40.720001,41.41,40.259998,40.259998,36.208847,547600
2008-09-05,40.259998,40.990002,39.439999,40.240002,36.190868,561500
2008-09-08,39.57,40.77,39.57,40.380001,36.316769,550400
2008-09-09,44.240002,44.240002,39.48,39.48,35.507332,990200
2008-09-10,39.540001,40.360001,38,39.700001,35.7052,1103000
2008-09-11,40.799999,41.5,39.490002,40.990002,36.865395,1212700
2008-09-12,39.900002,41.330002,39.650002,40.849998,36.739491,665000
2008-09-15,40.200001,40.450001,39.310001,39.779999,35.777149,820900
2008-09-16,38.700001,41.689999,38.310001,41.41,37.243134,735200
2008-09-17,40.450001,41.040001,39.16,39.16,35.219536,693800
2008-09-18,39.5,43.029999,38.189999,42.02,37.791756,1558000
2008-09-19,44.98,44.98,40.900002,41.599998,37.414009,839100
2008-09-22,42,42.709999,39.279999,39.919998,35.903057,589200
2008-09-23,40.049999,40.849998,39.43,39.900002,35.885063,677500
2008-09-24,39.98,40.110001,38.84,39.5,35.525318,830300
2008-09-25,39.5,41.400002,38.279999,40.290001,36.235828,1068500
2008-09-26,40.290001,40.290001,38.82,39.110001,35.174572,766100
2008-09-29,39.18,39.220001,34.880001,36.27,32.620331,1063200
2008-09-30,35.41,37.049999,35.049999,36.310001,32.656315,726200
2008-10-01,36.57,37.099998,35.599998,36.77,33.070026,668300
2008-10-02,35.029999,37.040001,35.029999,36.110001,32.476433,558100
