Stock Quotes for STI,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,68,68.0625,63.5,64.6875,41.665207,900600
2000-01-04,62.375,63.25,61.625,62.3125,40.135448,787100
2000-01-05,62.4375,62.75,61.25,61.625,39.692642,914500
2000-01-06,61.25,62.8125,61,62.4375,40.215977,1279900
2000-01-07,62.125,62.375,61.4375,62.3125,40.135448,719000
2000-01-10,62.5,62.5,59.375,59.5,38.323936,631000
2000-01-11,59.5,59.5,58.0625,59.125,38.082394,1103500
2000-01-12,59.25,61.3125,59.25,60.125,38.726482,988600
2000-01-13,60.9375,62.125,60.75,61.5,39.612129,647000
2000-01-14,63,63.75,62.5625,63,40.578274,592300
2000-01-18,62.5,62.75,61.375,61.75,39.773159,755800
2000-01-19,61.6875,63.125,60.125,60.1875,38.76675,981600
2000-01-20,60.4375,60.4375,58.375,58.5625,37.720081,569700
2000-01-21,59.5625,59.5625,58.0625,58.4375,37.639576,673400
2000-01-24,58.4375,58.625,55.5,55.875,35.989079,656600
2000-01-25,57,57.25,56.375,56.8125,36.592911,786800
2000-01-26,56.8125,59.0625,56.125,58.25,37.518814,827400
2000-01-27,58.875,60,58.375,58.875,37.921368,641600
2000-01-28,59,59,57,57.1875,36.83445,847200
2000-01-31,57.875,59.8125,57.375,59.5625,38.364185,1001500
2000-02-01,59.5,59.625,58.3125,59.0625,38.042133,473500
2000-02-02,58.9375,58.9375,57.375,57.75,37.196754,410200
2000-02-03,57.6875,58,55.625,56.375,36.311115,1068200
2000-02-04,56.5,56.5625,55,55,35.425472,687200
2000-02-07,55,55.125,53.375,54.25,34.942413,614500
2000-02-08,54.25,56.4375,54.25,56.125,36.150101,613300
2000-02-09,56,56,54,54,34.781384,439300
2000-02-10,54.1875,55.5625,53,53.25,34.298298,1247600
2000-02-11,54,54.75,53,53.375,34.378811,481800
2000-02-14,53.75,54.125,52.3125,52.625,33.895741,644500
2000-02-15,52.75,54.125,52.3125,53.875,34.700871,479300
2000-02-16,54,54.8125,52.875,52.9375,34.097023,582000
2000-02-17,53.375,53.625,52.125,52.5625,33.855476,673600
2000-02-18,52.5625,52.625,51,51.4375,33.130875,838000
2000-02-22,51.25,52.25,51,51.9375,33.452927,638600
2000-02-23,51.375,51.5,50.5,50.625,32.60754,550600
2000-02-24,50.8125,50.8125,48.6875,49.625,31.963449,698400
2000-02-25,49.9375,51.25,49.625,49.8125,32.084225,504000
2000-02-28,49.9375,51.875,49.9375,51.125,33.176018,572500
2000-02-29,50.875,51,49.8125,50.8125,32.973236,906000
2000-03-01,50,50.875,49.375,50.75,32.932682,608700
2000-03-02,50.6875,50.6875,49.5,50.0625,32.486546,516400
2000-03-03,51.0625,51.875,50.625,50.75,32.932682,690500
2000-03-06,50.25,51,49.9375,50.5,32.770439,466800
2000-03-07,50.375,50.375,48.375,48.4375,31.432043,573400
2000-03-08,47.9375,48.0625,47.3125,47.625,30.904808,663800
2000-03-09,47.75,48.4375,47.1875,48.125,31.229252,952700
2000-03-10,48,48.3125,47.3125,47.375,30.742569,557100
2000-03-13,46.875,48.9375,46.8125,48.3125,31.350929,677400
2000-03-14,48.125,49,47.5625,47.5625,30.86425,431400
2000-03-15,47.625,51.8125,47.375,51.8125,33.622158,1166500
2000-03-16,53.5,58.125,53.1875,56.9375,36.947868,1450500
2000-03-17,56.9375,58.625,55.75,56.3125,36.542297,1096000
2000-03-20,56.875,56.875,54.5,55.4375,35.974483,966500
2000-03-21,55.5,58.8125,55.5,57.8125,37.515678,727800
2000-03-22,57.6875,58.875,56.5,58.625,38.042912,462300
2000-03-23,58.25,60.9375,57.9375,60.6875,39.38131,679500
2000-03-24,60.4375,61.6875,59.375,60.0625,38.975746,477800
2000-03-27,60.1875,60.25,58,58.6875,38.083469,1825700
2000-03-28,58.625,61.5,58.1875,60.4375,39.219082,1848300
2000-03-29,60.375,60.4375,58.875,59,38.286263,558800
2000-03-30,59.25,59.25,57.125,57.375,37.231777,535800
2000-03-31,57.4375,58.8125,56.0625,57.75,37.475117,1091100
2000-04-03,59,60.125,58.875,60,38.9352,744500
