Stock Quotes for TJX,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.09375,5.125,4.953125,5.078125,3.574843,7242000
2000-01-04,5.015625,5.0625,4.65625,4.8125,3.387852,9108400
2000-01-05,4.8125,4.859375,4.671875,4.671875,3.288856,12011200
2000-01-06,5,5.1875,4.921875,4.953125,3.486846,13496000
2000-01-07,4.96875,5.203125,4.875,5.078125,3.574843,8710000
2000-01-10,5.046875,5.078125,4.984375,5,3.519844,7616400
2000-01-11,5,5.046875,4.90625,4.921875,3.464847,9789200
2000-01-12,4.921875,4.9375,4.875,4.875,3.431848,8188800
2000-01-13,4.875,4.921875,4.765625,4.875,3.431848,9368800
2000-01-14,4.859375,4.984375,4.84375,4.921875,3.464847,4632400
2000-01-18,4.859375,4.890625,4.734375,4.765625,3.354853,3944000
2000-01-19,4.828125,4.84375,4.59375,4.609375,3.244857,7242800
2000-01-20,4.71875,4.75,4.546875,4.625,3.255856,4619600
2000-01-21,4.5625,4.578125,4.21875,4.3125,3.035866,21694800
2000-01-24,4.1875,4.296875,4.125,4.15625,2.925871,14191200
2000-01-25,4.15625,4.296875,4.140625,4.25,2.991868,6583600
2000-01-26,4.203125,4.375,4.203125,4.34375,3.057865,8232800
2000-01-27,4.328125,4.453125,4.21875,4.28125,3.013868,6114400
2000-01-28,4.21875,4.234375,4.0625,4.078125,2.870874,6966000
2000-01-31,4.09375,4.125,4.015625,4.078125,2.870874,5648400
2000-02-01,4.015625,4.171875,4.015625,4.15625,2.925871,5247600
2000-02-02,4.171875,4.4375,4.015625,4.375,3.079865,5960800
2000-02-03,4.3125,4.640625,4.25,4.546875,3.200857,11160800
2000-02-04,4.546875,4.65625,4.3125,4.578125,3.222857,10744400
2000-02-07,4.46875,4.484375,4.234375,4.296875,3.024867,8986800
2000-02-08,4.34375,4.4375,4.34375,4.390625,3.116248,6589600
2000-02-09,4.375,4.375,4.25,4.265625,3.027529,4532400
2000-02-10,4.25,4.375,4.09375,4.3125,3.060797,4624800
2000-02-11,4.34375,4.34375,4.09375,4.1875,2.972078,4717600
2000-02-14,4.203125,4.21875,4.078125,4.171875,2.960989,3272800
2000-02-15,4.171875,4.171875,4.03125,4.078125,2.894449,4661600
2000-02-16,4.09375,4.09375,3.875,3.90625,2.772462,6686000
2000-02-17,3.890625,4.046875,3.75,3.796875,2.694833,7728000
2000-02-18,3.84375,3.90625,3.75,3.78125,2.683743,6530800
2000-02-22,3.84375,3.84375,3.6875,3.71875,2.639383,4178800
2000-02-23,3.75,3.796875,3.671875,3.671875,2.606114,3073200
2000-02-24,3.625,3.65625,3.484375,3.5625,2.528485,5422800
2000-02-25,3.5625,3.6875,3.484375,3.53125,2.506306,6590400
2000-02-28,3.53125,3.75,3.53125,3.75,2.661563,12048000
2000-02-29,3.78125,4.0625,3.78125,3.984375,2.82791,13273200
2000-03-01,4.046875,4.15625,3.90625,4.125,2.92772,13587200
2000-03-02,4.140625,4.328125,4.125,4.1875,2.972078,7909600
2000-03-03,4.0625,4.3125,3.890625,4.234375,3.005349,5958000
2000-03-06,4.1875,4.1875,4.03125,4.09375,2.905541,3782000
2000-03-07,4.0625,4.078125,3.875,3.90625,2.772462,4126000
2000-03-08,3.75,3.9375,3.703125,3.9375,2.794642,8748400
2000-03-09,3.875,3.921875,3.8125,3.90625,2.772462,12703600
2000-03-10,3.828125,3.875,3.796875,3.8125,2.705922,8376400
2000-03-13,3.78125,3.78125,3.625,3.75,2.661563,9430000
2000-03-14,3.734375,3.84375,3.6875,3.78125,2.683743,7897200
2000-03-15,3.71875,4.296875,3.6875,4.25,3.016438,13854400
2000-03-16,4.4375,5.25,4.390625,5,3.548752,25264400
2000-03-17,5.03125,5.046875,4.75,4.75,3.371313,15734800
2000-03-20,4.8125,4.9375,4.75,4.921875,3.493301,6892400
2000-03-21,4.984375,5.0625,4.921875,5,3.548752,14585200
2000-03-22,4.984375,5,4.875,4.984375,3.537661,10443200
2000-03-23,4.984375,5,4.890625,4.984375,3.537661,6497600
2000-03-24,5,5.234375,4.96875,5.21875,3.704009,9708800
2000-03-27,5.171875,5.265625,5.125,5.171875,3.67074,9472000
2000-03-28,5.234375,5.609375,5.203125,5.265625,3.737278,10217200
2000-03-29,5.3125,5.34375,5.15625,5.28125,3.748369,10910400
2000-03-30,5.265625,6,5.265625,5.734375,4.069974,18114400
2000-03-31,5.78125,6.140625,5.53125,5.546875,3.936897,22274800
2000-04-03,5.625,6,5.625,5.953125,4.225231,9090000
2000-04-04,5.953125,6.109375,5.5625,5.828125,4.136513,10947600
2000-04-05,5.890625,5.96875,5.765625,5.921875,4.203053,4669600
2000-04-06,5.90625,5.921875,5.625,5.75,4.081064,14814000
2000-04-07,5.75,5.890625,5.640625,5.71875,4.058886,9038400
2000-04-10,5.640625,5.65625,5.5,5.546875,3.936897,11226000
2000-04-11,5.5,5.53125,5.328125,5.4375,3.859267,10180400
2000-04-12,5.4375,5.578125,5.390625,5.390625,3.825997,9111600
2000-04-13,5.453125,5.53125,5.265625,5.265625,3.737278,13272800
2000-04-14,5.25,5.265625,4.84375,4.9375,3.504391,10867200
2000-04-17,5,5.046875,4.953125,5,3.548752,8174800
2000-04-18,5,5.09375,4.96875,5.03125,3.570931,4581200
2000-04-19,5.09375,5.171875,5.046875,5.109375,3.626379,3676400
2000-04-20,5.15625,5.171875,5.078125,5.125,3.63747,5522000
2000-04-24,5.0625,5.171875,5.046875,5.109375,3.626379,5843600
2000-04-25,5.046875,5.078125,4.9375,4.953125,3.515483,10790400
2000-04-26,4.984375,5,4.609375,4.640625,3.293685,10076800
2000-04-27,4.5,4.609375,4.34375,4.5,3.193875,9218800
2000-04-28,4.8125,4.96875,4.734375,4.796875,3.404583,7813600
2000-05-01,4.828125,4.859375,4.765625,4.84375,3.437852,6845600
2000-05-02,4.75,4.796875,4.515625,4.765625,3.382405,8875200
2000-05-03,4.65625,4.65625,4.453125,4.46875,3.171696,9910000
2000-05-04,4.6875,4.78125,4.59375,4.671875,3.315864,6621600
2000-05-05,4.609375,4.8125,4.609375,4.703125,3.338044,4924800
2000-05-08,4.6875,4.703125,4.5,4.546875,3.227144,8037200
