Stock Quotes for TSN,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,16.375,16.375,16,16.0625,13.094151,235200
2000-01-04,16,16.125,15.9375,16,13.043206,188600
2000-01-05,16,16.3125,16,16.0625,13.094151,168900
2000-01-06,16.1875,16.3125,16,16.1875,13.196053,177700
2000-01-07,16.3125,16.9375,16.3125,16.9375,13.807459,170300
2000-01-10,16.9375,16.9375,16.6875,16.75,13.654601,204000
2000-01-11,16.5,16.9375,16.5,16.875,13.756512,182200
2000-01-12,16.8125,16.9375,16.5,16.5625,13.501751,90500
2000-01-13,17.375,17.375,17,17.1875,14.011252,602200
2000-01-14,17.1875,17.1875,16.125,16.3125,13.297955,227500
2000-01-18,16.3125,16.375,15.9375,16,13.043206,228600
2000-01-19,16,16.0625,15.75,15.75,12.839402,199800
2000-01-20,15.875,15.9375,15.625,15.625,12.737499,215600
2000-01-21,15.6875,15.6875,15.375,15.4375,12.584652,152800
2000-01-24,15.375,15.5,14.8125,14.8125,12.07515,293500
2000-01-25,14.875,14.875,13.625,14.25,11.616606,723800
2000-01-26,14.25,14.5625,13.875,14,11.412803,262000
2000-01-27,14,14.25,13.8125,14.1875,11.565651,239100
2000-01-28,14.25,14.3125,13.875,14.25,11.616606,251700
2000-01-31,14.375,14.375,13.5625,13.6875,11.15805,506400
2000-02-01,13.6875,14,13.6875,13.875,11.310905,348800
2000-02-02,14,14.125,13.5,13.5625,11.056151,717300
2000-02-03,13.625,13.75,13.125,13.25,10.801405,486700
2000-02-04,13.125,13.25,12.9375,13,10.597603,442700
2000-02-07,13,13,12.5625,12.875,10.495701,217400
2000-02-08,12.875,12.875,12.5625,12.8125,10.444757,539500
2000-02-09,12.875,12.9375,12.4375,12.5,10.190003,280900
2000-02-10,12.375,12.5625,11.75,11.9375,9.731454,414400
2000-02-11,11.9375,12,11,11.25,9.171001,826500
2000-02-14,11.25,11.4375,10.75,11,8.9672,605600
2000-02-15,11,11.125,10.75,10.8125,8.814354,714100
2000-02-16,10.9375,11,10.75,10.875,8.865303,423500
2000-02-17,10.9375,11.0625,10.625,10.75,8.763405,518300
2000-02-18,10.75,10.8125,10.5625,10.6875,8.712449,353300
2000-02-22,10.8125,10.9375,10.5,10.625,8.661501,443700
2000-02-23,10.625,10.625,9.8125,9.9375,8.10105,455300
2000-02-24,10,10.0625,9.75,9.9375,8.10105,769400
2000-02-25,10.125,11.5625,10.125,10.9375,8.916254,720700
2000-02-28,11.625,11.75,10.75,10.875,8.89784,394900
2000-02-29,10.875,11.25,10.3125,10.3125,8.437609,688900
2000-03-01,10.4375,11,10.25,10.5625,8.642155,377800
2000-03-02,10.625,10.8125,10.3125,10.4375,8.539884,395000
2000-03-03,10.5625,10.75,10.1875,10.4375,8.539884,321000
2000-03-06,10.4375,10.625,10.0625,10.0625,8.233059,361700
2000-03-07,10.0625,10.3125,9.75,9.875,8.079653,443200
2000-03-08,9.9375,10.1875,9.875,10,8.181923,665400
2000-03-09,10.125,10.625,10,10.125,8.284201,532400
2000-03-10,10,10.125,9.125,9.375,7.670555,837900
2000-03-13,9.5,9.875,9.3125,9.375,7.670555,304400
2000-03-14,9.5625,9.75,9.25,9.3125,7.619417,421300
2000-03-15,9,9,8.5,9,7.363733,1607400
2000-03-16,9,10.5,8.875,10.125,8.284201,970200
2000-03-17,9.875,10.375,9.75,9.75,7.977378,657400
2000-03-20,10,10.5,9.875,10.0625,8.233059,436500
2000-03-21,10.1875,10.5,10,10.4375,8.539884,424100
2000-03-22,10.5,10.5625,10.375,10.5,8.591022,578700
2000-03-23,10.75,11,10.5625,10.875,8.89784,459900
2000-03-24,10.875,10.875,10.4375,10.625,8.693292,799700
2000-03-27,10.625,10.75,10,10.125,8.284201,409200
2000-03-28,10,10.4375,10,10.25,8.386472,468100
2000-03-29,10.25,10.375,9.9375,10.125,8.284201,339700
2000-03-30,10.125,11.125,10.125,10.6875,8.744432,560900
2000-03-31,10.8125,11.125,10.3125,11.125,9.102391,1130400
2000-04-03,11.125,11.1875,10.125,10.25,8.386472,485300
2000-04-04,10.375,10.75,10.375,10.75,8.795572,291100
2000-04-05,10.875,11.125,10.5625,11.125,9.102391,372700
2000-04-06,11,11,10.25,10.375,8.488748,469600
2000-04-07,10.125,10.375,10.0625,10.125,8.284201,304900
2000-04-10,10.5,10.5,10.125,10.1875,8.335339,192000
2000-04-11,10.3125,10.375,10.0625,10.375,8.488748,170700
2000-04-12,10.4375,10.5625,10,10.0625,8.233059,203800
2000-04-13,10.1875,10.875,10.125,10.8125,8.846708,483400
2000-04-14,10.8125,10.8125,10.125,10.125,8.284201,253600
2000-04-17,10.1875,10.5,10,10.4375,8.539884,325100
2000-04-18,10.3125,10.375,10.125,10.375,8.488748,165300
2000-04-19,10.4375,10.4375,10.125,10.3125,8.437609,196800
2000-04-20,10.1875,10.5625,10.1875,10.4375,8.539884,146200
2000-04-24,10.5625,10.625,10.25,10.4375,8.539884,257100
2000-04-25,10.5,11.125,10.5,11,9.000117,355300
2000-04-26,11,11.25,11,11,9.000117,459400
2000-04-27,11,11.375,10.9375,11,9.000117,961900
2000-04-28,11.0625,11.0625,10.4375,10.4375,8.539884,384800
2000-05-01,10.5625,10.9375,10.4375,10.4375,8.539884,194400
2000-05-02,10.5,10.6875,10.3125,10.375,8.488748,138200
2000-05-03,10.375,10.75,10.25,10.25,8.386472,370800
2000-05-04,10.5625,10.875,10.4375,10.75,8.795572,438900
2000-05-05,10.75,10.75,10,10.375,8.488748,343800
2000-05-08,10.4375,10.4375,10,10.1875,8.335339,172500
2000-05-09,10.125,10.3125,9.8125,10.1875,8.335339,465700
2000-05-10,10.0625,10.5,9.9375,10.375,8.488748,256100
2000-05-11,10.5,10.8125,10.3125,10.625,8.693292,601400
2000-05-12,10.625,10.75,10.25,10.5,8.591022,197500
2000-05-15,10.5625,10.625,10.1875,10.1875,8.335339,287600
2000-05-16,10.3125,10.5,10.1875,10.5,8.591022,159100
2000-05-17,10.4375,10.5,10.1875,10.4375,8.539884,180400
2000-05-18,10.4375,10.625,10.25,10.4375,8.539884,185200
2000-05-19,10.4375,10.5625,10.0625,10.0625,8.233059,270700
2000-05-22,10.1875,10.3125,10,10.125,8.284201,321800
2000-05-23,10.125,10.375,9.875,10.0625,8.233059,232100
2000-05-24,10.125,10.1875,9.875,9.875,8.079653,370700
2000-05-25,9.875,10.375,9.875,10.0625,8.233059,455300
2000-05-26,10.125,10.1875,9.875,9.875,8.079653,433800
2000-05-30,9.9375,10.0625,9.9375,10.0625,8.266545,157500
2000-05-31,10.0625,10.25,9.875,9.875,8.112516,250300
2000-06-01,9.875,10.1875,9.875,10.125,8.317888,262700
2000-06-02,10.1875,10.25,10.0625,10.1875,8.369235,178400
2000-06-05,10.125,10.4375,10,10.375,8.523274,306400
2000-06-06,10.375,10.4375,10.125,10.1875,8.369235,320100
2000-06-07,10.0625,10.125,9.875,10.125,8.317888,246700
2000-06-08,10.125,10.125,9.9375,10,8.215202,675200
2000-06-09,10,10,9.875,10,8.215202,180100
2000-06-12,10,10,9.75,9.8125,8.061165,161800
2000-06-13,9.75,9.8125,9.6875,9.75,8.009819,158300
2000-06-14,9.8125,9.8125,9.5625,9.625,7.90713,117900
2000-06-15,9.625,9.9375,9.625,9.875,8.112516,237200
2000-06-16,9.75,9.875,9.6875,9.8125,8.061165,316600
2000-06-19,9.8125,9.875,9.625,9.625,7.90713,176700
2000-06-20,9.625,9.6875,9.5,9.5625,7.855784,226300
2000-06-21,9.125,9.1875,8.875,9.0625,7.445023,790800
2000-06-22,9.1875,9.25,8.9375,8.9375,7.342335,360900
2000-06-23,9,9,8.75,8.875,7.290992,253700
2000-06-26,9,9.125,8.875,8.9375,7.342335,162800
2000-06-27,9,9.0625,8.5625,8.5625,7.034266,260500
2000-06-28,8.6875,8.9375,8.625,8.9375,7.342335,189300
2000-06-29,9.0625,9.25,8.875,9.0625,7.445023,294400
2000-06-30,9,9.1875,8.5,8.75,7.1883,531600
2000-07-03,8.75,9,8.75,8.875,7.290992,89300
2000-07-05,8.875,9.125,8.875,8.875,7.290992,330400
2000-07-06,8.9375,9.0625,8.9375,9,7.393682,207600
