Stock Quotes for TSS,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,17,17,15.9375,16.125,13.311505,57700
2000-01-04,15.875,16.6875,15.875,16.0625,13.259906,73400
2000-01-05,16.3125,16.5625,16.0625,16.25,13.414691,23500
2000-01-06,16.1875,16.1875,15.875,16,13.20832,24700
2000-01-07,15.875,16.125,15.75,16.125,13.311505,45200
2000-01-10,16.3125,16.5,16.125,16.375,13.517883,33000
2000-01-11,16.25,16.25,15.875,16.125,13.311505,45100
2000-01-12,16,16.125,15.75,15.875,13.105123,40100
2000-01-13,16,16.3125,15.875,16.125,13.311505,28800
2000-01-14,16.25,16.25,15.8125,15.8125,13.053528,54400
2000-01-18,15.875,16.25,15.75,16.0625,13.259906,66500
2000-01-19,16,16.3125,16,16.0625,13.259906,53800
2000-01-20,16,16.125,15.5,15.625,12.898742,45500
2000-01-21,15.875,16,15.5,15.8125,13.053528,52100
2000-01-24,15.9375,16.125,15.5,16.125,13.311505,80200
2000-01-25,16.125,17.3125,16,17.125,14.137024,83500
2000-01-26,17.125,17.4375,16.9375,17.125,14.137024,67900
2000-01-27,17.1875,17.3125,16.5625,16.5625,13.67267,24900
2000-01-28,16.75,17.3125,16.75,17.125,14.137024,35900
2000-01-31,17.375,17.375,16.25,16.5,13.621073,33300
2000-02-01,16.4375,18.5,16.3125,18.4375,15.220522,108500
2000-02-02,18.1875,18.1875,17.5,18.125,14.962546,49800
2000-02-03,18,18.5625,17.75,18.375,15.168923,32200
2000-02-04,18.5,18.5,17.875,18,14.859351,54400
2000-02-07,18.125,18.125,17.75,18,14.859351,19100
2000-02-08,17.8125,17.8125,17.5625,17.625,14.549784,18200
2000-02-09,17.5,17.9375,17,17.1875,14.188618,58100
2000-02-10,16.9375,17.1875,16.9375,16.9375,13.98224,33600
2000-02-11,17,17.125,16.625,16.625,13.724261,60500
2000-02-14,16.5625,16.8125,16.25,16.5625,13.67267,22300
2000-02-15,16.4375,16.625,16,16.5625,13.67267,43900
2000-02-16,16.5625,16.5625,16.375,16.375,13.517883,17900
2000-02-17,16.5625,16.625,16.25,16.4375,13.569482,38700
2000-02-18,16.375,16.6875,15.375,16.6875,13.77586,68200
2000-02-22,16.6875,16.8125,15.8125,15.875,13.105123,18500
2000-02-23,15.9375,16.375,15.875,16.3125,13.466285,38200
2000-02-24,16.4375,16.4375,15.9375,16.1875,13.363098,24900
2000-02-25,16.125,16.5625,16.125,16.5,13.621073,19300
2000-02-28,16.4375,16.8125,16.25,16.5,13.621073,23200
